id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
39717125,Acalin (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock Reading Recovery v. Small Group post test only,['Other outcome'],Secondary outcome(s),Woodcock Reading Recovery v. Small Group Gain Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269763,Aist (2001) 1:1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock Mastery of Reading Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717210,Allor (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJR Passage Comprehension (cohort 1),['Other outcome'],Primary outcome,WJR Passage Comprehension (Cohort 2),['Other outcome'],Secondary outcome(s),WJR- Word ID (Cohort 1),['Other outcome'],Secondary outcome(s),WJR - Word ID (Cohort 2),['Other outcome'],Secondary outcome(s),WJR - Word Attack-Cohort 1,['Other outcome'],Secondary outcome(s),WJR - Word Attack-Cohort 2,['Other outcome'],Secondary outcome(s),TOWRE-Real Word - Cohort 1,['Other outcome'],Secondary outcome(s),TOWRE - Real Word - Cohort 2,['Other outcome'],Secondary outcome(s),TOWRE - Non-Word - Cohort 2,['Other outcome'],Secondary outcome(s),TOWRE - Non-word - Cohort 2
39717230,Baker (2000),['Other outcome'],Secondary outcome(s),WRMT-R (Word Identification) Post test scores,['Other outcome'],Secondary outcome(s),Oral Reading Fluency (2nd grade) Post test scores,['Other outcome'],Primary outcome,WRMT-R Word Comprehension-Post test scores,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRMT-R Passage Comprehension-Post test scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50752646,Benner (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DIBELS: nonsense word,['Other outcome'],Secondary outcome(s),DIBELS: ISF,['Other outcome'],Secondary outcome(s),DIBELS: LNF,['Other outcome'],Secondary outcome(s),DIBELS: PSF,['Other outcome'],Secondary outcome(s),CTOPP: PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294886,Bingham (2010) 1:1,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Spelling accuracy: Small group tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717191,Blachman (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTOPP Word Reading (follow up only),['Other outcome'],Secondary outcome(s),CTOPP Word Reading Efficiency (follow up only),['Other outcome'],Secondary outcome(s),CTOPP Spelling (follow up only),['Other outcome'],Secondary outcome(s),CTOPP Phonological Awareness (follow up only),['Other outcome'],Secondary outcome(s),CTOPP Rapid Naming of Letters (follow up only),['Other outcome'],Secondary outcome(s),CTOPP Nonword Repetition (Follow up only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50752647,Bøg (2019),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Decoding: 1-1 ,['Other outcome'],Secondary outcome(s),Letter knowledge: 1-1,['Other outcome'],Secondary outcome(s),Phonol.awareness: 1-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50752648,Borman (2019),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Logramos: comprehension,['Other outcome'],Secondary outcome(s),IdO: reading level,['Other outcome'],Secondary outcome(s),IdO: letter identification,['Writing and spelling primary outcome.'],Secondary outcome(s),IdO: writing vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717192,Brown (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock passage comprehension  test score-one on one tuition,['Other outcome'],Secondary outcome(s),Woodcock pseudoword test score-one on one tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
