id,pub_author,pub_year,abstract,strand_raw,FB_Update_2020,strand_CLEAN,pub_eppi,pub_eppi_CLEAN,pub_type,pubtype_ht,pubtype_info,pub_type_CLEAN,loc_country_raw,loc_country_ht,loc_country_info,loc_country_CLEAN,int_setting_raw,int_setting_ht,int_setting_info,int_Setting_CLEAN,eco_valid_raw,eco_valid_ht,eco_valid_info,eco_valid_CLEAN,part_age_raw,part_age_ht,part_age_info,part_age_CLEAN,school_treat_info,school_treat_ht,school_treat_CLEAN,school_cont_info,school_cont_ht,school_cont_CLEAN,school_total_info,school_total_ht,school_total_CLEAN,school_na_raw,school_na_info,school_na_ht,school_na_CLEAN,class_treat_info,class_treat_ht,class_treat_CLEAN,class_cont_info,class_cont_ht,class_cont_CLEAN,class_total_info,class_total_ht,class_total_CLEAN,class_na_raw,class_na_info,class_na_ht,class_na_CLEAN,treat_group_raw,treat_group_ht,treat_group_info,treat_group_CLEAN,part_assig_raw,part_assig_ht,part_assig_info,part_assig_CLEAN,level_assig_raw,level_assig_ht,level_assig_info,level_assig_CLEAN,int_design_raw,int_design_ht,int_design_info,int_design_CLEAN,rand_raw,rand_ht,rand_info,rand_CLEAN
37092570,Adler (1998),1998,"The purpose of this study was to determine if instruction in the Six Traits improved third grade students' writing abilities and their attitudes towards writing. A control group recieved no instruction in the traits of idea and content, organization, voice, word choice, sentence fluency and conventions while the experimental group did receive instruction. Writing samples were taken from both groups prior to instruction. Instruction lasted approximately one semester. Another sample was taken in January. Students at Wichita State University scored all of the samples, and then pre and posttest scores were compared for the two groups. A writing attitude survey was also administered in the fall and in January. Once again, pre and posttest scores were compared. It was concluded that instruction in the Six Traits significantly effected third grade students in the traits of voice and word choice.",['Feedback'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],NA,NA,,['Primary/elementary school'],NA,NA,,['Low ecological validity'],NA,NA,,"['8', '9']",NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,,2,"['Page 21:\n[¬s]""experimental group consisted of two third grade classes[¬e]""']",,2,"['Page 21:\n[¬s]""The control group consisted of two third grade classes[¬e]""']",,4,NA,,NA,NA,NA,,['No'],NA,NA,,Unclear,NA,NA,,School - cluster,"['Page 21:\n[¬s]""The experimental group consisted of two third grade classes from a suburban midwestern city that had a school population of 589. The control group consisted of two third grade classes from a suburban midwestern city that had a school population of 319.[¬e]""']",NA,,['Prospective QED'],"['Page 21:\n[¬s]""The control classes were chosen because the teachers were not concentrating on Six Trait writing at this time and the teachers were willing to have their students submit two writing samples.[¬e]""']",NA,,['No/Unclear'],NA,NA,
46887859,Algozzine (2009),2009,"Fluent oral reading is essential for success in elementary school. In this study, we investigated the effectiveness of enhanced reading fluency instruction for struggling readers. The intervention was provided to small groups of students at risk for reading difficulties. Students were assessed on key early literacy skills. Second-grade students who were at risk for reading failure and who received supplemental intervention scored higher on measures of fluency than students who received only typical classroom instruction  the effects of enhanced fluency instruction were evident across different dosages for many children at risk for reading failure. In addition, statistically significant improvements and relationships were evident for oral reading fluency and comprehension. We discuss guidelines for developing and using the intervention in other classrooms.",NA,['Feedback'],,"Journal, Article",,['Journal article'],NA,NA,,['USA'],NA,NA,,['Primary/elementary school'],NA,NA,,['High ecological validity'],NA,NA,,"['7', '8']",NA,NA,,7,"['Page 4:\n[¬s]""7 treatment schools[¬e]""']",,7,"['Page 4:\n[¬s]""7 control schools[¬e]""']",,14,"['Page 4:\n[¬s]""14 elementary schools[¬e]""']",,NA,NA,NA,,≤3,"['Page 4:\n[¬s]""50 children[¬e]""']",,≤3,"['Page 4:\n[¬s]""50 children[¬e]""']",,≤6,"['Page 4:\n[¬s]""50 children""\n""50 children[¬e]""']",,['not_provided'],"Not provided, approximated from sample size",NA,,['No'],NA,NA,,Random (please specify),"['Page 4:\n[¬s]""To control school effects, we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools.[¬e]""']",NA,,School - cluster,"['Page 4:\n[¬s]""To control school effects, we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools.[¬e]""']",NA,,['Individual RCT'],"['Page 4:\n[¬s]""we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools[¬e]""']",NA,,['Yes'],"['Page 4:\n[¬s]""we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools[¬e]""']",NA,
46887861,Amendum (2011),2011,"The purpose of this study was to evaluate the efficacy of a classroom-teacher-delivered reading intervention for struggling readers called the Targeted Reading Intervention (TRI), designed particularly for kindergarten and first-grade teachers and their struggling students in rural, low-wealth communities. The TRI was delivered via an innovative Web-conferencing system using laptop computers and webcam technology. Seven schools from the southwestern United States were randomly assigned to experimental and control conditions in a cluster randomized design. All children in the study (n = 364) were administered a battery of standardized reading skill tests in the fall and spring of the school year. Intent-to-treat analyses were conducted to estimate mixed models of children's 1-year growth in Word Attack, Letter/Word Identification, Passage Comprehension, and Spelling of Sounds. Results showed that struggling readers from experimental schools outperformed those from control schools on all spring reading outcomes, controlling for fall scores. ",NA,['Feedback'],,"Journal, Article",,['Journal article'],NA,NA,,['USA'],NA,NA,,['Primary/elementary school'],NA,NA,,['Unclear'],NA,"The intervention requires classroom teachers to teach students one-on-one, other students were required to work independently, with other staff/teaching assistants, etc. Teachers could only work with up to five students per year. Would appear to be difficult to implement widely, however, the interventions were administered by classroom teachers in this study.",,"['6', '7', '8']","['Page 9:\n[¬s]""Kindergarten and ﬁrst-grade children[¬e]""']",NA,,NA,NA,,NA,NA,,8,"['Page 8:\n[¬s]""Eight schools from ﬁve school districts in the southwestern United States partic-\nipated in the study.[¬e]""']",,NA,NA,NA,,26,"['Page 9:\n[¬s]""The seven remaining participating\nschools included 43 classrooms, 26 experimental and 17 control[¬e]""']",,17,"['Page 9:\n[¬s]""The seven remaining participating\nschools included 43 classrooms, 26 experimental and 17 control.[¬e]""']",,43,NA,,NA,NA,NA,,['Yes (Please specify)'],NA,Experimental Focal Experimental NonFocal Control Focal Control NonFocal ,,Random (please specify),"['Page 9:\n[¬s]""The two single-school districts were matched and randomly assigned in the\nsame manner.[¬e]""']",NA,,School - cluster,NA,NA,,['Cluster RCT'],"['Page 4:\n[¬s]""This study was a cluster-randomized design in which schools were randomly as-\nsigned to experimental and control conditions.[¬e]""']",NA,,['Yes'],"['Page 8:\n[¬s]""Two schools were the only elementary schools within their dis-\ntricts. Because of the small number of schools, when possible, schools within each\ndistrict were paired based on demographic characteristics (school size, race/ethnic\ncomposition, Reading First participation, and percentage ofstudents eligible for free[¬e]""', 'Page 9:\n[¬s]""or reduced-price lunch) and randomly assigned to the experimental or control con-\ndition. The two single-school districts were matched and randomly assigned in the\nsame manner. After random assignment, difﬁculties with technology—speciﬁcally,\nthe lack ofdistrict-level technology staffto troubleshoot initial ﬁrewall issues—led to\nthe withdrawal of one experimental school. The seven remaining participating\nschools included 43 classrooms, 26 experimental and 17 control[¬e]""']",NA,
37092749,Anderson (1973),1973,"The first strategy was a mastery learning strategy in which the students were provided with immediate feedback of results, corrective procedures, and additional time and help, if needed. All students in this class were brought to an 85% correct level of achievement in each unit (85ML Class). The second strategy was a mastery learning strategy (see above) in which all students were brought to a 75% correct level of achievement in each unit (75ML Class). The third strategy was a conventional teaching-learning strategy in which students read the programmed text on each unit, were given a test over that unit, and moved on to the next unit (CONV Class). Students learned three sequential units of matrix arithmetic in a programmed text format. The material was developed by Block (1970). Prior to the experiment, students were administered a pre-test on matrix arithmetic. Further, prior to each learning unit students were asked how interesting they thought the unit would be and how well they thought they would do on the unit. The experiment proceeded as follows. All three classes read unit one of their programmed texts. After they had finished they took a formative test. After the formative test was corrected, those students in the 75ML and 85ML classes who did not attain their appropriate per cent correct were given additional time and help in order to correct their mistakes. The conventional class, on the other hand, was finished with that particular unit. After the students in the two mastery classes corrected their mistakes, they were given a review test over the number of problems that they had incorrect initially which, when done correctly, would bring them up to the criterion level. The learning proceeded in the same manner for all three units. Each day one, and only one, unit was covered. Following the experiment, a summative post-test was given to all three classes. In both the naturalistic and the experimental study achievement was measured by tests based on the content which was covered during the period of time during which the study was conducted. When corrected multiple correlations were used to investigate the relationship of the composite of the antecedent variables and time-on-task, the antecedent variables account for between 25% and 67% of the variation in time-on-task. Since, however, only one, or at most two, of the three antecedent variables could be corrected for attenuation before being placed in the multiple regression analysis it is believed that the findings represent an underestimate of the relationship between the antecedent variables and time-on-task. ",['Feedback'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],NA,NA,,['Middle school'],NA,NA,,['Low ecological validity'],NA,NA,,"['13', '14']",NA,NA,,1,NA,,1,NA,,1,NA,,NA,NA,NA,,2,"['Page 57:\n[¬s]""The first two classes used mastery learning strategies[¬e]""']",,1,"['Page 57:\n[¬s]""the third class used a more conventional teaching-learning strategy.[¬e]""']",,3,"['Page 96:\n[¬s]"" Students were randomly assigned to three classes[¬e]""']",,NA,NA,NA,,['Yes (Please specify)'],"['Page 57:\n[¬s]"" Three eighth grade classes were used. The three classes learned under two different strategies. The first two classes used mastery learning strategies while the third class used a more conventional teaching-learning strategy. The basic difference between the instructional method of the groups was that the students in the mastery learning classes were given additional time and help to attain a pre-set criterion level while the students in the conventional class were not given the additional time and help nor were they required to attain a pre-set criterion level. The two mastery learning classes differed in the pre-set criterion level: one class (85% ML) was expected to attain scores of at least 85% on the criterion test for each unit while the other class (75% ML) was expected to attain scores of at least 75% on the criterion.[¬e]""']",NA,,Random (please specify),"['Page 54:\n[¬s]""In the experimental study, eighth grade students were randomly assigned to three classrooms in the following manner. Xn the school in which the experiment was conducted all eighth grade students were assigned to take mathematics in one of three time periods. From each of these blocks of students, students were randomly assigned to one of the classes used in the ex\xad periment. Further the treatments were randomly assigned to each of the three classes.[¬e]""']",NA,,Individual,"['Page 54:\n[¬s]""In the experimental study, eighth grade students were randomly assigned to three classrooms in the following manner. Xn the school in which the experiment was conducted all eighth grade students were assigned to take mathematics in one of three time periods. From each of these blocks of students, students were randomly assigned to one of the classes used in the ex\xad periment.[¬e]""']",NA,,"['Individual RCT', 'Retrospective QED  ']","['Page 52:\n[¬s]""Two separate studies were conducted. The first, con\xad cerning two different classes at two different grade levels, was a naturalistic study while the second, concerning three classes at the same grade level, was an experimental study.[¬e]""', 'Page 54:\n[¬s]""In the experimental study, eighth grade students were randomly assigned to three classrooms[¬e]""']",NA,,['Yes'],"['Page 54:\n[¬s]""Xn the school in which the experiment was conducted all eighth grade students were assigned to take mathematics in one of three time periods. From each of these blocks of students, students were randomly assigned to one of the classes used in the ex\xad periment. Further the treatments were randomly assigned to each of the three classes.[¬e]""']",NA,
37092571,Andrade (2008),2008,"The purpose of this study was to investigate the effect of reading a model written assignment, generating a list of criteria for the assignment, and self‐assessing according to a rubric, as well as gender, time spent writing, prior rubric use, and previous achievement on elementary school students' scores for a written assignment (N = 116). Participants were in grades 3 and 4. The treatment involved using a model paper to scaffold the process of generating a list of criteria for an effective story or essay, receiving a written rubric, and using the rubric to self‐assess first drafts. The comparison condition involved generating a list of criteria for an effective story or essay, and reviewing first drafts. Findings include a main effect of treatment and of previous achievement on total writing scores, as well as main effects on scores for the individual criteria on the rubric. The results suggest that using a model to generate criteria for an assignment and using a rubric for self‐assessment can help elementary school students produce more effective writing.",['Feedback'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],NA,NA,,['Primary/elementary school'],NA,NA,,['Low ecological validity'],NA,NA,,"['8', '9', '10']",NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,4,"['Page 3:\n[¬s]""There were four classes in the treatment group[¬e]""']",,3,"['Page 3:\n[¬s]""three in the comparison group[¬e]""']",,7,"['Page 3:\n[¬s]""It took place in seven public elemen- tary school classrooms in the northeast- ern United States. Three classes were grade 3 (N = 46) and four were grade 4 (N = 70).[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,"Non-random, but matched","['Page 3:\n[¬s]""The sample consisted of intact classes, matched by grade level and sub- ject matter: There were four classes in the treatment group (two third grade classes studying ELA, and two fourth grades, one studying ELA and one study- ing social studies), and three in the comparison group (one third grade studying ELA, and two fourth grades, one studying ELA and one studying so- cial studies).[¬e]""', 'Page 4:\n[¬s]"" Previous achieve- ment scores ranged from 209 to 297. The treatment and comparison groups had comparable means (M = 267.49 and M = 266.04, respectively).[¬e]""']",NA,,Class,"['Page 3:\n[¬s]""The sample consisted of intact classes[¬e]""']",NA,,['Prospective QED'],NA,NA,,['Not applicable'],NA,NA,
47515942,Armour-Thomas (1987),1987,"The effects of different types of feedback in computer assisted instruction (CAI) on relational concept learning by young children were compared in this study. Subjects were 89kindergarten students whose primary language was English, and whose performance on the Boehm Test of Basic Concepts was within the average range chosen from classes in a predominantly low income NewYork City school district. Nine relational concepts were selected forCAI over a six-week period, and three conditions of computer-generated feedback--textual, symbolic, and pictorial--were presented to the experimental groups. A control group participated in a color matching game on the computer. Motivational effects were measured by time and trials-to-criterion on the computer, and the Boehm Test of Basic Concepts was used to measure the immediate and delayed effects of CAI on the children's level of knowledge of basic relational concepts. Results indicated that, although children's performance across experimental groups was significantly better than the performance of the control group, there were no significant differences in performance among the feedback groups. These results suggest that learning within a microcomputer environment may be intrinsically stimulating for very young children. ",NA,['Feedback'],,"Journal, Article",,"['Technical report', 'Conference paper']",NA,NA,,['USA'],NA,NA,,NA,NA,NA,,['High ecological validity'],NA,NA,,['5'],"['Page 7:\n[¬s]""mean age = 5 years 8 months);[¬e]""']","No mention of school grade, so other ages couldn't really be inferred, but the average age was 5.8 months. ",,≤3,"['Page 7:\n[¬s]""three elementary schools[¬e]""']",,≤3,"['Page 7:\n[¬s]""three elementary schools[¬e]""']",,3,"['Page 7:\n[¬s]""three elementary schools[¬e]""']",,NA,NA,NA,,≤5,"['Page 7:\n[¬s]""five kindergarten\nclasses[¬e]""']",,≤5,"['Page 7:\n[¬s]""five kindergarten\nclasses[¬e]""']",,5,"['Page 7:\n[¬s]""five kindergarten\nclasses[¬e]""']",,NA,NA,NA,,['Yes (Please specify)'],"['Page 3:\n[¬s]""Three conditions of feedback were presented\nand were characterized asTextual KR;Symbolic KR;\nand Pictorial KR. A control group participated\nin a color-matching game on the computer.[¬e]""']","Yes, however, at the request of the coding team I will be coding for the computer feedback condition (3 combined) vs control.",,Random (please specify),NA,NA,,Individual,NA,NA,,['Individual RCT'],"['Page 7:\n[¬s]""Subjects\nwere randomly assigned to one control and three experimental\ngroups.[¬e]""']",NA,,NA,NA,NA,
37092572,Arter (1994),1994,"Teachers, districts, and states working with the Northwest Regional Education Laboratory have been using a six-trait analytical scoring assessment model for student writing. The six traits are  (1) ideas  (2) organization  (3) voice  (4) word choice  (5) sentence fluency  and (6) conventions. For the last 4 years, the Northwest Regional Education Laboratory has been training teachers to teach students to be assessors of writing using the same six traits. This study was conducted to investigate the usefulness of this approach. Six classrooms of fifth graders participated, 67 in the treatment (integration) group and 65 in the control (observation) group. Teachers were taught scoring strategies and were visited by project staff to assist in implementing them. Pretest scores were very similar for both groups. The treatment group gained the most on those traits receiving the most emphasis in instruction, in proportion to the amount of time spent on them and in the order in which they were introduced  their performance on other traits improved slightly. Students in the control group improved slightly on two traits and remained at nearly the same level on the other four. One figure and two tables present study findings. Appendixes contain the student scoring guide and a scoring guide for adult scorers.",['Feedback'],NA,,Conference Proceedings,,['Conference paper'],NA,NA,,['USA'],NA,NA,,['Primary/elementary school'],NA,NA,,['High ecological validity'],NA,NA,,"['10', '11']",NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,"['Page 4:\n[¬s]""Classrooms were located in different buildings and different school districts. [¬e]""']",,3,"['Page 6:\n[¬s]""Pretest information was used to plan instruction in the three treatment classrooms. [¬e]""']",,NA,NA,,6,"['Page 4:\n[¬s]""Six classrooms of fifth graders were recruited for participation in the study to represent a range of learning contexts (rural/urban, size of district, size of school, student expenditures) and student types.[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,Random (please specify),"['Page 4:\n[¬s]""Six classrooms of fifth graders were recruited for participation""\n""Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition[¬e]""']",NA,,Class,"['Page 4:\n[¬s]""Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition.[¬e]""']",NA,,['Multisite RCT'],"['Page 4:\n[¬s]""Classrooms were located in different buildings and different school districts. Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition.[¬e]""']",NA,,NA,NA,NA,
37061105,Aumiller (1963),1963,"Programmed instruction is now an established fact. This statement is substantiated by the existence of approximately 83 teaching devices now either on the market or being developed and by the publication of 630 programmed courses. The advent and development of these materials are phenomenal when one considers that as recently as two years ago it would have been difficult to locate a dozen complete programs in the entire country. A considerable amount of research has been done and to date no experimental evidence has been uncovered which definitely indicates that knowledge of results is as important a factor in learning as some authors declare. It was the purpose of the present study to determine whether or not students who have 'the simple pleasure of being right' as Skinner says, will learn a subject better than students who do not know whether or not their responses are correct. Will third and fifth grade pupils using a self teaching program in spelling learn more words when knowledge of results in the form of readily available correct answers is provided than students to whom no knowledge of results is given? Also will third and fifth grade pupils using a self-teaching program in spelling commit fewer errors when knowledge of results in the form of readily available correct answers is provided than students to whom no knowledge of results is given?",['Feedback'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],NA,NA,,['Primary/elementary school'],NA,NA,,['High ecological validity'],NA,NA,,"['8', '9', '10', '11']",NA,NA,,NA,NA,,NA,NA,,3,"['Page 3:\n[¬s]""Of the three sec t i oru:i from grade three (N \x95 79) which participated in the study., two were studenw fl\'Olll White Towiship, a rural area directly west of Milton. The third[¬e]""', 'Page 4:\n[¬s]""section of students ""WU from the Pollock Elementacy School in Milton. All three sections of grade five (N \x95 108) were f\'mn the borough of Milton and attended the Millward School.[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,,['No'],NA,NA,,Random (please specify),"['Page 4:\n[¬s]""Each pupil within each section of grade three and grade five vas assigned a number. Then, by using the table of randan numbers., each section was divided into exper:lJllental and control groups. Tids was done to remove the teacher as a variable vi thin each sec t i on. Table IV describes the intelligence and reading level of each grade.[¬e]""']",NA,,Individual,"['Page 4:\n[¬s]""Each pupil within each section of grade three and grade five vas assigned a number.[¬e]""']",NA,,['Individual RCT'],"['Page 4:\n[¬s]""Each pupil within each section of grade three and grade five vas assigned a number. Then, by using the table of randan numbers., each section was divided into exper:lJllental and control groups. Tids was done to remove the teacher as a variable vi thin each sec t i on.[¬e]""', 'Page 5:\n[¬s]""AB mentioned above, experimental and control groups were selected a t random !ran each eection or grades three and five.[¬e]""']",NA,,['Yes'],"['Page 4:\n[¬s]""Each pupil within each section of grade three and grade five vas assigned a number. Then, by using the table of randan numbers., each section was divided into exper:lJllental and control groups. Tids was done to remove the teacher as a variable vi thin each sec t i on.[¬e]""', 'Page 5:\n[¬s]""AB mentioned above, experimental and control groups were selected a t random !ran each eection or grades three and five.[¬e]""']",NA,
46888119,Baadte (2014),2014,"This study tested the assumption that the effectiveness of feedback with regard to performance, motivation, and affect is moderated by the learners' self-concept. A total of 72 sixth-graders completed a web-based interactive learning program. Half of the sample received feedback and the other half received no feedback. Differential feedback effects were detected. For students with a positive academic self-concept, feedback led to a decline in performance and in mood but an increase in effort. With regard to participants with a negative self-concept, feedback worked against the decrease in mood but did not increase performance and motivation. These findings support the claim that feedback effects should be assessed with regard to (1) multiple dimensions and (2) possible moderating variables.",NA,['Feedback'],,"Journal, Article",,['Journal article'],NA,NA,,['Germany'],NA,NA,,['Secondary/High school'],NA,Secondary / Grammar school,,['High ecological validity'],NA,NA,,"['10', '11']",NA,NA,,1,"['Page 8:\n[¬s]""the students’ regular school[¬e]""']",,1,"['Page 8:\n[¬s]""the students’ regular school[¬e]""']",,1,"['Page 8:\n[¬s]""the students’ regular school[¬e]""']",,NA,NA,NA,,1,"['Page 8:\n[¬s]""the two groups were\nlocated in different classrooms[¬e]""']",,1,"['Page 8:\n[¬s]""the two groups were\nlocated in different classrooms[¬e]""']",,2,"['Page 8:\n[¬s]""the two groups were\nlocated in different classrooms[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,Random (please specify),NA,NA,,Individual,NA,NA,,['Individual RCT'],"['Page 8:\n[¬s]""The 72 participants were randomly assigned to\none of the two learning conditions (with vs. without feedback)[¬e]""']",NA,,['Yes'],"['Page 8:\n[¬s]""The 72 participants were randomly assigned to\none of the two learning conditions (with vs. without feedback) and the two groups were\nlocated in different classrooms that were equipped with computers.[¬e]""']",Note  Sample size not provided so assumed to be 36 for each for the following codes.,
46887945,Back (2005),2005,"The purpose of this study is to demonstrate that performance assessment increases educational value in teaching-learning activities using a quasi-experimental research design. In this research, the three measurement criteria of educational value are suggested as ""improvement & advancement,"" ""sincerity & enthusiasm,"" and ""individuality & wholeness."" A pre-test was administered to 4 classes (156 students) in 7th grade. Classes were divided into an experimental group (2 classes, 79 students) and a control group (2 classes, 77 students), according to the pre-test results. Only the experimental group was involved in the performance assessment for 9 weeks. The results of this study show that performance assessment has a positive effect on the educational value of teaching-learning activities in schools.",NA,['Feedback'],,"Journal, Article",,['Journal article'],NA,NA,,['South Korea / Republic of Korea'],"['Page 1:\n[¬s]""Sun-Geun Baek, Professor at the Department of Education, Seoul\nNational University; Eun-Hui Hwang, Science teacher at Baekhyun\nMiddle School.\nCorrespondence concerning this article should be addressed to Sun-\nGeun Baek, Department of Education, Seoul National University,\n599 Kwanak-Ro, Kwanak-Gu, Seoul, 151-748, Korea. Electronic\nmail may be sent to E-mail: dr100@snu.ac.kr; Phone: +82-2-880-\n7645, Fax: +82-2-878-1665[¬e]""']",NA,,['Secondary/High school'],NA,"Not specified, however, 7th grade corresponds to ages 13/14 in South Korea",,['High ecological validity'],NA,NA,,"['13', '14']",NA,"Students were in seventh grade, which corresponds to the ages 13 and 14 in South Korea",,≥1,"['Page 3:\n[¬s]""The same science teacher taught all students[¬e]""']",,≥1,"['Page 3:\n[¬s]""The same science teacher taught all students[¬e]""']",,≥1,"['Page 3:\n[¬s]""The same science teacher taught all students[¬e]""']",,['not_provided'],Not provided but assumed to be one school,NA,,2,"['Page 1:\n[¬s]""experimental group (2 classes, 79 students)[¬e]""']",,2,"['Page 1:\n[¬s]""control group (2 classes, 77 students)[¬e]""']",,4,"['Page 1:\n[¬s]""4 classes[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,Unclear,NA,NA,,Class,NA,NA,,['Prospective QED'],"['Page 1:\n[¬s]""quasi-experimental research design""\n""Classes were divided into an\nexperimental group (2 classes, 79 students) and a control group (2 classes, 77 students)[¬e]""']",NA,,['Not applicable'],NA,NA,
