id,pub_author,pub_year,abstract,strand_raw,strand_info,strand_CLEAN,pub_eppi,pub_eppi_CLEAN,pub_type_raw,pubtype_ht,pubtype_info,pub_type_CLEAN,loc_country_raw,loc_country_CLEAN,int_setting_raw,int_setting_ht,int_setting_info,int_Setting_CLEAN,eco_valid_raw,eco_valid_ht,eco_valid_info,eco_valid_CLEAN,part_age_raw,part_age_ht,part_age_info,part_age_CLEAN,school_treat_info,school_treat_ht,school_treat_CLEAN,school_cont_info,school_cont_ht,school_cont_CLEAN,school_total_info,school_total_ht,school_total_CLEAN,school_na_raw,school_na_info,school_na_ht,school_na_CLEAN,class_treat_info,class_treat_ht,class_treat_CLEAN,class_cont_info,class_cont_ht,class_cont_CLEAN,class_total_info,class_total_ht,class_total_CLEAN,class_na_raw,class_na_info,class_na_ht,class_na_CLEAN,treat_group_raw,treat_group_ht,treat_group_info,treat_group_CLEAN,part_assig_raw,part_assig_ht,part_assig_info,part_assig_CLEAN,level_assig_raw,level_assig_ht,level_assig_info,level_assig_CLEAN,int_desig_raw,int_design_ht,int_design_info,int_design_CLEAN,rand_raw,rand_ht,rand_info,rand_CLEAN
38224168,Adey (1990),1990,"In an attempt to accelerate the development of formal operations in average young adolescents, intervention lessons relating to all formal schemata were designed in the context of school science courses. Over a period of two years, up to 30 intervention lessons were given by science teachers to their classes in eight schools. Boys who started the program aged 12+ showed a pre‐posttest effect size on Piagetian tests of 0.89 SD compared with control classes. In terms of British norms for the development of operational thinking this was a mean change from the 51st to the 74th percentile. Neither the middle school students nor the 12+ girls showed greater gain than the controls. Gains were shown by girls in one 11+ class and in the two 11+ laboratory classes. In the laboratory school students given intervention lessons by the researchers maintained their gains over controls in formal operations at a delayed posttest one year after cessation of the program. There was no effect on tests of science achievement during the intervention. It was argued that the interventions needed to be accompanied by in‐service training designed to enable teachers to change their teaching style in line with their students' increased operational thinking capacity.",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,"['UK (Select all that apply)', 'England']",,"['Middle school', 'Secondary/High school']",NA,NA,,High ecological validity,NA,NA,,"['11', '12', '13']",NA,NA,,8,"['Page 3:\n[¬s]""The main experiment was conducted in eight schools.[¬e]""']",,8,"['Page 3:\n[¬s]""The main experiment was conducted in eight schools.[¬e]""']",,8,"['Page 3:\n[¬s]""The main experiment was conducted in eight schools.[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],NA,NA,,"Non-random, but matched","['Page 4:\n[¬s]""In each school control classes were chosen that were parallel in age and ability to the experimental classes, and who normally received the same science curriculum.[¬e]""']",Matched as far as possible with intact classes.,,Class,NA,NA,,['Prospective QED'],"['Page 4:\n[¬s]""These were chosen on the advice of science advisers from seven different areas of Englan""\n""In each school control classes were chosen that were parallel in age and ability to the experimental classes, and who normally received the same science curriculum.[¬e]""']",No randomization of subjects were applied. ,,Not applicable,NA,NA,
38224167,Adey (2002),2002,"Background.Cognitive Acceleration has shown evidence of long‐term far transfer with young adolescents. This paper reports a new application of the principle to 5‐ and 6‐year‐olds in a disadvantaged inner city area. Aims.To investigate the effect of a cognitive intervention programme on the cognitive development of children in Year 1 of primary schools. Sample.Approximately 300 children in 14 Year 1 classes in 10 schools for the experimental group and 170 children in 8 classes in 5 matched schools as controls. Method.Quasi‐experimental pre‐test post‐test with experimental and matched control groups. One of the pre‐ and post‐tests was intended to probe for transfer. Children in experimental classes experienced a set of 29 activities designed to promote cognitive conflict and encourage social construction and metacognition over one school year. Results.The experimental group overall made significantly greater gains in cognitive development over the period of the experiment than the controls, in both direct (effect size 0.47) and transfer (effect size 0.43) tests, although when genders were considered separately, experimental boys' greater gains than controls did not reach significance. There was no interaction with various social and linguistic variables. Conclusion.In the context of this study, a cognitive intervention programme can have a significant immediate effect on the rate of children's cognitive development. Further work will investigate the longevity of this effect.",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,"['UK (Select all that apply)', 'England']",,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['5', '6']",NA,NA,,10,"['Page 8:\n[¬s]""10[¬e]""']",,5,"['Page 8:\n[¬s]""5[¬e]""']",,15,NA,,NA,NA,NA,,14,"['Page 8:\n[¬s]""14[¬e]""']",,8,"['Page 8:\n[¬s]""8[¬e]""']",,22,NA,,NA,NA,NA,,['No'],NA,NA,,"Non-random, but matched","['Page 6:\n[¬s]"" this paper reports, used a quasi- experimental design with pre-tests of cognitive development administered near the start of the school year to all of the Year 1 children in 10 experimental (‘CA’ for Cognitive Acceleration) schools and five control schools.""\n""The intervention programme was implemented in 10 schools which between them had 14 Year 1 classes and teachers. These were all of those schools falling within an area of the London borough of Hammersmith and Fulham for which the Single Regeneration Budget funding was available.""\n""A control group of five schools, with eight Year 1 classes, was also selected from adjacent areas as being as similar as possible in social and demographic character to the CA schools.[¬e]""']",NA,,School - cluster,"['Page 8:\n[¬s]""Table 3. Experimental design[¬e]""']",NA,,['Prospective QED'],"['Page 1:\n[¬s]""Quasi-experimental pre-test post-test with experimental and matched control groups.[¬e]""']",NA,,NA,NA,NA,
38223978,Aleven (2002) 1_1,2002,"Recent studies have shown that self-explanation is an effective metacognitive strategy, but how can it be leveraged to improve students’ learning in actual classrooms? How do instructional treatments that emphasizes self-explanation affect students’ learning, as compared to other instructional treatments? We investigated whether self-explanation can be scaffolded effectively in a classroom environment using a Cognitive Tutor, which is intelligent instructional software that supports guided learning by doing. In two classroom experiments, we found that students who explained their steps during problem-solving practice with a Cognitive Tutor learned with greater understanding compared to students who did not explain steps. The explainers better explained their solutions steps and were more successful on transfer problems. We interpret these results as follows  By engaging in explanation, students acquired better-integrated visual and verbal declarative knowledge and acquired less shallow procedural knowledge. The research demonstrates that the benefits of self-explanation can be achieved in a relatively simple computer-based approach that scales well for classroom use.",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Secondary/High school'],NA,NA,,High ecological validity,NA,NA,,"['15', '16']",NA,NA,,1,"['Page 10:\n[¬s]""a suburban high school[¬e]""', 'Page 14:\n[¬s]""The experiment took place in the same suburban school as Experiment 1[¬e]""']",,1,"['Page 10:\n[¬s]"" a suburban high school [¬e]""', 'Page 14:\n[¬s]""The experiment took place in the same suburban school as Experiment 1[¬e]""']",,1,"['Page 10:\n[¬s]""a suburban high school[¬e]""', 'Page 14:\n[¬s]""The experiment took place in the same suburban school as Experiment 1[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['Yes (Please specify)'],NA,"1. Treatment group  Geometry Cognitive Tutor problem-solving with Self-Explanation   2. Control group  Geometry Cognitive Tutor problem-solving without Self-Explanation  Please note  A second experiment was conducted using the same cohort measuring an additional variable. For the purposes of the Toolkit, these two experiments were coded as separate studies. See details of Experiment 2 in duplicated Aleven (2002). ",,"Non-random, but matched","['Page 10:\n[¬s]""The students were assigned to the Explanation condition or the Problem-Solving condition on the basis of their prior scores in the same course, in such a way that the conditions were balanced.[¬e]""']",NA,,Individual,NA,NA,,['Individual RCT'],"['Page 14:\n[¬s]""Students were assigned to an Explanation condition and a Problem-Solving condition.[¬e]""']",NA,,No/Unclear,NA,NA,
40294883,Aleven (2002) 1_2,2002,"Recent studies have shown that self-explanation is an effective metacognitive strategy, but how can it be leveraged to improve students’ learning in actual classrooms? How do instructional treatments that emphasizes self-explanation affect students’ learning, as compared to other instructional treatments? We investigated whether self-explanation can be scaffolded effectively in a classroom environment using a Cognitive Tutor, which is intelligent instructional software that supports guided learning by doing. In two classroom experiments, we found that students who explained their steps during problem-solving practice with a Cognitive Tutor learned with greater understanding compared to students who did not explain steps. The explainers better explained their solutions steps and were more successful on transfer problems. We interpret these results as follows  By engaging in explanation, students acquired better-integrated visual and verbal declarative knowledge and acquired less shallow procedural knowledge. The research demonstrates that the benefits of self-explanation can be achieved in a relatively simple computer-based approach that scales well for classroom use.",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Secondary/High school'],NA,NA,,High ecological validity,NA,NA,,"['14', '15']",NA,NA,,1,"['Page 14:\n[¬s]""The experiment took place in the same suburban school[¬e]""']",,1,NA,,1,"['Page 14:\n[¬s]""The experiment took place in the same suburban school as Experiment 1[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Two periods of geometry class may refer to two classes,"['Page 14:\n[¬s]""The experiment took place in the same suburban school as Experiment 1 and involved 53\nstudents in two periods of a geometry course.[¬e]""']",,['Yes (Please specify)'],NA,Treatment group  Cognitive Tutor problem-solving with Self-Explanation (controlling for time on task)  Control group  Cognitive Tutor problem-solving (controlling for time on task),,"Non-random, but matched","['Page 14:\n[¬s]""we assigned the students in each period to a separate condition. This was done so that students in different conditions would not work in the computer lab at the same time.[¬e]""']",NA,,Class,NA,NA,,['Prospective QED'],"['Page 14:\n[¬s]""Students were assigned to an Explanation condition and a Problem-Solving condition.\nUnlike in Experiment 1, we assigned the students in each period to a separate condition.[¬e]""']",NA,,No/Unclear,NA,NA,
38224142,Alfassi (1998),1998,"The purpose of this study was to investigate the effects of strategy instruction on reading comprehension. The main objective of strategy instruction is to foster comprehension monitoring. The study examined whether reciprocal teaching methods (strategy instruction) were superior to traditional methods of remedial reading (skill acquisition) in large intact high school remedial classes. This setting was chosen because it is a more natural setting for the implementation of reciprocal teaching than settings used in previous studies. With a methodology similar to that used in the pioneering work of Palincsar and Brown (1984), 53 students in five intact reading classes who received strategy instruction were compared to 22 students in three control-group classes. The results indicated that in this challenging setting strategy instruction was superior to traditional reading methods in fostering reading comprehension as measured by experimenter-designed reading tests. Consistent with previous research, no differ...",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Secondary/High school'],NA,NA,,High ecological validity,NA,NA,,"['14', '15']",NA,NA,,2,"['Page 8:\n[¬s]"" two high schools[¬e]""']",,2,"['Page 8:\n[¬s]"" two high schools[¬e]""']",,2,"['Page 8:\n[¬s]"" two high schools[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],NA,NA,,Retrospective Quasi Experimental Design (QED),NA,NA,,Class,NA,NA,,['Prospective QED'],NA,NA,,Not applicable,NA,NA,
38223979,Allen (2008),2008,"This study models improving classroom reading instruction through valid assessment and individualized metacomprehension. Individualized cognitive profiles of Woodcock-Johnson III cognitive abilities correlated with reading comprehension were used during classroom independent reading for judgments of learning, feedback, self-reflection, and comprehension questions. This systematic metacognitive inquiry treatment was based on findings in cognition, metacomprehension, and effective reading instruction. The research was conducted with 196 intermediate elementary students in 10 classrooms. Each classroom had three experimental levels  cognitive assessment only (control group), cognitive assessment + profile awareness (profile awareness group), and cognitive assessment + profile awareness + metacognitive systematic inquiry (metacognitive systematic inquiry group). The treatment yielded significantly higher comprehension on a valid state standardized reading test, but not on an informal reading inventory.",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['9', '10', '11', '12']",NA,NA,,1,"['Page 3:\n[¬s]""an intermediate elementary school[¬e]""']",,1,"['Page 3:\n[¬s]""an intermediate elementary school [¬e]""']",,1,"['Page 3:\n[¬s]""an intermediate elementary school[¬e]""']",,NA,NA,NA,,10,"['Page 3:\n[¬s]"" Ten of these classes were selected[¬e]""']",,10,"['Page 3:\n[¬s]""Ten of these classes were selected[¬e]""']",,10,"['Page 3:\n[¬s]"" Ten of these classes were selected[¬e]""']",,NA,NA,NA,,['Yes (Please specify)'],"['Page 4:\n[¬s]""This research was arranged as a factorial design with three experimental levels: (1) cognitive assessment only (control group) versus (2) cognitive assessment+profile awareness (profile awareness group) versus (3) cognitive assessment+cognitive profile awareness + metacognitive systematic inquiry (metacognitive systematic inquiry group).[¬e]""']","3 groups, however as instructed by the coding team, the metacognitive systematic inquiry group will be coded as the treatment vs control.",,Random (please specify),"['Page 3:\n[¬s]""An approximately equal number of students in each literature block class were randomly assigned to each of the three experimental conditions. [¬e]""']",NA,,Individual,"['Page 3:\n[¬s]"" An approximately equal number of students in each literature block class were randomly assigned to each of the three experimental conditions.[¬e]""']",NA,,['Individual RCT'],"['Page 3:\n[¬s]""students in each literature block class were randomly assigned to each of the three experimental conditions.[¬e]""']",NA,,Yes,"['Page 3:\n[¬s]""There were 15 classrooms at the school, 5 in each grade level. Students from all 15 of these classrooms were routinely divided into literature block classes for 90 minutes a day to receive reading and writing instruction. Ten of these classes were selected (see Procedures section): four at the fourth a nd sixt h gr ade levels, and two a t t he fifth gra de level. Each class had approximately 19 students, for a total number of 196 subjects. An approximately equal number of students in each literature block class were randomly assigned to each of the three experimental conditions. Thus, each of the 10 classes had approximately 6 students in each of the 3 experimental groups.[¬e]""']",NA,
38224037,Allsopp (1997),1997,"This study examined the effectiveness of using classwide peer tutoring (CWPT) in heterogeneous middle school math classrooms to teach students in beginning algebra problem-solving skills. The literature on CWPT demonstrates its effectiveness with basic academic skills, but little research addresses whether CWPT can be effective for teaching higher order thinking skills. This study compared the effectiveness of CWPT with traditional independent student practice. Additionally, the performance of students at risk of math failure (students whose grade in math was a D or an F and/or who scored a stanine of 3 or lower in the math section on a standardized assessment) was compared with the performance of students not at risk of math failure. An analysis of the data indicates that both CWPT and independent student practice were effective strategies for helping students to learn beginning algebra problem-solving skills. Neither strategy was significantly more effective than the other. Students at risk of math fail...",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Middle school'],NA,NA,,High ecological validity,NA,NA,,"['12', '13', '14', '15']",NA,NA,,≤3,"['Page 4:\n[¬s]""three middle schools[¬e]""']",,≤3,"['Page 4:\n[¬s]""three middle schools[¬e]""']",,3,"['Page 4:\n[¬s]""three middle schools[¬e]""']",,NA,NA,NA,,7,"['Page 4:\n[¬s]""14 dif\xad\nferent general mathematics classes[¬e]""', 'Page 6:\n[¬s]""To assign the classes to treatment conditions, a\ncoin was flipped between each pair of successively ranked\nclasses (i.e., between C-l and C-2 and between C-3 and\nC.-4). On the basis of the coin flip, classes were assigned\neither CWPT or independent practice conditions.[¬e]""']",,7,"['Page 6:\n[¬s]""To assign the classes to treatment conditions, a\ncoin was flipped between each pair of successively ranked\nclasses (i.e., between C-l and C-2 and between C-3 and\nC.-4). On the basis of the coin flip, classes were assigned\neither CWPT or independent practice conditions.[¬e]""']",,14,"['Page 4:\n[¬s]""14 dif\xad\nferent general mathematics classes[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,"Non-random, but matched","['Page 5:\n[¬s]"" Students were paired based on their class rank, which was determined by their current class grade average. After ranking the students in their classes, the teachers divided the student list into quarters. The highest ranked student in the top quarter was matched with the highest ranked student in the second quarter. Likewise, the highest ranked student in the third quarter was ranked with the highest ranked student in the bottom quarter. This procedure was continued by rank order until all students were assigned a partner. Pairing students in this way provided the opportunity for students with differ\xad ent abilities to work together but controlled for vast ability differences between partners.[¬e]""']",NA,,Class,"['Page 6:\n[¬s]"" classes were randomly assigned to different treatments. Additionally, classes were stratified by teacher and by mean class achievement on the math portion of the CTBS. Teachers who participated in the study selected the general math classes that they believed 372 REMEDIAL AND SPEC,AL EDUCATION Volume 18. Number 6. NovemberZDecember 1997 would benefit most from the instruction. Classes for each teacher were rank ordered according to current class grade averages. To assign the classes to treatment conditions, a coin was flipped between each pair of successively ranked classes (i.e., between C-l and C-2 and between C-3 and C.-4). On the basis of the coin flip, classes were assigned either CWPT or independent practice conditions.[¬e]""']",NA,,['Individual RCT'],"['Page 6:\n[¬s]""Because students\nwere a part of intact math classes, randomized student\nsampling was not possible. Instead, classes were randomly\nassigned to different treatments. Additionally, classes were\nstratified by teacher and by mean class achievement on the\nmath portion of the CTBS.[¬e]""']",Does not account for clustering so coded as Individual RCT,,Yes,"['Page 6:\n[¬s]""Classes for each\nteacher were rank ordered according to current class grade\naverages. To assign the classes to treatment conditions, a\ncoin was flipped between each pair of successively ranked\nclasses (i.e., between C-l and C-2 and between C-3 and\nC.-4). On the basis of the coin flip, classes were assigned\neither CWPT or independent practice conditions. This\nrandom assignment helped ensure that the treatment groups\nwere comparable and that each teacher had classes from\neach treatment condition (Slavin, 1992).[¬e]""']",NA,
38224143,Alvermann (1988),1988,"This study investigated the effects of a graphic organizer that was designed to induce students to look back in their texts for information they had missed, misunderstood, or forgotten. Sixty-four tenth graders, whose self-perceived comprehension ratings matched their scores on a traditional reading achievement measure, were randomly assigned to one of two groups. Students in the graphic organizer group read a social studies passage and answered questions with the aid of the organizer. Students in the control group read the passage and answered the questions. Predictions suggested by the achievement-treatment-interaction hypothesis were confirmed. Lookback behavior induced by using a graphic organizer as a “road map” to guide students to the appropriate answers in the text differentiated between students who perceived themselves as low-ability comprehenders but not between students who perceived themselves as high-ability comprehenders.",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Secondary/High school'],NA,NA,,Low ecological validity,NA,NA,,"['15', '16']",NA,NA,,1,"['Page 3:\n[¬s]""a small city high school[¬e]""']",,1,"['Page 3:\n[¬s]"" a small city high school[¬e]""']",,1,"['Page 3:\n[¬s]""a small city high school [¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],NA,NA,,Random (please specify),"['Page 3:\n[¬s]"" subjects were randomly assigned to one of two treatment groups; the experimental (or i nduced lookbacks) and the control (or spontaneous lookbacks).[¬e]""']",NA,,Individual,"['Page 3:\n[¬s]""subjects were randomly assigned to one of two treatment groups; the experimental (or i nduced lookbacks) and the control (or spontaneous lookbacks).[¬e]""']",NA,,['Individual RCT'],"['Page 3:\n[¬s]""subjects were randomly assigned to either a familiar or an unfamiliar passage condition[¬e]""']",NA,,Yes,"['Page 3:\n[¬s]""From that pool of 119 subjects, 64 students (32 high and 32 low comprehenders) were selected on the criteria that their self-perceived proficiency ratings matched their ac\xad tual reading achievement. Next, blocking on self-per- ceived high- and low-ability comprehenders, subjects were randomly assigned to one of two treatment groups; the experimental (or i nduced lookbacks) and the control (or spontaneous lookbacks).[¬e]""']",NA,
38223819,Anderson (2001),2001,"A teaching programme is reported in which critical thinking skills (in the sense of reasoned justification of arguments  see Kuhn, 1991, 1993) were taught. The principal aims of the study were to develop, implement and evaluate a programme for teaching evidence-based justification to vocational education students in Further Education colleges. Teaching was via modelling and peer-based critiquing exercises in the context of the students' project work. Eighty-four Further Education college students underwent a 10-session teaching intervention which dovetailed with their Additional Assessment integrative project work. Students took part in peer-based exercises in which they learned to critique imaginary examples of project outlines and plans,followed by similar peer-based critiquing of each others' proposed projects. Analysis of the students' dialogues with each other indicated that they had learned the importance of justifying arguments, and content analysis of their written work indicated that they engaged in justification of their arguments to a significantly greater degree than control groups. Several key variables in the dialogues correlated positively with justification in the written work,suggesting that the dialogue had impacted on the written work. However, justification tended to be of a weak kind (using anecdotes or experience-based generalisations), and strong (i.e. formal research-based) evidence remained relatively infrequent and sometimes inappropriately used. A psychometric test of general critical thinking skills showed no evidence of transfer of learning.",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,"['UK (Select all that apply)', 'Scotland']",,['Further education/junior or community college'],NA,NA,,High ecological validity,NA,NA,,['No information provided'],NA,NA,,3,"['Page 5:\n[¬s]""The same three colleges that had participated in the observational phase were\nwilling to have the programme implemented.[¬e]""']",,2,"['Page 6:\n[¬s]""A control group of 35\nstudents, ofsimilar levels ofqualiﬁcation and gender balance and drawn from\ntwo other colleges, also participated[¬e]""']",,5,"['Page 5:\n[¬s]""The same three colleges that had participated in the observational phase were\nwilling to have the programme implemented.[¬e]""', 'Page 6:\n[¬s]""A control group of 35\nstudents, ofsimilar levels ofqualiﬁcation and gender balance and drawn from\ntwo other colleges,[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,,['No'],NA,NA,,"Non-random, not matched prior to treatment","['Page 5:\n[¬s]""During the academic year immediately prior to that in which our programme was to take place, observations and videotaped records were made in three Further Education colleges of normal classroom teaching of the Additional Assessment.""\n""The same three colleges that had participated in the observational phase were willing to have the programme implemented. Two of the colleges (A and B) were in Glasgow; the third (C) was in a large town about thirty miles from Glasgow.[¬e]""', 'Page 6:\n[¬s]""A%20control%20group%20of%2035%20students,%20of%20similar%20levels%20of%20quali%02cation%20and%20gender%20balance%20and%20drawn%20from%20two%20other%20colleges,%20also%20participated.%20These%20students%20were%20involved%20in%20the%20same%20type%20of%20study%20programme%20as%20the%20experimental%20group,%20and%20followed%20the%20normal%20Additional%20Assessment%20curriculum%20(without%20experiencing%20any%20critical%20thinking%20teaching%20intervention),%20and%20ultimately%20produced%20a%20project%20report%20that%20(like%20those%20produced%20by%20students%20in%20the%20experimental%20group)%20had%20to%20meet%20the%20standards%20set%20by%20the%20accrediting%20body.[¬e]""']",NA,,School - cluster,"['Page 5:\n[¬s]""The same three colleges that had participated in the observational phase were willing to have the programme implemented.[¬e]""']",A bit unclear,,['Prospective QED'],"['Page 5:\n[¬s]""During the academic year immediately prior to that in which our\nprogramme was to take place, observations and videotaped records were\nmade in three Further Education colleges ofnormal classroom teaching of the\nAdditional Assessment""\n""The same three colleges that had participated in the observational phase were\nwilling to have the programme implemented.[¬e]""', 'Page 6:\n[¬s]""A control group of 35\nstudents, ofsimilar levels ofqualiﬁcation and gender balance and drawn from\ntwo other colleges, also participated.[¬e]""']",NA,,Not applicable,NA,NA,
38223935,Andre (1978) 1_1,1978,"Describes two studies which attempted to determine whether or not generating good comprehension questions while studying prose material was an effective study technique. Students taught to ask main-idea questions generated better questions, and self-questioning during study appeared to be more effective for lower than for higher verbal ability students.",['Metacognition and self-regulation'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Secondary/High school'],NA,NA,,High ecological validity,NA,NA,,"['17', '18']",NA,NA,,1,"['Page 6:\n[¬s]""a rural high school[¬e]""']",,1,"['Page 6:\n[¬s]"" a rural high school[¬e]""']",,NA,"['Page 6:\n[¬s]""a rural high school[¬e]""']",,NA,NA,NA,,2,"['Page 8:\n[¬s]"" the subjects were organized into 2 classrooms[¬e]""']",,2,"['Page 8:\n[¬s]"" the subjects were organized into 2 classrooms[¬e]""']",,2,"['Page 8:\n[¬s]"" the subjects were organized into 2 classrooms[¬e]""']",,NA,NA,NA,,['Yes (Please specify)'],NA,1. Self-questioning treatment group 2. Read re-read control group ,,Random (please specify),"['Page 8:\n[¬s]""The experimenter was given a list containing all students’ names so that subjects could be randomly assigned to one of the 2 groups in advance[¬e]""']",NA,,School - multi-site,NA,NA,,['Individual RCT'],"['Page 8:\n[¬s]""subjects could be randomly assigned to one of the 2 groups in advance.)[¬e]""']",NA,,Yes,"['Page 8:\n[¬s]""the subjects were organized into 2 classrooms according to their assigned conditions. (The experimenter was given a list containing all students’ names so that subjects could be randomly assigned to one of the 2 groups in advance.)[¬e]""']",NA,
