id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
38224168,Adey (1990),1990,['Metacognition and self-regulation'],NA,['Yes'],NA,PRT Main Experiment,,"['Page 9:\n[¬s]""Experimental 190[¬e]""']",190,,"['Page 9:\n[¬s]""6.10[¬e]""']",6.10,,"['Page 9:\n[¬s]""0.8 1[¬e]""']",0.81,,"['Page 9:\n[¬s]""6.97[¬e]""']",6.97,,"['Page 9:\n[¬s]""1.17[¬e]""']",1.17,,"['Page 9:\n[¬s]"" 0.87[¬e]""']",0.87,,"['Page 9:\n[¬s]"" 1.03[¬e]""']",1.03,,NA,NA,,"['Page 9:\n[¬s]""Control 208[¬e]""']",208,,"['Page 9:\n[¬s]""6.08[¬e]""']",6.08,,"['Page 9:\n[¬s]""0.99[¬e]""']",0.99,,"['Page 9:\n[¬s]""6.75[¬e]""']",6.75,,"['Page 9:\n[¬s]""1.24[¬e]""']",1.24,,"['Page 9:\n[¬s]""0.66[¬e]""']",0.66,,"['Page 9:\n[¬s]"" 1.04[¬e]""']",1.04,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38224167,Adey (2002),2002,['Metacognition and self-regulation'],NA,['Yes'],NA,Description for the outcome 'Drawing',,"['Page 15:\n[¬s]""302[¬e]""']",302,,"['Page 15:\n[¬s]""7.53[¬e]""']",7.53,,"['Page 15:\n[¬s]""5.55[¬e]""']",5.55,,"['Page 15:\n[¬s]""13.93[¬e]""']",13.93,,"['Page 15:\n[¬s]""4.58[¬e]""']",4.58,,"['Page 15:\n[¬s]""6.40[¬e]""']",6.40,,"['Page 15:\n[¬s]"" 4.65[¬e]""']",4.65,,NA,NA,,NA,166,,"['Page 15:\n[¬s]"" 8.40[¬e]""']",8.40,,"['Page 15:\n[¬s]"" 5.62[¬e]""']",5.62,,"['Page 15:\n[¬s]""12.17[¬e]""']",12.17,,"['Page 15:\n[¬s]"" 5.50[¬e]""']",5.50,,"['Page 15:\n[¬s]""3.77[¬e]""']",3.77,,"['Page 15:\n[¬s]""5.28[¬e]""']",5.28,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38223978,Aleven (2002) 1_1,2002,['Metacognition and self-regulation'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40294883,Aleven (2002) 1_2,2002,['Metacognition and self-regulation'],NA,['Yes'],NA,NA,,NA,19,,NA,NA,,NA,NA,,NA,0.6,,NA,NA,,NA,NA,,NA,NA,,NA,Treatment Group standard error = 0.065,,NA,22,,NA,NA,,NA,NA,,NA,0.58,,NA,NA,,NA,NA,,NA,NA,,NA,Control Group Standard error= 0.055,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38224142,Alfassi (1998),1998,['Metacognition and self-regulation'],NA,['Yes'],NA,Gates-MacGinitie Reading Tests - Reading Achievement,,NA,53,,"['Page 12:\n[¬s]""34.83[¬e]""']",34.83,,"['Page 12:\n[¬s]""10.45[¬e]""']",10.45,,"['Page 12:\n[¬s]""42.29[¬e]""']",42.29,,"['Page 12:\n[¬s]""13.60[¬e]""']",13.60,,NA,NA,,NA,NA,,NA,NA,,NA,22,,"['Page 12:\n[¬s]""40.19[¬e]""']",40.19,,"['Page 12:\n[¬s]""14.23[¬e]""']",14.23,,"['Page 12:\n[¬s]""45.33[¬e]""']",45.33,,"['Page 12:\n[¬s]""(11.37)[¬e]""']",11.37,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38223979,Allen (2008),2008,['Metacognition and self-regulation'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38224037,Allsopp (1997),1997,['Metacognition and self-regulation'],NA,['Yes'],"['Page 8:\n[¬s]""table 2. Overall Achievement Means on Pretest, Posttest, and Maintenance Test[¬e]""']",NA,,"['Page 8:\n[¬s]""140[¬e]""']",140,,"['Page 8:\n[¬s]""7.91[¬e]""']",7.91,,NA,NA,,"['Page 8:\n[¬s]""17.34[¬e]""']",17.34,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 8:\n[¬s]""122[¬e]""']",122,,"['Page 8:\n[¬s]""8.44[¬e]""']",8.44,,NA,NA,,"['Page 8:\n[¬s]""17.06[¬e]""']",17.06,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38224143,Alvermann (1988),1988,['Metacognition and self-regulation'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38223819,Anderson (2001),2001,['Metacognition and self-regulation'],NA,['Yes'],NA,NA,,"['Page 17:\n[¬s]""(draft n\n= 35[¬e]""']",35,,NA,NA,,NA,NA,,"['Page 17:\n[¬s]""1.37[¬e]""']",1.37,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 17:\n[¬s]""(draft n = 24[¬e]""']",24,,NA,NA,,NA,NA,,"['Page 17:\n[¬s]""0.25[¬e]""']",0.25,,NA,NA,,NA,NA,,NA,NA,,"['Page 17:\n[¬s]""1.6[¬e]""']",t-value of difference of means = 1.6,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 9:\n[¬s]""the ﬁnal versions of the full Additional Assessment were\ngathered from College C when they were presented about six months after\nthe programme’s completion[¬e]""']",NA,
38223935,Andre (1978) 1_1,1978,['Metacognition and self-regulation'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40294884,Andre (1978) 1_2,1978,['Metacognition and self-regulation'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38224038,Ashman (1993),1993,['Metacognition and self-regulation'],NA,['Yes'],NA,NA,,"['Page 7:\n[¬s]""58[¬e]""']",58,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""89[¬e]""']",89,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38224144,Baumann (1984),1984,['Metacognition and self-regulation'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
