id,pub_author,pub_year,abstract,strand_raw,strand_info,strand_CLEAN,pub_eppi,pub_eppi_CLEAN,pub_type_raw,pubtype_ht,pubtype_info,pub_type_CLEAN,loc_country_raw,loc_country_CLEAN,int_setting_raw,int_setting_ht,int_setting_info,int_Setting_CLEAN,eco_valid_raw,eco_valid_ht,eco_valid_info,eco_valid_CLEAN,part_age_raw,part_age_ht,part_age_info,part_age_CLEAN,school_treat_info,school_treat_ht,school_treat_CLEAN,school_cont_info,school_cont_ht,school_cont_CLEAN,school_total_info,school_total_ht,school_total_CLEAN,school_na_raw,school_na_info,school_na_ht,school_na_CLEAN,class_treat_info,class_treat_ht,class_treat_CLEAN,class_cont_info,class_cont_ht,class_cont_CLEAN,class_total_info,class_total_ht,class_total_CLEAN,class_na_raw,class_na_info,class_na_ht,class_na_CLEAN,treat_group_raw,treat_group_ht,treat_group_info,treat_group_CLEAN,part_assig_raw,part_assig_ht,part_assig_info,part_assig_CLEAN,level_assig_raw,level_assig_ht,level_assig_info,level_assig_CLEAN,int_desig_raw,int_design_ht,int_design_info,int_design_CLEAN,rand_raw,rand_ht,rand_info,rand_CLEAN
38111324,Aarnoutse (1997),1997,"The goal of this study was to determine whether it is possible to teach children with serious decoding problems four text comprehension strategies in listening contexts. The subjects were 9-11 year old students from special schools for children with learning disabilities. All the students were very poor at decoding  half of the group were also poor listeners, whereas the other half consisted of normal listeners. The experimental children were trained in strategies of clarifying, questioning, summarising and predicting through a combination of reciprocal teaching and direct instruction. The results indicated significant programme effects on a strategic listening comprehension test. A transfer effect on general listening comprehension and general reading comprehension tests was not found. The poor listeners within the experimental group did not perform better than the normal listeners.",['Oral language interventions'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['The Netherlands'],,['Primary/elementary school'],NA,Special schools,,High ecological validity,NA,NA,,"['9', '10', '11']",NA,NA,,4,"['Page 8:\n[¬s]""In order to select experimental and control students, standardised decoding and general listening comprehension tests were administered to 131 9-11 year old students in four special schools for children with specific learning disabilities and pedagogical problems.""\n""A total of 47 students were selected and, per listening level, assigned to the experimental (w = 24) and control (w= 23) groups. The experimental group students consisted of 16 students, who were very poor at decoding and poor at listening comprehension and eight students with a very poor decoding perfor- mance and a normal listening comprehension performance.[¬e]""']",,4,"['Page 8:\n[¬s]""In order to select experimental and control students, standardised decoding and general listening comprehension tests were administered to 131 9-11 year old students in four special schools for children with specific learning disabilities and pedagogical problems""\n""A total of 47 students were selected and, per listening level, assigned to the experimental (w = 24) and control (w= 23) groups. The experimental group students consisted of 16 students, who were very poor at decoding and poor at listening comprehension and eight students with a very poor decoding perfor- mance and a normal listening comprehension performance.[¬e]""']",,4,"['Page 8:\n[¬s]""In order to select experimental and control students, standardised decoding and general listening comprehension tests were administered to 131 9-11 year old students in four special schools for children with specific learning disabilities and pedagogical problems.""\n""A total of 47 students were selected and, per listening level, assigned to the experimental (w = 24) and control (w= 23) groups. The experimental group students consisted of 16 students, who were very poor at decoding and poor at listening comprehension and eight students with a very poor decoding perfor- mance and a normal listening comprehension performance.[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],NA,NA,,"Non-random, but matched","['Page 7:\n[¬s]""On the basis of the scores on a standardised decoding and listening comprehen- sion test the students were selected and assigned to the experimental and control groups.[¬e]""', 'Page 8:\n[¬s]""Based on the scores of the two selection instruments five nearly equal (matched) groups could be composed of the experimental students[¬e]""']",NA,,Individual,NA,NA,,['Prospective QED'],"['Page 8:\n[¬s]""In order to select experimental and control students, standardised decoding and general listening comprehension tests were administered to 131 9-11 year old students in four special schools for children with specific learning disabilities and pedagogical problems. In The Netherlands this special school type contains many children with severe reading problems (Van den Bos, 1990) in combination with, on average, normal IQs. All schools were from similar socioeconomic districts and situated in urban areas. The selection criteria were low scores on a standardised decoding test and low or normal scores on a standardised listening comprehension test (these tests are described hereafter). A low decoding score was defined as less than \x971.5 SD for the appropriate age level. This score means a performance delay of at least 2 years compared to normal counterparts of the same age. A low listening score was defined as a score less than \x97 1 SD which means a delay of three- quarters of a year. A normal score was a score on the age-appropriate mean or above. A total of 47 students were selected and, per listening level, assigned to the experimental (w = 24) and control (w= 23) groups. The experimental group students consisted of 16 students, who were very poor at decoding and poor at listening comprehension and eight students with a very poor decoding perfor- mance and a normal listening comprehension performance. Based on the scores of the two selection instruments five nearly equal (matched) groups could be composed of the experimental students. Each group consisted of four or five experimental children and one or two teacher supporters. The teacher supporters functioned within the reciprocal teaching method as a model in a group; they were normal readers who, probably, would learn the four strategies faster than the other students. The control group consisted of 15 students who were every poor at decoding and poor at listening comprehension and eight students with a very poor decoding performance and a normal listening comprehension performance.[¬e]""']",NA,,No/Unclear,"['Page 8:\n[¬s]""Based on the scores of the two selection instruments five nearly equal (matched) groups could be composed of the experimental students. Each group consisted of four or five experimental children and one or two teacher supporters. The teacher supporters functioned within the reciprocal teaching method as a model in a group; they were normal readers who, probably, would learn the four strategies faster than the other students. The control group consisted of 15 students who were every poor at decoding and poor at listening comprehension and eight students with a very poor decoding performance and a normal listening comprehension performance.[¬e]""']",NA,
38111325,Aarnoutse (1998),1998,"In this study the effects of providing text strategy instruction in a listening mode on listening and reading comprehension of experimental and control groups of 9- to 11-year-old poor readers were examined. All students were very poor in decoding and poor in reading comprehension. In addition, half of the group were also poor listeners, whereas the other half consisted of students with normal listening test scores. The experimental program employed auditorily presented texts, and the students were trained in the strategies of clarifying, summarizing, predicting, and questioning. The program's teaching format consisted of a combination of reciprocal teaching and direct instruction. Measurements occurred according to a pretest-posttest-retention test design. The results indicated significant program effects on strategic listening and strategic reading posttests, and the results were maintained on retention tests that were administered 3 months after termination of the program. However, transfer in terms of an improved performance on more general and standardized listening and reading comprehension tests was not demonstrated. </p>",['Oral language interventions'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['The Netherlands'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,"However, the intervention was carried out by undergrad students from a university and were not staff at the school.",,"['9', '10', '11']",NA,NA,,6,"['Page 3:\n[¬s]""Six special schools for children with specific learning dis- abilities and pedagogical problems were selected.[¬e]""', 'Page 5:\n[¬s]""As noted, the experiment was designed according to a pretest-posttest-retention test, control group design. In order to run the experiment, the students were randomly assigned""\n""within each of the six schools and by listening level to exper- imental and control groups.[¬e]""']",,6,"['Page 5:\n[¬s]""As noted, the experiment was designed according to a pretest-posttest-retention test, control group design. In order to run the experiment, the students were randomly assigned""\n""within each of the six schools and by listening level to exper- imental and control groups.[¬e]""']",,6,"['Page 5:\n[¬s]""As noted, the experiment was designed according to a pretest-posttest-retention test, control group design. In order to run the experiment, the students were randomly assigned""\n""within each of the six schools and by listening level to exper- imental and control groups.[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],NA,NA,,Random (please specify),"['Page 3:\n[¬s]""Six special schools for children with specific learning dis- abilities and pedagogical problems were selected.""\n""In order to select subjects, standardized decoding and general reading and listening comprehension tests were administered to 169 students""\n""Selection criteria were very low scores on a standardized decoding test and low scores on a reading comprehension test.""\n"" The third selec- tion test was a standardized listening comprehension test. The poor readers were divided into two levels of listening perfor- mance, normal listeners and poor listeners.""\n""A total of 95 students (42 girls and 53 boys) was selectedÑ50 students with a poor listening comprehension score and 45 students with a nor- mal listening comprehension score.[¬e]""', 'Page 5:\n[¬s]"" students were randomly assigned""\n""within each of the six schools and by listening level to exper- imental and control groups. This yielded four groups:""\n""These groups did not dif- fer significantly on the variables age (the mean age of the total group was 10.2 years), gender, IQ (the IQ of the total group was normal), or years in special education (the mean of the total group was 2.7 years).[¬e]""']",NA,,School - multi-site,"['Page 5:\n[¬s]"" students were randomly assigned""\n""within each of the six schools and by listening level to exper- imental and control groups. [¬e]""']",NA,,['Individual RCT'],NA,NA,,No/Unclear,"['Page 5:\n[¬s]""As noted, the experiment was designed according to a pretest-posttest-retention test, control group design. In order to run the experiment, the students were randomly assigned""\n""within each of the six schools and by listening level to exper- imental and control groups. This yielded four groups: one experimental group with poor readers (very poor decoding and poor reading comprehension) and poor listening compre- hension (N = 25), one experimental group with poor readers and normal listening comprehension (N = 23), one control group with poor readers and poor listening comprehension (N = 25), and one control group with poor readers and normal listening comprehension (N = 22).[¬e]""']",NA,
38111424,Ahlfors (1979),1979,"In the present study the performance on measures of word knowledge and understanding of groups of sixth-grade students taught by three instructional approaches to vocabulary was compared with that of groups receiving no specific vocabulary instruction. Eighty students from an elementary school in a lower-middle class suburb of the Twin Cities served as subjects for the study. The students were taught in their intact reading groups where they had been placed according to reading ability by the classroom teachers.The sample for this study consisted of all the students in the four sixth-grade classes of an elementary school in the South Washington County School District. During a five-week period beginning in February of 1979, groups of sixth-grade students were given fifteen minutes of instruction per day, four days per week. Each of three experimental groups was taught ten words selected from the story for the week, while the control group read various other selections and answered questions about them. Intact reading groups from each of the four classes were randomly assigned to one of the following treatment groups  Definition Group, Context Group, Experience Group, or Control Group. Instruction was conducted by the investigator in small groups of five to ten students in a room located near the regular classrooms.",['Oral language interventions'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['12', '11']",NA,says sixth grade elementary school,,1,"['Page 53:\n[¬s]"" an elementary school[¬e]""']",,1,"['Page 53:\n[¬s]"" an elementary school[¬e]""']",,1,"['Page 53:\n[¬s]"" an elementary school[¬e]""']",,NA,NA,NA,,2,"['Page 54:\n[¬s]"" Teacher C Teacher D[¬e]""']",,3,"['Page 54:\n[¬s]""Teacher A""\n"" Teacher C Teacher D[¬e]""']",,3,"['Page 54:\n[¬s]""Teacher A""\n"" Teacher C Teacher D""\n"" Treatment 2 Control""\n"" Control Treatment 2[¬e]""']",,NA,NA,NA,,['No'],NA,three arms but only coding Context v Control,,Random (please specify),"['Page 54:\n[¬s]""The students had been randomly placed into their classes at the beginning of the school year according to school policy.""\n""The teachers for each of the four classes of sixth-grade students had assigned students to one of three ability groups (high, middle, and low) for reading instruction. This placement was based upon the students\' performance on the Iowa Test of Basic Skills, scores on the criterion-referenced test accompanying the basal series used in the school, and teacher judgment.""\n""These groups were left intact for instruction by the investigator and randomly assigned within ability levels to the treatments[¬e]""']",NA,,Class,"['Page 54:\n[¬s]"" These groups were left intact for instruction by the investigator and randomly assigned within ability levels to the treatments[¬e]""']",groups rather than whole class,,['Individual RCT'],"['Page 54:\n[¬s]"" The teachers for each of the four classes of sixth-grade students had assigned students to one of three ability groups (high, middle, and low) for reading instruction.""\n""These groups were left intact for instruction by the investigator and randomly assigned within ability levels to the treatments[¬e]""']",Note  Classes code assumes Treatment 2 refers to Context Group due to this description given second in study.,,Yes,"['Page 54:\n[¬s]"" The teachers for each of the four classes of sixth-grade students had assigned students to one of three ability groups (high, middle, and low) for reading instruction.""\n"" These groups were left intact for instruction by the investigator and randomly assigned within ability levels to the treatments[¬e]""']",NA,
47269765,Allinder (2001) OL,2001,"This study investigated attempts to improve the performance and progress of students with learning disabilities and reading difficulties. It focused on oral reading instruction and contrasted the effects of specific reading strategies with generic encouragement to do well. Results indicated that all students improved on a standardized norm-referenced test of comprehension, but students who used a specific oral reading strategy made significantly greater progress in reading, as measured by curriculum-based measurement maze procedures.",['Oral language interventions'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Middle school'],"['Page 2:\n[¬s]""middle school[¬e]""']",NA,,High ecological validity,NA,"The study required moderate unique or specialist resources and commitment from schools as it involved providing individualised specific oral reading techniques, consequently it required teaching skills that are readily available to school",,['12'],NA,NA,,1,NA,,1,NA,,1,"['Page 2:\n[¬s]""Participants in this study were 50 Grade 7 students enrolled\nin three remedial reading classes in a suburban middle school\nin a midwestern state.[¬e]""']",,NA,NA,NA,,3,NA,,3,NA,,3,"['Page 3:\n[¬s]""Class 1.\nwhich was co-taught by the first reading teacher and the\nspeech-language pathologist, had 12 students. 4 of whom\nwere identified as having mild disabilities. Class 2, co-taught\nby the same reading teacher and a paraeducator, had 19 stu\xad\ndents, 5 of whom had mild disabilities. Class 3, taught by the\nsecond reading teacher, had 21 students, 5 of whom had mild\ndisabilities.[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,Random (please specify),"['Page 3:\n[¬s]""Students were assigned randomly either to the fluency\nstrategy group (n = 33) or the no-strategy group (n = 16).\nBecause participating teachers felt strongly that the use of a\nspecific oral reading fluency strategy would be beneficial, a\nproportionately larger number of students was placed ran\xad\ndomly into that condition.[¬e]""']",NA,,Individual,NA,NA,,['Individual RCT'],"['Page 3:\n[¬s]""Students were assigned randomly either to the fluency\nstrategy group (n = 33) or the no-strategy group (n = 16).[¬e]""']",NA,,Yes,NA,NA,
38111471,Ammon (1971),1971,"Seventy-two children were divided equally into vocabulary training, sentence training, and control groups. Each child was tested before and after a 6-week training period with the Peabody Picture Vocabulary Test (PPVT), a Sentence Imitation Test (SIT), and a Picture Interview (PI). Vocabulary training involved practice in recognizing and applying words from the PPVT and the PI. Sentence training consisted of imitating sentences similar to those in the SIT and constructing new instances of the same sentence types. Analyses of variance showed that vocabulary training had a positive effect on recognition and production of the words taught (p < .025), but did not transfer to sentence imitation. There were no significant effects of sentence training. Vocabulary seems more amenable to early training with disadvantaged children.",['Oral language interventions'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,"['Page 2:\n[¬s]"" training session outside of the regular classroom.[¬e]""', 'Page 3:\n[¬s]""The experimenters in each phase of the study were three white, college-educated women who had no connection with the regular preschool program[¬e]""']","Overall I would consider this study to have high EV in that the intervention was conducted in the school setting during school hours, however, see highlighted material for evidence of low ecological validity (pupils did not know the researchers and were taken out of their regular classes).",,"['4', '5']",NA,NA,,NA,NA,,NA,NA,,3,"['Page 2:\n[¬s]""three elementary schools[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,7,"['Page 2:\n[¬s]""seven prekiudergarten classes[¬e]""']",,NA,NA,NA,,['Yes (Please specify)'],"['Page 2:\n[¬s]""vocabulary training, sentence training, and control[¬e]""']",3 arms but I am focussing on only 2 ('3 arms  Please code vocabulary training group as treatment group and control as the comparison (for oral language). Omit sentence training group .'),,Random (please specify),"['Page 2:\n[¬s]""A pretest battery of language instruments was administered individually to each subject. The children were then divided equally into three treatment groups: vocabulary training, sentence training, and control.[¬e]""', 'Page 3:\n[¬s]""there was random assignment of subjects to testers and to treatment groups[¬e]""']",NA,,Individual,"['Page 2:\n[¬s]"" drawn from seven prekiudergarten classes at three elementary schools""\n""The children were then divided equally into three treatment groups: vocabulary training, sentence training, and control.[¬e]""']",NA,,['Individual RCT'],"['Page 3:\n[¬s]""there was random assignment of subjects to testers and to treatment groups[¬e]""']",NA,,Yes,"['Page 3:\n[¬s]"" there was random assignment of subjects to testers and to treatment groups.[¬e]""']",NA,
38111425,Anders (1984),1984,"A study investigated whether semantic feature analysis (SFA) significantly improves the content related vocabulary knowledge and reading comprehension of adolescent, learning disabled readers. SFA is a set of vocabulary development activities designed to help students categorize vocabulary words and compare related ideas. Subjects, 62 learning disabled high school students, were divided into an experimental and a control group and assessed for prior knowledge of a social studies textbook passage. In the SFA activity, the experimental students completed a relationship chart listing the passage's major concepts and related vocabulary, then rated the relationship of each vocabulary word to each major concept. The control group looked up 10 of the passage's ""difficult""vocabulary words in the dictionary, writing down the definition and an appropriate sentence. The results of the ANCOVA for the total score on the comprehension tests given after the study sessions indicated that the SFA group scored significantly higher than the vocabulary ""look-up"" group. The results suggest that when directed toward structured discussion of the major concepts within the content area, ""passive"" learning disabled students participate actively in their learning.",['Oral language interventions'],NA,,Conference Proceedings,,['Conference paper'],NA,NA,,['USA'],,['Secondary/High school'],NA,NA,,High ecological validity,NA,NA,,"['14', '15', '16', '17', '18']",NA,NA,,1,"['Page 4:\n[¬s]""a large metropolitan high school[¬e]""']",,1,"['Page 4:\n[¬s]""a large metropolitan high school [¬e]""']",,1,"['Page 4:\n[¬s]"" a large metropolitan high school [¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,,['No'],NA,NA,,Random (please specify),"['Page 4:\n[¬s]"" randomly as\xad signed to the treatment or control conditions.[¬e]""']",NA,,Class,"['Page 4:\n[¬s]""Intact special education classes of these subjects were randomly as\xad signed to the treatment or control conditions[¬e]""']",NA,,['Multisite RCT'],"['Page 4:\n[¬s]""Sixty-two learning disabled high school students attending a large metropolitan high school served as subjects.""\n""Intact special education classes of these subjects were randomly as\xad signed to the treatment or control conditions.[¬e]""']",NA,,Yes,"['Page 4:\n[¬s]""Intact special education classes of these subjects were randomly as\xad signed to the treatment or control conditions.[¬e]""']",NA,
38111637,Aram (2004) OL,2004,"This study compared two interventions  one focusing on language and storybook reading and the other on alphabetic skills and writing. Seventy-one preschoolers aged 3-5 from a low SES township in central Israel (35 in the reading program and 36 in the writing program) participated in evaluation of the interventions. Twenty-four untreated preschoolers served as a control group. The children were tested twice, at the beginning and at the end of the school year, in  phonological awareness, word writing, letter knowledge, orthographic awareness, listening comprehension, receptive vocabulary, and general knowledge. Both programs involved games and creative activities. The writing program encouraged letter knowledge, phonological awareness, and functional writing activities. The reading program utilized 11 children's books for focusing on language and exploring major concepts raised by these books. Results indicated that children in the two literacy programs progressed significantly more than the control group on phonological awareness and orthographic awareness. However, the joint writing group significantly outperformed both the joint reading group and the control group on phonological awareness, word writing, orthographic awareness, and letter knowledge. We also found that children as young as 3-4 years gained from literacy programs as much as did older children, aged 4-5, on all the measures assessed in our program.",['Oral language interventions'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['Israel'],,['Nursery school/pre-school'],NA,NA,,High ecological validity,NA,NA,,"['3', '4', '5']",NA,NA,,4,"['Page 5:\n[¬s]""Four preschools participated in an intervention program[¬e]""']",,2,"['Page 5:\n[¬s]"" two preschools served as a control group[¬e]""']",,6,"['Page 5:\n[¬s]""We randomly selected six preschools to participate in the present study,[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['Yes (Please specify)'],NA,"Technically yes but, in line with initial instruction, 'language and storybook reading' will be coded as treatment condition. The alphabetic skills and writing programme will not be the focus of this coding.",,Random (please specify),"['Page 5:\n[¬s]""We randomly selected six preschools to participate in the present study, out of the total of nine preschools in Jaffa[¬e]""']",No additional details other than what is highlighted,,Class,NA,NA,,['Retrospective QED  '],NA,Random selection but not random assignment,,Not applicable,NA,NA,
38111536,Aram (2006),2006,"The study examined the differential contributions on vocabulary and alphabetic skills of three literacy programs  (a) storybook reading program (b) alphabetic skills program and (c) a combined program. It was expected that storybook reading would enhance primarily vocabulary while alphabetic skills training would promote primarily alphabetic skills. Program by age interactions were examined in two age groups (3–4 and 4–5 years old) to test whether the storybook reading program may be more productive for the younger children whereas alphabetic skills program more productive for the older children. Twelve low-SES preschools participated in the study, three in each program and three as a comparison group. Results indicated that the children in the three intervention programs progressed significantly more than the comparison group on name writing, letter knowledge and phonological awareness . Further, the alphabetic skills program outperformed the other groups on word writing, letter knowledge and initial letter retrieval , whereas the storybook reading program outperformed only the comparison group. Results on the combined program were mixed – enhancing more initial letter retrieval and book vocabulary than storybook reading program. In general, no differences emerged in the progress of younger versus older children except on receptive vocabulary – the younger surpassing the older in all programs.",['Oral language interventions'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['Israel'],,['Nursery school/pre-school'],NA,NA,,High ecological validity,NA,NA,,"['3', '4', '5']",NA,NA,,3,"['Page 1:\n[¬s]""three in each program[¬e]""']",,3,"['Page 1:\n[¬s]""three in each program[¬e]""']",,6,"['Page 1:\n[¬s]""three in each program[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,,['Yes (Please specify)'],"['Page 1:\n[¬s]"" three literacy programs: (a) storybook reading program; (b) alphabetic skills program; and (c) a combined program[¬e]""']","Yes, but comments for this paper specified to focus on one treatement 'storybook telling' as treatment, and 'alphabetical skills' as control ",,Random (please specify),"['Page 6:\n[¬s]"" Hence, this study used a quasi- experimental design. This design suits the naturally occurring assignment of children into diﬀerent local preschool classes with their regular teachers, where it would be impractical and unethical to randomly allo- cate participants to groups""\n"" Three preschools were randomly assigned to participate in each of the three intervention[¬e]""']",States that study used quasi design but then later explains that schools were randomly allocated. ,,School - cluster,NA,NA,,"['Cluster RCT', 'Prospective QED']","['Page 6:\n[¬s]""preschools were randomly assigned to participate in each of the""\n""intervention[¬e]""', 'Page 7:\n[¬s]""programs (the storybook reading program, the alphabetic skills pro- gram[¬e]""', 'Page 6:\n[¬s]"" this study used a quasi- experimental design[¬e]""']",NA,,Yes,"['Page 6:\n[¬s]""preschools were randomly assigned to participate in each of the""\n""intervention[¬e]""', 'Page 7:\n[¬s]""programs (the storybook reading program, the alphabetic skills pro- gram,[¬e]""']",NA,
38111426,Armstrong (2000),2000,"As national standards in scientific literacy were established by the American Association for the Advancement of Science (1993), standardized evaluations revealed that students were experiencing difficulty integrating literacy skills with the reading and writing of content area material (Casteel & Isom, 1994). Further, science teachers are not typically trained to instruct vocabulary development in the content area. Therefore, the purpose of this study was to investigate effects of professional development of an experienced teacher, in an area of vocabulary development in a critical content area. The science teacher received 10 hours of training in specific vocabulary strategies. This training was followed by classroom observations of the science teacher to determine if new strategies for vocabulary instruction were integrated effectively in her content instruction. This study examined the possible impact of instructional modifications on student learning. Examination of the effect on students learning was analyzed by establishing a control and comparison group. The control group received the usual instruction in science and vocabulary a second Vocabulary Enhanced group received normal science instruction that integrated specialized reading vocabulary skills with science terminology. All subjects (46 sixth graders) took a science unit test before and after the 10 weeks of instruction. An analysis of covariance was utilized to compare posttest achievement scores on the science unit test, using the science pretest scores and reading achievement scores as covariates. The results suggest that the vocabulary enhanced method resulted in these students performing better on the science posttest. Interviews were conducted with the science teacher and selected students and responses were analyzed. This analysis resulted in favorable responses by teacher and students.",['Oral language interventions'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],,['Middle school'],NA,NA,,High ecological validity,NA,NA,,"['11', '12']",NA,NA,,1,"['Page 41:\n[¬s]""Two sixth grade science classes (totaling 46 students) at the middle school, taught by the same science teacher, were included in the study.[¬e]""']",,1,"['Page 41:\n[¬s]""Two sixth grade science classes (totaling 46 students) at the middle school, taught by the same science teacher, were included in the study[¬e]""']",,1,"['Page 41:\n[¬s]""Two sixth grade science classes (totaling 46 students) at the middle school, taught by the same science teacher, were included in the study.[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,2,"['Page 41:\n[¬s]""Two sixth grade science classes (totaling 46 students) at the middle school, taught by the same science teacher, were included in the study.[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,Random (please specify),"['Page 17:\n[¬s]"" two classrooms were randomly selected from a group o f six science classes but the members o f each classroom were assigned to the class by classroom teachers based on reading scores on a standardized reading test[¬e]""', 'Page 40:\n[¬s]""vocabulary instruction""\n""vocabulary enhanced)[¬e]""', 'Page 41:\n[¬s]"" Each class, o f her six classes, was assigned a number, and a random number chart (Shavelson, 1996) was used to determine which classes would be included in the study[¬e]""', 'Page 42:\n[¬s]""The treatment group was determined by a toss o f a coin.[¬e]""']",NA,,Class,"['Page 17:\n[¬s]""The two classrooms were randomly selected from a group o f six science classes[¬e]""']",NA,,['Cluster RCT'],"['Page 41:\n[¬s]"" Each class, o f her six classes, was assigned a number, and a random number chart (Shavelson, 1996) was used to determine which classes would be included in the study.[¬e]""', 'Page 42:\n[¬s]"" The treatment group was determined by a toss o f a coin.[¬e]""']",NA,,NA,NA,NA,
39717230,Baker (2000),2000,"The purpose of the current study was to evaluate the effects on reading achievement of a low-cost, widely implemented volunteer reading program that has been expanding rapidly throughout the state of Oregon. Eighty-four beginning first grade students at risk of reading difficulties were randomly assigned to experimental and comparison groups. Adult volunteers tutored students in the experimental group in 30-minute sessions two times per week in first and second grade. At the end of grades 1 and 2, students were administered a number of standardized reading measures, including measures of individual word reading, reading comprehension, word comprehension, and reading fluency. Analyses revealed that students in the experimental group made greater growth on a word identification measure than students in the comparison condition  they also made more growth than a group of average-achieving students who were from the same classrooms as the students in the experimental and comparison groups. Students in the experimental group also scored higher than students in the comparison condition on measures of reading fluency and word comprehension at the end of second grade. Differences were not statistically significant on passage comprehension. Findings are discussed in the context of the reading achievement effects that other adult volunteer reading programs have attained. We suggest that in establishing adult volunteer reading programs it is important to consider how to balance the intensity of training reading volunteers to achieve measurable impact on reading achievement with real world realities of the volunteer tutoring experience and goals for the extensiveness of implementation.","['One to one tuition', 'Oral language interventions']",NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['6', '7', '8']",NA,NA,,6,"['Page 8:\n[¬s]"". In fall of the first evaluation year, all first-grade classrooms (24 total) in six schools across four school districts provided children for the stud[¬e]""']",,6,"['Page 8:\n[¬s]"". In fall of the first evaluation year, all first-grade classrooms (24 total) in six schools across four school districts provided children for the stud[¬e]""']",,6,"['Page 8:\n[¬s]"" all first-grade classrooms (24 total) in six schools across four school districts provided children for the stud[¬e]""']",,NA,NA,NA,,24,NA,,24,NA,,24,"['Page 8:\n[¬s]"". In fall of the first evaluation year, all first-grade classrooms (24 total) in six schools across four school districts provided children for the stud[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,Random (please specify),"['Page 8:\n[¬s]""We used an experimental design with random as- signment of eligible students within each classroom to ei- ther a SMART or comparison grou""\n""Pairs of students in each classroom were matched on a salient pretest variable, Rapid Letter Naming (Kaminski & Good, 1996), and randomly assigned to treatment and comparison group[¬e]""']",NA,,Individual,"['Page 8:\n[¬s]""We used an experimental design with random as- signment of eligible students within each classroom to ei- ther a SMART or comparison gro[¬e]""']",NA,,['Individual RCT'],"['Page 8:\n[¬s]""We used an experimental design with random as- signment of eligible students within each classroom to ei- ther a SMART or comparison grou[¬e]""']",NA,,Yes,"['Page 8:\n[¬s]"" Pairs of students in each classroom were matched on a salient pretest variable, Rapid Letter Naming (Kaminski & Good, 1996), and randomly assigned to treatment and comparison group[¬e]""']",NA,
