id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
38111324,Aarnoutse (1997),1997,['Oral language interventions'],NA,['Yes'],"['Page 11:\n[¬s]""TABLE III. Means and standard deviations of the tests in the experimental and control group in the pre-test and post-test periods Test Strategic Listening Test Mean SD Listening Comprehension Test Mean SD Read and Comprehend Mean SD Experimental group Poor listening level Pre-test Post-test 9.0 13.8 3.4 1.8 15.3 21.6 4.0 4.3 13.7 20.5 5.3 6.1 Normal listening level Pre-test Post-test 12.0 16.1 3.3 1.0 25.1 26.3 2.1 2.9 19.5 23.5 8.0 7.9 Control Poor listening level Pre-test Post-test 10.3 3.3 16.3 3.4 15.1 8.5 9.3 1.9 20.7 3.7 19.5 5.6 group Normal listening level Pre-test Post-test 15.9 1.5 27.9 2.2 26.9 2.6 12.3 3.2 28.3 1.5 28.3 1.8[¬e]""']",NA,,"['Page 11:\n[¬s]""TABLE II. Means and standard deviations on the selection tests for groups and listening level Experimental group Control group Test One Minute Test Mean SD Listening Comprehension Test Mean SD Poor listening level (« = 16) 20.2 5.3 15.3 4.0 Normal listening level (« = 8) 23.0 6.3 25.1 2.1 Poor Normal listening level listening level (B = 15) (n = 8) 21.0 4.4 16.3 3.4 24.4 2.9 27.9 2.2[¬e]""']",24,,NA,15.63,,NA,SDs available across group to possibly use,,NA,21.5,,NA,SDs available across group to possibly use,,NA,NA,,NA,NA,,NA,NA,,"['Page 11:\n[¬s]""TABLE II. Means and standard deviations on the selection tests for groups and listening level Experimental group Control group Test One Minute Test Mean SD Listening Comprehension Test Mean SD Poor listening level (« = 16) 20.2 5.3 15.3 4.0 Normal listening level (« = 8) 23.0 6.3 25.1 2.1 Poor Normal listening level listening level (B = 15) (n = 8) 21.0 4.4 16.3 3.4 24.4 2.9 27.9 2.2[¬e]""']",23,,"['Page 11:\n[¬s]""TABLE III. Means and standard deviations of the tests in the experimental and control group in the pre-test and post-test periods Test Strategic Listening Test Mean SD Listening Comprehension Test Mean SD Read and Comprehend Mean SD Experimental group Poor listening level Pre-test Post-test 9.0 13.8 3.4 1.8 15.3 21.6 4.0 4.3 13.7 20.5 5.3 6.1 Normal listening level Pre-test Post-test 12.0 16.1 3.3 1.0 25.1 26.3 2.1 2.9 19.5 23.5 8.0 7.9 Control Poor listening level Pre-test Post-test 10.3 3.3 16.3 3.4 15.1 8.5 9.3 1.9 20.7 3.7 19.5 5.6 group Normal listening level Pre-test Post-test 15.9 1.5 27.9 2.2 26.9 2.6 12.3 3.2 28.3 1.5 28.3 1.8[¬e]""']",NA,,NA,SDs available across group to possibly use,,"['Page 11:\n[¬s]""TABLE III. Means and standard deviations of the tests in the experimental and control group in the pre-test and post-test periods Test Strategic Listening Test Mean SD Listening Comprehension Test Mean SD Read and Comprehend Mean SD Experimental group Poor listening level Pre-test Post-test 9.0 13.8 3.4 1.8 15.3 21.6 4.0 4.3 13.7 20.5 5.3 6.1 Normal listening level Pre-test Post-test 12.0 16.1 3.3 1.0 25.1 26.3 2.1 2.9 19.5 23.5 8.0 7.9 Control Poor listening level Pre-test Post-test 10.3 3.3 16.3 3.4 15.1 8.5 9.3 1.9 20.7 3.7 19.5 5.6 group Normal listening level Pre-test Post-test 15.9 1.5 27.9 2.2 26.9 2.6 12.3 3.2 28.3 1.5 28.3 1.8[¬e]""']",22.56,,NA,SDs available across group to possibly use,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38111325,Aarnoutse (1998),1998,['Oral language interventions'],NA,['Yes'],"['Page 7:\n[¬s]""TABLE 3. Means and Standard Deviations on the Selection Tests for Groups and Listening Level Test Group Experimental Control Poor listening comprehension (È = 25) Normal listening comprehension (if = 23) Poor listening comprehension (II = 25) M SD M SD M SD Normal listening comprehension (if = 22) M SD One-Minute Test Reading Comprehension Test Listening Comprehension Test 23.32 8. 46 17.42 6. 37 17.40 3. 59 27.30 7. 19 25.57 6. 54 27.26 1. 74 23.08 9. 39 16.68 6. 44 17.24 3. 27 27.27 7. 62 24.05 6. 42 27.36 2. 04""\n""TABLE 4. Means and Standard Deviations on Tests in the Experimental and Control Groups at Pretest, Posttest, and Retention Phases for Poor Listeners Experimental group Control group Pre Post Test M SD M SD Retent. M SD Pre Post M SD M SD Retent. M SD Strategic Listening Test Strategic Reading Test Reading Comprehension Test Listening Comprehension Test M5-1 Listening Comprehension Test M5-2 Listening Comprehension Test M5-3 12.60 3.95 17.42 6. 37 17.40 3. 95 16.84 3.70 13.08 5.26 18.64 6. 07 Ñ 18.44 3.92 16.64 4.49 11. 44 3.43 13.32 4.38 Ñ Ñ Ñ 16. 68 6.44 Ñ Ñ 17. 24 3.27 14.12 3.94 10.68 4. 11 17.84 4.57 Ñ Ñ Ñ 7. 68 2.46 14.56 4. 22 10.84 3.89 18.08 6.36 Ñ Ñ 6.40 2. 84[¬e]""']",NA,,"['Page 7:\n[¬s]""TABLE 3. Means and Standard Deviations on the Selection Tests for Groups and Listening Level Test Group Experimental Control Poor listening comprehension (È = 25) Normal listening comprehension (if = 23) Poor listening comprehension (II = 25) M SD M SD M SD Normal listening comprehension (if = 22) M SD One-Minute Test Reading Comprehension Test Listening Comprehension Test 23.32 8. 46 17.42 6. 37 17.40 3. 59 27.30 7. 19 25.57 6. 54 27.26 1. 74 23.08 9. 39 16.68 6. 44 17.24 3. 27 27.27 7. 62 24.05 6. 42 27.36 2. 04[¬e]""']",48 (combined),,"['Page 7:\n[¬s]""TABLE 3. Means and Standard Deviations on the Selection Tests for Groups and Listening Level Test Group Experimental Control Poor listening comprehension (È = 25) Normal listening comprehension (if = 23) Poor listening comprehension (II = 25) M SD M SD M SD Normal listening comprehension (if = 22) M SD One-Minute Test Reading Comprehension Test Listening Comprehension Test 23.32 8. 46 17.42 6. 37 17.40 3. 59 27.30 7. 19 25.57 6. 54 27.26 1. 74 23.08 9. 39 16.68 6. 44 17.24 3. 27 27.27 7. 62 24.05 6. 42 27.36 2. 04""\n""TABLE 4. Means and Standard Deviations on Tests in the Experimental and Control Groups at Pretest, Posttest, and Retention Phases for Poor Listeners Experimental group Control group Pre Post Test M SD M SD Retent. M SD Pre Post M SD M SD Retent. M SD Strategic Listening Test Strategic Reading Test Reading Comprehension Test Listening Comprehension Test M5-1 Listening Comprehension Test M5-2 Listening Comprehension Test M5-3 12.60 3.95 17.42 6. 37 17.40 3. 95 16.84 3.70 13.08 5.26 18.64 6. 07 Ñ 18.44 3.92 16.64 4.49 11. 44 3.43 13.32 4.38 Ñ Ñ Ñ 16. 68 6.44 Ñ Ñ 17. 24 3.27 14.12 3.94 10.68 4. 11 17.84 4.57 Ñ Ñ Ñ 7. 68 2.46 14.56 4. 22 10.84 3.89 18.08 6.36 Ñ Ñ 6.40 2. 84[¬e]""', 'Page 8:\n[¬s]""TABLE 5. Means and Standard Deviations on Tests in the Experimental and Control Groups at Pretest, Posttest, and Retention Phases for Normal Listeners Test Experimental group Control group Pre Post Retent. Pre Post M SD M SD M SD M SD M SD Retent. M SD Strategic Listening Test Strategic Reading Test Reading Comprehension Test Listening Comprehension Test M5-1 Listening Comprehension Test M5-2 Listening Comprehension Test M5-3 17.87 3.35 20.09 3.41 Ñ Ñ 19. 74 6.44 25.57 6.54 25.39 6.01 27.26 1. 74 Ñ Ñ _ _ 24. 48 2.76 19.91 2.79 18. 18 2.79 19.94 5.40 Ñ Ñ Ñ Ñ 24. 05 6.42 Ñ Ñ 27. 36 2.04 Ñ Ñ Ñ Ñ Ñ 22. 50 10.52 1. 90 Ñ Ñ Ñ 18.09 3.85 17.18 6.04 26.86 5.69 3.22 18.70 3.31 16.55 7.73 Ñ 9. 70 2.36[¬e]""']",21.33,,NA,SDs available,,"['Page 7:\n[¬s]""TABLE 3. Means and Standard Deviations on the Selection Tests for Groups and Listening Level Test Group Experimental Control Poor listening comprehension (È = 25) Normal listening comprehension (if = 23) Poor listening comprehension (II = 25) M SD M SD M SD Normal listening comprehension (if = 22) M SD One-Minute Test Reading Comprehension Test Listening Comprehension Test 23.32 8. 46 17.42 6. 37 17.40 3. 59 27.30 7. 19 25.57 6. 54 27.26 1. 74 23.08 9. 39 16.68 6. 44 17.24 3. 27 27.27 7. 62 24.05 6. 42 27.36 2. 04""\n""TABLE 4. Means and Standard Deviations on Tests in the Experimental and Control Groups at Pretest, Posttest, and Retention Phases for Poor Listeners Experimental group Control group Pre Post Test M SD M SD Retent. M SD Pre Post M SD M SD Retent. M SD Strategic Listening Test Strategic Reading Test Reading Comprehension Test Listening Comprehension Test M5-1 Listening Comprehension Test M5-2 Listening Comprehension Test M5-3 12.60 3.95 17.42 6. 37 17.40 3. 95 16.84 3.70 13.08 5.26 18.64 6. 07 Ñ 18.44 3.92 16.64 4.49 11. 44 3.43 13.32 4.38 Ñ Ñ Ñ 16. 68 6.44 Ñ Ñ 17. 24 3.27 14.12 3.94 10.68 4. 11 17.84 4.57 Ñ Ñ Ñ 7. 68 2.46 14.56 4. 22 10.84 3.89 18.08 6.36 Ñ Ñ 6.40 2. 84[¬e]""', 'Page 8:\n[¬s]""TABLE 5. Means and Standard Deviations on Tests in the Experimental and Control Groups at Pretest, Posttest, and Retention Phases for Normal Listeners Test Experimental group Control group Pre Post Retent. Pre Post M SD M SD M SD M SD M SD Retent. M SD Strategic Listening Test Strategic Reading Test Reading Comprehension Test Listening Comprehension Test M5-1 Listening Comprehension Test M5-2 Listening Comprehension Test M5-3 17.87 3.35 20.09 3.41 Ñ Ñ 19. 74 6.44 25.57 6.54 25.39 6.01 27.26 1. 74 Ñ Ñ _ _ 24. 48 2.76 19.91 2.79 18. 18 2.79 19.94 5.40 Ñ Ñ Ñ Ñ 24. 05 6.42 Ñ Ñ 27. 36 2.04 Ñ Ñ Ñ Ñ Ñ 22. 50 10.52 1. 90 Ñ Ñ Ñ 18.09 3.85 17.18 6.04 26.86 5.69 3.22 18.70 3.31 16.55 7.73 Ñ 9. 70 2.36[¬e]""']",21.87,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""TABLE 3. Means and Standard Deviations on the Selection Tests for Groups and Listening Level Test Group Experimental Control Poor listening comprehension (È = 25) Normal listening comprehension (if = 23) Poor listening comprehension (II = 25) M SD M SD M SD Normal listening comprehension (if = 22) M SD One-Minute Test Reading Comprehension Test Listening Comprehension Test 23.32 8. 46 17.42 6. 37 17.40 3. 59 27.30 7. 19 25.57 6. 54 27.26 1. 74 23.08 9. 39 16.68 6. 44 17.24 3. 27 27.27 7. 62 24.05 6. 42 27.36 2. 04[¬e]""']",47,,"['Page 7:\n[¬s]""TABLE 3. Means and Standard Deviations on the Selection Tests for Groups and Listening Level Test Group Experimental Control Poor listening comprehension (È = 25) Normal listening comprehension (if = 23) Poor listening comprehension (II = 25) M SD M SD M SD Normal listening comprehension (if = 22) M SD One-Minute Test Reading Comprehension Test Listening Comprehension Test 23.32 8. 46 17.42 6. 37 17.40 3. 59 27.30 7. 19 25.57 6. 54 27.26 1. 74 23.08 9. 39 16.68 6. 44 17.24 3. 27 27.27 7. 62 24.05 6. 42 27.36 2. 04[¬e]""']",20.13,,NA,NA,,"['Page 7:\n[¬s]""TABLE 4. Means and Standard Deviations on Tests in the Experimental and Control Groups at Pretest, Posttest, and Retention Phases for Poor Listeners Experimental group Control group Pre Post Test M SD M SD Retent. M SD Pre Post M SD M SD Retent. M SD Strategic Listening Test Strategic Reading Test Reading Comprehension Test Listening Comprehension Test M5-1 Listening Comprehension Test M5-2 Listening Comprehension Test M5-3 12.60 3.95 17.42 6. 37 17.40 3. 95 16.84 3.70 13.08 5.26 18.64 6. 07 Ñ 18.44 3.92 16.64 4.49 11. 44 3.43 13.32 4.38 Ñ Ñ Ñ 16. 68 6.44 Ñ Ñ 17. 24 3.27 14.12 3.94 10.68 4. 11 17.84 4.57 Ñ Ñ Ñ 7. 68 2.46 14.56 4. 22 10.84 3.89 18.08 6.36 Ñ Ñ 6.40 2. 84[¬e]""']",22.19,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38111424,Ahlfors (1979),1979,['Oral language interventions'],NA,['Yes'],NA,NA,,"['Page 68:\n[¬s]""N = 20[¬e]""']",20,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 68:\n[¬s]""(N = 20[¬e]""']",20,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
47269765,Allinder (2001) OL,2001,['Oral language interventions'],NA,['Yes'],NA,NA,,NA,33,,NA,92.03,,NA,6.00,,NA,95.48,,NA,8.34,,NA,NA,,NA,NA,,NA,NA,,NA,16,,NA,94.50,,NA,6.02,,NA,98.13,,NA,7.49,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111471,Ammon (1971),1971,['Oral language interventions'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111425,Anders (1984),1984,['Oral language interventions'],NA,['Yes'],NA,Data from Table 1. Note  the Prior Knowledge Assessment (pretest) and Comprehension Test (posttest) do not have identical designs however both are scored out of 20. ,,NA,31,,NA,6.68,,NA,3.07,,NA,16.06,,NA,2.39,,NA,NA,,NA,NA,,NA,NA,,NA,31,,NA,7.03,,NA,2.33,,NA,11.26,,NA,3.25,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111637,Aram (2004) OL,2004,['Oral language interventions'],NA,['Yes'],NA,NA,,NA,35,,NA,NA,,NA,NA,,"['Page 11:\n[¬s]""13.34[¬e]""']",13.34,,"['Page 11:\n[¬s]""3.77[¬e]""']",3.77,,NA,NA,,NA,NA,,NA,NA,,NA,24,,NA,NA,,NA,NA,,"['Page 11:\n[¬s]""11.91[¬e]""']",11.91,,"['Page 11:\n[¬s]""4.07[¬e]""']",4.07,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111536,Aram (2006),2006,['Oral language interventions'],NA,['Yes'],NA,"Data from Table 2 - Receptive Vocabulary - PPVT pre-test results, gain scores in Table 3 have been added to pre-test scores to calculate post test means. ",,NA,37,,NA,31.68,,NA,6.85,,NA,35.46,,NA,6.21,,NA,NA,,NA,NA,,NA,NA,,NA,38,,NA,31.03,,NA,7.93,,NA,35.19,,NA,7.23,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111426,Armstrong (2000),2000,['Oral language interventions'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
39717230,Baker (2000),2000,"['One to one tuition', 'Oral language interventions']",NA,['Yes'],"['Page 13:\n[¬s]""Table 3 Means, standard deviations, and percentiles for SMART and comparison groups at the end of first[¬e]""', 'Page 9:\n[¬s]""Table 1 Pretest means, standard deviations, and percentiles for SMART, comp[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
