id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_desc_tool,out_type_tool,out_g1_n_tool,out_g1_mean_tool,out_g1_sd_tool,out_g2_n_tool,out_g2_mean_tool,out_g2_sd_tool,smd_tool,se_tool,co_lower_tool,ci_upper_tool,outcome_tool,out_samp_tool,out_comp_tool,out_es_type_tool,out_measure_tool,out_strand_tool,out_tit_red,out_desc_red,out_type_red,out_g1_n_red,out_g1_mean_red,out_g1_sd_red,out_g2_n_red,out_g2_mean_red,out_g2_sd_red,smd_red,se_red,co_lower_red,ci_upper_red,outcome_red,out_samp_red,out_comp_red,out_es_type_red,out_measure_red,out_strand_red,out_tit_wri,out_desc_wri,out_type_wri,out_g1_n_wri,out_g1_mean_wri,out_g1_sd_wri,out_g2_n_wri,out_g2_mean_wri,out_g2_sd_wri,smd_wri,se_wri,co_lower_wri,ci_upper_wri,outcome_wri,out_samp_wri,out_comp_wri,out_es_type_wri,out_measure_wri,out_strand_wri,out_tit_math,out_desc_math,out_type_math,out_g1_n_math,out_g1_mean_math,out_g1_sd_math,out_g2_n_math,out_g2_mean_math,out_g2_sd_math,smd_math,se_math,co_lower_math,ci_upper_math,outcome_math,out_samp_math,out_comp_math,out_es_type_math,out_measure_math,out_strand_math,out_tit_sci,out_desc_sci,out_type_sci,out_g1_n_sci,out_g1_mean_sci,out_g1_sd_sci,out_g2_n_sci,out_g2_mean_sci,out_g2_sd_sci,smd_sci,se_sci,co_lower_sci,ci_upper_sci,outcome_sci,out_samp_sci,out_comp_sci,out_es_type_sci,out_measure_sci,out_strand_sci
38111324,Aarnoutse (1997),1997,['Oral language interventions'],NA,Reading comprehension - peer tutoring (poor listening),"The test Read and Comprehend 2 is a standardised test developed for second graders and measures general reading comprehension. The students read six short stories and answer 30 multiple-choice questions. These questions refer to the word, sentence and text levels.","['Toolkit primary outcome', 'Reading primary outcome']",16.0,20.5,6.1,15.0,19.5,5.6,0.1661,0.3601,-0.5397,0.8719,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: One to one tuition'],Reading comprehension - peer tutoring (poor listening),"The test Read and Comprehend 2 is a standardised test developed for second graders and measures general reading comprehension. The students read six short stories and answer 30 multiple-choice questions. These questions refer to the word, sentence and text levels.","['Toolkit primary outcome', 'Reading primary outcome']",16.0,20.5,6.1,15.0,19.5,5.6,0.1661,0.3601,-0.5397,0.8719,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: One to one tuition'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111325,Aarnoutse (1998),1998,['Oral language interventions'],NA,Reading comprehension - oral language (normal listeners),"The Reading Comprehension Test, Grade 2 is a standardized test developed for second graders that measures general reading comprehension. The students read five expository and four narrative texts and answer 36 multiple choice questions. These questions refer to word, sentence, and text levels. The test's reliability is .88 (Cronbach's alpha). The test-retest correlation for second graders is .75. Recently the validity of this test was again demonstrated in a longitudinal study in Grades 1 through 6. In the present study the test was used as a selection instrument as well as a pretest-posttest instrument.","['Toolkit primary outcome', 'Reading primary outcome']",23.0,25.39,6.01,22.0,26.86,5.69,-0.2466,0.2995,-0.8336,0.3403,Primary outcome,['Sample: Average'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: speaking and listening/oral language,['Toolkit: Oral language interventions'],Reading comprehension - oral language (normal listeners),"The Reading Comprehension Test, Grade 2 is a standardized test developed for second graders that measures general reading comprehension. The students read five expository and four narrative texts and answer 36 multiple choice questions. These questions refer to word, sentence, and text levels. The test's reliability is .88 (Cronbach's alpha). The test-retest correlation for second graders is .75. Recently the validity of this test was again demonstrated in a longitudinal study in Grades 1 through 6. In the present study the test was used as a selection instrument as well as a pretest-posttest instrument.","['Toolkit primary outcome', 'Reading primary outcome']",23.0,25.39,6.01,22.0,26.86,5.69,-0.2466,0.2995,-0.8336,0.3403,Primary outcome,['Sample: Average'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: speaking and listening/oral language,['Toolkit: Oral language interventions'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111424,Ahlfors (1979),1979,['Oral language interventions'],NA,Multuple Choice Definition Test ,A fifty-item multiple choice test of definitions of the specific vocabulary taught was administered twice— once on the Monday immediately following the five-week instructional period (Immediate).,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,2.6104,0.7863,1.0693,4.1515,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: speaking and listening/oral language,['Toolkit: Oral language interventions'],Multuple Choice Definition Test ,A fifty-item multiple choice test of definitions of the specific vocabulary taught was administered twice— once on the Monday immediately following the five-week instructional period (Immediate).,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,2.6104,0.7863,1.0693,4.1515,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: speaking and listening/oral language,['Toolkit: Oral language interventions'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269765,Allinder (2001) OL,2001,['Oral language interventions'],NA,WRMT-R Passage Comprehension,Posttest means and SD's for SS vs no strategy,"['Toolkit primary outcome', 'Reading primary outcome']",33.0,95.48,8.34,16.0,98.13,7.49,-0.3228,0.3065,-0.9236,0.278,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Oral language interventions'],WRMT-R Passage Comprehension,Posttest means and SD's for SS vs no strategy,"['Toolkit primary outcome', 'Reading primary outcome']",33.0,95.48,8.34,16.0,98.13,7.49,-0.3228,0.3065,-0.9236,0.278,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Oral language interventions'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111471,Ammon (1971),1971,['Oral language interventions'],NA,Peabody Picture Vocabulary Test (PPVT),"The first outcome was Form B of the Peabody Picture Vocabulary Test (PPVT), a widely used recognition test of vocabulary. Data from Table 2 - Vocabulary as treatment group.","['Toolkit primary outcome', 'Reading primary outcome']",23.0,55.3,0.0,23.0,41.1,0.0,0.0,0.2949,-0.578,0.578,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading other,['Toolkit: Oral language interventions'],Peabody Picture Vocabulary Test (PPVT),"The first outcome was Form B of the Peabody Picture Vocabulary Test (PPVT), a widely used recognition test of vocabulary. Data from Table 2 - Vocabulary as treatment group.","['Toolkit primary outcome', 'Reading primary outcome']",23.0,55.3,0.0,23.0,41.1,0.0,0.0,0.2949,-0.578,0.578,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading other,['Toolkit: Oral language interventions'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111425,Anders (1984),1984,['Oral language interventions'],NA,Comprehension Test - Total Scores,"The accompanying comprehension test was a 20-item multiple choice test with ten vocabulary items and ten conceptual items. The vocabulary items' were selected for their strong relationship to the major concepts presented in the passage and were not necessarily the most ""difficult words"". The conceptual items required the students to apply the concepts presented in the passage to specific situations.","['Toolkit primary outcome', 'Reading primary outcome']",31.0,16.06,2.39,31.0,11.26,3.25,1.6616,0.2971,1.0792,2.2439,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Oral language interventions'],Comprehension Test - Total Scores,"The accompanying comprehension test was a 20-item multiple choice test with ten vocabulary items and ten conceptual items. The vocabulary items' were selected for their strong relationship to the major concepts presented in the passage and were not necessarily the most ""difficult words"". The conceptual items required the students to apply the concepts presented in the passage to specific situations.","['Toolkit primary outcome', 'Reading primary outcome']",31.0,16.06,2.39,31.0,11.26,3.25,1.6616,0.2971,1.0792,2.2439,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Oral language interventions'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111637,Aram (2004) OL,2004,['Oral language interventions'],NA,Phonological Awareness (Post test Means/SDs) - Joint Reading vs Control,"Two tasks developed for the present study served as measures of phonological awareness  one referring to alliteration and the other to rhymes. Each included 10 two-syllable word pairs. On the alliteration task, we asked children if the first syllable of a word resembled or differed from the first syllable of its paired word. On the rhyming task, we asked the same question with reference to word pairs’ final syllables.","['Toolkit primary outcome', 'Reading primary outcome']",35.0,13.34,3.77,24.0,11.91,4.07,0.3624,0.2673,-0.1614,0.8862,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Oral language interventions'],Phonological Awareness (Post test Means/SDs) - Joint Reading vs Control,"Two tasks developed for the present study served as measures of phonological awareness  one referring to alliteration and the other to rhymes. Each included 10 two-syllable word pairs. On the alliteration task, we asked children if the first syllable of a word resembled or differed from the first syllable of its paired word. On the rhyming task, we asked the same question with reference to word pairs’ final syllables.","['Toolkit primary outcome', 'Reading primary outcome']",35.0,13.34,3.77,24.0,11.91,4.07,0.3624,0.2673,-0.1614,0.8862,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Oral language interventions'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111536,Aram (2006),2006,['Oral language interventions'],NA,Peabody Picture Vocabulary Test,"The Peabody Picture Vocabulary Test (PPVT) was used to examine children’s receptive vocabulary, using Solberg and Nevo's (1979) translation to a Hebrew items set. The interviewer asked the child to choose one picture out of four, depicting a spoken word. Inasmuch as only preliminary Hebrew norms were available for children older than the present sample, raw scores were used. The receptive vocabulary score amounted to the number of correct responses.","['Toolkit primary outcome', 'Reading primary outcome']",37.0,35.46,6.21,38.0,35.19,7.23,0.0396,0.231,-0.4131,0.4923,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Oral language interventions'],Peabody Picture Vocabulary Test,"The Peabody Picture Vocabulary Test (PPVT) was used to examine children’s receptive vocabulary, using Solberg and Nevo's (1979) translation to a Hebrew items set. The interviewer asked the child to choose one picture out of four, depicting a spoken word. Inasmuch as only preliminary Hebrew norms were available for children older than the present sample, raw scores were used. The receptive vocabulary score amounted to the number of correct responses.","['Toolkit primary outcome', 'Reading primary outcome']",37.0,35.46,6.21,38.0,35.19,7.23,0.0396,0.231,-0.4131,0.4923,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Oral language interventions'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111426,Armstrong (2000),2000,['Oral language interventions'],NA,Reading ability - oral language,"The Gates-MacGinitie Reading Test measures achievement in reading vocabulary and reading comprehension at the sixth grade level. Scores are reported in vocabulary grade level, comprehension grade level, and total reading grade level. This test has an extensive examiner’s manual that details the conditions necessary for the administration of the test.","['Toolkit primary outcome', 'Reading primary outcome']",23.0,69.3,14.1,23.0,66.2,14.9,0.21,0.2958,-0.3697,0.7898,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Oral language interventions'],Reading ability - oral language,"The Gates-MacGinitie Reading Test measures achievement in reading vocabulary and reading comprehension at the sixth grade level. Scores are reported in vocabulary grade level, comprehension grade level, and total reading grade level. This test has an extensive examiner’s manual that details the conditions necessary for the administration of the test.","['Toolkit primary outcome', 'Reading primary outcome']",23.0,69.3,14.1,23.0,66.2,14.9,0.21,0.2958,-0.3697,0.7898,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Oral language interventions'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717230,Baker (2000),2000,"['One to one tuition', 'Oral language interventions']",NA,WRMT-R Passage Comprehension-Post test scores,The Passage Comprehension subtest of the Woodcock Reading Mastery Test-Revised was used to assess reading comprehension. . The child read a portion of text silently and then supplied a missing word appropriate to the context of the passage. Administration time for this test ranged from 10 minutes to 25 minutes. ,"['Toolkit primary outcome', 'Reading primary outcome']",43.0,468.9,16.0,41.0,464.7,13.1,0.2839,0.2194,-0.1462,0.714,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: reading comprehension,"['Toolkit: One to one tuition', 'Toolkit: Oral language interventions']",WRMT-R Passage Comprehension-Post test scores,The Passage Comprehension subtest of the Woodcock Reading Mastery Test-Revised was used to assess reading comprehension. . The child read a portion of text silently and then supplied a missing word appropriate to the context of the passage. Administration time for this test ranged from 10 minutes to 25 minutes. ,"['Toolkit primary outcome', 'Reading primary outcome']",43.0,468.9,16.0,41.0,464.7,13.1,0.2839,0.2194,-0.1462,0.714,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: reading comprehension,"['Toolkit: One to one tuition', 'Toolkit: Oral language interventions']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
