id,pub_author,pub_year,abstract,strand_raw,strand_info,strand_CLEAN,pub_eppi,pub_eppi_CLEAN,pub_type_raw,pubtype_ht,pubtype_info,pub_type_CLEAN,loc_country_raw,loc_country_CLEAN,int_setting_raw,int_setting_ht,int_setting_info,int_Setting_CLEAN,eco_valid_raw,eco_valid_ht,eco_valid_info,eco_valid_CLEAN,part_age_raw,part_age_ht,part_age_info,part_age_CLEAN,school_treat_info,school_treat_ht,school_treat_CLEAN,school_cont_info,school_cont_ht,school_cont_CLEAN,school_total_info,school_total_ht,school_total_CLEAN,school_na_raw,school_na_info,school_na_ht,school_na_CLEAN,class_treat_info,class_treat_ht,class_treat_CLEAN,class_cont_info,class_cont_ht,class_cont_CLEAN,class_total_info,class_total_ht,class_total_CLEAN,class_na_raw,class_na_info,class_na_ht,class_na_CLEAN,treat_group_raw,treat_group_ht,treat_group_info,treat_group_CLEAN,part_assig_raw,part_assig_ht,part_assig_info,part_assig_CLEAN,level_assig_raw,level_assig_ht,level_assig_info,level_assig_CLEAN,int_desig_raw,int_design_ht,int_design_info,int_design_CLEAN,rand_raw,rand_ht,rand_info,rand_CLEAN
43100014,Allor (2004) 1_1,2004,"This article describes a two-year study addressing the effectiveness of a highly structured, systematic tutoring intervention implemented by minimally trained college students with two cohorts of at-risk first-grade readers. Participants were 61 first-grade children in Cohort 1 and 76 first-grade children in Cohort 2. Tutors participated in three one-hour training sessions and received occasional on-site assistance. Individual tutoring sessions were scheduled for three to four times each week for one school year, with each cohort receiving approximately 10–14 hours of instruction across 44 sessions. The curriculum included a game to teach phonemic awareness and letter-sound correspondence, structured word-study activities, reading of leveled books, and simple comprehension strategies. Significant differences were found on measures of phonemic awareness and nonsense word reading for both cohorts. For Cohort 1, but not Cohort 2, significant differences were also detected for real-word identification. Our results support using tutors to provide additional assistance and instruction in early reading, even when tutors are not professionally trained teachers",['Phonics'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],"['Page 3:\n[¬s]""Eight elementary schools[¬e]""']",NA,,High ecological validity,NA,intervention delivered within school - required volunteer tutors to deliver with minimal training and supervision,,"['6', '7']","['Page 3:\n[¬s]""ﬁrst-grade[¬e]""', 'Page 3:\n[¬s]""ﬁrst-grade[¬e]""']",NA,,8,NA,,8,NA,,8,NA,,NA,NA,NA,,8,NA,,8,NA,,8,NA,,NA,NA,NA,,['No'],"['Page 3:\n[¬s]""We had planned to assign students by\nteacher to one ofthe three conditions, but this was only\npossible in the one school with three ﬁrst-grade teach-\ners. The remaining schools had two ﬁrst-grade teachers,\nso we chose to randomly assign students individually to\none of the three groups. In the ﬁnal analysis, the two\ntutored groups were combined to form one group be-\ncause we were unable to implement two different types\nof tutoring. For this reason, the ﬁrst cohort group has\na smaller contrast group than the tutoring group. We\nbegan the study with 62 children in the tutoring group\nand 29 children in the contrast group. Due to attrition,\nwe ended the study with 61 in the tutored group and 25\nin the contrast group.[¬e]""']",NA,,Random (please specify),"['Page 3:\n[¬s]""In each classroom, students were\nranked according to their scores on the screening mea-\nsures, matched, and then randomly assigned to treat-\nment groups.[¬e]""']",NA,,Individual,"['Page 3:\n[¬s]""we chose to randomly assign students individually to\none of the three groups.[¬e]""']",NA,,['Multisite RCT'],NA,NA,,Yes,"['Page 3:\n[¬s]""In each classroom, students were\nranked according to their scores on the screening mea-\nsures, matched, and then randomly assigned to treat-\nment groups.[¬e]""']",NA,
46325665,Allor (2004) 1_2,2004,"This article describes a two-year study addressing the effectiveness of a highly structured, systematic tutoring intervention implemented by minimally trained college students with two cohorts of at-risk first-grade readers. Participants were 61 first-grade children in Cohort 1 and 76 first-grade children in Cohort 2. Tutors participated in three one-hour training sessions and received occasional on-site assistance. Individual tutoring sessions were scheduled for three to four times each week for one school year, with each cohort receiving approximately 10–14 hours of instruction across 44 sessions. The curriculum included a game to teach phonemic awareness and letter-sound correspondence, structured word-study activities, reading of leveled books, and simple comprehension strategies. Significant differences were found on measures of phonemic awareness and nonsense word reading for both cohorts. For Cohort 1, but not Cohort 2, significant differences were also detected for real-word identification. Our results support using tutors to provide additional assistance and instruction in early reading, even when tutors are not professionally trained teachers",['Phonics'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],"['Page 3:\n[¬s]""Eight elementary schools participated dur-\ning the ﬁrst year and 10 schools participated during the\nsecond year.[¬e]""']",NA,,High ecological validity,NA,intervention delivered in school by volunteer tutors with minimal training and supervision,,"['6', '7']","['Page 1:\n[¬s]""ﬁrst-grade children[¬e]""', 'Page 1:\n[¬s]""ﬁrst-grade children[¬e]""']",NA,,10,NA,,10,NA,,10,NA,,NA,NA,NA,,8,NA,,8,NA,,8,NA,,NA,NA,NA,,['No'],"['Page 3:\n[¬s]""We began the study with 82 in the\ntutoring group and 85 in the contrast group. Due to at-\ntrition, we ended the study with 76 in the tutoring group\nand 81 in the contrast group.[¬e]""']",NA,,Random (please specify),"['Page 3:\n[¬s]""We identiﬁed\nsix to eight students, rather than four, because we had\na larger number of tutors available in the second year.\nIn each classroom, students were ranked according to\ntheir scores on the screening measures, paired, and then\nrandomly assigned.[¬e]""']",NA,,Individual,"['Page 3:\n[¬s]""In each classroom, students were ranked according to\ntheir scores on the screening measures, paired, and then\nrandomly assigned.[¬e]""']",NA,,['Multisite RCT'],NA,NA,,Yes,"['Page 3:\n[¬s]""n each classroom, students were ranked according to\ntheir scores on the screening measures, paired, and then\nrandomly assigned.[¬e]""']",NA,
43090112,Aram (2004) Ph,2004,"This study compared two interventions  one focusing on language and storybook reading and the other on alphabetic skills and writing. Seventy-one preschoolers aged 3-5 from a low SES township in central Israel (35 in the reading program and 36 in the writing program) participated in evaluation of the interventions. Twenty-four untreated preschoolers served as a control group. The children were tested twice, at the beginning and at the end of the school year, in  phonological awareness, word writing, letter knowledge, orthographic awareness, listening comprehension, receptive vocabulary, and general knowledge. Both programs involved games and creative activities. The writing program encouraged letter knowledge, phonological awareness, and functional writing activities. The reading program utilized 11 children's books for focusing on language and exploring major concepts raised by these books. Results indicated that children in the two literacy programs progressed significantly more than the control group on phonological awareness and orthographic awareness. However, the joint writing group significantly outperformed both the joint reading group and the control group on phonological awareness, word writing, orthographic awareness, and letter knowledge. We also found that children as young as 3-4 years gained from literacy programs as much as did older children, aged 4-5, on all the measures assessed in our program.",['Phonics'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['Israel'],,['Nursery school/pre-school'],NA,NA,,High ecological validity,NA,"The sample was representative of high deprivation contexts The intervention required moderate commitment, resources and specialism from schools as it involved training and organising undergraduate students to deliver small group teaching of conventional set of lesson plans, 30 mins twice weekly for 66 sessions over 1 year  ",,"['3', '4']",NA,NA,,2,"['Page 5:\n[¬s]""two preschools in the writing program.[¬e]""']",,2,"['Page 5:\n[¬s]""two preschools served\nas a control group.[¬e]""']",,4,"['Page 5:\n[¬s]""two preschools in the writing program.""\n""d two preschools served\nas a control group[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,,['No'],"['Page 5:\n[¬s]""We randomly selected six preschools to participate in the present study[¬e]""']",EPPI instructions request only writing treatment to be coded,,Random (please specify),NA,"Students were assigned to conditions at school level, all students in theses schools received the interventions, a subset students were selected for analysis at random from these schools",,Individual,"['Page 5:\n[¬s]""to evaluate the effectiveness of these two intervention programs, we randomly\nsampled 76 children (38 in each intervention group) from the four intervention preschools[¬e]""', 'Page 5:\n[¬s]""We randomly selected six preschools to participate in the present study[¬e]""']",NA,,['Individual RCT'],"['Page 5:\n[¬s]""randomly\nsampled[¬e]""']",NA,,Yes,"['Page 5:\n[¬s]""We randomly selected six preschools to participate in the present study, out of the total of nine\npreschools in Jaffa.""\n""Four preschools participated in an intervention program, and two preschools served\nas a control group.""\n""we randomly\nsampled 76 children (38 in each intervention group) from the four intervention preschools. In addition,\nwe sampled 24 children from two other untreated preschools to serve as a control group.[¬e]""']",NA,
43099924,Archer (1981),1981,"This experimental study examined alternative approaches to teaching children to decode words. Forty-eight reading deficient 4th and 5th graders were assigned to four conditions  Preskill Training  Preskill + Strategy Training  Preskill + Build-up Word Practice  and Monosyllabic Training. Students in the Preskill Training condition received 9 days of instruction on eight preskills derived from a text-based task analysis of multisyllabic word reading followed by 9 days of monosyllabic word reading. Preskill + Strategy Training consisted of Preskill Training followed by 9 days of instruction on a strategy for segmenting and decoding longer words. Training in the Preskill + Build-up Word Practice condition was similar  however, no strategy for segmenting words was introduced. Instead, the subjects read words with the word parts indicated by the instructor. In the final condition, Monosyllabic Training, 18 days of training were given on reading regular and irregular single syllable words in context and in isolation. Highly structured, direct instruction was used in all conditions.  The mean scores for the three intervention groups receiving training related to multisyllabic word reading were significantly higher on all outcome measures than those obtained by the Monosyllabic Training group. The experimental procedures were effective in improving the decoding skills of reading deficient 4th and 5th graders. The mean scores for the two groups receiving Preskill Training with additional practice in decoding multisyllabic words (Strategy Training or Build-up Word Practice) were significantly higher than those obtained by the Preskill Training group. Though the Preskill Training increased the ability of subjects to read longer words, it was not sufficient to gain a high level of decoding performance. Though the means for the Preskill + Strategy subjects were higher than those obtained by the Preskill + Build-up Word Practice subjects, the comparison was only significant for two of the outcome measures. Both treatments were very effective in increasing multisyllabic word reading skills with any differential effects slight.",['Phonics'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['9', '10', '11']",NA,NA,,6,"['Page 170:\n[¬s]""Eight subjects were randomly selected from the eli\xad\ngible students in each of the six participating\nschools.[¬e]""']",,6,NA,,6,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['Yes (Please specify)'],"['Page 164:\n[¬s]""The four levels of A were: (1) Preskill\nTraining; (2) Preskill and Strategy Training; (3)\nPreskill and Build-up Word Reading Practice; and (4)\nMonosyllabic Training (Control).[¬e]""', 'Page 164:\n[¬s]""The purpose of this study was to investigate the effectiveness of providing reading deficient fourth and fifth graders with instruction related to the decoding of multisyllabic words.""\n""The four levels of A were: (1) Preskill Training; (2) Preskill and Strategy Training; (3) Preskill and Build-up Word Reading Practice; and (4) Monosyllabic Training (Control).[¬e]""']","The four levels of A were  (1) Preskill Training  (2) Preskill and Strategy Training  (3) Preskill and Build-up Word Reading Practice  and (4) Monosyllabic Training (Control).  For the purposes of this code, I will be coding (1) Preskill training vs (4) Monosyllabic Training (Control).",,Random (please specify),"['Page 170:\n[¬s]""Within each school, the identified subjects\nwere randomly assigned to four instructional groups\nhaving two members. Each of the instructional groups\nwithin a school was then assigned to a treatment\ncondition: Preskill Training; Preskill and Strategy\nTraining; Preskill and Build-up Word Practice; or\nMonosyllabic Training.[¬e]""']",NA,,School - multi-site,NA,NA,,['Multisite RCT'],NA,NA,,Yes,"['Page 170:\n[¬s]""Eight subjects were randomly selected from the eli\xad\ngible students in each of the six participating\nschools. Within each school, the identified subjects\nwere randomly assigned to four instructional groups\nhaving two members. Each of the instructional groups\nwithin a school was then assigned to a treatment\ncondition: Preskill Training; Preskill and Strategy\nTraining; Preskill and Build-up Word Practice; or\nMonosyllabic Training.[¬e]""']",NA,
43099893,Ball (1991),1991,"The goal of this project was to evaluate the effects of training in phonemic segmentation and of instruction in letter names and letter sounds on kindergarten children's reading and spelling skills. Ninety students from three urban public schools in the U.S. were randomly assigned to one of three groups. The first group received training in segmenting words into phonemes, as well as training in correspondences between letter names and letter sounds (phoneme awareness group). The second group received only the training in letter names and letter sounds (language activities group). The third group received no intervention (control group). Results indicated that phoneme awareness instruction, combined with instruction connecting the phonemic segments to alphabet letters, significantly improved the early reading and spelling skills of the children in the phoneme awareness group. However, instruction in letter names and letter sounds alone did not significantly improve the segmentation skills, the early reading skills, or the spelling skills of the kindergarten children who participated in the language activities group, as compared with the control group.",['Phonics'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['5', '6']",NA,NA,,3,NA,,3,NA,,3,NA,,NA,NA,NA,,6,NA,,6,NA,,6,NA,,NA,NA,NA,,['Yes (Please specify)'],NA,Phenome Awareness Group Language Activities Group Control Group  I will be coding for the Phenome Awareness Group vs Control Group.,,Random (please specify),NA,NA,,School - multi-site,NA,NA,,['Multisite RCT'],NA,NA,,Yes,"['Page 8:\n[¬s]""From the remaining pool, 30 students were ran-\ndomly selected from each of the three schools to\nparticipate in the pro""\n""nd a test of letter-name and\nletter-sound knowledge. Eligible students from\neach classroom were first grouped according to\ngender and PPVT-R scores. Children from each\nof the groupings were then randomly assigned\nto one of three groups: (a) phoneme awareness\ntraining group, (b) language activities group, or\n(c) control gro[¬e]""']",NA,
43099905,Barker (1995) 1_1,1995,"The use of computer-assisted instruction (CAI) to train phonological awareness skills in at-risk first graders was evaluated. Fifty-four children ranging in age from six years two months to seven years eight months participated in an eight-week training study. There were three experimental conditions. The first group received approximately twenty-five minutes a day, four days a week with two phonological awareness training programs. The second group received the same amount of training with a program designed to train alphabetic decoding skills. The third group served as an attentional control group and spent equal time on the computer with several programs designed to provide practice on basic math skills. The children exposed to the phonological awareness training programs made significantly greater improvements on several measures of phonological awareness and on a measure of word recognition, when compared to children in the other two groups. Tentative conclusions were drawn about the use of CAI as means of training phonological awareness skills with at-risk students",['Phonics'],NA,,"Journal, Article",,['Journal article'],"['Page 1:\n[¬s]""J. EDUCATIONAL COMPUTING RESEARCH[¬e]""']",NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,"The intervention required moderate commitment, resources and specialism from schools as it involve computerised tutoring for 8 weeks",,"['6', '7']",NA,NA,,2,NA,,2,NA,,2,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],NA,EPPI comments instruct coding only of phonological awareness (Daisy Quest DQ),,Random (please specify),"['Page 7:\n[¬s]""Following pretesting, chil-\ndren were randomly assigned to one of three conditions[¬e]""']",NA,,Individual,"['Page 7:\n[¬s]""Following pretesting, chil-\ndren were randomly assigned to one of three conditions[¬e]""']",NA,,['Regression Discontinuity with randomisation'],"['Page 3:\n[¬s]""Children who scored in the 40th percentile\nor lower on the Word Identification subtest from the Woodcock-Johnson Mastery\nTest and below the 50th percentile on the Sound Categorization subtest were[¬e]""', 'Page 4:\n[¬s]""included in the study.[¬e]""', 'Page 7:\n[¬s]""Following pretesting, chil-\ndren were randomly assigned to one of three conditions: l) phonological aware-\nness training (DQ), 2) phonological decoding training control (HH), or 3) atten-\ntional control (C).[¬e]""']",NA,,No/Unclear,NA,NA,
46325667,Barker (1995) 1_2,1995,"The use of computer-assisted instruction (CAI) to train phonological awareness skills in at-risk first graders was evaluated. Fifty-four children ranging in age from six years two months to seven years eight months participated in an eight-week training study. There were three experimental conditions. The first group received approximately twenty-five minutes a day, four days a week with two phonological awareness training programs. The second group received the same amount of training with a program designed to train alphabetic decoding skills. The third group served as an attentional control group and spent equal time on the computer with several programs designed to provide practice on basic math skills. The children exposed to the phonological awareness training programs made significantly greater improvements on several measures of phonological awareness and on a measure of word recognition, when compared to children in the other two groups. Tentative conclusions were drawn about the use of CAI as means of training phonological awareness skills with at-risk students",['Phonics'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],"['Page 3:\n[¬s]""two elementary\nschools.[¬e]""']",NA,,High ecological validity,NA,intervention delivered in school using computer programme,,"['6', '7']","['Page 1:\n[¬s]""Fifty-four children ranging in\nage from six years two months to seven years eight months participated in an\neight-week training study.[¬e]""', 'Page 1:\n[¬s]"". Fifty-four children ranging in\nage from six years two months to seven years eight months participated in an\neight-week training study.[¬e]""']",NA,,2,NA,,2,NA,,2,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],"['Page 7:\n[¬s]""Following pretesting, chil-\ndren were randomly assigned to one of three conditions: l) phonological aware-\nness training (DQ), 2) phonological decoding training control (HH), or 3) atten-\ntional control (C).[¬e]""']","although the study had three treatment groups, for the purpose of this coding the focus is on  treatment - phonological decoding training vs control - attentional control",,Random (please specify),"['Page 7:\n[¬s]""chil-\ndren were randomly assigned to one of three conditions: l) phonological aware-\nness training (DQ), 2) phonological decoding training control (HH), or 3) atten-\ntional control (C).[¬e]""']",NA,,Individual,"['Page 7:\n[¬s]""chil-\ndren were randomly assigned to one of three conditions:[¬e]""']",NA,,['Individual RCT'],NA,NA,,No/Unclear,NA,NA,
42059739,Beach (2004),2004,"Although there is considerable evidence linking phonological awareness to early reading performance, few research studies have been conducted to measure early interventions of explicit phonological awareness instruction, including parents as teachers, with 4- and 5-year-old prekindergarten children  among those that have been completed, research methods have often been seriously flawed. The purpose of this study was to determine if prekindergarten children who participated in an explicit phonological-awareness training program, which included their parents as teachers, entered kindergarten at a reading readiness level higher than would have been expected had they not participated in the program. An additional goal of this research was to demonstrate the utility of the regression discontinuity design in program evaluation. The independent variable (program treatment) was participation in a phonological awareness-based, kindergarten-readiness, summer program. The dependent variable (post-program measure) was the level of phonological awareness as measured by the Dynamic Indicators of Basic Early Literacy Skills (DIBELS) kindergarten subtests. A kindergarten-readiness screening was used to assign students to program or nonprogram status. Results of this study yielded standardized effect sizes of 0.18 and 0.16. These treatment effects of the kindergarten-readiness summer program on the initial sounds fluency (ISF) and letter naming fluency (LNF) subtests of the DIBELS were small, but comparable to other studies of phonological awareness. Program gains of this magnitude are very important considering feasibility and duration of the independent variable. Additionally, students' scores increased 3.3 points on the DIBELS ISF and a 5.1 points on the DIBELS LNF. Comparing these scores to benchmarks of performance established in DIBELS research indicate that the program treatment contributed to substantial gains that warrant consideration in program evaluation. This study of the effectiveness of phonological awareness instruction with prekindergarten children added to current research on assessment procedures for early identification and early intervention of children who are at-risk, and provided data concerning the effectiveness of school readiness programs, specifically phonological awareness instruction for prekindergarten students.","['Parental engagement', 'Phonics', 'Summer schools']",NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],,['Nursery school/pre-school'],"['Page 55:\n[¬s]""The independent variable in this study was the LCSD Kindergarten\nReadiness Summer Program. The LCSD program focused on literacy instruction in\nphonological awareness for prekindergarten children and parent instruction on\nphonological awareness skills they could use with their children.[¬e]""']",NA,,High ecological validity,"['Page 55:\n[¬s]""The LCSD Kindergarten Readiness Summer Program operated daily for\nhours, from June 9 - July 4, 2003. Certified Teachers, Title I aids, and\nparaprofessionals comprised the staff.[¬e]""', 'Page 56:\n[¬s]""Teachers provided training to parents to build on existing family literacy\npractices (see Appendix C for example of parent involvement).[¬e]""']",NA,,"['4', '5']","['Page 38:\n[¬s]""Prekindergarten children living in Logan, Utah, attended kindergarten\nregistration with their parent(s) or guardian(s) at the LCSD District Office during\nApril 2003. During the registration process, every child participated in the LCSD\nKindergarten Readiness Screening (Appendix E). The LCSD Kindergarten\nReadiness Screening was used to assign children to program or nonprogram status.[¬e]""', 'Page 38:\n[¬s]""Prekindergarten children living in Logan, Utah, attended kindergarten\nregistration with their parent(s) or guardian(s) at the LCSD District Office during\nApril 2003. During the registration process, every child participated in the LCSD\nKindergarten Readiness Screening (Appendix E). The LCSD Kindergarten\nReadiness Screening was used to assign children to program or nonprogram status[¬e]""']",NA,,5,NA,,5,NA,,5,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],This was prior to school entry. ,NA,,['No'],"['Page 38:\n[¬s]""The LCSD Kindergarten\nReadiness Screening was used to assign children to program or nonprogram status.\nA cut score was established and the children who scored below the cut point on the\nLCSD Kindergarten Readiness Screening (93 children) received treatment in the\nprogram. Those children, who scored above the cut point on the LCSD\nKindergarten Readiness Screening (244 children) were placed in the comparison\ngroup.[¬e]""']",NA,,Regression discontinuity,"['Page 38:\n[¬s]""The LCSD Kindergarten\nReadiness Screening was used to assign children to program or nonprogram status.\nA cut score was established and the children who scored below the cut point on the\nLCSD Kindergarten Readiness Screening (93 children) received treatment in the\nprogram. Those children, who scored above the cut point on the LCSD\nKindergarten Readiness Screening (244 children) were placed in the comparison\ngroup. This method of assignment, adherence to a cut score, was consistent with\nthe regression discontinuity (RD) design used in the study.[¬e]""']",NA,,Individual,"['Page 38:\n[¬s]""A cut score was established and the children who scored below the cut point on the\nLCSD Kindergarten Readiness Screening (93 children) received treatment in the\nprogram. Those children, who scored above the cut point on the LCSD\nKindergarten Readiness Screening (244 children) were placed in the comparison\ngroup.[¬e]""']",NA,,['Regression Discontinuity - not randomised'],"['Page 39:\n[¬s]""Trochim (2000) described the RD design as a “pre-post, two-group, quasi-\nexperimental design with assignment to group by cutoff.”[¬e]""']",NA,,Not applicable,NA,The study design was an RD and did not require randomisation.  ,
43099917,Beattie (2000),2000,"There is a large body of research that implicates difficulty with phonological processing as the fundamental deficit in many children with reading and language impairments. Research indicates that difficulty with the ability to discriminate acoustic information that enters the nervous system in rapid succession (within a time frame of milliseconds) interferes with the development of phonological processes (Tallal, Miller, & Fitch, 1993). This temporal processing deficit may result in more global language impairments, such as receptive language disorders and reading disabilities.  This experimental study examined the effects of two intensive computer-based language interventions on receptive language, phonemic awareness, reading, and spelling achievement. One language intervention is called Fast ForWord (FF), a CD-ROM and Internet-based training program developed to increase students' ability to process rapid, successive acoustic information and understand spoken language. Fast ForWord is based on twenty years of research in neural plasticity and language impairments. Fast ForWord was compared to a language arts computer-based intervention, SuccessMaker (SM). SuccessMaker employs direct reading and spelling exercises and practice.  This study contrasted the effectiveness of the two intervention approaches with sixty-four adolescents from three local school divisions. ANOVA and ANCOVA procedures were used to examine the effects of FF and SM, as well as combinations of SM and FF on measures of receptive language, phonemic awareness reading, and spelling. A control group was used for further comparison.  While no statistically significant results were found between groups, issues with treatment compliance may have affected participants, ability to benefit from intervention. Discussion focuses on the feasibility of implementing FF in the public school systems, and suggestions for future research are offered.",['Phonics'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],,"['Middle school', 'Secondary/High school']",NA,NA,,High ecological validity,"['Page 76:\n[¬s]""Students in the\nintervention groups worked for two class periods a day of 47\nminutes each, five days a week on either the assigned SM or\nFF program. T[¬e]""']",NA,,"['11', '12', '13', '14', '15', '16']",NA,NA,,3,"['Page 83:\n[¬s]""two middle\nschools and one middle-high school combination.[¬e]""']",,3,"['Page 83:\n[¬s]""two middle\nschools and one middle-high school combination.[¬e]""']",,3,"['Page 83:\n[¬s]""two middle\nschools and one middle-high school[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,,['No'],NA,EPPI Reviewer requests Fast ForWord v. control only (this was a five arm study),,Random (please specify),"['Page 76:\n[¬s]""Individual students were\nassigned by computer-generated randomization to one of four\nintervention groups or to a control group.[¬e]""', 'Page 82:\n[¬s]""Next, the remaining participants were assigned computer\ngenerated numbers and subsequently placed in numeric order.\nFrom this list, the lowest numbers were placed in group 1,\nthe next lowest numbers were placed in group 2, and so on.\nTo ensure an equal distribution among groups, fewer students[¬e]""', 'Page 83:\n[¬s]""were placed in groups 3 and 4 at this time, since\nparticipants in the fMRI study had been initially assigned\nto these groups. At no time was a specific student assigned\nto a specific group.[¬e]""']",NA,,Individual,NA,NA,,['Individual RCT'],"['Page 76:\n[¬s]""Individual students were\nassigned by computer-generated randomization[¬e]""']",NA,,Yes,"['Page 81:\n[¬s]""students\nwere randomly assigned to an intervention or control group\nto help control for the effects of differential selection.\nHowever, randomization occurred in a two-step process[¬e]""']",NA,
43100015,Berninger (2003) Ph,2003,"Purpose  This research evaluated the relative effectiveness of three instructional approaches to supplementing the regular reading program for second graders with low word reading and/or pseudoword reading skills. Method  In the instructional experiment, 96 second graders with low reading achievement were randomly assigned to one of four conditions  (a) explicit and reflective word recognition, (b) explicit and reflective reading comprehension, (c) combined explicit word recognition and explicit reading comprehension, or (d) treated control that only practiced reading skills without any instruction. In the extension study, these conditions were compared to an untreated control group of 29 second graders. Results  In the instructional experiment, combined word recognition and reading comprehension treatment increased phonological decoding (pronouncing pseudowords) significantly more than the treated control or word recognition only treatment and had the highest effect size. The comprehension only treatment was not significantly different from the treated control. In the extension study, (a) the treated children receiving supplemental instruction improved significantly more in phonological decoding and reading real words than did those in the regular program, and (b) the combined word recognition and reading comprehension treatment, which was explicit, had the highest effect sizes for both pseudoword and real-word reading. Clinical Implications  The most effective supplemental instruction for increasing phonological decoding was combining explicit word recognition and explicit reading comprehension training.",['Phonics'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['7', '8']","['Page 3:\n[¬s]""The average age of the participating children was 7:0\n(years:months) and 8:7 (SO = 4:4).[¬e]""']",NA,,8,NA,,8,NA,,8,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['Yes (Please specify)'],"['Page 5:\n[¬s]""The treatments were (a) word recognition training only,\n(b) reading comprehension training only, (c) combined\nword recognition and reading comprehension training, and\n(d) treated control that only practiced reading-related skills.[¬e]""']","There were 4 arms  a) word recognition training only, b) reading comprehension training only, c) combined word recognition and reading comprehension training,  d) treated control that only practiced reading-related skills.  I will be coding for (b) vs. (c) and (d), as requested by the coding team.",,Random (please specify),"['Page 5:\n[¬s]""Forty-eight pairs of\nchildren were randomly assigned to the four experimental\nconditions in the following way. At each of eight schools,\ndyads were created based on the number of children who\nmet inclusion criteria at that school. Then, these child pairs\nwere randomly assigned to each of 48 slots in the overall\ndesign (12 dyads in each of four conditions). If the 96\nchildren in eight schools had been randomly assigned to\ntreatments on an individual basis, there may not have been\nan even number of children at each school to form a pair[¬e]""']",NA,,School - multi-site,NA,NA,,['Cluster RCT'],NA,NA,,Yes,"['Page 5:\n[¬s]""At each of eight schools,\ndyads were created based on the number of children who\nmet inclusion criteria at that school. Then, these child pairs\nwere randomly assigned to each of 48 slots in the overall\ndesign (12 dyads in each of four conditions).[¬e]""']",NA,
