id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
43100014,Allor (2004) 1_1,2004,['Phonics'],NA,['Yes'],NA,NA,,NA,61,,NA,90.92,,NA,8.82,,NA,89.02,,NA,11.04,,NA,NA,,NA,NA,,NA,NA,,NA,25,,NA,91.32,,NA,8.30,,NA,83.76,,NA,12.03,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,there is a second cohort of pupils,
46325665,Allor (2004) 1_2,2004,['Phonics'],NA,['Yes'],NA,NA,,NA,76,,NA,95.21,,NA,8.90,,NA,95.22,,NA,10.06,,NA,NA,,NA,NA,,NA,NA,,NA,81,,NA,94.99,,NA,8.11,,NA,96.64,,NA,10.53,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
43090112,Aram (2004) Ph,2004,['Phonics'],NA,['Yes'],NA,NA,,"['Page 11:\n[¬s]""(N= 36[¬e]""']",36,,"['Page 11:\n[¬s]""10.39[¬e]""']",10.39,,"['Page 11:\n[¬s]""2.72[¬e]""', 'Page 11:\n[¬s]""2.72[¬e]""']",2.72,,"['Page 11:\n[¬s]""16.06[¬e]""']",16.06,,"['Page 11:\n[¬s]""2.61[¬e]""']",2.61,,NA,NA,,NA,NA,,NA,Pre-test descriptive statistics are based on initial sample size of 38,,"['Page 11:\n[¬s]""(N= 24[¬e]""']",24,,"['Page 11:\n[¬s]""11.54[¬e]""']",11.54,,"['Page 11:\n[¬s]""3.59[¬e]""']",3.59,,"['Page 11:\n[¬s]""11.91[¬e]""']",11.91,,"['Page 11:\n[¬s]""4.07[¬e]""']",4.07,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
43099924,Archer (1981),1981,['Phonics'],NA,['Yes'],NA,NA,,NA,12,,NA,150.25,,NA,5.74,,NA,154.58,,NA,7.49,,NA,NA,,NA,NA,,NA,NA,,NA,12,,NA,149.00,,NA,6.16,,NA,153.08,,NA,6.46,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
43099893,Ball (1991),1991,['Phonics'],NA,['Yes'],NA,NA,,NA,29,,NA,0,,NA,0,,NA,3.2,,NA,4.6,,NA,NA,,NA,NA,,NA,NA,,NA,30,,NA,0.2,,NA,0.7,,NA,1.1,,NA,3.1,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
43099905,Barker (1995) 1_1,1995,['Phonics'],NA,['Yes'],NA,NA,,NA,18,,NA,7.83,,NA,4.3,,NA,16.78,,NA,9.6,,NA,NA,,NA,NA,,NA,NA,,NA,18,,NA,7.56,,NA,4.7,,NA,12.39,,NA,8.4,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
46325667,Barker (1995) 1_2,1995,['Phonics'],NA,['Yes'],NA,NA,,NA,18,,NA,7.28,,NA,5.0,,NA,16.78,,NA,9.6,,NA,NA,,NA,NA,,NA,NA,,NA,18,,NA,7.56,,NA,4.7,,NA,11.17,,NA,6.4,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
42059739,Beach (2004),2004,"['Parental engagement', 'Phonics', 'Summer schools']",NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
43099917,Beattie (2000),2000,['Phonics'],NA,['Yes'],NA,NA,,NA,12,,"['Page 108:\n[¬s]""69 .25[¬e]""']",69.25,,"['Page 108:\n[¬s]""14 .47[¬e]""']",14.47,,"['Page 116:\n[¬s]""75.50[¬e]""']",75.50,,"['Page 116:\n[¬s]""16 .47[¬e]""']",16.47,,NA,NA,,NA,NA,,NA,NA,,"['Page 108:\n[¬s]""n=l2[¬e]""']",12,,"['Page 108:\n[¬s]""79.75[¬e]""']",79.75,,"['Page 108:\n[¬s]""16 .08[¬e]""']",16.08,,"['Page 116:\n[¬s]""79.50[¬e]""']",79.50,,"['Page 116:\n[¬s]""17 .76[¬e]""']",17.76,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
43100015,Berninger (2003) Ph,2003,['Phonics'],NA,['Yes'],NA,NA,,NA,24,,NA,NA,,NA,NA,,NA,47.34,,NA,6.78,,NA,NA,,NA,NA,,NA,NA,,NA,29 (Untreated),,NA,NA,,NA,NA,,NA,40.07,,NA,7.08,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
