id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_desc_tool,out_type_tool,out_g1_n_tool,out_g1_mean_tool,out_g1_sd_tool,out_g2_n_tool,out_g2_mean_tool,out_g2_sd_tool,smd_tool,se_tool,co_lower_tool,ci_upper_tool,outcome_tool,out_samp_tool,out_comp_tool,out_es_type_tool,out_measure_tool,out_strand_tool,out_tit_red,out_desc_red,out_type_red,out_g1_n_red,out_g1_mean_red,out_g1_sd_red,out_g2_n_red,out_g2_mean_red,out_g2_sd_red,smd_red,se_red,co_lower_red,ci_upper_red,outcome_red,out_samp_red,out_comp_red,out_es_type_red,out_measure_red,out_strand_red,out_tit_wri,out_desc_wri,out_type_wri,out_g1_n_wri,out_g1_mean_wri,out_g1_sd_wri,out_g2_n_wri,out_g2_mean_wri,out_g2_sd_wri,smd_wri,se_wri,co_lower_wri,ci_upper_wri,outcome_wri,out_samp_wri,out_comp_wri,out_es_type_wri,out_measure_wri,out_strand_wri,out_tit_math,out_desc_math,out_type_math,out_g1_n_math,out_g1_mean_math,out_g1_sd_math,out_g2_n_math,out_g2_mean_math,out_g2_sd_math,smd_math,se_math,co_lower_math,ci_upper_math,outcome_math,out_samp_math,out_comp_math,out_es_type_math,out_measure_math,out_strand_math,out_tit_sci,out_desc_sci,out_type_sci,out_g1_n_sci,out_g1_mean_sci,out_g1_sd_sci,out_g2_n_sci,out_g2_mean_sci,out_g2_sd_sci,smd_sci,se_sci,co_lower_sci,ci_upper_sci,outcome_sci,out_samp_sci,out_comp_sci,out_es_type_sci,out_measure_sci,out_strand_sci
43100014,Allor (2004) 1_1,2004,['Phonics'],NA,WJ-R comprehension,posttest means and SD's for end of year 1 cohort ,"['Toolkit primary outcome', 'Reading primary outcome']",61.0,89.02,11.04,25.0,83.76,12.03,0.46,0.2402,-0.0107,0.9308,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],WJ-R comprehension,posttest means and SD's for end of year 1 cohort ,"['Toolkit primary outcome', 'Reading primary outcome']",61.0,89.02,11.04,25.0,83.76,12.03,0.46,0.2402,-0.0107,0.9308,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325665,Allor (2004) 1_2,2004,['Phonics'],NA,WJ-R Comprehension,posttest means and sd's for end of year 2 cohort ,"['Toolkit primary outcome', 'Reading primary outcome']",76.0,95.22,10.06,81.0,96.64,10.53,-0.1371,0.1599,-0.4505,0.1763,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],WJ-R Comprehension,posttest means and sd's for end of year 2 cohort ,"['Toolkit primary outcome', 'Reading primary outcome']",76.0,95.22,10.06,81.0,96.64,10.53,-0.1371,0.1599,-0.4505,0.1763,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090112,Aram (2004) Ph,2004,['Phonics'],NA,Phonological Awareness -  Phonics Strand ,"Post-test unadjusted mean score. The test was made up of two tasks involving (1) alliteration and (2)rhymes. Each included 10 two-syllable word pairs. On the alliteration task, children were asked if the first syllable of a word resembled or differed from the first syllable of its paired word. On the rhyming task, we asked the same question with reference to word pairs’ final syllables. The mean correct answers across the two-tasks served as the total phonological awareness score.","['Toolkit primary outcome', 'Reading primary outcome']",36.0,16.06,2.61,24.0,11.91,4.07,1.2534,0.2889,0.6872,1.8196,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],Phonological Awareness -  Phonics Strand ,"Post-test unadjusted mean score. The test was made up of two tasks involving (1) alliteration and (2)rhymes. Each included 10 two-syllable word pairs. On the alliteration task, children were asked if the first syllable of a word resembled or differed from the first syllable of its paired word. On the rhyming task, we asked the same question with reference to word pairs’ final syllables. The mean correct answers across the two-tasks served as the total phonological awareness score.","['Toolkit primary outcome', 'Reading primary outcome']",36.0,16.06,2.61,24.0,11.91,4.07,1.2534,0.2889,0.6872,1.8196,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099924,Archer (1981),1981,['Phonics'],NA,Woodcock Word Identification,Posttest Means and SD's for preskill training vs monosyllabic,"['Toolkit primary outcome', 'Reading primary outcome']",12.0,154.58,7.49,12.0,153.08,6.46,0.2071,0.4096,-0.5957,1.0098,Primary outcome,['Sample: Low achievers'],With active control,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],Woodcock Word Identification,Posttest Means and SD's for preskill training vs monosyllabic,"['Toolkit primary outcome', 'Reading primary outcome']",12.0,154.58,7.49,12.0,153.08,6.46,0.2071,0.4096,-0.5957,1.0098,Primary outcome,['Sample: Low achievers'],With active control,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099893,Ball (1991),1991,['Phonics'],NA,Woodcock Word Identification,Posttest means and SD's Phoneme Awareness vs Control,"['Toolkit primary outcome', 'Reading primary outcome']",29.0,3.2,4.6,30.0,1.1,3.1,0.5301,0.2653,0.0101,1.05,Primary outcome,['Sample: Average'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],Woodcock Word Identification,Posttest means and SD's Phoneme Awareness vs Control,"['Toolkit primary outcome', 'Reading primary outcome']",29.0,3.2,4.6,30.0,1.1,3.1,0.5301,0.2653,0.0101,1.05,Primary outcome,['Sample: Average'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099905,Barker (1995) 1_1,1995,['Phonics'],NA,Woodcock Word ID,Posttest Adjusted means and SD's,"['Toolkit primary outcome', 'Reading primary outcome']",18.0,16.35,4.0,18.0,12.39,4.0,0.968,0.3546,0.273,1.663,Primary outcome,['Sample: Low achievers'],With active control,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],Woodcock Word ID,Posttest Adjusted means and SD's,"['Toolkit primary outcome', 'Reading primary outcome']",18.0,16.35,4.0,18.0,12.39,4.0,0.968,0.3546,0.273,1.663,Primary outcome,['Sample: Low achievers'],With active control,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325667,Barker (1995) 1_2,1995,['Phonics'],NA,Word Identification,Posttest adjusted means and SD's HH vs Control,"['Toolkit primary outcome', 'Reading primary outcome']",18.0,11.59,4.0,18.0,12.39,4.0,-0.1956,0.3342,-0.8506,0.4595,Primary outcome,['Sample: Low achievers'],With active control,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],Word Identification,Posttest adjusted means and SD's HH vs Control,"['Toolkit primary outcome', 'Reading primary outcome']",18.0,11.59,4.0,18.0,12.39,4.0,-0.1956,0.3342,-0.8506,0.4595,Primary outcome,['Sample: Low achievers'],With active control,['Post-test unadjusted (select one from this group)'],Literacy: decoding/phonics,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42059739,Beach (2004),2004,"['Parental engagement', 'Phonics', 'Summer schools']",NA,DIBELS,Regression Initial sounds fluency,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,0.419,0.125,0.174,0.664,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: decoding/phonics,"['Toolkit: Parental engagement', 'Toolkit: Phonics', 'Toolkit: Summer schools']",DIBELS,Regression Initial sounds fluency,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,0.419,0.125,0.174,0.664,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: decoding/phonics,"['Toolkit: Parental engagement', 'Toolkit: Phonics', 'Toolkit: Summer schools']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DIBELS,Regression Initial sounds fluency,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,0.419,0.125,0.174,0.664,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: decoding/phonics,"['Toolkit: Parental engagement', 'Toolkit: Phonics', 'Toolkit: Summer schools']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099917,Beattie (2000),2000,['Phonics'],NA,GORT 3 - Phonics,Post-test unadjusted mean score of the Gray Oral Reading Quotient. Subjects are required to read orally a variety of graded passages to measure reading rate and word identification and comprehension skills. ,"['Toolkit primary outcome', 'Reading primary outcome']",12.0,75.5,16.47,12.0,79.5,17.76,-0.2255,0.4098,-1.0287,0.5777,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading other,['Toolkit: Phonics'],GORT 3 - Phonics,Post-test unadjusted mean score of the Gray Oral Reading Quotient. Subjects are required to read orally a variety of graded passages to measure reading rate and word identification and comprehension skills. ,"['Toolkit primary outcome', 'Reading primary outcome']",12.0,75.5,16.47,12.0,79.5,17.76,-0.2255,0.4098,-1.0287,0.5777,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading other,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100015,Berninger (2003) Ph,2003,['Phonics'],NA,Word Identification,Adjusted posttest means and SDs for word Identification subtest of WRMT,"['Toolkit primary outcome', 'Reading primary outcome']",24.0,47.34,6.78,29.0,40.07,7.08,1.0311,0.2949,0.4531,1.6092,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: decoding/phonics,['Toolkit: Phonics'],Word Identification,Adjusted posttest means and SDs for word Identification subtest of WRMT,"['Toolkit primary outcome', 'Reading primary outcome']",24.0,47.34,6.78,29.0,40.07,7.08,1.0311,0.2949,0.4531,1.6092,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: decoding/phonics,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
