id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_ht,sample_analysed_info,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_prop_info,fsm_prop_ht,fsm_prop_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
43100014,Allor (2004) 1_1,2004,['Phonics'],NA,,"['Page 1:\n[¬s]""61 ﬁrst-grade\nchildren in Cohort 1[¬e]""']",NA,,['Mixed gender'],"['Page 3:\n[¬s]""Gender (male)[¬e]""']",see Table 1 p3 - 41% of treatment group  40% of control group = male,,NA,NA,,NA,"['Page 3:\n[¬s]""The percentage ofstudents on\nfree or reduced lunch was very high in all the ﬁrst-grade\nclassrooms for both years, ranging from 78–100 per-\ncent, with an overall average of 95 percent.[¬e]""']",,NA,NA,,NA,NA,,NA,62,,NA,29,,NA,NA,,NA,NA,,NA,61,,NA,25,,NA,NA,,NA,NA,,['Yes'],NA,NA,,NA,2%,,NA,5%,
46325665,Allor (2004) 1_2,2004,['Phonics'],NA,,"['Page 3:\n[¬s]""Due to at-\ntrition, we ended the study with 76 in the tutoring group\nand 81 in the contrast group.[¬e]""']","Cohort 2, total N=157 treatment N=76 control N=81",,['Mixed gender'],"['Page 4:\n[¬s]""Gender (male)[¬e]""']",see table 2 p4 males in treatment group = 56% males in control group = 61%,,NA,NA,,NA,"['Page 3:\n[¬s]""The percentage ofstudents on\nfree or reduced lunch was very high in all the ﬁrst-grade\nclassrooms for both years, ranging from 78–100 per-\ncent, with an overall average of 95 percent.[¬e]""']",,NA,NA,,NA,NA,,NA,82,,NA,85,,NA,NA,,NA,NA,,NA,76,,NA,81,,NA,NA,,NA,NA,,['Yes'],NA,NA,,NA,7%,,NA,6%,
43090112,Aram (2004) Ph,2004,['Phonics'],NA,,"['Page 12:\n[¬s]""(N= 76)[¬e]""']",76,,['Mixed gender'],"['Page 5:\n[¬s]""The boy:girl\nratio in the preschools was 18:18 for the joint writing group,[¬e]""']",NA,,NA,NA,,NA,NA,,NA,"['Page 5:\n[¬s]""30.1% of Jaffa’s residents regularly receive local welfare services, in\ncomparison with 16.3% in Tel Aviv.[¬e]""']",,NA,NA,,"['Page 5:\n[¬s]""(38 in each intervention group[¬e]""']",38 ,,"['Page 5:\n[¬s]""24 children from two other untreated preschools to serve as a control group[¬e]""']",24,,NA,NA,,NA,NA,,"['Page 11:\n[¬s]""(N= 36[¬e]""']",36,,"['Page 11:\n[¬s]""(N= 24[¬e]""']",24,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""e administered\npretests to the 76 children sampled from the intervention preschools (38 children in each of the two\nintervention programs), but only 71 of these children completed the posttest measures (36 children in\nthe joint writing program and 35 in joint reading)""\n""children moved with their families out of town\nand left their preschools, and one child was hospitalized at the time of the posttest. All 24 children in the\ncontrol group completed measures at both the pretest and posttest intervals[¬e]""']",NA,,"['Page 5:\n[¬s]""(36 children in the joint writing program""\n""We administered\npretests to the 76 children sampled from the intervention preschools (38 children in each of the two\nintervention programs), but only 71 of these children completed the posttest measures (36 children in\nthe joint writing program[¬e]""']",5.263,,NA,3.226%,
43099924,Archer (1981),1981,['Phonics'],NA,,"['Page 167:\n[¬s]""Forty-eight students[¬e]""', 'Page 171:\n[¬s]""a total of 12 subjects were assigned to\neach treatment condition[¬e]""']",NA,,['Mixed gender'],"['Page 171:\n[¬s]""The total\nsample consisted of 30 boys and 18 girls[¬e]""']","Preskill Training - 8 boys, 4 girls Preskill + Strategy Training - 7 boys, 5 girls Preskill + Build-up Word Practice - 7 boys, 5 girls Monosyllabic Training - 8 boys and 4 girls.",,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,12,,NA,12,,NA,NA,,NA,NA,,NA,12,,NA,12,,NA,NA,,NA,NA,,['No'],NA,Table 24 appears to show that no pupils were removed from the study ,,NA,0,,NA,0,
43099893,Ball (1991),1991,['Phonics'],NA,,"['Page 8:\n[¬s]""ng a tota[¬e]""']","89 total, with 30 participants per group (-1 participant for absenteeism, not specified which group this was)",,['Mixed gender'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,30,,NA,30,,NA,NA,,NA,NA,,NA,29,,NA,30,,NA,NA,,NA,NA,,['Yes'],NA,NA,,NA,3.33%,,NA,1.11%,
43099905,Barker (1995) 1_1,1995,['Phonics'],NA,,"['Page 3:\n[¬s]""Fifty-four[¬e]""']",54,,['No information provided'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,18,,NA,18,,NA,NA,,NA,NA,,NA,18,,NA,18,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,0,
46325667,Barker (1995) 1_2,1995,['Phonics'],NA,,"['Page 1:\n[¬s]""Fifty-four children ranging in\nage from six years two months to seven years eight months participated in an\neight-week training study.[¬e]""']","54 pupils across three treatment conditions - for the purpose of this coding the focus is on one treatment group vs control, however the number of children in each group is not specified - Total N= approximately 36 (54/3 = approximately 18 per group)",,['Mixed gender'],NA,default assumed as not otherwise specified,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,NA,,NA,18,,NA,18,,NA,NA,,NA,18,,NA,18,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
42059739,Beach (2004),2004,"['Parental engagement', 'Phonics', 'Summer schools']",NA,,"['Page 191:\n[¬s]""368 total N number\n252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""', 'Page 191:\n[¬s]""368 total N number\n252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""', 'Page 38:\n[¬s]""A cut score was established and the children who scored below the cut point on the\nLCSD Kindergarten Readiness Screening (93 children) received treatment in the\nprogram. Those children, who scored above the cut point on the LCSD\nKindergarten Readiness Screening (244 children) were placed in the comparison\ngroup.[¬e]""']",337,,['No information provided'],NA,NA,,NA,NA,,62,"['Page 192:\n[¬s]""62% of participants were on free and reduced lunch[¬e]""']",,NA,NA,,NA,NA,,"['Page 38:\n[¬s]""A cut score was established and the children who scored below the cut point on the LCSD Kindergarten Readiness Screening (93 children) received treatment in the program.""\n""The sample in this study was limited to children who entered\nkindergarten in the LCSD during the 2003-2004 school year.[¬e]""']",93,,"['Page 38:\n[¬s]""Those children, who scored above the cut point on the LCSD Kindergarten Readiness Screening (244 children) were placed in the comparison group.""\n""The sample in this study was limited to children who entered\nkindergarten in the LCSD during the 2003-2004 school year.[¬e]""']",244,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
43099917,Beattie (2000),2000,['Phonics'],NA,,NA,T= 24 Control = 12 Treatment = 12,,['Mixed gender'],NA,"50 50 Treatment  7 male, 5 female Control  5 male, 7 female",,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 77:\n[¬s]""n=l2[¬e]""']",12,,"['Page 77:\n[¬s]""n=12[¬e]""']",12,,NA,NA,,NA,NA,,NA,12,,"['Page 108:\n[¬s]""n=l2[¬e]""']",12,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 78:\n[¬s]""Eighty-one of the eligible students began the study,*\nhowever, 17 students were excluded from full participation\ndue to attrition. Seven students left the study due to\nfamily moves, five students were excluded due to behavioral\nissues, two students were dropped due to excessive\nabsenteeism, and two students left upon parent request to\ndiscontinue the study. In addition, one student was not\nincluded in the analyses after completing treatment, due to\nan initial scoring error discovered during the analyses\nphase of the study. This participant\'s pretest scores did\nnot meet initial criteria requirements. This left a total of\n64 students to complete the study.[¬e]""', 'Page 83:\n[¬s]""Although the study began with equal numbers of\nparticipants in each group, attrition affected the final\nsample distribution.[¬e]""']",Total sample size = 81. But study reports that each group (5 in total) had an equal sample size which seems inconsistent. I assumed treatment group had an initial N of 17 and control N=16 to estimate maximum possible attrition,,"['Page 78:\n[¬s]""17 students were excluded from full participation\ndue to attrition.[¬e]""', 'Page 83:\n[¬s]""the study began with equal numbers of\nparticipants in each group, attrition affected the final\nsample distribution.[¬e]""']",≤29.412,,"['Page 78:\n[¬s]""Eighty-one of the eligible students began the study,*\nhowever, 17 students were excluded from full participation\ndue to attrition.[¬e]""', 'Page 83:\n[¬s]""the study began with equal numbers of\nparticipants in each group,[¬e]""']",≤27.273%,
43100015,Berninger (2003) Ph,2003,['Phonics'],NA,,"['Page 5:\n[¬s]""Each of the four treatment conditions had 24 children[¬e]""']",Total - 96 (24 in each group) Total for (b) vs (c) and (d) - 72,,['Mixed gender'],"['Page 3:\n[¬s]""Of the children\ntested, 56 girls1 and 40 boys met the inclusion criteria, and\ntheir parents granted informed consent for their participa\xad\ntion.[¬e]""']",NA,,NA,NA,,NA,NA,,NA,"['Page 4:\n[¬s]""Mother’s level of education, which was used as an indicator\nof socioeconomic status, ranged from less than high school\n(4%), to high school (17.5%), to more than high school but\nless than college (33.3%), to college (25%), to graduate\nwork (9.4%), or was unknown (10.8%).[¬e]""']",,NA,NA,,NA,24,,NA,24,,NA,NA,,NA,NA,,NA,24,,NA,29 (Untreated),,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
