id,pub_author,pub_year,abstract,strand_raw,strand_info,strand_CLEAN,pub_eppi,pub_eppi_CLEAN,pub_type_raw,pubtype_ht,pubtype_info,pub_type_CLEAN,loc_country_raw,loc_country_CLEAN,int_setting_raw,int_setting_ht,int_setting_info,int_Setting_CLEAN,eco_valid_raw,eco_valid_ht,eco_valid_info,eco_valid_CLEAN,part_age_raw,part_age_ht,part_age_info,part_age_CLEAN,school_treat_info,school_treat_ht,school_treat_CLEAN,school_cont_info,school_cont_ht,school_cont_CLEAN,school_total_info,school_total_ht,school_total_CLEAN,school_na_raw,school_na_info,school_na_ht,school_na_CLEAN,class_treat_info,class_treat_ht,class_treat_CLEAN,class_cont_info,class_cont_ht,class_cont_CLEAN,class_total_info,class_total_ht,class_total_CLEAN,class_na_raw,class_na_info,class_na_ht,class_na_CLEAN,treat_group_raw,treat_group_ht,treat_group_info,treat_group_CLEAN,part_assig_raw,part_assig_ht,part_assig_info,part_assig_CLEAN,level_assig_raw,level_assig_ht,level_assig_info,level_assig_CLEAN,int_desig_raw,int_design_ht,int_design_info,int_design_CLEAN,rand_raw,rand_ht,rand_info,rand_CLEAN
40397347,Abadzi (1984),1984,"The effects of ability grouping on the academic achievement and self-esteem of fourth-grade students were assessed through regression-discontinuity analysis in a Texas school district which used a cutoff score for placement in high and regular ability groups. Standardized achievement test scores of high ability students showed a significant increase after a year of ability grouping. Students who had scored a little above the criterion showed performance increase, while students who had scored a little below the criterion showed a decrease after a year in regular ability classes. The self-esteem was assessed near the beginning and end of the fourth grade. No significant differences were found from the beginning to the end of the fourth grade or between the high and regular groups after third grade achievement test scores were covaried.",['Setting or streaming'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['9', '10']",NA,NA,,8,"['Page 2:\n[¬s]""Eight schools[¬e]""']",,8,"['Page 2:\n[¬s]""Eight schools[¬e]""']",,8,"['Page 2:\n[¬s]""Eight schools[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],NA,NA,,Regression discontinuity,NA,NA,,N,NA,NA,,['Regression Discontinuity - not randomised'],NA,NA,,Not applicable,"['Page 1:\n[¬s]""The sole criterion for admission to[¬e]""', 'Page 2:\n[¬s]""high achieve\xad\nment) classes was the 77th Iowa Test of Basic Skills\n(1TBS) composite percentile[¬e]""']",NA,
40642366,Adamson (1972),1972,"The major purpose of this study was to compare the arithmetic achievement gains of seventh and eighth grade students placed in an experimental program consisting of high, middle and low ability groups having different materials and objectives for each of the three levels of students, against a conventional uni-track program employing heterogeneous grouping.  The analysis of variance was used to determine if differences existed between the groups. To analyze the interaction between the low ability group, the middle group, and the high ability group, the Newman-Keuls Sequential Range Test was used. Tables showing the level means were constructed as an aid in the analysis of the two and three- way interactions.  There was no significant difference between the mean achievement gains of the students placed in groups on the basis of their ability and those of students grouped heterogeneously. The reduction of certified personnel with teacher aides used in their place did not produce results significantly different from those coming from the control school.",['Setting or streaming'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],,['Middle school'],NA,NA,,High ecological validity,NA,NA,,"['12', '13', '14']",NA,NA,,1,"['Page 41:\n[¬s]""the\nother grouped their students[¬e]""']",,1,"['Page 41:\n[¬s]""One school used a traditional\nheterogeneous approach[¬e]""']",,2,"['Page 41:\n[¬s]""Two junior high schools[¬e]""']",,NA,NA,NA,,≥6,"['Page 43:\n[¬s]""one hundred eighty students were selected\nfrom the experimental school[¬e]""']",,≥6,"['Page 44:\n[¬s]""one hundred eighty\nstudents were selected from the control school[¬e]""']",,≥12,"['Page 43:\n[¬s]""one hundred eighty students were selected\nfrom the experimental school[¬e]""', 'Page 44:\n[¬s]""one hundred eighty\nstudents were selected from the control school[¬e]""']",,['not_provided'],Not provided - approximated from sample size.,NA,,['Yes (Please specify)'],"['Page 5:\n[¬s]""placed in an experimental program consisting of high, middle and low ability groups having different materials and objectives for each of the three levels of students[¬e]""']",NA,,Random (please specify),"['Page 43:\n[¬s]""Thirty students were randomly selected by using a table of random numbers from each of the achievement groups (high, middle, and low) from both the seventh and the eighth grades at the experimental junior high.[¬e]""']",NA,,School - cluster,"['Page 43:\n[¬s]"" the experimental junior high.""\n"" A group of students similar to those in the experimental group were selected from a junior high school in the school district of about the same size as the experimental school.[¬e]""']",NA,,['Individual RCT'],"['Page 44:\n[¬s]""A\ntable of random numbers was used in selecting the students\nto be used and assuring a random sample.[¬e]""']",NA,,Yes,"['Page 43:\n[¬s]""Experimental group. Thirty students were randomly selected by using a table of random numbers from each of the achievement groups (high, middle, and low) from both the seventh and the eighth grades at the experimental junior high. Fifteen of the selected subjects were male and fifteen were female. The statistical program was designed for samples of equal size, making it necessary to select equal numbers of males and females for each level and grade as well as have groups that were equal in size.""\n""Control group. A group of students similar to those in\nthe experimental group were selected from a junior high\nschool in the school district of about the same size as the\nexperimental school. Students from both seventh and eighth\ngrades were selected with the same residence requirements\nbeing used as were necessary in the experimental group.[¬e]""']",NA,
40642368,Adler (1963) 1_1,1963,NA,['Setting or streaming'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['Canada'],,['Secondary/High school'],NA,NA,,High ecological validity,NA,NA,,"['14', '15']",NA,NA,,9,"['Page 3:\n[¬s]""nine[¬e]""']",,9,"['Page 4:\n[¬s]""students were matched within each\nschool[¬e]""']",,9,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,,['No'],NA,"Not directly specified  however, schools delivered the acceleration programmes in their own individual ways. ",,"Non-random, not matched prior to treatment",NA,NA,,Individual,NA,NA,,['Retrospective QED  '],"['Page 4:\n[¬s]""a post acto control group was selected""\n""students were matched within each\nschool as closely as possible with those in Group A[¬e]""']",NA,,Not applicable,NA,NA,
45336713,Adler (1963) 1_2,1963,NA,['Setting or streaming'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['Canada'],,['Secondary/High school'],NA,NA,,High ecological validity,NA,NA,,"['13', '14']",NA,NA,,9,"['Page 3:\n[¬s]""nine were of the ""academic"" type[¬e]""']",,9,"['Page 4:\n[¬s]""students were matched within each\nschool[¬e]""']",,9,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,,['No'],"['Page 4:\n[¬s]""A total of\n31 students were admitted to the acceleration programme, hereafter desig-\n.. ated as Group A.""\n""This control group, Group C[¬e]""']",NA,,Retrospective Quasi Experimental Design (QED),NA,NA,,Class,"['Page 4:\n[¬s]""For the majority of the students, intelligence ratings were based on\ngroup, rather than individually administered, tests.[¬e]""']",NA,,['Retrospective QED  '],"['Page 4:\n[¬s]""a post\nacto control group was selected""\n""students were matched within each\nschool as closely as possible with those in Group A[¬e]""']",NA,,Not applicable,NA,NA,
40642369,Alam (1968),1968,NA,['Setting or streaming'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],,['Middle school'],NA,NA,,High ecological validity,NA,NA,,"['14', '15']",NA,NA,,NA,NA,,NA,NA,,1,"['Page 95:\n[¬s]""The universe from whom the control and the experimental\nsamples were drawn consisted of the ninth\' grade class of Port\nHuron Northern High School of 1966-1967, which was 545 stud\xad[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],NA,NA,,Retrospective Quasi Experimental Design (QED),NA,NA,,Individual,NA,NA,,['Retrospective QED  '],"['Page 94:\n[¬s]""This study will compare a group of ninth graders who\nhave been enrolled In the gifted program since third grade\n(an experimental group) with an equally gifted group of\nninth graders enrolled in the regular curriculum (a control\ngroup). The control group will consist of qualifying stud\xad\nents who either did not choose to enroll in the gifted\nprogram, who were overlooked through initial screening, or\nwho transferred Into the district from other school districts.[¬e]""', 'Page 96:\n[¬s]""Thus, achievement was chosen as a preliminary screening device in the selection of a control group for the study.""\n""The Lorge-Thorndike Intelligence Test results of the\nremaining 36 students were then utilized to equate the control\ngroup with the experimental group. Those with a verbal I.Q.\nof I25t were retained for individual Stanford-Binets. Those\nwith Stanford-Binets of I35t were to be selected for the\ncontrol group. Since the experimental group consisted of\n9 boys and 7 girls, attempts were made to equate the control\ngroup in this respect also. Of the 18 youngsters testing at\nI35+, 16 were finally selected for the control group.[¬e]""']",NA,,Not applicable,NA,NA,
40642373,Bailey (1968),1968,UTR.,['Setting or streaming'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],,['Secondary/High school'],"['Page 8:\n[¬s]""enrolled\nin first year algebra classes at Soldan High School[¬e]""']",NA,,High ecological validity,NA,class teachers taught the curriculum but pupils were assigned to new class grouping,,"['13', '14']","['Page 5:\n[¬s]""eighth-grade[¬e]""']",NA,,1,"['Page 8:\n[¬s]""In September 1964, 420 students were enrolled\nin first year algebra classes at Soldan High School\nOf these, 102 were enrolled in Track I classes while\n318 were enrolled in Track II classes[¬e]""']",,1,NA,,1,"['Page 8:\n[¬s]""In September 1964, 420 students were enrolled\nin first year algebra classes at Soldan High School\nOf these, 102 were enrolled in Track I classes while\n318 were enrolled in Track II classes.[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,14,"['Page 8:\n[¬s]""Upon completion of these transfers there were three[¬e]""', 'Page 9:\n[¬s]""Track I classes, eleven Track II classes[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,"Non-random, not matched prior to treatment","['Page 24:\n[¬s]""As explained in Chapters 1 and 3, circum\xad\nstances beyond the control of the investigator pre\xad\ncluded the randomization of students and groups,\nexcept in a limited sense, as exemplified in the\ncreation of the two hetei*ogeneous groups which was\naccomplished by transferring odd and even-numbered\nstudents, by alphabetically listed class rosters,\nbetween a Track I class and a Track II class sche\xad\nduled at the same hour.[¬e]""']",NA,,Individual,NA,NA,,['Prospective QED'],"['Page 8:\n[¬s]""The writer had obtained permission from the\nDirector of Secondary Education in the St. Louis\nPublic School System to create two heterogeneous\nclasses. This was accomplished by transferring the\neven-numbered students, by alphabetically listed class\nroster, from a fourth period Track I class to a pre\xad\nviously designated fourth period Track II clas""\n""he odd-numbered students, by alphabetically listed\nclass roster, from a fourth period Track II class to\na previously designated fourth period Track I class.[¬e]""']",NA,,Not applicable,NA,NA,
40642374,Baiow (1963),1963,NA,['Setting or streaming'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],"['Page 4:\n[¬s]""elementary schools ,[¬e]""']",NA,,High ecological validity,NA,NA,,"['11', '12']",NA,NA,,2,NA,,2,"['Page 4:\n[¬s]""Two schools using beterogeneou.s grouping were selected to serve for control purposes.[¬e]""']",,4,"['Page 4:\n[¬s]""four schools[¬e]""']",,NA,NA,NA,,4,"['Page 4:\n[¬s]""four homogeneous reading classes[¬e]""']",,NA,NA,,NA,NA,,NA,NA,NA,,['No'],NA,As per instructions  ‘Please code heterogeneous vs. homogeneous groups.’,,Retrospective Quasi Experimental Design (QED),NA,NA,,N,NA,NA,,['Prospective QED'],NA,NA,,No/Unclear,NA,NA,
40642377,Barton (1964),1964,NA,['Setting or streaming'],NA,,Dissertation,,['Dissertation or thesis'],NA,NA,,['USA'],,['Middle school'],NA,NA,,High ecological validity,NA,NA,,"['14', '15']",NA,NA,,1,"['Page 106:\n[¬s]""a r e la t iv e ly new jun io r\nhigh schoo l[¬e]""']",,1,"['Page 106:\n[¬s]""a r e la t iv e ly new jun io r\nhigh schoo l[¬e]""']",,1,"['Page 106:\n[¬s]""a r e la t iv e ly new jun io r\nhigh schoo l[¬e]""']",,NA,NA,NA,,4,"['Page 108:\n[¬s]""The homogeneous groups fo r the\nstudy w e re des igna ted a s Horn A, Horn B, Horn C, and Horn D,[¬e]""']",,4,"['Page 108:\n[¬s]""the he terogeneous groups w e re des ign a ted a s Het A, Het B* Het C, and\nHet D[¬e]""']",,8,"['Page 108:\n[¬s]""The homogeneous groups fo r the\nstudy w e re des igna ted a s Horn A, Horn B, Horn C, and Horn D, while\nthe he terogeneous groups w e re des ign a ted a s Het A, Het B* Het C, and\nHet D.[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,"Non-random, but matched","['Page 23:\n[¬s]""229 n i n t h g r a d e s t u d e n t s w e r e r a n k e d b y t h e E n g l i s h t e a c h e r s a c c o r d i n g to t h e s t u d e n t s \' p e r f o r m a n c e in e i g h t h g r a d e E n g l i s h . T h e 115 o d d - n u m b e r e d s t u d e n t s w e r e i d e n t i \xad f i e d a s t h e e x p e r i m e n t a l g r o u p .[¬e]""']",NA,,Individual,NA,NA,,['Prospective QED'],NA,NA,,Not applicable,NA,NA,
40397348,Becker (1987),1987,"This study addresses the issue of how different school organizational patterns affect the academic learning of students of different backgrounds and abilities. Using data from the Pennsylvania Educational Quality Assessment (EQA) on approximately 8,000 sixth-grade students in elementary and middle schools, the study examines how instructional specialization, between-class ability grouping, within-class ability grouping, and grade span affect the achievement of students from low to high SES backgrounds. The study finds that elementary school settings benefit students from low social backgrounds, as does having instruction provided by a limited number of teachers. Between-class ability grouping shows benefits for high social background students in middle schools, and within-class ability grouping in elementary schools benefits low social background students in reading. (Author/PCB)",['Setting or streaming'],NA,,Report,,['Technical report'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['11', '12']",NA,NA,,330,"['Page 13:\n[¬s]""The data are from the 330 schools in the 1986 Pennsylvania Education Quality\nAssessment (E.Q.A[¬e]""']",,330,"['Page 13:\n[¬s]""The data are from the 330 schools in the 1986 Pennsylvania Education Quality\nAssessmen[¬e]""']",,330,"['Page 13:\n[¬s]""The data are from the 330 schools in the 1986 Pennsylvania Education Quality\nAssessment[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],NA,As per instructions to coders.,,Regression discontinuity,NA,NA,,N,NA,NA,,['Retrospective QED  '],"['Page 13:\n[¬s]""data from a statewide survey involving several hundred schools that differ\nsubstantially in their practices regarding instructional specialization, tracking, within-\nclass ability-grouping, and grade span[¬e]""']",NA,,Not applicable,NA,NA,
40642378,Bell (1959) 1_1,1959,NA,['Setting or streaming'],NA,,Dissertation,,['Dissertation or thesis'],NA,"Submitted in partial fulfillment of the requirements for the Doctor of Education degree in the School of Education Indiana University June, 1957",,['USA'],,"['Primary/elementary school', 'Middle school']",NA,NA,,High ecological validity,NA,NA,,"['10', '11', '12']",NA,NA,,1,"['Page 65:\n[¬s]""Testing of the subjects in the experimental group was\naccomplished in two groups of 15 children each. Two sittings\nwere required for each test.\nA single test was administered to all of the subjects\nin each of the 11 buildings before the next test was introduced.\nDistance between buildings was used as the criterion for their\nplacement on the schedule. This plan was followed for each\nof the tests in the order cited above.[¬e]""']",,10,"['Page 65:\n[¬s]""Testing of the subjects in the control group was\naccomplished in the largest possible groups, the size of the\ngroup being dictated by the number of subjects from a partic\xad\nular school. In the 10 schools included, the number tested\nat one,time ranged from one to seven children.[¬e]""']",,NA,NA,,NA,NA,NA,,1,"['Page 67:\n[¬s]""All\nchildren selected for this special class were ready for the\nfifth grade and had I.Q.’s of 125 or above as determined by\nthe Henmon-Nelson Intelligence Test and the Stanford-Binet[¬e]""']",,NA,NA,,NA,NA,,NA,NA,NA,,['No'],"['Page 62:\n[¬s]""The subjects in this investigation comprised two groups:\n1. The experimental group was composed of those children\nin a homogeneous group for mentally gifted children in grade\n5.""\n""The subjects in the control group, in classrooms\nwith heterogeneous groups, were selected on the basis of\ncomparable I.Q. measures[¬e]""']",NA,,"Non-random, but matched","['Page 14:\n[¬s]""Comparable groups will be obtained by matching\nchildren in the two groups on the basis of I.Q. scores as\nsecured by the Henmon-Nelson Test and Stanford-Binet\nIndividual Test and grade level.[¬e]""', 'Page 69:\n[¬s]""The heterogeneous group was chosen by matching with\nthe homogeneous group, incorporating the factors of geographic\nlocation of residence within the city, sex, age, and I.Q.\nBeyond this point no attempt was made to match individual\nchildren.[¬e]""']",NA,,Individual,NA,NA,,['Retrospective QED  '],"['Page 62:\n[¬s]""2. The subjects in the control group, in classrooms\nwith heterogeneous groups, were selected on the basis of\ncomparable I.Q. measures (within a range of 10 points of those\nin the homogeneous group) as determined by the results on the\nHenmon-Nelson Test of Mental Ability and the Stanford-Binet\nIndividual Test.""\n""The subjects in this group also matched\nthe subjects in the experimental group through similar grade\nplacement, similar age, comparable geographical location,\nand parental consent to participate in the study.[¬e]""', 'Page 70:\n[¬s]""For the final selection of the two groups, the\nStanford-Binet I.Q. Test was given in order to match the\nI.Q.*s of the children in the heterogeneous group with those\nof the children in the homogeneous group, which was already[¬e]""', 'Page 71:\n[¬s]""formed.[¬e]""']",NA,,Not applicable,NA,NA,
