id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,int_name_ht,int_name_info,int_name_CLEAN,int_desc_ht,int_desc_info,int_desc_CLEAN,int_objec_ht,int_objec_info,int_object_CLEAN,int_prov_raw,int_prov_ht,int_prov_info,int_prov_CLEAN,int_training_raw,int_training_ht,int_training_info,int_training_CLEAN,int_part_raw,int_part_ht,int_part_info,int_part_CLEAN,int_approach_raw,int_approach_ht,int_approach_info,int_approach_CLEAN,digit_tech_raw,digit_tech_ht,digit_tech_info,digital_tech_CLEAN,parent_partic_raw,parent_partic_ht,parent_partic_info,parent_partic_CLEAN,int_when_raw,int_when_ht,int_when_info,int_when_CLEAN,int_who_raw,int_who_ht,int_who_info,int_who_CLEAN,int_dur_ht,int_dur_info,int_dur_CLEAN,int_freq_ht,int_freq_info,int_freq_CLEAN,int_leng_ht,int_leng_info,int_leng_CLEAN,int_fidel_raw,int_fidel_ht,int_fidel_info,int_fidel_CLEAN,int_cost_raw,int_cost_ht,int_cost_info,int_cost_CLEAN,out_eval_raw,out_eval_ht,out_eval_info,out_eval_CLEAN,eef_eval_raw,eef_eval_CLEAN,base_diff_raw,base_diff_ht,base_diff_info,base_diff_CLEAN,comp_anal_raw,comp_anal_ht,comp_anal_info,comp_anal_CLEAN,comp_var_rep_raw,comp_var_rep_ht,comp_var_rep_info,comp_var_rep_CLEAN,comp_var_raw,comp_var_ht,comp_var_info,comp_var_CLEAN,clust_anal_raw,clust_anal_ht,clust_anal_info,clust_anal_CLEAN
40397347,Abadzi (1984),1984,['Setting or streaming'],NA,,"['Page 2:\n[¬s]"" the “vanguard"" program[¬e]""']",NA,,"['Page 2:\n[¬s]""The high ability treatment called the “vanguard"" program consisted, with some variation among schools, of separate instruction in reading, language, mathe\xad matics, and science while students were mixed in phys\xad ical education, home room, recess, music, and art. In addition, high ability students took Spanish, seemed to be assigned better teachers, and were given optional supplementary materials while the basic curriculum re\xad mained the same for both groups. Occasionally, com\xad pensatory treat ment was given to regular students, e.g., one school chose to offer Latin to them. This model can be described as complete ability grouping (Findley & Bryan, 1975).[¬e]""']",NA,,"['Page 1:\n[¬s]""bility grouping is the method of assigning students to separate classrooms so that children of a par\xad ticular age and grade who function similarly in learning achievement and capability are placed together for instruction[¬e]""', 'Page 2:\n[¬s]""Richer (1976) predicted that group separation would mostly influence the self-esteem and achievement of students who saw themselves as upwardly mobile; stu\xad dents near the cutoff score would be expected to be maximally influenced while students near the extremes of the score distribution would be expected to be least influenced.[¬e]""']",NA,,['Local education authority or district'],"['Page 1:\n[¬s]"" An example was the Fort Worth Independent School District, w here high and regular ability groups were formed in all elementary schools from 1975 to 1982 at the beginning of the fourth grade.[¬e]""']",NA,,['Unclear/ Not specified'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,"['Page 1:\n[¬s]"" Standardized achievement test scores of high ability students showed a significant increase after a year of ability grouping.""\n"" An example was the Fort Worth Independent School District, w here high and regular ability groups were formed in all elementary schools from 1975 to 1982 at the beginning of the fourth grade. [¬e]""']","Ability grouping in the school district was conducted for 7 years (from 1975-1982). However, in terms of this study, the effects of ability grouping were analysed after one school year. ",,NA,Not stated.,,NA,Not stated.,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],"['Page 1:\n[¬s]""Helen Abadzi, Fort Worth In\xad dependent School District, Research and Evaluation Depart\xad ment[¬e]""']",NA,,No,,['No/Unclear'],NA,"study is a natural experiment where 8 schools taught top quartile students separately, difference at baseline was method of allocating to conditions. Effects were estimated by comparing gains controlling for baseline as covariate",,['Yes'],"['Page 3:\n[¬s]""A fixed-effects levels-within-\ngroups analysis of variance on fourth-grade composite\n1TBS scores with third-grade scores covaried[¬e]""']",NA,,['Yes'],"['Page 3:\n[¬s]""1TBS scores with third-grade scores covaried[¬e]""']",NA,,['Educational attainment'],"['Page 3:\n[¬s]""1TBS scores with third-grade scores covaried[¬e]""']",NA,,['No'],NA,NA,
40642366,Adamson (1972),1972,['Setting or streaming'],NA,,"['Page 53:\n[¬s]"" the low ability students were given remedial arithmetic instruction through specially designed programs given the seventh graders, who were placed in a ""Stretchers and Shrinkers"" program and the eighth graders who were placed in a ""Motion Geometry"" pro- gram.[¬e]""']",NA,,"['Page 53:\n[¬s]""The instructional texts and objectives were altered to fit the needs of the group in the following ways1 (1) the high ability group was given an advanced class in mathe- matics, (2) the middle ability group (which was by far the largest) was placed in a regular modem math class taught by teachers in large group instructional sessions and by aides in small group follow-up classes, and (3) the low ability students were given remedial arithmetic instruction through specially designed programs given the seventh graders, who were placed in a ""Stretchers and Shrinkers"" program and the eighth graders who were placed in a ""Motion Geometry"" pro- gram. One mathematics teaching assignment was filled by the three part-time teacher aides, reducing the size of the professional staff required by the mathematics department.[¬e]""']",NA,,"['Page 19:\n[¬s]""The purpose of · this study was to compare the arithmetic achievement gains of seventh and eighth grade s udents[¬e]""', 'Page 20:\n[¬s]""placed in an experimental program consisting of high, medium, and low groups using different texts and goals for each of the three levels of students, with arithmetic achievement in students receiving a conventional unitrack program.[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Unclear/ Not specified'],NA,NA,,['Students'],NA,NA,,"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']","['Page 41:\n[¬s]"" tutoring small groups of arithmetic students in grades seven and eight.[¬e]""']",NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,"['Teaching assistants', 'Class teachers']","['Page 53:\n[¬s]""the middle ability group (which was by far the largest) was placed in a regular modem math class taught by teachers in large group instructional sessions[¬e]""']",NA,,"['Page 40:\n[¬s]"" during the experimental year[¬e]""']",1 year.,,NA,"Probably daily, but not clearly stated.",,NA,Not stated. ,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],"['Page 50:\n[¬s]""Table 3\nComparison of Experimental and Control Group\nCTMM IQ Scores[¬e]""']",NA,,['No'],NA,NA,,['Yes'],"['Page 50:\n[¬s]""Table 3\nComparison of Experimental and Control Group\nCTMM IQ Scores[¬e]""']",NA,,"['Gender', 'Other (please specify)', 'Educational attainment']","['Page 48:\n[¬s]""Sex[¬e]""', 'Page 50:\n[¬s]""IQ Scores[¬e]""', 'Page 57:\n[¬s]""Table 4\nSummary of Analysis of Variance\nArithmetic Computation Subtest[¬e]""', 'Page 66:\n[¬s]""Table 11\nSummary of Analysis of Variance\nArithmetic Concepts Subtest[¬e]""', 'Page 74:\n[¬s]""Table 18\nSummary of Analysis of Variance\nArithmetic Applications Subtest[¬e]""']",NA,,['No'],NA,NA,
40642368,Adler (1963) 1_1,1963,['Setting or streaming'],NA,,"['Page 3:\n[¬s]"" acceleration[¬e]""']",NA,,"['Page 6:\n[¬s]""There was no standard acceleration programme for the eleven schools, that the character of teaching varied from school to school. All accelera\xad tion programmes took place from Grade 9 to Grade 12, with Grade 13 \'911owing the regular pattern.""\n""First Year: Some schools taught only Grade 9 material for periods anging from five to ten months; however, most schools taught different ilibinations of Grade 9 and Grade 10 subjects concurrently throughout . e year.""\n""Second Year: Half the schools taught various combinations of Grade and Grade 11 for the entire year. The other half taught Grade 10 sub\xad cts for periods of from three to five months and then carried on with Grade .1 work.""\n""Third Year: All but three schools allowed the whole ten months for rade 12 work. Of the three, two had to complete Grade 11 material ~fore beginning Grade 12 work, while the third school taught Grade 11 (!.lerman along with the Grade 12 subject""\n""Fourth Year: No special treatment was provided[¬e]""']","See page 5. The study doesn't give a description of what was intended for the acceleration programmes  instead, it describes what the schools did in reality. The programme involved grade 9 students being delivered work from higher grades, e.g. grade 9 learning grade 9 and 10 materials. This took place for 3 years. ",,NA,"Not explictily stated, but inferred as being  to improve/accelerate academic performance in participating pupils",,['School or group of schools'],NA,NA,,['Unclear/ Not specified'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,"From grades 9-11, so 3 years with a 4th year with no special treatment provided (see page 5)",,NA,Not stated,,NA,Not stated,,"['Qualitative', 'Quantitative']",NA,NA,,['No'],NA,NA,,['Unclear/not stated'],NA,NA,,No,,['Yes'],"['Page 5:\n[¬s]""TABLE I\nCHARACTERISTICS OF \'rHE SAMPLE""\n""TABLE II\nNUl\\iBER OF STUDENTS AS CATEGORIZED\nBY HOME CONDITIONS1[¬e]""']",NA,,['No'],NA,NA,,['N/A'],NA,NA,,NA,NA,NA,,['No'],NA,NA,
45336713,Adler (1963) 1_2,1963,['Setting or streaming'],NA,,NA,No name stated - accelerated learning for early course completion,,"['Page 3:\n[¬s]""acceleration refers specifica]ly ta tbe caro-\npletion of the five-year secondary school programme in a four-year period,[¬e]""']",NA,,NA,Accelerated pupil progress,,['University/ researcher design'],NA,NA,,['No'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,4 years,,NA,Daily - part of accelerated program,,NA,Part of regular school timetable,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],"['Page 5:\n[¬s]""TABLE I\nCHARACTERISTICS OF \'rHE SAMPLE""\n""TABLE II\nNUl\\iBER OF STUDENTS AS CATEGORIZED\nBY HOME CONDITIONS1[¬e]""']",NA,,['No'],NA,NA,,['N/A'],NA,NA,,NA,NA,NA,,['No'],NA,NA,
40642369,Alam (1968),1968,['Setting or streaming'],NA,,"['Page 25:\n[¬s]""academically gifted program[¬e]""']",NA,,"['Page 145:\n[¬s]""The academically gifted program of the Port Huron Area School District is enrichment-oriented[¬e]""', 'Page 25:\n[¬s]""The Port Huron Area School District’s concern with the academically gifted program is based on evidence, both objective and subjective, that, when given special attention, the bright youngster’s rate and level of academic achievement is significantly enhanced[¬e]""']",There is very little description given off the program within this report,,"['Page 145:\n[¬s]""The academically gifted program of the Port Huron Area School District is enrichment-oriented, and aims at the following: An increase in the academic achievement, develop\xad ment of a greater critical thinking ability, a more realistic appraisal of one’s abilities, a greater responsibility for one\'s academic successes and failures, and a greater develop\xad ment in the following areas of personality: Emotional stability.[¬e]""', 'Page 146:\n[¬s]""social relationships, adjustment to reality, and leadership.[¬e]""']",NA,,['Local education authority or district'],NA,NA,,['Unclear/ Not specified'],NA,NA,,['Students'],NA,NA,,['Other (Explain in notes)'],NA,not explained,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,The children entered the program in grade 3 and were assessed in grade 9 - but the full program ran from grade 3 to grade 10.,,NA,No information provided,,NA,No information provided ,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['An organization commissioned independently to evaluate'],NA,NA,,No,,['Yes'],"['Page 98:\n[¬s]""Table I shows the mean and the median verbal and\nnon-verbal I.Q. scores for the experimental and control\ngroups as well as the standard deviations of the scores.\nThe reader can observe that the two groups were found\nsufficiently equivalent to justify using them for control\nand for experimental purposes.[¬e]""']",NA,,['No'],NA,NA,,['Yes'],NA,NA,,"['Other (please specify)', 'Gender']","['Page 98:\n[¬s]""Table I shows the mean and the median verbal and\nnon-verbal I.Q. scores for the experimental and control\ngroups as well as the standard deviations of the scores.[¬e]""', 'Page 98:\n[¬s]""that has been enrolled in the regular curriculum for the\nsame length of time) are equivalent In grade placement, I.Q.,\nchronological age and in the boy/girl ratio.[¬e]""', 'Page 98:\n[¬s]""and in the boy/girl ratio.[¬e]""']",NA,,['No'],NA,NA,
40642373,Bailey (1968),1968,['Setting or streaming'],NA,,"['Page 1:\n[¬s]""ABILITY GROUPING[¬e]""']",NA,,"['Page 10:\n[¬s]""in providing the algebra teachers with mimeographed\ncopies of chapter and cumulative tests at appro\xad\npriate time intervals. The writer scored these\ntests, returned them to the respective teachers so\nthat they could go over them with their students.\nAfter.this was accomplished.\nthe teachers\nthe tests to the Department Head who recorded the\nresults for her files and made an item analysis of\nthe questions which had been missed. Upon completion\nof this analysis, the tests were returned to the in\xad\nvestigator for filing.[¬e]""', 'Page 8:\n[¬s]""The writer had obtained permission from the\nDirector of Secondary Education in the St. Louis\nPublic School System to create two heterogeneous\nclasses. This was accomplished by transferring the\neven-numbered students, by alphabetically listed class\nroster, from a fourth period Track I class to a pre\xad\nviously designated fourth period Track II class and\nthe odd-numbered students, by alphabetically listed\nclass roster, from a fourth period Track II class to\na previously designated fourth period Track I class.\nUpon completion of these transfers there were three[¬e]""', 'Page 9:\n[¬s]""Track I classes, eleven Track II classes and two\nheterogeneous classes, ri^ive teachers were Involved\nJn teaching these classes; Teacher ""A"", taught the\nthree Track I classes and one Track II class;\nTeacher ""B” taught a heterogeneous class and four\nTrack II classes; Teacher ""C"" taught a heterogeneous\nclass and two Track II.classes; Teacher ""D"" taught\nthree Track II classes; Teacher ""E"" taught one Track\nII class.""\n""The Investigator received the full coopera\xad\ntion and support of the administration and Instruc\xad\ntional staff In obtaining data. During the first\nweek of classes,’ Form AM of the Lankton Flrst-Year\nAlgebra Test was administered to all students enrolled\nIn first year algebra classes by the teachers of those\nclasses. The answer sheets were machine-scored by\nthe Testing Bureau of the St. Louis Board of Education\nand the raw scores were recorded by the Investigator.\nThere was available. In the office of the\nHead of the Mathematics Department, a booklet con\xad\ntaining chapter and cumulative tests which was\npublished by the authors of the algebra textbook;\nThe writer secured permission to use It exclusively[¬e]""']",NA,,NA,improve the academic achievement of school children by finding the best way to group within classes,,['University/ researcher design'],NA,NA,,['No'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,1 school year,,NA,NA,,"['Page 14:\n[¬s]""one class\nperiod of approximately 50 minutes.[¬e]""']",50 minutes,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],NA,NA,,['Yes'],NA,NA,,['Yes'],NA,NA,,"['Educational attainment', 'Gender']","['Page 28:\n[¬s]""ANALYSIS OF COVARIANCE: MEANS AND STANDARD\nDEVIATIONS OF DEPENDENT, (RAW SCORE GAIN\nON LANKTON FIRST-YEAR ALGEBRA TEST), AND\nINDEPENDENT VARIABLES[¬e]""']",NA,,['No'],NA,NA,
40642374,Baiow (1963),1963,['Setting or streaming'],NA,,"['Page 2:\n[¬s]"" l) homoge~ neous grouping, ""\n"" and .\'3) heterogeneous grouping.[¬e]""']",NA,,"['Page 4:\n[¬s]"" all six:thgr.idc children participated. AU the children in this study had been grouped heterogene\xad ously in the first live grades. T\'he school uisng bomoge.neuosgrouping was doing so for t.hc second consecutive year at the sixth grade level for the purpose of improving rend~ ing and n:rithnict.icachievement. The results of the uchievemcnt testing program were used for grouping the children. Four ch1sses in~ volvcd, hence four homogeneous reading classes were formed for rending instruction one liotir e-ach day. Similarly, four homogeneous nrithmetio groups were fanned for one hour of arithmetic instructlon each duy. For the remninder of the school dny the children were grouped heterogeneously.""\n""Two schools using beterogeneou.s grouping were selected to serve for control purposes. In these schools children were assigned to self-contained classrooms as randomly ns possible. The teachers were expected to group for instruct.ion within their mvn classes as they saw fit.[¬e]""']",NA,,"['Page 3:\n[¬s]"" compare gro,,rth in achievement between bomogeneuos, duster, and heterogeneous plans for grouping hr three dif ~ fcrent intelligence levels of children in ten different facets of the elementary[¬e]""', 'Page 4:\n[¬s]""school curriculum. [¬e]""']","As per instructions, cluster grouping is not being observed here. ",,['School or group of schools'],NA,NA,,['Unclear/ Not specified'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,"['Page 5:\n[¬s]""The Octolx.-r achievement test score for each child was subtracted from tho June achievement test score. [¬e]""']",8 months,,"['Page 4:\n[¬s]""e-ach day.[¬e]""']",NA,,"['Page 4:\n[¬s]"" rending instruction one liotir e-ach day.""\n""one hour of arithmetic instructlon each duy.[¬e]""']",2 hours in total,,['Quantitative'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['No/Unclear'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,NA,NA,NA,,['No'],NA,NA,
40642377,Barton (1964),1964,['Setting or streaming'],NA,,"['Page 2:\n[¬s]""A B IL IT Y G R O U P IN G[¬e]""']",NA,,"['Page 23:\n[¬s]"" F o r t h i s s tu d y t h e 229 n i n t h g r a d e s t u d e n t s w e r e r a n k e d b y t h e E n g l i s h t e a c h e r s a c c o r d i n g to t h e s t u d e n t s \' p e r f o r m a n c e in e i g h t h g r a d e E n g l i s h . T h e 115 o d d - n u m b e r e d s t u d e n t s w e r e i d e n t i \xad f i e d a s t h e e x p e r i m e n t a l g r o u p . In t h i s e x p e r i m e n t a l g r o u p t h e to p t w e n t y - n i n e s t u d e n t s w e r e p u t i n t o o n e c l a s s (H o rn A ), t h e s e c o n d t w e n t y - n i n e i n a b i l i t y w e r e p u t i n a n o t h e r c l a s s (H orn B ), t h e t h i r d a b i l i t y g r o u p i n t o a n o t h e r c l a s s (H o rn C ), a n d t h e l o w e s t t w e n t y - e i g h t in t o a n o t h e r c l a s s (H orn D ). T h e 114 e v e n - n u m b e r e d s t u d e n t s w e r e h e t e r o g e n e o u s l y g r o u p e d i n t o f o u r E n g l i s h c l a s s e s a n d c a l l e d th e c o n \xad t r o l g r o u p . T h e D i f f e r e n t i a l A p ti tu d e T e s t w a s a d m i n i s t e r e d in O c t o b e r l 9 6 l a n d M a y 1962, a n d t h e s e s c o r e s w e r e u s e d to d e t e r m i n e t h e d e g r e e o f h o m o g e n e i t y o f t h e e x p e r i m e n t a l g r o u p s . T h e C a l i f o r n i a A c h i e v e m e n t T e s t w a s a d m i n i s t e r e d i n M a y 1961 a n d M a y 196 2. T h e s e s t a n d a r d i z e d p r e - t e s t a n d p o s t - t e s t s c o r e s w e r e u s e d t o d e t e r m i n e g a i n s b e t w e e n t h e t o t a l e x p e r i m e n t a l a n d c o n t r o l g r o u p s , b e t w e e n h o m o g e n e o u s a n d h e t e r o g e n e o u s s u b - g r o u p s b e t w e e n s t u d e n t s o f t e a c h e r s[¬e]""', 'Page 24:\n[¬s]""A a n d B , a n d b e t w e e n b o y s a n d g i r l s . A q u e s t i o n n a i r e d e t e r m i n e d th e a t t i t u d e s of p a r e n t s , s t u d e n t s , a n d t e a c h e r s t o w a r d a b i l i t y g r o u p \xad in g . . F r o m s c h o o l r e c o r d s t h e a t t e n d a n c e , c i t i z e n s h i p m a r k s , a n d s c h o l a r s h i p m a r k s i n E n g l i s h w e r e d e t e r m i n e d f o r e a c h s t u d e n t . T h e n u m b e r of u n d e r - a c h i e v e r s a n d f a i li n g s t u d e n t s w a s c o u n te d a n d * t a b u l a t e d f o r t h e h o m o g e n e o u s \' a n d c o n t r o l g r o u p s . A s o c i o - m e t r i c q u e s t i o n n a i r e w a s g iv e n t o d e t e r m i n e th e s tu d y c o m p a n io n s a n d f r i e n d s o f e a c h s t u d e n t . A nd f i n a l l y , a s p e l l i n g t e s t w a s g iv e n in A p r i l 1962, c o r r e c t e d b y t h e w r i t e r th e s a m e d a y a n d l a t e r c o r r e c t e d b y t h e o w n e r . A c o m p a r i s o n ‘of t h e s c o r e s w a s t h e n m a d e t o d e t e r \xad m i n e t h e d e g r e e o f h o n e s t y o f e a c h s tu d e n t .[¬e]""']",NA,,"['Page 21:\n[¬s]""a t t e m p t to e v a l u a t e th e p r a c t i c e o f a b i l i t y g r o u p in g i n th e n i n t h g r a d e[¬e]""', 'Page 22:\n[¬s]""E n g l i s h c l a s s e s t a u g h t a t a U ta h j u n i o r h i g h s c h o o l . I t w a s a l s o th e p u r p o s e of t h i s s tu d y to d e t e r m i n e t e a c h e r , S tu d e n t, a n d p a r e n t a t t i t u d e s t o w a r d a b i l i t y g r o u p in g .[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['No'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,"['Page 24:\n[¬s]""s c h o o l y e a r 1 9 6 1 - 1 9 6 2 , A u g u s t t h r o u g h M a y .[¬e]""']",NA,,NA,NA,,NA,NA,,"['Qualitative', 'Quantitative']",NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],"['Page 110:\n[¬s]""TABLE II\nRANGE OF GRADE EQUIVALENT SCORES FROM LANGUAGE\nSECTION OF CALIFORNIA ACHIEVEMENT TEST[¬e]""']","Table 2 shows differences in language achievement across the groups, table 3 shows comparisons of general intelligence",,['No'],NA,Only t-tests were used,,['Yes'],NA,NA,,"['Educational attainment', 'Gender']",NA,NA,,['Yes'],NA,Analyses also separated classes and gender in some t-tests,
40397348,Becker (1987),1987,['Setting or streaming'],NA,,NA,Within-Class Ability Grouping (page ii),,NA,"'...we address the issue of how different school organizational patterns affect the academic learning of students of different backgrounds and abilities. We do so with data from a statewide survey involving several hundred schools that differ substantially in their practices regarding instructional specialization, tracking, within class ability-grouping, and grade span. The data are from the 330 schools in the 1986 Pennsylvania Education Quality Assessment (E.Q.A.) that contained sixth grade classes tested as part of that assessment and which responded to our own survey of school and classroom practices...Altogether, more than 30,000 sixth-grade students in these schools were tested  our analysis focuses on a random one-third sample of students who were given one of three alternative forms of the achievement tests, and, in particular, the roughly 8,000 students for whom school organization variables are available.  (pages 6 - 7) ",,NA,'addresses the issue of how different school organizational patterns affect the academic learning of students of different backgrounds and abilities' (page ii),,['Local education authority or district'],NA,NA,,['No'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['No/Unclear'],NA,NA,,['No'],NA,NA,,['N/A'],NA,NA,,NA,NA,NA,,['No'],"['Page 17:\n[¬s]""Analysis was done at the student level because\ntoo few schools had substantial numbers of students in all four background categories,\nfrom ""low"" to ""high,"" for the school sub-group means to be reliable[¬e]""']",NA,
40642378,Bell (1959) 1_1,1959,['Setting or streaming'],NA,,"['Page 12:\n[¬s]""the Gifted Child Program[¬e]""']",No specific name given,,"['Page 11:\n[¬s]""The study program for the mentally gifted children was\nan enrichment program, with the regular course of study as\nthe basis. This enrichment program was scaled to the age and\nsocial level of the children.""\n""The regular subject matter was developed and extended\nbeyond that in a regular classroom through teacher-pupil con\xad\nferences, individualized instruction, special research projects,\nand educational excursions into the community. Through exten\xad\nsive work in literature, social studies, science, and history\nthe special study program was designed to increase the child1s\nknowledge, reasoning power, skill, alertness, and efficiency\nto the point where it was commensurate with his individual[¬e]""', 'Page 12:\n[¬s]""ability.\nAll children were given freedom to explore and experi\xad\nment in academic areas as well as in other areas in which\nthey were especially interested. The teacher encouraged them\nto do critical thinking and careful evaluation.\nThe study of French began in the fifth grade as an\nenrichment element.[¬e]""']",NA,,"['Page 12:\n[¬s]""The aims are:\nTo help each child grow and develop to the best\nof his ability.\nTo provide, in addition to the regular course of\nstudy for each grade, additional emphasis in\nliterature, social studies, science, and\nhistory and their relation to community better\xad\nment and world progress.[¬e]""', 'Page 13:\n[¬s]""To develop the skills and good work and study\nhabits the pupil needs to pursue his educa\xad\ntion on an advanced level*\nTo develop leadership, initiative, creative\nability and an appreciation for the con\xad\ntributions of others.\nTo help the pupil realize his responsibility\nfor the right use of his ability.\nTo raise the level of the pupil’s appreciation\nfor the fine arts.[¬e]""']",NA,,['School or group of schools'],NA,NA,,['Unclear/ Not specified'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,Within a homogeneous group rather than heterogeneous,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,The study lasted for twelve months (one academic year on the life of the  child),,NA,The intervention was part of daily provision throughout the academic year,,NA,It can be assumed that as part of the daily provision for the children the intervention lasted all day,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],NA,"Unclear if the beginning of the experimental period is before the intervention - the grouping of kids in homogenous groups, had started or not. Instructions ask us to code first testing as outcome time, not as baseline",,['Unclear or details not provided'],NA,NA,,['Yes'],NA,NA,,['Other (please specify)'],"['Page 115:\n[¬s]""One of the primary controllable factors, the I.Q. test,\nwas discussed in connection with Table 1. This test showed\nthat the two groups had almost equal potential and that there\nwas no statistically significant difference between the means[¬e]""', 'Page 116:\n[¬s]""of the two groups. In so far as this study is concerned,\nthe mental ability factor of these groups was controlled in\nthe selection of cases.""\n""In the area of basic personality traits of self\xad\nadjustment, no difference could be found between the groups\nin any of the components. A[¬e]""']",IQ,,['No'],NA,NA,
