id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
40397347,Abadzi (1984),1984,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642366,Adamson (1972),1972,['Setting or streaming'],NA,['Yes'],NA,NA,,"['Page 43:\n[¬s]""A total of one hundred eighty students were selected\nfrom the experimental school.[¬e]""']",180,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 44:\n[¬s]""A total of one hundred eighty\nstudents were selected from the control school.[¬e]""']",180,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642368,Adler (1963) 1_1,1963,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
45336713,Adler (1963) 1_2,1963,['Setting or streaming'],NA,['Yes'],"['Page 13:\n[¬s]""TABLE X\nADVANCED READING TEST SCORES[¬e]""']",NA,,"['Page 10:\n[¬s]""88[¬e]""']",88,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""68.78[¬e]""']",68.78,,"['Page 10:\n[¬s]""10.21[¬e]""']",10.21,,NA,NA,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""88[¬e]""', 'Page 10:\n[¬s]""88[¬e]""']",88,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""68.39[¬e]""']",68.39,,"['Page 10:\n[¬s]""11.53[¬e]""', 'Page 10:\n[¬s]""11.53[¬e]""']",11.53,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642369,Alam (1968),1968,['Setting or streaming'],NA,['Yes'],NA,for paragraph meaning here - primary outcome,,"['Page 114:\n[¬s]""(n = 16)[¬e]""']",16,,NA,NA,,NA,NA,,"['Page 114:\n[¬s]""55[¬e]""']",55,,"['Page 114:\n[¬s]""(3.0)[¬e]""']",3,,NA,NA,,NA,NA,,NA,NA,,"['Page 114:\n[¬s]""Contro 1 (n => 16)[¬e]""']",16,,NA,NA,,NA,NA,,"['Page 114:\n[¬s]""51[¬e]""']",51,,"['Page 114:\n[¬s]""(5.7)[¬e]""']",5.7,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642373,Bailey (1968),1968,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642374,Baiow (1963),1963,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642377,Barton (1964),1964,['Setting or streaming'],NA,['Yes'],NA,NA,,"['Page 122:\n[¬s]""101[¬e]""']",101,,NA,NA,,NA,NA,,"['Page 122:\n[¬s]""6 .646[¬e]""']",6.646,,"['Page 122:\n[¬s]""5 .802[¬e]""']",5.802,,NA,NA,,NA,NA,,NA,NA,,"['Page 122:\n[¬s]""103[¬e]""']",103,,NA,NA,,NA,NA,,"['Page 122:\n[¬s]""5. 376[¬e]""']",5.376,,"['Page 122:\n[¬s]""5 .5 4 0[¬e]""']",5.548,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40397348,Becker (1987),1987,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642378,Bell (1959) 1_1,1959,['Setting or streaming'],NA,['Yes'],NA,"Instructions ask us to code first testing as outcome. Therefore, i take the means and SD as post- ",,"['Page 70:\n[¬s]""homogeneous group was\nmade up of 30 pupils.[¬e]""']",30,,NA,NA,,NA,NA,,"['Page 98:\n[¬s]""7.9[¬e]""']",7.9,,"['Page 98:\n[¬s]""1.2[¬e]""']",1.2,,NA,NA,,NA,NA,,NA,NA,,"['Page 70:\n[¬s]""the heterogeneous\ngroup was made up of 30 pupils[¬e]""']",30,,NA,NA,,NA,NA,,"['Page 98:\n[¬s]""8.5[¬e]""']",8.5,,"['Page 98:\n[¬s]""0.9[¬e]""']",0.9,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],"['Page 65:\n[¬s]""Retesting in the spring followed the pattern of\noriginal testing, with the exception that the Metropolitan\nAchievement Test was added in the final testing position to\npermit evaluation of a complete year’s work,[¬e]""']","I don't take second testing as follow up, see instructions to coders",
