id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_desc_tool,out_type_tool,out_g1_n_tool,out_g1_mean_tool,out_g1_sd_tool,out_g2_n_tool,out_g2_mean_tool,out_g2_sd_tool,smd_tool,se_tool,co_lower_tool,ci_upper_tool,outcome_tool,out_samp_tool,out_comp_tool,out_es_type_tool,out_measure_tool,out_strand_tool,out_tit_red,out_desc_red,out_type_red,out_g1_n_red,out_g1_mean_red,out_g1_sd_red,out_g2_n_red,out_g2_mean_red,out_g2_sd_red,smd_red,se_red,co_lower_red,ci_upper_red,outcome_red,out_samp_red,out_comp_red,out_es_type_red,out_measure_red,out_strand_red,out_tit_wri,out_desc_wri,out_type_wri,out_g1_n_wri,out_g1_mean_wri,out_g1_sd_wri,out_g2_n_wri,out_g2_mean_wri,out_g2_sd_wri,smd_wri,se_wri,co_lower_wri,ci_upper_wri,outcome_wri,out_samp_wri,out_comp_wri,out_es_type_wri,out_measure_wri,out_strand_wri,out_tit_math,out_desc_math,out_type_math,out_g1_n_math,out_g1_mean_math,out_g1_sd_math,out_g2_n_math,out_g2_mean_math,out_g2_sd_math,smd_math,se_math,co_lower_math,ci_upper_math,outcome_math,out_samp_math,out_comp_math,out_es_type_math,out_measure_math,out_strand_math,out_tit_sci,out_desc_sci,out_type_sci,out_g1_n_sci,out_g1_mean_sci,out_g1_sd_sci,out_g2_n_sci,out_g2_mean_sci,out_g2_sd_sci,smd_sci,se_sci,co_lower_sci,ci_upper_sci,outcome_sci,out_samp_sci,out_comp_sci,out_es_type_sci,out_measure_sci,out_strand_sci
40397347,Abadzi (1984),1984,['Setting or streaming'],NA,ITBS,Iowa Test Basic Skills,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,0.3304,0.078,0.1775,0.4833,Primary outcome,['Sample: High achievers'],With business as usual,['Pre-post gain'],Combined subjects,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642366,Adamson (1972),1972,['Setting or streaming'],NA,Full Sample Math Overall ES (Meta Analysis),Computation + Arithmetic concepts + Arithmetic Application Subset - Full Sample x3,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,0.0866,0.0311,0.0257,0.1475,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Mathematics,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Full Sample Math Overall ES (Meta Analysis),Computation + Arithmetic concepts + Arithmetic Application Subset - Full Sample x3,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,0.0866,0.0311,0.0257,0.1475,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Mathematics,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642368,Adler (1963) 1_1,1963,['Setting or streaming'],NA,SATO Verbal - Streaming and Setting,Post-test only score of the Scholastic Aptitude Test (Ontario edition).,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,0.2348,0.0944,0.0498,0.4198,Primary outcome,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading other,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SATO  mathematical - Streaming and Setting,Post-test only score for the Scholastic Aptitude Test (Ontario Edition),['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,0.021,0.0941,-0.1633,0.2053,Secondary outcome(s),"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",With business as usual,['Post-test unadjusted (select one from this group)'],Mathematics,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336713,Adler (1963) 1_2,1963,['Setting or streaming'],NA,English Composition (Final Examinations) - Setting or Streaming,Post-test unadjusted mean score.,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",88.0,68.78,10.21,88.0,68.39,11.53,0.0357,0.1508,-0.2598,0.3312,Primary outcome,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: writing,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Overall Maths ES ,NA,['Mathematics primary outcome'],0.2463351,0.0,0.0,0.10958714,0.0,0.0,0.2463,0.1096,0.0315,0.4611,Secondary outcome(s),"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",With business as usual,['Post-test unadjusted (select one from this group)'],Mathematics,['Toolkit: Setting or streaming'],Overall Science ES,NA,['Science primary outcome'],0.08866933,0.0,0.0,0.11980657,0.0,0.0,0.0887,0.1198,-0.1462,0.3235,With business as usual,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",With business as usual,['Post-test unadjusted (select one from this group)'],Science,['Toolkit: Setting or streaming']
40642369,Alam (1968),1968,['Setting or streaming'],NA,Parag. Mean - S&S,"SAT (Stanford Achievement Test - Advanced Battery)  Reading – Setting and Streaming ""","['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,0.898,0.3709,0.1709,1.6251,Primary outcome,['Sample: Exceptional'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],Parag. Mean - S&S,"SAT (Stanford Achievement Test - Advanced Battery)  Reading – Setting and Streaming ""","['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,0.898,0.3709,0.1709,1.6251,Primary outcome,['Sample: Exceptional'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Overall Maths ES,NA,['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,0.2297,0.0792,0.0744,0.385,Secondary outcome(s),['Sample: Exceptional'],With business as usual,['Post-test unadjusted (select one from this group)'],Mathematics,['Toolkit: Setting or streaming'],Science - S&S,"SAT (Stanford Achievement Test - Advanced Battery)  Science – Setting and Streaming """,['Science primary outcome'],NA,NA,NA,NA,NA,NA,1.2905,0.3886,0.5288,2.0522,With business as usual,['Sample: Exceptional'],With business as usual,['Post-test unadjusted (select one from this group)'],Science,['Toolkit: Setting or streaming']
40642373,Bailey (1968),1968,['Setting or streaming'],NA,Lankton First-year algebra test (Homogenous),The Lankton First-Year Algebra Test is one of the tests in the Evaluation and Adjustment Series of high school tests and has been constructed to measure the extent to which students have achieved the important objectives of a high school course in first year algebra,"['Toolkit primary outcome', 'Mathematics primary outcome']",44.0,18.75,7.162,180.0,10.416,7.022,1.1782,0.1773,0.8307,1.5258,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],Mathematics,['Toolkit: Homework'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lankton First-year algebra test (Homogenous),The Lankton First-Year Algebra Test is one of the tests in the Evaluation and Adjustment Series of high school tests and has been constructed to measure the extent to which students have achieved the important objectives of a high school course in first year algebra,"['Toolkit primary outcome', 'Mathematics primary outcome']",44.0,18.75,7.162,180.0,10.416,7.022,1.1782,0.1773,0.8307,1.5258,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],Mathematics,['Toolkit: Homework'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642374,Baiow (1963),1963,['Setting or streaming'],NA,MAT Reading (homogeneous vs heterogeneous),Metrnpolitan Acllievement Tests - Reading homogeneous vs heterogeneous f-test ,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,0.195,0.17,-0.1382,0.5282,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],MAT Reading (homogeneous vs heterogeneous),Metrnpolitan Acllievement Tests - Reading homogeneous vs heterogeneous f-test ,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,0.195,0.17,-0.1382,0.5282,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642377,Barton (1964),1964,['Setting or streaming'],NA,California Reading Achievement (Reading Comprehension),Posttest means gain score and SD for whole experimental vs Control,"['Toolkit primary outcome', 'Reading primary outcome']",101.0,6.646,5.802,103.0,5.376,5.548,0.223,0.1405,-0.0524,0.4983,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],California Reading Achievement (Reading Comprehension),Posttest means gain score and SD for whole experimental vs Control,"['Toolkit primary outcome', 'Reading primary outcome']",101.0,6.646,5.802,103.0,5.376,5.548,0.223,0.1405,-0.0524,0.4983,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397348,Becker (1987),1987,['Setting or streaming'],NA,Overall Reading Within Class Ability Grouping v no grouping,"Overall Reading Within Class Ability Grouping v no grouping. Our analysis focuses on five achievement tests -- tests in mathematics, written English, reading comprehension, science knowledge, and social studies. Each test was relatively brief -- from 16 to 20 questions.","['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],Overall Reading Within Class Ability Grouping v no grouping,"Overall Reading Within Class Ability Grouping v no grouping. Our analysis focuses on five achievement tests -- tests in mathematics, written English, reading comprehension, science knowledge, and social studies. Each test was relatively brief -- from 16 to 20 questions.","['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Overall Maths Within Class Ability Grouping v no grouping,Overall Maths Within Class Ability Grouping v no grouping,['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,Secondary outcome(s),['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],Mathematics,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642378,Bell (1959) 1_1,1959,['Setting or streaming'],NA,MAT Reading - S&S,MAT (Metropolitan Achievement Test)  Reading -1st testing – Setting & Streaming,"['Toolkit primary outcome', 'Reading primary outcome']",30.0,7.9,1.2,30.0,8.5,0.9,-0.5583,0.2635,-1.0749,-0.0418,Primary outcome,['Sample: Exceptional'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],MAT Reading - S&S,MAT (Metropolitan Achievement Test)  Reading -1st testing – Setting & Streaming,"['Toolkit primary outcome', 'Reading primary outcome']",30.0,7.9,1.2,30.0,8.5,0.9,-0.5583,0.2635,-1.0749,-0.0418,Primary outcome,['Sample: Exceptional'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy: reading comprehension,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Overal Maths ES - Arith Found + Ar. Prob,NA,['Mathematics primary outcome'],-0.3847498,0.0,0.0,0.18488307,0.0,0.0,-0.3847,0.1849,-0.7471,-0.0224,Secondary outcome(s),['Sample: Exceptional'],With business as usual,['Post-test unadjusted (select one from this group)'],Mathematics,['Toolkit: Setting or streaming'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
