id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_ht,sample_analysed_info,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_prop_info,fsm_prop_ht,fsm_prop_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
40397347,Abadzi (1984),1984,['Setting or streaming'],NA,,"['Page 2:\n[¬s]"" 667 fourth-grade stu\xad dents present that day in the schools samp led, o f wh ich 284 were in high ability (vanguard) classes and 383 were in regular classes.[¬e]""']",NA,,['No information provided'],NA,NA,,NA,NA,,NA,NA,,NA,"['Page 2:\n[¬s]""n order not to introduce large socio-economic differences between schools, 24 buildings which received Chapter 1 funds for low achievers were excluded from the population. [¬e]""']",,NA,NA,,"['Page 2:\n[¬s]""284 were in high ability (vanguard)[¬e]""']",284,,"['Page 2:\n[¬s]""383 were\nin regular classes[¬e]""']",383,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40642366,Adamson (1972),1972,['Setting or streaming'],NA,,"['Page 43:\n[¬s]""A total of one hundred eighty students were selected from the experimental school. Ninety were seventh graders and ninety were eighth graders as the distribution in Figure 1 indicates.[¬e]""', 'Page 44:\n[¬s]"" A total of one hundred eighty students were selected from the control school[¬e]""']",NA,,['Mixed gender'],"['Page 43:\n[¬s]"" Thirty students were randomly selected by using a table of random numbers from each of the achievement groups (high, middle, and low) from both the seventh and the eighth grades at the experimental junior high. Fifteen of the selected subjects were male and fifteen were female.""\n""The statistical program was designed for samples of equal size, making it necessary to select equal numbers of males and females [¬e]""']",Roughly 50% of the sample are female. ,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 43:\n[¬s]""A total of one hundred eighty students were selected\nfrom the experimental school.[¬e]""']",180,,"['Page 44:\n[¬s]""A total of one hundred eighty\nstudents were selected from the control school.[¬e]""']",180,,NA,NA,,NA,NA,,"['Page 43:\n[¬s]""A total of one hundred eighty students were selected\nfrom the experimental school.[¬e]""']",180,,"['Page 44:\n[¬s]""A total of one hundred eighty\nstudents were selected from the control school.[¬e]""']",180,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0%,
40642368,Adler (1963) 1_1,1963,['Setting or streaming'],NA,,NA,"Full sample = 862. See Table 1, page 4. Acceleration group = 431, Control group = 431",,['Mixed gender'],NA,"See table 1, page 4. 420 males, and 442 females ",,NA,NA,,NA,NA,,"Socio-economic level given in Table 2, page 4",NA,,NA,NA,,"['Page 5:\n[¬s]""361[¬e]""']",361,,"['Page 5:\n[¬s]""361[¬e]""']",361,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 14:\n[¬s]""WITHDRA w ALS FROM GROUPS A AND C l>URING THE FIRST Two YEARS[¬e]""', 'Page 6:\n[¬s]""transfers, drop-outs, etc., in the latter drastically reduced the[¬e]""', 'Page 7:\n[¬s]""number of students in Groups A and C, frequently destroying the matching\nof pairs.[¬e]""']","Attrition was provided as the number of withdrawals in two years but instructions ask to code for year 2 of the study.  Also, transfers from one school to the other are not counted as part of withdrawals. But the paper fails to specify if these transfers occur strictly between participating schools.",,"['Page 14:\n[¬s]""109""\n""TABLE XI\nWITHDRA w ALS FROM GROUPS A AND C l>URING THE FIRST Two YEARS[¬e]""']",30.194 (estimate),,"['Page 14:\n[¬s]""109 (32%)\n2 (,6%)[¬e]""']",15.097%  (estimate),
45336713,Adler (1963) 1_2,1963,['Setting or streaming'],NA,,NA,T = 862 Treatment = 431 Control = 431,,['Mixed gender'],NA,"Male = 420, Female = 442",,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 4:\n[¬s]""361 matched pairs[¬e]""']",361,,"['Page 4:\n[¬s]""361 matched pairs[¬e]""']",361,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""88[¬e]""']",88,,"['Page 10:\n[¬s]""88[¬e]""', 'Page 10:\n[¬s]""88[¬e]""']",88,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 14:\n[¬s]""WITHDRA w ALS FROM GROUPS A AND C l>URING THE FIRST Two YEARS""\n""withdrawal will refer specifically either to reversion to\n:regular class or to leaving school for work, and will not include moving\n· m one school to another[¬e]""', 'Page 6:\n[¬s]""transfers, drop-outs, etc., in the latter drastically reduced the[¬e]""', 'Page 7:\n[¬s]""number of students in Groups A and C, frequently destroying the matching\nof pairs. In addition, one academic school discontinued its acceleration\nprogramme after two years[¬e]""']",The number of participants who withdrew does not include students who changed schools. It is unclear whether changing schools means moving from one participating school to another.,,"['Page 14:\n[¬s]""109[¬e]""']",≥ 30.194%,,"['Page 14:\n[¬s]""109 (32%)\n2 (,6%)""\n""WITHDRA w ALS FROM GROUPS A AND C l>URING THE FIRST Two YEARS[¬e]""']",≥ 15.097%,
40642369,Alam (1968),1968,['Setting or streaming'],NA,,"['Page 95:\n[¬s]""The experimental group was selected immediately. This group was made up of 16 youngsters (9 boys and 7 girls) who have been enrolled con\xad tinual iy in the gifted program since third grade.[¬e]""', 'Page 96:\n[¬s]"" 16 were finally selected for the control group.[¬e]""']",16 children in each group - so 32 in total,,['Mixed gender'],"['Page 95:\n[¬s]""(9 boys and 7 girls[¬e]""', 'Page 96:\n[¬s]"" The control group finally selected consisted of 8 boys and 8 girls.[¬e]""']",17 boys and 15 girls,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 95:\n[¬s]""The experimental\ngroup was selected immediately. This group was made up of 16\nyoungsters (9 boys and 7 girls) who have been enrolled con\xad\ntinual iy in the gifted program since third grade[¬e]""']",16,,"['Page 96:\n[¬s]""16 were finally selected for the control group.[¬e]""']",16,,NA,NA,,NA,NA,,"['Page 114:\n[¬s]""(n = 16)[¬e]""']",16,,"['Page 114:\n[¬s]""Contro 1 (n => 16)[¬e]""']",16,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40642373,Bailey (1968),1968,['Setting or streaming'],NA,,"['Page 8:\n[¬s]""In September 1964, 420 students[¬e]""']",420,,['Mixed gender'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 28:\n[¬s]""44""\n""15""\n""Track I\n(Heterogeneous)""\n""Track I\n(Homogeneou[¬e]""']",59 (Track 1),,"['Page 28:\n[¬s]""Track II\n(Homogeneous)""\n""Track II\n(Heterogeneous)[¬e]""']",196 (Track 2),,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40642374,Baiow (1963),1963,['Setting or streaming'],NA,,"['Page 5:\n[¬s]"" from N-197 in science to N=207 in word knowledge.[¬e]""']",Average of 202,,['No information provided'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 5:\n[¬s]""N=207 in word knowledge.[¬e]""']",69 (207/3),,"['Page 5:\n[¬s]""N=207 in word knowledge.[¬e]""']",69 (207/3),,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,NA,
40642377,Barton (1964),1964,['Setting or streaming'],NA,,"['Page 170:\n[¬s]"" 101 s t u d e n t s t a u g h t i n th e e x p e r i m e n t a l ( a b i l i t y s e c t i o n s ) g r o u p a n d th e 103 s t u d e n t s w h o w e r e r a n d o m l y g r o u p e d[¬e]""']",total = 204,,['Mixed gender'],NA,52% female (see Tables 7 and 8),,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 111:\n[¬s]""Horn To tal 102 .[¬e]""']",102,,"['Page 111:\n[¬s]""Het Total""\n""113[¬e]""']",113,,NA,NA,,NA,NA,,"['Page 122:\n[¬s]""101[¬e]""']",101,,"['Page 122:\n[¬s]""103[¬e]""']",103,,NA,NA,,NA,NA,,['Yes'],NA,NA,,"['Page 111:\n[¬s]""Horn To tal 102[¬e]""', 'Page 122:\n[¬s]""101""\n""E x p e r im e n ta l G roup[¬e]""']",0.9%,,"['Page 111:\n[¬s]""Horn To tal 102 .""\n""Het Total""\n""113[¬e]""', 'Page 122:\n[¬s]""103""\n""101""\n""E x p e r im e n ta l G roup""\n""C on tro l G roup[¬e]""']",5%,
40397348,Becker (1987),1987,['Setting or streaming'],NA,,NA,"8,000 (Abstract)",,['Mixed gender'],NA,"Mixed assumed based on schools and number of students, although no information provided.",,NA,NA,,NA,NA,,"'...there are substantial differences in background-related achievement even within this relatively homogeneous population. For this analysis, a ""background index"" was created from a prediction equation of socio-economic (S.E.S.) variables (father's and mother's education and books and magazines in the home), race (white vs. non-white), and residential instability (moves affecting school attendance) on individual student test scores (in reading, English, and math).' (page 8)",NA,,NA,NA,,"['Page 20:\n[¬s]""because only a small proportion of schools reported having homogeneous classes\nin English, science or social studies[¬e]""', 'Page 22:\n[¬s]""We focus primarily on mathematics and reading because within-class\nability-grouping for sixth-grade English, science and social studies is even less frequent\nthan between-class tracking in these subjects[¬e]""']",N for within class ability grouping not reported - note authors report this group to be small page 22 Total n = 9111 Low = 1271 Low middle = 3418 High middle = 3178 High = 1244,,NA,N for control not reported Total n = 9111 Low = 1271 Low middle = 3418 High middle = 3178 High = 1244,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40642378,Bell (1959) 1_1,1959,['Setting or streaming'],NA,,"['Page 13:\n[¬s]""This investigation was designed to compare the growth\nin personality, mental health, work-study skills, and achieve\xad\nment in reading, vocabulary, arithmetic fundamentals, arith\xad\nmetic problem solving, English, and spelling of 30 mentally\ngifted children in a homogeneous group icLth 30 mentally\ngifted children in heterogeneous groups.[¬e]""']",N = 60 Treatment = 30 Control = 30,,['No information provided'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 70:\n[¬s]""e homogeneous group was\nmade up of 30 pupils.[¬e]""']",30,,"['Page 70:\n[¬s]""the heterogeneous\ngroup was made up of 30 pupils[¬e]""']",30,,NA,NA,,NA,NA,,"['Page 70:\n[¬s]""homogeneous group was\nmade up of 30 pupils.[¬e]""']",30,,"['Page 70:\n[¬s]""the heterogeneous\ngroup was made up of 30 pupils[¬e]""']",30,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
45336718,Bell (1959) 1_2,1959,['Setting or streaming'],NA,,"['Page 122:\n[¬s]""This investigation sought to discover the differences\nin growth, if any, of 30 mentally gifted children in a homogene\xad\nous group as compared with 30 mentally gifted children hetero\xad\ngeneously grouped.[¬e]""']",N=60 homogeneous = 30 vs heterogeneous = 30,,['Mixed gender'],"['Page 69:\n[¬s]""The heterogeneous group was chosen by matching with\nthe homogeneous group, incorporating the factors of geographic\nlocation of residence within the city, sex, age, and I.Q.[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 70:\n[¬s]""homogeneous group was\nmade up of 30 pupils[¬e]""']",30,,"['Page 70:\n[¬s]""In this study the heterogeneous\ngroup was made up of 30 pupils[¬e]""']",30,,NA,NA,,NA,NA,,"['Page 70:\n[¬s]""the homogeneous group was\nmade up of 30 pupils.[¬e]""']",30,,"['Page 70:\n[¬s]""In this study the heterogeneous\ngroup was made up of 30 pupils[¬e]""']",30,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40642379,Bent (1969),1969,['Setting or streaming'],NA,,"['Page 38:\n[¬s]"" a total of eighty-six public and sixty-four Catholic pupils in the program. [¬e]""']","Public Program pupils  n=86, Catholic Program pupils  n=64. Public Comparison pupils  n=86, Catholic comparison pupils  n=64. Overall pupils analysed in study  n=300. From tables 2.13 and 2.14, pg14. ",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 38:\n[¬s]""Thin} nine of the public school class of 1964-65 and forty-seven of the class of 1965-66,""\n""total of eighty-six public[¬e]""']",86,,"['Page 33:\n[¬s]""A first match was run with rigorous standards and as many matched pairs selected as possible. The basis for\nmatching was then relaxed slightly and more matches made.[¬e]""', 'Page 34:\n[¬s]""39""\n""47[¬e]""']",86 ,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 38:\n[¬s]""A goal of fifty public and fifty Catholic fourth graders was established in order to have four classes of twenty-\nfive each. Each grade did not necessarily retain twenty-five pupils, as a result of withdrawals from the program due\nto parents moving, etc. Thin} nine of the public school class of 1964-65 and forty-seven of the class of 1965-66,\nthirty-two in each of the Catholic school classes of 1964-65 and 1965-66 were in the program throughout making a\ntotal of eighty-six public a[¬e]""']","14% but not sure if after the program started or not, not clear when the attrition occured =(100-86)/100*100",,NA,14%,,NA,NA,
40642380,Berkun (1966),1966,['Setting or streaming'],NA,,NA,"Experimental group  n=441, Control group  n=657, Overall  n=1098. From Table 1, pg414.",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 3:\n[¬s]""441[¬e]""']",441,,"['Page 3:\n[¬s]""657[¬e]""']",657,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""441[¬e]""']",441,,"['Page 3:\n[¬s]""657[¬e]""']",657,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40642381,Bicak (1962) 1_1,1962,['Setting or streaming'],NA,,"['Page 3:\n[¬s]""hcterogeneozis with 27 pupils, high homogeneous with 23 pupils, and ZOW homogeneoir.~with 2. 5 pu- pils. The total number of pupils involved in the study was 7.5.[¬e]""']",NA,,['No information provided'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 8:\n[¬s]""13""\n""14[¬e]""']","13 high heterogeneous, 14 low heterogeneous",,"['Page 8:\n[¬s]""23""\n""25[¬e]""']","23 high homogeneous, 25 low homogeneous",,NA,NA,,NA,NA,,NA,27,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40397376,Breidenstine (1936),1936,['Setting or streaming'],NA,,"['Page 16:\n[¬s]""2,325 children""\n""1,163 pupils were taught in undifferentiated classes while 1,162 were taught in differentiated classes.[¬e]""']",NA,,['Mixed gender'],"['Page 12:\n[¬s]""The pupils in both groups were matched for""\n"" sex,[¬e]""']",Percentile breakdown not provided,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,1162,,NA,1163,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,,NA,32%,,NA,32%,
40397363,Burris (2006),2006,['Setting or streaming'],NA,,"['Page 27:\n[¬s]""nearly 1,000 students.[¬e]""']",985 (see Table 1),,['Mixed gender'],NA,Assumed based n description of the high school but no data/information provided.,,NA,NA,,NA,"['Page 6:\n[¬s]"" approximately 145 high school students (13%) each year were eligible for free or reduced-price lunches[¬e]""']",,NA,"['Page 6:\n[¬s]""approximately 145 high school students (13%) each year were eligible for free or reduced-price lunches; of these, more than 98% were students of color.[¬e]""']",,NA,NA,,"['Page 10:\n[¬s]""508[¬e]""']",508,,"['Page 10:\n[¬s]""477[¬e]""']",477,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""508 post-universal-acceleration participants[¬e]""']",508,,"['Page 10:\n[¬s]""477 pre-universal-\nacceleration[¬e]""']",477,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40642386,Campbell (1965),1965,['Setting or streaming'],NA,,"['Page 40:\n[¬s]"" 440 pupils (220 in each junior high school)[¬e]""']",NA,,['No information provided'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 53:\n[¬s]""Experimental 118[¬e]""']",118,,"['Page 53:\n[¬s]""Control 119[¬e]""']",119,,NA,NA,,NA,NA,,"['Page 58:\n[¬s]"" 117[¬e]""']",117,,"['Page 53:\n[¬s]""Control 119[¬e]""', 'Page 58:\n[¬s]"" 118[¬e]""']",118,,NA,NA,,NA,NA,,['Yes'],"['Page 58:\n[¬s]""Two pupils transferred out during the second semester.[¬e]""']",NA,,"['Page 58:\n[¬s]""Pre-Test Post-Test""\n"" 118""\n"" 117[¬e]""']",0.8,,"['Page 58:\n[¬s]""Pre-Test Post-Test""\n"" 237""\n""235[¬e]""']",0.8,
