id,pub_author,pub_year,pub_eppi,pub_eppi_CLEAN,abstract,strand_raw,FB_Update_2020,strand_CLEAN,sample_analysed_ht,sample_analysed_info,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_info_info,fsm_info_ht,fsm_na,fsm_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
37092570,Adler (1998),1998,Dissertation,,"The purpose of this study was to determine if instruction in the Six Traits improved third grade students' writing abilities and their attitudes towards writing. A control group recieved no instruction in the traits of idea and content, organization, voice, word choice, sentence fluency and conventions while the experimental group did receive instruction. Writing samples were taken from both groups prior to instruction. Instruction lasted approximately one semester. Another sample was taken in January. Students at Wichita State University scored all of the samples, and then pre and posttest scores were compared for the two groups. A writing attitude survey was also administered in the fall and in January. Once again, pre and posttest scores were compared. It was concluded that instruction in the Six Traits significantly effected third grade students in the traits of voice and word choice.",['Feedback'],NA,,"['Page 21:\n[¬s]""The experimental group had 22 boys and 22 girls, all of European-American descent. The control group had 17 girls and 20 boys, also all of European-American descent.[¬e]""']",Overall sample included 81 children. ,,['Mixed gender'],"['Page 21:\n[¬s]""The experimental group had 22 boys and 22 girls, all of European-American descent. The control group had 17 girls and 20 boys, also all of European-American descent.[¬e]""']",Female pupils   39/81 = 48%  Male Pupils   42/81= 52%,,NA,NA,NA,NA,NA,,"['Page 21:\n[¬s]"" The experimental group had 22 boys and 22 girls[¬e]""']",44,,"['Page 21:\n[¬s]"" The control group had 17 girls and 20 boys[¬e]""']",37,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0%,,NA,0%,
46887859,Algozzine (2009),2009,"Journal, Article",,"Fluent oral reading is essential for success in elementary school. In this study, we investigated the effectiveness of enhanced reading fluency instruction for struggling readers. The intervention was provided to small groups of students at risk for reading difficulties. Students were assessed on key early literacy skills. Second-grade students who were at risk for reading failure and who received supplemental intervention scored higher on measures of fluency than students who received only typical classroom instruction  the effects of enhanced fluency instruction were evident across different dosages for many children at risk for reading failure. In addition, statistically significant improvements and relationships were evident for oral reading fluency and comprehension. We discuss guidelines for developing and using the intervention in other classrooms.",NA,['Feedback'],,"['Page 4:\n[¬s]""we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools.[¬e]""']","50 in intervention, 50 in the control group. no information for omissions etc.",,['Mixed gender'],"['Page 4:\n[¬s]""Girls (48%) and boys (52%)[¬e]""']",NA,,NA,"['Page 4:\n[¬s]""and more than 70%[¬e]""', 'Page 5:\n[¬s]""of the students were on the free or reduced-price lunch program at their schools.[¬e]""']",NA,NA,NA,,"['Page 4:\n[¬s]""50 children[¬e]""']",50,,"['Page 4:\n[¬s]""50 children[¬e]""']",50,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""50 children[¬e]""']",NA,,"['Page 4:\n[¬s]""50 children[¬e]""']",50,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0%,
46887861,Amendum (2011),2011,"Journal, Article",,"The purpose of this study was to evaluate the efficacy of a classroom-teacher-delivered reading intervention for struggling readers called the Targeted Reading Intervention (TRI), designed particularly for kindergarten and first-grade teachers and their struggling students in rural, low-wealth communities. The TRI was delivered via an innovative Web-conferencing system using laptop computers and webcam technology. Seven schools from the southwestern United States were randomly assigned to experimental and control conditions in a cluster randomized design. All children in the study (n = 364) were administered a battery of standardized reading skill tests in the fall and spring of the school year. Intent-to-treat analyses were conducted to estimate mixed models of children's 1-year growth in Word Attack, Letter/Word Identification, Passage Comprehension, and Spelling of Sounds. Results showed that struggling readers from experimental schools outperformed those from control schools on all spring reading outcomes, controlling for fall scores. ",NA,['Feedback'],,NA,Experimental Focal (n = 112) Experimental NonFocal (n = 125) Control Focal (n = 63) Control NonFocal (n = 64),,['Mixed gender'],NA,"Experimental Focal (Female = 44, Male = 68) Experimental NonFocal (Female = 71, Male = 54) Control Focal (Female = 25, Male = 38) Control NonFocal (Female = 33, Male = 31)",,NA,"['Page 9:\n[¬s]""and most of the students (56.7%–78.4%) were\neligible for free or reduced-price lunch[¬e]""']",NA,NA,NA,,"['Page 11:\n[¬s]""Experimental\nFocal\n(n ⫽ 112)""\n""Experimental\nNonfocal\n(n ⫽ 125)[¬e]""']",112 (Focal)+ 125 (non-focal),,"['Page 11:\n[¬s]""Control\nFocal\n(n ⫽ 63)""\n""Control\nNonfocal\n(n ⫽ 64)[¬e]""']",63(Focal)+64(Non-focal),,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37092749,Anderson (1973),1973,Dissertation,,"The first strategy was a mastery learning strategy in which the students were provided with immediate feedback of results, corrective procedures, and additional time and help, if needed. All students in this class were brought to an 85% correct level of achievement in each unit (85ML Class). The second strategy was a mastery learning strategy (see above) in which all students were brought to a 75% correct level of achievement in each unit (75ML Class). The third strategy was a conventional teaching-learning strategy in which students read the programmed text on each unit, were given a test over that unit, and moved on to the next unit (CONV Class). Students learned three sequential units of matrix arithmetic in a programmed text format. The material was developed by Block (1970). Prior to the experiment, students were administered a pre-test on matrix arithmetic. Further, prior to each learning unit students were asked how interesting they thought the unit would be and how well they thought they would do on the unit. The experiment proceeded as follows. All three classes read unit one of their programmed texts. After they had finished they took a formative test. After the formative test was corrected, those students in the 75ML and 85ML classes who did not attain their appropriate per cent correct were given additional time and help in order to correct their mistakes. The conventional class, on the other hand, was finished with that particular unit. After the students in the two mastery classes corrected their mistakes, they were given a review test over the number of problems that they had incorrect initially which, when done correctly, would bring them up to the criterion level. The learning proceeded in the same manner for all three units. Each day one, and only one, unit was covered. Following the experiment, a summative post-test was given to all three classes. In both the naturalistic and the experimental study achievement was measured by tests based on the content which was covered during the period of time during which the study was conducted. When corrected multiple correlations were used to investigate the relationship of the composite of the antecedent variables and time-on-task, the antecedent variables account for between 25% and 67% of the variation in time-on-task. Since, however, only one, or at most two, of the three antecedent variables could be corrected for attenuation before being placed in the multiple regression analysis it is believed that the findings represent an underestimate of the relationship between the antecedent variables and time-on-task. ",['Feedback'],NA,,"['Page 54:\n[¬s]"" 26, 27, and 29 students who had completed the entire sequence.[¬e]""']","Overall, 82 students in experimental study.",,['Male only'],"['Page 58:\n[¬s]""he""\n"" he""\n""he[¬e]""']","Not stated that the sample was all male, however author refers to students using male pronouns. ",,NA,NA,NA,NA,NA,,"['Page 54:\n[¬s]"" 26, 27,[¬e]""']",53,,"['Page 54:\n[¬s]""29 students[¬e]""']",29,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,Not Reported,
37092571,Andrade (2008),2008,"Journal, Article",,"The purpose of this study was to investigate the effect of reading a model written assignment, generating a list of criteria for the assignment, and self‐assessing according to a rubric, as well as gender, time spent writing, prior rubric use, and previous achievement on elementary school students' scores for a written assignment (N = 116). Participants were in grades 3 and 4. The treatment involved using a model paper to scaffold the process of generating a list of criteria for an effective story or essay, receiving a written rubric, and using the rubric to self‐assess first drafts. The comparison condition involved generating a list of criteria for an effective story or essay, and reviewing first drafts. Findings include a main effect of treatment and of previous achievement on total writing scores, as well as main effects on scores for the individual criteria on the rubric. The results suggest that using a model to generate criteria for an assignment and using a rubric for self‐assessment can help elementary school students produce more effective writing.",['Feedback'],NA,,"['Page 3:\n[¬s]""116 volunteer participants.[¬e]""', 'Page 6:\n[¬s]""Comparison Male 23.92 5.22 23 Female 24.73 4.18 23 Total 24.33 4.69 46 Treatment Male 27.25 4.77 29 Female 29.32 4.82 41 Total 28.46 4.87 70 Total Male 25.78 5.20 52 Female 27.67 5.07 64 Total 26.82 5.19 116[¬e]""']",NA,,['Mixed gender'],"['Page 3:\n[¬s]""Among the participants, 52 (44.8%) were boys, and 64 (55.2%) were girls.[¬e]""']",NA,,NA,NA,NA,NA,NA,,"['Page 3:\n[¬s]""Three classes were grade 3 (N = 46) and four were grade 4 (N = 70).[¬e]""', 'Page 6:\n[¬s]""Table 3.""\n""Treatment""\n""70[¬e]""']",70,,"['Page 3:\n[¬s]""Three classes were grade 3 (N = 46) and four were grade 4 (N = 70)[¬e]""', 'Page 6:\n[¬s]""Table 3.""\n""Comparison""\n""46[¬e]""']",46,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
47515942,Armour-Thomas (1987),1987,"Journal, Article",,"The effects of different types of feedback in computer assisted instruction (CAI) on relational concept learning by young children were compared in this study. Subjects were 89kindergarten students whose primary language was English, and whose performance on the Boehm Test of Basic Concepts was within the average range chosen from classes in a predominantly low income NewYork City school district. Nine relational concepts were selected forCAI over a six-week period, and three conditions of computer-generated feedback--textual, symbolic, and pictorial--were presented to the experimental groups. A control group participated in a color matching game on the computer. Motivational effects were measured by time and trials-to-criterion on the computer, and the Boehm Test of Basic Concepts was used to measure the immediate and delayed effects of CAI on the children's level of knowledge of basic relational concepts. Results indicated that, although children's performance across experimental groups was significantly better than the performance of the control group, there were no significant differences in performance among the feedback groups. These results suggest that learning within a microcomputer environment may be intrinsically stimulating for very young children. ",NA,['Feedback'],,"['Page 7:\n[¬s]""92 subjects[¬e]""']",NA,,['Mixed gender'],"['Page 7:\n[¬s]""44 boys and 45 girls[¬e]""']",NA,,NA,NA,the students attend a school which is predominantly for low income,"['Page 7:\n[¬s]""in a predominantly low\nincome New York City school district ([¬e]""']",NA,,"['Page 17:\n[¬s]""N = 23""\n""N = 21""\n""N = \'n.\'n.[¬e]""']",66,,"['Page 17:\n[¬s]""N = 23[¬e]""']",23,,NA,NA,,NA,NA,,"['Page 17:\n[¬s]""N = 23""\n""N = 21""\n""N = \'n.\'n.[¬e]""']",66,,"['Page 17:\n[¬s]""N = 23[¬e]""']",23,,NA,NA,,NA,NA,,['Yes'],"['Page 7:\n[¬s]""92 subjects was selected""\n""89 subjects""\n""completed the study\n(three subjects were absent for the posttest)[¬e]""']",NA,,NA,0,,"['Page 7:\n[¬s]""89 subjects""\n""completed the study\n(three subjects were absent for the posttest)""\n""92 subjects was selected[¬e]""']",3.260%,
37092572,Arter (1994),1994,Conference Proceedings,,"Teachers, districts, and states working with the Northwest Regional Education Laboratory have been using a six-trait analytical scoring assessment model for student writing. The six traits are  (1) ideas  (2) organization  (3) voice  (4) word choice  (5) sentence fluency  and (6) conventions. For the last 4 years, the Northwest Regional Education Laboratory has been training teachers to teach students to be assessors of writing using the same six traits. This study was conducted to investigate the usefulness of this approach. Six classrooms of fifth graders participated, 67 in the treatment (integration) group and 65 in the control (observation) group. Teachers were taught scoring strategies and were visited by project staff to assist in implementing them. Pretest scores were very similar for both groups. The treatment group gained the most on those traits receiving the most emphasis in instruction, in proportion to the amount of time spent on them and in the order in which they were introduced  their performance on other traits improved slightly. Students in the control group improved slightly on two traits and remained at nearly the same level on the other four. One figure and two tables present study findings. Appendixes contain the student scoring guide and a scoring guide for adult scorers.",['Feedback'],NA,,"['Page 4:\n[¬s]""Six classrooms of fifth graders""\n"" Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition.""\n""There were 67 students in the integration group and 65 students in the observation group.[¬e]""']",NA,,['Mixed gender'],NA,"Not stated in the text. Since not stated otherwise, assumed to be mixed. ",,NA,NA,NA,NA,NA,,"['Page 4:\n[¬s]""Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition. There were 67 students in the integration group[¬e]""']",67,,"['Page 4:\n[¬s]""Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition.""\n"" 65 students in the observation group.[¬e]""']",65,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37061105,Aumiller (1963),1963,Dissertation,,"Programmed instruction is now an established fact. This statement is substantiated by the existence of approximately 83 teaching devices now either on the market or being developed and by the publication of 630 programmed courses. The advent and development of these materials are phenomenal when one considers that as recently as two years ago it would have been difficult to locate a dozen complete programs in the entire country. A considerable amount of research has been done and to date no experimental evidence has been uncovered which definitely indicates that knowledge of results is as important a factor in learning as some authors declare. It was the purpose of the present study to determine whether or not students who have 'the simple pleasure of being right' as Skinner says, will learn a subject better than students who do not know whether or not their responses are correct. Will third and fifth grade pupils using a self teaching program in spelling learn more words when knowledge of results in the form of readily available correct answers is provided than students to whom no knowledge of results is given? Also will third and fifth grade pupils using a self-teaching program in spelling commit fewer errors when knowledge of results in the form of readily available correct answers is provided than students to whom no knowledge of results is given?",['Feedback'],NA,,NA,"For the final sample analysed  Grade 3 Experimental = 40, Grade 3 Control = 40, Grade 3 overall = 80. Grade 5 Exp = 56, Grade 5 Con = 54, Grade 5 Overall = 110. Both Grades Exp = 96, Both Grades Con = 94, Both Grades Overall = 190. From Table V on pg73.",,['No information provided'],NA,NA,,NA,NA,NA,"['Page 3:\n[¬s]""Elementar.y students in the Mil ton A.Na Joint School Dis\xad t r i c t are from m.iddle and lowr middle cl.a.ss :t>ackgroun.dS.[¬e]""']",NA,,"['Page 29:\n[¬s]""40""\n""56[¬e]""']",96,,"['Page 29:\n[¬s]""40""\n""54[¬e]""']",94,,NA,NA,,NA,NA,,"['Page 29:\n[¬s]""40""\n""56[¬e]""']",96,,"['Page 29:\n[¬s]"" 40""\n"" 54[¬e]""']",94,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
46888119,Baadte (2014),2014,"Journal, Article",,"This study tested the assumption that the effectiveness of feedback with regard to performance, motivation, and affect is moderated by the learners' self-concept. A total of 72 sixth-graders completed a web-based interactive learning program. Half of the sample received feedback and the other half received no feedback. Differential feedback effects were detected. For students with a positive academic self-concept, feedback led to a decline in performance and in mood but an increase in effort. With regard to participants with a negative self-concept, feedback worked against the decrease in mood but did not increase performance and motivation. These findings support the claim that feedback effects should be assessed with regard to (1) multiple dimensions and (2) possible moderating variables.",NA,['Feedback'],,"['Page 6:\n[¬s]""72[¬e]""']","72 participants, it is assumed that the groups were split evenly (i.e. 36 participants in experimental and 36 in control)",,['Mixed gender'],NA,"38 females, 34 males",,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 8:\n[¬s]""72 participants[¬e]""']",36,,"['Page 8:\n[¬s]""72 participants[¬e]""']",36,,NA,NA,,NA,NA,,"['Page 8:\n[¬s]""72 participants[¬e]""']",36,,"['Page 8:\n[¬s]""72 participants[¬e]""']",36,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0%,
46887945,Back (2005),2005,"Journal, Article",,"The purpose of this study is to demonstrate that performance assessment increases educational value in teaching-learning activities using a quasi-experimental research design. In this research, the three measurement criteria of educational value are suggested as ""improvement & advancement,"" ""sincerity & enthusiasm,"" and ""individuality & wholeness."" A pre-test was administered to 4 classes (156 students) in 7th grade. Classes were divided into an experimental group (2 classes, 79 students) and a control group (2 classes, 77 students), according to the pre-test results. Only the experimental group was involved in the performance assessment for 9 weeks. The results of this study show that performance assessment has a positive effect on the educational value of teaching-learning activities in schools.",NA,['Feedback'],,"['Page 3:\n[¬s]""156 students[¬e]""']",Experimental = 79 Control = 77,,['No information provided'],NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 3:\n[¬s]""79[¬e]""']",79,,"['Page 3:\n[¬s]""77[¬e]""']",77,,NA,NA,,NA,NA,,NA,79,,"['Page 3:\n[¬s]""77[¬e]""']",77,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0%,
