id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
39717125,Acalin (1995),1995,['Dissertation or thesis'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1119,0.2464,['Post-test unadjusted (select one from this group)'],Woodcock Reading Recovery v. Small Group post test only,With active control,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1119,0.2464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,5,['Primary/elementary school'],"['5', '6', '7', '8', '9', '10']",NA,NA,['USA'],['Retrospective QED  '],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],40,5,30,['Toolkit: One to one tuition']
47269763,Aist (2001) 1 1,2001,['Book or book chapter'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1112,0.2348,NA,Woodcock Mastery of Reading Test,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.1112,0.2348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,1,NA,['Primary/elementary school'],"['7', '8', '9']",NA,NA,['USA'],['Prospective QED'],"['Large group/class teaching (+6)', 'One to one']",['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Class teachers'],40,"Not specified, not sure whether they undertook the intervention for one subject or multiple, the frequency of those subjects are also not mentioned","Not specified, the length of a typical classroom session is to be assumed, although one-to-one human tutoring portion of the condition does not appear to occur throughout a whole class period.",NA
39717210,Allor (2004),2004,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.53,0.24,['Post-test adjusted for baseline attainment'],WJR Passage Comprehension (cohort 1),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.53,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,12,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],24,3.5,20,['Toolkit: One to one tuition']
39717230,Baker (2000),2000,['Journal article'],"['One to one tuition', 'Oral language interventions']","['Toolkit primary outcome', 'Reading primary outcome']",0.2839,0.2194,['Post-test adjusted for baseline attainment'],WRMT-R Passage Comprehension-Post test scores,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2839,0.2194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,6,24,['Primary/elementary school'],"['6', '7', '8']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Lay persons/volunteers'],24,2,30,"['Toolkit: One to one tuition', 'Toolkit: Oral language interventions']"
50752646,Benner (2004),2004,['Dissertation or thesis'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.9158,0.3524,['Post-test unadjusted (select one from this group)'],DIBELS  nonsense word,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.9158,0.3524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,7,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],5,5,20,['Toolkit: One to one tuition']
40294886,Bingham (2010) 1 1,2010,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",1.5469,0.2942,['Pre-post gain'],Spelling accuracy  Small group tuition,With business as usual,['Sample: Low achievers'],Literacy  spelling,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,2,5,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],40,3,30,['Toolkit: One to one tuition']
39717191,Blachman (2004),2004,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.7405,0.25,['Post-test unadjusted (select one from this group)'],CTOPP Word Reading (follow up only),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.7405,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,11,NA,['Primary/elementary school'],"['7', '8', '9']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],NA,NA,NA,['Toolkit: One to one tuition']
50752647,Bøg (2019),2019,['Technical report'],"['One to one tuition', 'Phonics']","['Toolkit primary outcome', 'Reading primary outcome']",0.9629,0.1694,['Post-test unadjusted (select one from this group)'],Decoding  1-1 ,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.9629,0.1694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,12,NA,['Primary/elementary school'],"['6', '5', '7']",NA,NA,['Sweden'],['Individual RCT'],"['Small group/intensive support (3-5)', 'One to one']","['Yes (Please specify)', 'Unclear/ Not specified']",['No'],['No'],['During regular school hours '],['Unclear/not specified'],9,3.5,13,['Toolkit: One to one tuition']
50752648,Borman (2019),2019,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4,0.18,['Post-test adjusted for baseline attainment'],Logramos  comprehension,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,15,27,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],16,5,30,['Toolkit: One to one tuition']
39717192,Brown (2005),2005,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",1.1802,0.2373,['Post-test adjusted for baseline attainment'],Woodcock passage comprehension  test score-one on one tuition,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.1802,0.2373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,7,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11', '12']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Teaching assistants', 'Class teachers']",40,2,45,['Toolkit: One to one tuition']
39717107,Burroughs-Lange (2007),2007,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",1.779,0.1587,['Post-test adjusted for baseline attainment'],British Ability Scale Word Reading Test II(BAS Age)-Reading recovery,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.779,0.1587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,42,NA,['Primary/elementary school'],"['5', '6']",NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],40,5,10,['Toolkit: One to one tuition']
39717127,Butler (1991) 1 1,1991,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6275,0.3247,['Post-test unadjusted (select one from this group)'],Neale Analysis of Reading Test,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6275,0.3247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,NA,['Primary/elementary school'],"['9', '10']",NA,NA,['Australia'],['Individual RCT'],['One to one'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Lay persons/volunteers'],8,3,20,['Toolkit: One to one tuition']
39717108,Center (1995),1995,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",1.3611,0.3131,['Post-test unadjusted (select one from this group)'],Burt Word Reading Test,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.3611,0.3131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,10,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['Australia'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],15,2,30,['Toolkit: One to one tuition']
49769743,Chapman (2001),2001,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.4776,0.3019,['Post-test unadjusted (select one from this group)'],Burt Word Test Gilmore et al,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.4776,0.3019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['New Zealand'],['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],16,5,35,['Toolkit: One to one tuition']
37671546,Clarke (2017),2017,['Journal article'],"['Teaching assistants', 'Phonics', 'One to one tuition']","['Toolkit primary outcome', 'Reading primary outcome']",0.4545,0.172,['Post-test adjusted for baseline attainment AND clustering'],NGRT Reading Comprehension (RI + C),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4545,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,27,NA,['Secondary/High school'],"['11', '12', '13']",FALSE,30.0,"['UK (Select all that apply)', 'England']",['Multisite RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],20,3,35,['Toolkit: Teaching assistants']
39717231,Cobb (2001),2001,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1296,0.2607,['Post-test adjusted for baseline attainment'],Reading comprehension - peer tutoring,With business as usual,['Sample: Average'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1296,0.2607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2,NA,['Primary/elementary school'],"['9', '6', '7', '8']",TRUE,100.0,['USA'],['Multisite RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Lay persons/volunteers'],10,2,45,['Toolkit: One to one tuition']
39717130,Compton (1992),1992,['Dissertation or thesis'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",1.9615,0.1113,['Post-test unadjusted (select one from this group)'],Reading comprehension (plus all subsets) - peer tutoring,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.9615,0.1113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,NA,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],['Lay persons/volunteers'],14,4,30,['Toolkit: Peer Tutoring']
39717111,Consortium (2013),2013,['Technical report'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6051,0.0695,['Post-test unadjusted (select one from this group)'],ITBS Total Reading scores - Reading Recovery,With business as usual,['Sample: Average'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6051,0.0695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,862,628,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],16,5,30,['Toolkit: One to one tuition']
39717232,Cook (2001),2001,['Dissertation or thesis'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2358,0.395,['Post-test adjusted for baseline attainment'],Wide Range Achievement Test (WRAT3) test score Grade 1-one on one tuition,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2358,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1,NA,['Primary/elementary school'],"['6', '7', '8', '9']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Lay persons/volunteers'],24,2,45,['Toolkit: One to one tuition']
38296609,Demack (2016),2016,['Technical report'],['One to one tuition'],"['Toolkit primary outcome', 'Other outcome']",0.07,0.0739,['Post-test adjusted for baseline attainment AND clustering'],Cohort 1 - KS4 GCSE Attainment,With business as usual,['Sample: All'],Combined subjects,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,4,NA,['Secondary/High school'],"['14', '15', '16']",NA,NA,"['UK (Select all that apply)', 'England']","['Cluster RCT', 'Multisite RCT']","['Small group/intensive support (3-5)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],24,5,20,['Toolkit: One to one tuition']
39717131,Dorval (1978) 1 1,1978,['Journal article'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6578,0.3256,['Post-test unadjusted (select one from this group)'],CTBS Total Reading score-one to one tuition,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6578,0.3256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],28,5,30,['Toolkit: One to one tuition']
