id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
39717125,Acalin (1995),1995,['One to one tuition'],NA,Woodcock Reading Recovery v. Small Group post test only,,This instrument was individually administered to each student by Resource Specialists to measure students' reading achievement. The standard scores from the Woodcock Johnson were the main scores utilized for purpose of comparison in this study. Post-test scores for Reading Recovery vs Project Read (comparison) were extracted as primary outcomes.,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1119,,0.2464,,Literacy: reading comprehension,,33.0,,81.55,,11.94,,33.0,,82.85,,11.0,,-0.5948,,0.371,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Woodcock Reading Recovery v. Small Group post test only,,This instrument was individually administered to each student by Resource Specialists to measure students' reading achievement. The standard scores from the Woodcock Johnson were the main scores utilized for purpose of comparison in this study. Post-test scores for Reading Recovery vs Project Read (comparison) were extracted as primary outcomes.,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1119,,0.2464,,Literacy: reading comprehension,,33.0,,81.55,,11.94,,33.0,,82.85,,11.0,,-0.5948,,0.371,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47269763,Aist (2001) 1:1,2001,['One to one tuition'],NA,Woodcock Mastery of Reading Test,,Combined means and SD's for gain scores normed by grade.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1112,,0.2348,,Literacy: reading comprehension,,34.0,,3.883,,6.598,,39.0,,3.076,,7.645,,-0.349,,0.5715,,Primary outcome,,NA,,With business as usual,,NA,,NA,,Woodcock Mastery of Reading Test,,Combined means and SD's for gain scores normed by grade.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1112,,0.2348,,Literacy: reading comprehension,,34.0,,3.883,,6.598,,39.0,,3.076,,7.645,,-0.349,,0.5715,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39717210,Allor (2004),2004,['One to one tuition'],NA,WJR Passage Comprehension (cohort 1),,F-test-Achievement Scores,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.53,,0.24,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0596,,1.0004,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,WJR Passage Comprehension (cohort 1),,F-test-Achievement Scores,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.53,,0.24,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0596,,1.0004,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39717230,Baker (2000),2000,"['One to one tuition', 'Oral language interventions']",NA,WRMT-R Passage Comprehension-Post test scores,,The Passage Comprehension subtest of the Woodcock Reading Mastery Test-Revised was used to assess reading comprehension. . The child read a portion of text silently and then supplied a missing word appropriate to the context of the passage. Administration time for this test ranged from 10 minutes to 25 minutes. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2839,,0.2194,,Literacy: reading comprehension,,43,,468.9,,16,,41,,464.7,,13.1,,-0.1462,,0.714,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,WRMT-R Passage Comprehension-Post test scores,,The Passage Comprehension subtest of the Woodcock Reading Mastery Test-Revised was used to assess reading comprehension. . The child read a portion of text silently and then supplied a missing word appropriate to the context of the passage. Administration time for this test ranged from 10 minutes to 25 minutes. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2839,,0.2194,,Literacy: reading comprehension,,43,,468.9,,16,,41,,464.7,,13.1,,-0.1462,,0.714,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
50752646,Benner (2004),2004,['One to one tuition'],NA,DIBELS: nonsense word,,Nonsense Word Fluency (NWF). (=blending letters into words). 1-1 vs control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.9158,,0.3524,,Literacy: reading other,,18.0,,12.1,,10.0,,18.0,,3.9,,7.3,,0.2251,,1.6065,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,DIBELS: nonsense word,,Nonsense Word Fluency (NWF). (=blending letters into words). 1-1 vs control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.9158,,0.3524,,Literacy: reading other,,18.0,,12.1,,10.0,,18.0,,3.9,,7.3,,0.2251,,1.6065,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40294886,Bingham (2010) 1:1,2010,['One to one tuition'],I'd include for One to One and use the Strand Specific comparison with SGT. I don't think we can use it for SGT as the is no overall control. SH29Jul19,Spelling accuracy: Small group tuition,,Post test gain score for spelling accuracy. Small group tuition. Phonological Awareness Literacy Screening (PALS-K),,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,1.5469,,0.2942,,Literacy: spelling,,38.0,,12.44,,5.31,,25.0,,4.48,,4.71,,0.9702,,2.1236,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39717191,Blachman (2004),2004,['One to one tuition'],NA,CTOPP Word Reading (follow up only),,"The child was asked to read 41 words graded in difficulty. The words were presented individually on flashcards, and testing was discontinued when the child missed 7 consecutive words. The internal consistency reliability of this 41-word test, measured during the first test administration, was .95.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.7405,,0.25,,Literacy: reading comprehension,,37.0,,33.05,,6.35,,32.0,,26.78,,10.23,,0.2506,,1.2305,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,CTOPP Word Reading (follow up only),,"The child was asked to read 41 words graded in difficulty. The words were presented individually on flashcards, and testing was discontinued when the child missed 7 consecutive words. The internal consistency reliability of this 41-word test, measured during the first test administration, was .95.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.7405,,0.25,,Literacy: reading comprehension,,37.0,,33.05,,6.35,,32.0,,26.78,,10.23,,0.2506,,1.2305,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
50752647,Bøg (2019),2019,['One to one tuition'],NA,Decoding: 1-1 ,,LäSt   decoding skills,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.9629,,0.1694,,Literacy: reading other,,80.0,,6.63,,7.47,,76.0,,1.28,,2.0,,0.6308,,1.2949,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Decoding: 1-1 ,,LäSt   decoding skills,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.9629,,0.1694,,Literacy: reading other,,80.0,,6.63,,7.47,,76.0,,1.28,,2.0,,0.6308,,1.2949,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
50752648,Borman (2019),2019,['One to one tuition'],NA,Logramos: comprehension,,Logramos (Spanish version of the Iowa Test of Basic Skills)  Comprehension,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4,,0.18,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0472,,0.7528,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Logramos: comprehension,,Logramos (Spanish version of the Iowa Test of Basic Skills)  Comprehension,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4,,0.18,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0472,,0.7528,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39717192,Brown (2005),2005,['One to one tuition'],NA,Woodcock passage comprehension  test score-one on one tuition,,The child attempted items in the passage comprehension subtest of the Woodcock Reading Mastery Tests. This subtest used a cloze procedure to assess comprehension. (Scores could range from 0 to 36.).This task was identical to the passage comprehension pretest except that the item range was extended (scores could range from 0 to 45).,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.1802,,0.2373,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.7151,,1.6453,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Woodcock passage comprehension  test score-one on one tuition,,The child attempted items in the passage comprehension subtest of the Woodcock Reading Mastery Tests. This subtest used a cloze procedure to assess comprehension. (Scores could range from 0 to 36.).This task was identical to the passage comprehension pretest except that the item range was extended (scores could range from 0 to 45).,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.1802,,0.2373,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.7151,,1.6453,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
