id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
41817184,Andrews (1997),1997,['Arts participation'],NA,ITBS Reading Comprehension,,"The Vocabulary and Reading Comprehension subtests of the ITBS (Form L, Level 11) were administered in the current study which were appropriate for fifth- grade students. Within these subtests, subjects responded to items emphasizing word analysis, vocabulary, and reading comprehension.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0802,,0.2627,,Literacy: reading comprehension,,29.0,,45.59,,15.39,,29.0,,44.31,,16.09,,-0.4347,,0.5952,,Primary outcome,,NA,,With business as usual,,NA,,NA,,ITBS Reading Comprehension,,"The Vocabulary and Reading Comprehension subtests of the ITBS (Form L, Level 11) were administered in the current study which were appropriate for fifth- grade students. Within these subtests, subjects responded to items emphasizing word analysis, vocabulary, and reading comprehension.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0802,,0.2627,,Literacy: reading comprehension,,29.0,,45.59,,15.39,,29.0,,44.31,,16.09,,-0.4347,,0.5952,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41816493,Arieli (2007),2007,['Arts participation'],NA,FOSS Science knowledge - Creative drama ,,"FOSS Mixture/Solutions Science knowledge (recall knowledge, interpretation, analysis, explanation)- Creative drama group. Note  2-way Anova ES rather than post-test as post-test only gives very high ES. Not randomised. Researcher at Uni of California test",,"['Toolkit primary outcome', 'Science primary outcome']",,0.8063,,0.2659,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.2851,,1.3276,,Primary outcome,,['Sample: All'],,With business as usual,,NA,,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,FOSS Science knowledge - Creative drama ,,"FOSS Mixture/Solutions Science knowledge (recall knowledge, interpretation, analysis, explanation)- Creative drama group. Note  2-way Anova ES rather than post-test as post-test only gives very high ES. Not randomised. Researcher at Uni of California test",,"['Toolkit primary outcome', 'Science primary outcome']",,0.8063,,0.2659,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.2851,,1.3276,,Primary outcome,,['Sample: All'],,With business as usual,,NA,,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41816506,Bennett (1982),1982,['Arts participation'],NA,ITBS Reading Comprehension - Arts Participation,,Post-test only mean score. Reading comprehenion subtest of the Iowa Test of Basic Skills,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.5222,,0.2721,,Literacy: reading comprehension,,28.0,,5.01,,1.89,,28.0,,5.99,,1.81,,-1.0556,,0.0111,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,ITBS Reading Comprehension - Arts Participation,,Post-test only mean score. Reading comprehenion subtest of the Iowa Test of Basic Skills,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.5222,,0.2721,,Literacy: reading comprehension,,28.0,,5.01,,1.89,,28.0,,5.99,,1.81,,-1.0556,,0.0111,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ITBS Mathematics (Total) - Arts Participation,,Post-test unadjusted mean score. Total Mathematics score (Math concepts and Problem Solving) of the Iowa Test of Basic Skills,,['Mathematics primary outcome'],,0.1523,,0.2677,,Mathematics,,28,,5.9,,1.3,,28,,5.7,,1.29,,-0.3724,,0.6769,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41817130,Bhide (2013),2013,['Arts participation'],NA,TOWRE word reading - Arts participation,,"Post-test adjusted score. Sight Word Efficiency (SWE) subtest of the Test of Word Reading Efficiency, Form A.",,"['Toolkit primary outcome', 'Reading primary outcome']",,-1.8423,,0.5821,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,-2.9831,,-0.7015,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,TOWRE word reading - Arts participation,,"Post-test adjusted score. Sight Word Efficiency (SWE) subtest of the Test of Word Reading Efficiency, Form A.",,"['Toolkit primary outcome', 'Reading primary outcome']",,-1.8423,,0.5821,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,-2.9831,,-0.7015,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47269771,Biggs (2008) AP,2008,['Arts participation'],NA,Qualitative Reading Inventory Scores,,"The Qualitative Reading Inventory (QRI), an informal reading inventory, with passages ranging from 1st- to 12th-grade lev- els was used to establish instructional reading level and ﬂuency rates",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.8523,,0.3094,,Literacy: reading comprehension,,24.0,,5.0,,1.35,,22.0,,4.05,,0.72,,0.2458,,1.4588,,Primary outcome,,NA,,With business as usual,,NA,,NA,,Qualitative Reading Inventory Scores,,"The Qualitative Reading Inventory (QRI), an informal reading inventory, with passages ranging from 1st- to 12th-grade lev- els was used to establish instructional reading level and ﬂuency rates",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.8523,,0.3094,,Literacy: reading comprehension,,24.0,,5.0,,1.35,,22.0,,4.05,,0.72,,0.2458,,1.4588,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41817132,Bilhartz (1999),1999,['Arts participation'],NA,Stanford Binet,,Tripney (2010) estimates. CI converted into SE using excel Spreadsheet,,"['Toolkit primary outcome', 'Other outcome']",,0.514,,0.242,,Arts,,NA,,NA,,NA,,NA,,NA,,NA,,0.0397,,0.9883,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41817131,Bowels (2003),2003,['Arts participation'],NA,WJ III- Arts -music group,,"Woodcock Johnson Test WJ III (Word ID  Fluency  Comprehension) Overall Reading achievement  (decoding single & multiple syllable words, reading fluency & passage comprehension) – standard score for cluster",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0563,,0.2952,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.6349,,0.5223,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,WJ III- Arts -music group,,"Woodcock Johnson Test WJ III (Word ID  Fluency  Comprehension) Overall Reading achievement  (decoding single & multiple syllable words, reading fluency & passage comprehension) – standard score for cluster",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0563,,0.2952,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.6349,,0.5223,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47269777,Branch (2003) AP,2003,['Arts participation'],NA,Cumulative Grade Point Average,,The dependent variable is academic achievement using cumulative grade point average as a measure.,,"['Toolkit primary outcome', 'Other outcome']",,0.2597,,0.0859,,Combined subjects,,172.0,,3.22,,0.64,,654.0,,3.02,,0.8,,0.0912,,0.4281,,Primary outcome,,NA,,With active control,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41817051,Byerly (1994),1994,['Arts participation'],NA,Interpreting Text Posttest ,,Interpreting Text Posttest Drama v control (Researcher Dev),,"['Toolkit primary outcome', 'Other outcome']",,0.0101,,0.4928,,Arts,,10.0,,3.3,,1.378,,7.0,,3.285,,1.439,,-0.9558,,0.9761,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41817128,Cardarelli (2003),2003,['Arts participation'],NA,FCAT Reading (T-test),,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3811,,0.1831,,Literacy: reading comprehension,,75,,2.1,,0,,51,,0,,0,,0.0222,,0.7401,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,FCAT Reading (T-test),,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3811,,0.1831,,Literacy: reading comprehension,,75,,2.1,,0,,51,,0,,0,,0.0222,,0.7401,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,FCAT Maths,,Posttest means and SD's ,,['Mathematics primary outcome'],,0.5273,,0.1846,,Mathematics,,75,,281.24,,57.9,,51,,248.65,,66.3,,0.1655,,0.8892,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
