id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ap_focus,ap_involved,ap_where
41817184,Andrews (1997),1997,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0802,0.2627,NA,ITBS Reading Comprehension,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.0802,0.2627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1,2,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],"['Large group/class teaching (+6)', 'Other (Explain in notes)']",['No'],['No'],['No'],['During regular school hours '],['Research staff'],10,2,20,['Toolkit: Arts participation '],['Multi-component or integrated programme'],['Outside experts or specialists'],['School']
41816493,Arieli (2007),2007,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Science primary outcome']",0.8063,0.2659,NA,FOSS Science knowledge - Creative drama ,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.8063,0.2659,NA,NA,NA,130,3,6,['Primary/elementary school'],"['11', '12']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],9,1.78,45,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
41816506,Bennett (1982),1982,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5222,0.2721,['Post-test unadjusted (select one from this group)'],ITBS Reading Comprehension - Arts Participation,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5222,0.2721,NA,NA,NA,['Mathematics primary outcome'],0.1523,0.2677,NA,NA,NA,NA,NA,NA,56,1,8,['Primary/elementary school'],"['10', '11', '12']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],"['Before/after school', 'During regular school hours ']",['Research staff'],12,2,105 ,['Toolkit: Arts participation '],['Drama'],['Other (please specify)'],['School']
41817130,Bhide (2013),2013,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-1.8423,0.5821,['Post-test unadjusted (select one from this group)'],TOWRE word reading - Arts participation,With active control,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-1.8423,0.5821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,NA,['Primary/elementary school'],"['7', '6']",NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['One to one'],['No'],['No'],['No'],['Unclear/ not specified'],['Research staff'],8,2.4,25,['Toolkit: Arts participation '],['Music'],['Other (please specify)'],['Other (Please specify)']
47269771,Biggs (2008) AP,2008,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.8523,0.3094,NA,Qualitative Reading Inventory Scores,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.8523,0.3094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,NA,['Middle school'],"['11', '12', '13', '14']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Class teachers'],9,3,30,['Toolkit: Arts participation '],['Music'],['Classroom teachers'],['School']
41817132,Bilhartz (1999),1999,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.514,0.242,['Pre-post gain'],Stanford Binet,With business as usual,['Sample: All'],Arts,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.,6   (School 3 hosted both experimental and Control groups),NA,['Nursery school/pre-school'],"['4', '5', '6']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],['Unclear/ not specified'],['External teachers'],30,1,75,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['Other (Please specify)']
41817131,Bowels (2003),2003,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0563,0.2952,['Post-test unadjusted (select one from this group)'],WJ III- Arts -music group,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0563,0.2952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1,NA,['Primary/elementary school'],"['8', '9', '10', '11', '12']",FALSE,22.0,['USA'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['External teachers'],12,2,30 ,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
47269777,Branch (2003) AP,2003,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.2597,0.0859,NA,Cumulative Grade Point Average,With active control,NA,Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,1,NA,['Secondary/High school'],"['14', '15', '16', '17']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Unclear/not specified'],18,5,Not specified,NA,"['Music', 'Drama']",['Other (please specify)'],['School']
41817051,Byerly (1994),1994,['Technical report'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.0101,0.4928,['Post-test unadjusted (select one from this group)'],Interpreting Text Posttest ,With business as usual,['Sample: All'],Arts,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,1,['Secondary/High school'],"['12', '13', '14']",NA,NA,['USA'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Paired learning']",['No'],['No'],['No'],['During regular school hours '],['Class teachers'],4,1,20 ,['Toolkit: Arts participation '],"['Multi-component or integrated programme', 'Drama']",['Classroom teachers'],['School']
41817128,Cardarelli (2003),2003,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3811,0.1831,['Post-test adjusted for baseline attainment'],FCAT Reading (T-test),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3811,0.1831,NA,NA,NA,['Mathematics primary outcome'],0.5273,0.1846,NA,NA,NA,NA,NA,NA,126,2,NA,['Primary/elementary school'],"['8', '9']",TRUE,70.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],24,2,30 ,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
