id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12
41817184,Andrews (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ITBS Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41816493,Arieli (2007),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,FOSS Science knowledge - Creative drama ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41816506,Bennett (1982),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ITBS Reading Comprehension - Arts Participation,['Other outcome'],Secondary outcome(s),ITBS Vocabulary - Arts Partcipation,['Mathematics primary outcome'],Secondary outcome(s),ITBS Mathematics (Total) - Arts Participation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817130,Bhide (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TOWRE word reading - Arts participation,['Other outcome'],Secondary outcome(s),TOWRE Non-word reading - Parental engagement,['Writing and spelling primary outcome.'],Secondary outcome(s),BAS Spelling - Arts participation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269771,Biggs (2008) AP,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Qualitative Reading Inventory Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817132,Bilhartz (1999),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Stanford Binet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817131,Bowels (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJ III- Arts -music group,['Other outcome'],Secondary outcome(s),AVI-Arts-music,['Other outcome'],Secondary outcome(s),PAR-Arts-music group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269777,Branch (2003) AP,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Cumulative Grade Point Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817051,Byerly (1994),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Interpreting Text Posttest ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817128,Cardarelli (2003),['Other outcome'],Secondary outcome(s),FCAT Reading (post-test),['Mathematics primary outcome'],Secondary outcome(s),FCAT Maths,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,FCAT Reading (T-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817134,Cogo-Moreira (2013),['Other outcome'],Secondary outcome(s),Test of Phonological Awareness (ITT),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Test (ITT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41816481,Çokadar (2009),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Ecology Concept Achievement Test (ECAT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41816497,Conner (1973),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Cognitive Abilities Test (CAT) - Arts Participation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817027,Cormack (2003),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Writing Test (posttest S3),['Other outcome'],Secondary outcome(s),Writing (Gain Scores),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817129,Costa-Giomi (2004),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Canadian Achievement Test,['Mathematics primary outcome'],Secondary outcome(s),Canadian Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817002,Debreli (2011),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Ratio and Proportion Achievement Test (Post-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817127,Degé (2011),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,visual memory-Arts-music group,['Other outcome'],Secondary outcome(s),intelligence test-arts-music group,['Other outcome'],Secondary outcome(s),auditory memory-arts-music group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
