id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
40134380,Arbuthnot (1986),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA (Grades),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134437,Bar-Lev (1976),"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",Primary outcome,Metropolitan Achievement Test - Behaviour,['Other outcome'],Secondary outcome(s),"Metropolitan Achievement Test (""Helping Parents group"") - Behaviour",['Other outcome'],Secondary outcome(s),"Metropolitan Achievement Test (""Non Helping Parents group"") - Behaviour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134223,Barkley (2000),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,WJ achievement test in literacy - Behaviour Intervention,['Science primary outcome'],Secondary outcome(s),WJ achievement test in Science- Behaviour Intervention,['Other outcome'],Secondary outcome(s),WJ achievement test in Social Studies - Behaviour Intervention,['Other outcome'],Secondary outcome(s),WJ achievement test in Humanities- Behaviour Intervention,['Other outcome'],Secondary outcome(s),WJ achievement test  in other curricula - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134447,Bestland (1967),['Other outcome'],Primary outcome,ACADEMIC GRADE POINT AVERAGE - Point O2,"['Toolkit primary outcome', 'Other outcome']",,ACADEMIC GRADE POINT AVERAGE - Point O3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134170,Blackburn (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DRP: Reading - Beh.Int.,['Other outcome'],Secondary outcome(s),GPA - Beh.Int.,['Other outcome'],Secondary outcome(s),Homework - Beh. Int.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090114,Block (1978) 1_2,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",Primary outcome,GPA-posttest (means/SDs) HRT vs Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134452,Block 1 (1978) 1_1,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",Primary outcome,GPA-REE vs Control groups (posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134478,Burcham (2002),"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",Primary outcome,GPA-phase 1 (f-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134481,Camp (1977),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,School Behavior Checklist (SBCL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134230,Coie (1984),['Other outcome'],Primary outcome,California Achievement Test (Reading Vocabulary),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),California Achievement Test (Reading Comprehension),['Other outcome'],Secondary outcome(s),California Achievement Test (Mathematics Computation),['Other outcome'],Secondary outcome(s),California Achievement Test (Mathematics applications),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
