id,pub_author,pub_year,abstract,strand_raw,strand_info,strand_CLEAN,pub_eppi,pub_type_raw,pub_eppi_CLEAN,pubtype_ht,pubtype_info,pub_type_CLEAN,loc_country_raw,loc_country_CLEAN,int_setting_raw,int_setting_ht,int_setting_info,int_Setting_CLEAN,eco_valid_raw,eco_valid_ht,eco_valid_info,eco_valid_CLEAN,part_age_raw,part_age_ht,part_age_info,part_age_CLEAN,school_treat_info,school_treat_ht,school_treat_CLEAN,school_na_CLEAN,school_cont_info,school_cont_ht,school_cont_CLEAN,school_total_info,school_total_ht,school_total_CLEAN,school_na_raw,school_na_info,school_na_ht,class_treat_info,class_treat_ht,class_treat_CLEAN,class_cont_info,class_cont_CLEAN,class_cont_ht,class_total_info,class_total_ht,class_na_raw,class_na_info,class_total_CLEAN,class_na_ht,class_na_CLEAN,treat_group_raw,treat_group_ht,treat_group_info,treat_group_CLEAN,part_assig_raw,part_assig_ht,part_assig_info,part_assig_CLEAN,level_assig_raw,level_assig_ht,level_assig_info,level_assig_CLEAN,int_desig_raw,int_design_ht,int_design_info,int_design_CLEAN,rand_raw,rand_ht,rand_info,rand_CLEAN,out_other_raw,out_other_ht,out_other_info,out_other_CLEAN,out_info_raw,out_info_raw,out_info_info,out_info_CLEAN,part_other_ht,part_other_info,part_other_CLEAN
40397347,Abadzi (1984),1984,"The effects of ability grouping on the academic achievement and self-esteem of fourth-grade students were assessed through regression-discontinuity analysis in a Texas school district which used a cutoff score for placement in high and regular ability groups. Standardized achievement test scores of high ability students showed a significant increase after a year of ability grouping. Students who had scored a little above the criterion showed performance increase, while students who had scored a little below the criterion showed a decrease after a year in regular ability classes. The self-esteem was assessed near the beginning and end of the fourth grade. No significant differences were found from the beginning to the end of the fourth grade or between the high and regular groups after third grade achievement test scores were covaried.",['Setting or streaming'],NA,,"Journal, Article",['Journal article'],,NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['9', '10']",NA,NA,,8,"['Page 2:\n[¬s]""Eight schools[¬e]""']",,,8,"['Page 2:\n[¬s]""Eight schools[¬e]""']",,8,"['Page 2:\n[¬s]""Eight schools[¬e]""']",,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,['not_provided'],NA,,NA,,['No'],NA,NA,,Regression discontinuity,NA,NA,,N,NA,NA,,['Regression Discontinuity - not randomised'],NA,NA,,Not applicable,"['Page 1:\n[¬s]""The sole criterion for admission to[¬e]""', 'Page 2:\n[¬s]""high achieve\xad\nment) classes was the 77th Iowa Test of Basic Skills\n(1TBS) composite percentile[¬e]""']",NA,,['Yes'],NA,NA,,['Other types of student outcomes (Please specify)'],"['Page 2:\n[¬s]""The self-esteem scale used was the Self-Esteem Inven\xad tory (Coopersmith, 1967) shortened by seven items which were found during pilot-testing to contain words incomprehensible to many low-achieving students[¬e]""']",NA,,NA,NA,
37116221,Abbondanza (2013),2013,"The purpose of the study was to implement and evaluate the effectiveness of the Peer- Assisted Learning Strategies (PALS) supplemental reading program to determine if there was an increase in sixth grade students’reading comprehension, oral fluency, and attitude toward reading, specifically when reading nonfiction text. One-hundred sixty-four sixth grades students were placed in one of two conditions  PALS treatment or control. A quasi-experimental pretest-posttest design was utilized to compare the effects of treatment between the two groups. Students in the PALS and control groups received the same amount of reading instruction during the 13 weeks of the study. The PALS group received supplemental PALS reading instruction in addition to the district curriculum while the control group used only the district reading curriculum. Quantitative data were collected from pre and post-test measures for reading comprehension (Scholastic Reading Inventory and DIBELS Daze), fluency (DIBELS ORF), and attitude toward reading (Elementary Reading Attitude Survey). Qualitative data were collected in the form of reflection posts from an online site called Kidblog, and a teacher interview protocol. Findings did not reveal any statistical difference in reading comprehension, fluency, or attitude between PALS and control groups. However, both PALS and control groups showed positive gains in comprehension and fluency over the course of the study which suggested teaching reading comprehension strategies can assist students with nonfiction texts. ",['Peer tutoring'],NA,,Dissertation,['Dissertation or thesis'],,"['Page 1:\n[¬s]""A dissertation submitted to the Faculty of Robert Morris University in partial fulfillment of the requirements for the degree of Doctor of Philosophy with a major in Instructional Management and Leadership[¬e]""']",A dissertation submitted to the Faculty of Robert Morris University in partial fulfillment of the requirements for the degree of Doctor of Philosophy with a major in Instructional Management and Leadership,,['USA'],,['Secondary/High school'],"['Page 79:\n[¬s]""This study included 164 sixth-grade students, ages 11-13[¬e]""']","This study included 164 sixth-grade students, ages 11-13",,High ecological validity,"['Page 74:\n[¬s]""Students and teachers from four sixth grade classrooms in one school district participated in the study.[¬e]""', 'Page 75:\n[¬s]""Teacher was nested within the type of instruction, in order to examine the effectiveness of the PALS supplemental program across two classrooms. The inclusion of multiple teachers in the study allowed for the investigation of differences due to teacher effects in addition to investigating the effect due to type of instruction.[¬e]""', 'Page 80:\n[¬s]"" Four sixth-grade general education language arts teachers participated in this study.[¬e]""']","Students and teachers from four sixth grade classrooms in one school district participated in the study.  Teacher was nested within the type of instruction, in order to examine the effectiveness of the PALS supplemental program across two classrooms. The inclusion of multiple teachers in the study allowed for the investigation of differences due to teacher effects in addition to investigating the effect due to type of instruction.   Four sixth-grade general education language arts teachers participated in this study.",,"['11', '12', '13']",NA,NA,,1,NA,,,1,NA,,1,NA,,NA,NA,NA,NA,"['Page 75:\n[¬s]""two treatment group classrooms (n = 84) who received the PALS supplemental program in addition to the standard language arts curriculum were utilized[¬e]""']",,NA,,"['Page 74:\n[¬s]"" Two control group classrooms[¬e]""', 'Page 75:\n[¬s]""(n = 80) who received the district’s standard language arts curriculum[¬e]""']",4,"['Page 74:\n[¬s]""Students and teachers from four sixth grade classrooms in one school district participated in the study.[¬e]""']",NA,NA,,NA,,['No'],"['Page 5:\n[¬s]""One-hundred sixty-four sixth grades students were placed in one of two conditions: PALS treatment or control.[¬e]""']",One-hundred sixty-four sixth grades students were placed in one of two conditions  PALS treatment or control.,,"Non-random, not matched prior to treatment","['Page 26:\n[¬s]""A quasi-experimental pretest-posttest design with nonequivalent groups was implemented (Shadish, Cook, & Campbell, 2002)[¬e]""', 'Page 74:\n[¬s]""A quasi-experimental pretest-posttest design with nonequivalent groups was implemented[¬e]""']",A quasi-experimental pretest-posttest design with nonequivalent groups was implemented,,Individual,"['Page 74:\n[¬s]""A quasi-experimental pretest-posttest design with nonequivalent groups was implemented (Shadish et al., 2002). Students and teachers from four sixth grade classrooms in one school district participated in the study. Two control group classrooms[¬e]""', 'Page 75:\n[¬s]""(n = 80) who received the district’s standard language arts curriculum and two treatment group classrooms (n = 84) who received the PALS supplemental program in addition to the standard language arts curriculum were utilized.[¬e]""']","A quasi-experimental pretest-posttest design with nonequivalent groups was implemented (Shadish et al., 2002). Students and teachers from four sixth grade classrooms in one school district participated in the study. Two control group classrooms (n = 80) who received the district’s standard language arts curriculum and two treatment group classrooms (n = 84) who received the PALS supplemental program in addition to the standard language arts curriculum were utilized.",,['Prospective QED'],"['Page 74:\n[¬s]""S""\n""A quasi-experimental pretest-posttest design with nonequivalent groups was implemented[¬e]""']",NA,,Not applicable,NA,NA,,['Yes'],"['Page 94:\n[¬s]""The interviews addressed topics including teacher experiences implementing PALS, teachers’ perceptions of PALS, benefits and barriers of implementing PALS, and recommendations for future use of PALS[¬e]""', 'Page 95:\n[¬s]""The researcher used KidBlog, an online posting and commenting platform, to obtain qualitative data about students’ perception of PALS reading.[¬e]""']","Teacher interview    The interviews addressed topics including teacher experiences implementing PALS, teachers’ perceptions of PALS, benefits and barriers of implementing PALS, and recommendations for future use of PALS  The researcher used KidBlog, an online posting and commenting platform, to obtain qualitative data about students’ perception of PALS reading.",,['Other types of student outcomes (Please specify)'],NA,"The researcher used KidBlog, an online posting and commenting platform, to obtain qualitative data about students’ perception of PALS reading.",,NA,"The researcher conducted individual, semi- structured interviews with treatment teachers at the conclusion of the 13 week study to gather qualitative data about the implementation and effectiveness of PALS reading. The interviews addressed topics including teacher experiences implementing PALS, teachers’ perceptions of PALS, benefits and barriers of implementing PALS, and recommendations for future use of PALS.",
40375708,Abbott (1997),1997,"This study is an evaluation of the self-competence, academic performance, behavioral problems, and parent-child relations of boys who had been raised in single-parent families headed by their mothers and who had weekly contact with an adult friend or companion through a midwestern affiliate of the Big Brothers/Big Sisters of America. Results indicated that participation in such a program was not related to changes in the areas investigated. These findings are not consistent with the social support literature suggesting that an adult companion or friend may benefit children in single-parent families. Further study with a larger sample, over a longer time frame, is recommended.",['Mentoring'],NA,,"Journal, Article",['Journal article'],,NA,NA,,['USA'],,['Other educational setting (please specify)'],NA,Big Brother volunteer organisation matching single parent kids with an adult volunteer,,High ecological validity,NA,NA,,"['8', '9', '10', '11', '12', '13', '14']","['Page 4:\n[¬s]"" 8-14 years of age w[¬e]""']",NA,,NA,NA,,,NA,NA,,NA,NA,,['not_provided'],Not provided,"['Page 4:\n[¬s]""We selected the children from single-parent families and the adult compan-\nions from a midwestern affiliate of the Big Brothers/Big Sisters of America, a\nnationally known and well-respected adult-companion program.[¬e]""']",NA,NA,,NA,,NA,NA,NA,['not_provided'],Not provided,,NA,,['No'],NA,NA,,"Non-random, but matched","['Page 5:\n[¬s]""a nd 22 in the compari son group . who had been o n the waiting list for 12-1 8 month s and had no t yet received an adult compani o n. The boys were matc hed o n several variables suc h as age, race. number of siblings, mother\'s education and income. reason for single-parent status (e.g., divorced/separated. widowed, or unwed motherhood), the child\'s age when th e father left home, and the extent of the child\'s contact with th e noncustodial father.[¬e]""']","a matched (age, race, #of siblings, mother's education and income, divorced/widowed/unwed...) control group was on a waiting list",,Individual,NA,NA,,['Prospective QED'],"['Page 4:\n[¬s]""We selected the children from single-parent families and the adult compan- ions from a midwestern affiliate of the Big Brothers/Big Sisters of America, a nationally known and well-respected adult-companion program.[¬e]""']",NA,,Not applicable,NA,NA,,['Yes'],NA,NA,,['Other types of student outcomes (Please specify)'],"['Page 6:\n[¬s]"" scholastic, social, athletic, physical, behavioral conduct, and global self-competence. H[¬e]""', 'Page 7:\n[¬s]"" Revised Behavior Problem Checklist (Quay & Peterson, 1987). The RBPC consists of 89 items[¬e]""', 'Page 7:\n[¬s]"": Conduct Disorder (e.g., gets into fights); Socialized Aggression (e.g., belongs to a gang); Immaturity (e.g., is irre\xad sponsible and undependable); Anxiety-Withdrawal (e.g., feels inferior); Psy\xad chotic Behavior (e.g.. expresses strange ideas); Motor Excess (e.g., is restless, unable to sit still).[¬e]""']","Self-Perception Profile (Harter 1985), 6 measures of self-competence  scholastic, social, athletic, physical, behavioral conduct, and global  Revised Behavior Problem Checklist (RBPC, Quay & Peterson, 1987), 6 subscales  Conduct Disorder, Socialized Aggression, Immaturity, Anxiety-Withdrawal, Psychotic Behavior, Motor Excess",,NA,NA,
39717125,Acalin (1995),1995,"The purpose of this study was to measure the efficacy of Reading Recovery and Project READ instruction on the reading achievement of kindergarten through fourth grade students in Resource Specialist Programs (RSP). A quasi-experimental pretest/post-test design was used. The students were matched on the basis of gender, grade level, ethnicity, and pretest Woodcock Johnson--Revised (WJ-R) Broad Reading scores. One group received Reading Recovery instruction and the other group received Project READ instruction. Paired t-tests indicated significant differences from the pretest to the post-test in each program. However, no significant difference was noted between the post-tests. Therefore, it was determined that neither program, Reading Recovery nor Project READ, was found to be more effective than the other.",['One to one tuition'],NA,,Dissertation,['Dissertation or thesis'],,NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['5', '6', '7', '8', '9', '10']",NA,NA,,NA,NA,,,NA,NA,,NA,NA,,['not_provided'],NA,NA,5,NA,,5,,NA,5,NA,NA,NA,,NA,,['No'],NA,NA,,"Non-random, but matched","['Page 39:\n[¬s]"" A matched pairs technique was used, in which students were matched on the basis of gender, grade level, ethnicity and pretest Woodcock Johnson—Revised Broad Reading Scores. Each group had the identical demographic distribution with regard to males and females; Hispanics, Caucasians, and African-Americans; and students represented at each grade level. Each group contained students w ith similar scores on the Woodcock Johnson pretest (See Table 1). All students had similar socio\xad economic status. The students were not randomly assigned to the 2 groups.[¬e]""']",NA,,Individual,"['Page 38:\n[¬s]"". These subjects were identified as being learning disabled via the Woodcock Johnson—Revised Psycho-Educational Battery as well as through each district\'s means of stan\xad dardized IQ evaluation.""\n""Subjects were selected from five school districts in Southern California,[¬e]""', 'Page 39:\n[¬s]"" A matched pairs technique was used, in which students were matched on the basis of gender, grade level, ethnicity and pretest Woodcock Johnson—Revised Broad Reading Scores.[¬e]""']",NA,,['Retrospective QED  '],"['Page 5:\n[¬s]""A quasi- experimental pretest/post-test design w as used.[¬e]""']",NA,,Not applicable,NA,QE design so randomisation not used. ,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
40642366,Adamson (1972),1972,"The major purpose of this study was to compare the arithmetic achievement gains of seventh and eighth grade students placed in an experimental program consisting of high, middle and low ability groups having different materials and objectives for each of the three levels of students, against a conventional uni-track program employing heterogeneous grouping.  The analysis of variance was used to determine if differences existed between the groups. To analyze the interaction between the low ability group, the middle group, and the high ability group, the Newman-Keuls Sequential Range Test was used. Tables showing the level means were constructed as an aid in the analysis of the two and three- way interactions.  There was no significant difference between the mean achievement gains of the students placed in groups on the basis of their ability and those of students grouped heterogeneously. The reduction of certified personnel with teacher aides used in their place did not produce results significantly different from those coming from the control school.",['Setting or streaming'],NA,,Dissertation,['Dissertation or thesis'],,NA,NA,,['USA'],,['Middle school'],NA,NA,,High ecological validity,NA,NA,,"['12', '13', '14']",NA,NA,,1,"['Page 41:\n[¬s]""the\nother grouped their students[¬e]""']",,,1,"['Page 41:\n[¬s]""One school used a traditional\nheterogeneous approach[¬e]""']",,2,"['Page 41:\n[¬s]""Two junior high schools[¬e]""']",,NA,NA,NA,6,"['Page 43:\n[¬s]""one hundred eighty students were selected\nfrom the experimental school[¬e]""']",,6,,"['Page 44:\n[¬s]""one hundred eighty\nstudents were selected from the control school[¬e]""']",12,"['Page 43:\n[¬s]""one hundred eighty students were selected\nfrom the experimental school[¬e]""', 'Page 44:\n[¬s]""one hundred eighty\nstudents were selected from the control school[¬e]""']",['not_provided'],Not provided - approximated from sample size.,,NA,,['Yes (Please specify)'],"['Page 5:\n[¬s]""placed in an experimental program consisting of high, middle and low ability groups having different materials and objectives for each of the three levels of students[¬e]""']",NA,,Random (please specify),"['Page 43:\n[¬s]""Thirty students were randomly selected by using a table of random numbers from each of the achievement groups (high, middle, and low) from both the seventh and the eighth grades at the experimental junior high.[¬e]""']",NA,,Individual,NA,NA,,['Individual RCT'],"['Page 44:\n[¬s]""A\ntable of random numbers was used in selecting the students\nto be used and assuring a random sample.[¬e]""']",NA,,Yes,"['Page 43:\n[¬s]""Experimental group. Thirty students were randomly selected by using a table of random numbers from each of the achievement groups (high, middle, and low) from both the seventh and the eighth grades at the experimental junior high. Fifteen of the selected subjects were male and fifteen were female. The statistical program was designed for samples of equal size, making it necessary to select equal numbers of males and females for each level and grade as well as have groups that were equal in size.""\n""Control group. A group of students similar to those in\nthe experimental group were selected from a junior high\nschool in the school district of about the same size as the\nexperimental school. Students from both seventh and eighth\ngrades were selected with the same residence requirements\nbeing used as were necessary in the experimental group.[¬e]""']",NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
40642368,Adler (1963) 1_1,1963,NA,['Setting or streaming'],NA,,"Journal, Article",['Journal article'],,NA,NA,,['Canada'],,['Secondary/High school'],NA,NA,,High ecological validity,NA,NA,,"['14', '15']",NA,NA,,9,"['Page 3:\n[¬s]""nine[¬e]""']",,,9,"['Page 4:\n[¬s]""students were matched within each\nschool[¬e]""']",,9,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,['not_provided'],Not provided,,NA,,['No'],NA,"Not directly specified  however, schools delivered the acceleration programmes in their own individual ways. ",,Retrospective Quasi Experimental Design (QED),NA,NA,,Individual,NA,NA,,['Retrospective QED  '],"['Page 4:\n[¬s]""a post acto control group was selected""\n""students were matched within each\nschool as closely as possible with those in Group A[¬e]""']",NA,,Not applicable,NA,NA,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
45336713,Adler (1963) 1_2,1963,NA,['Setting or streaming'],NA,,"Journal, Article",['Journal article'],,NA,NA,,['Canada'],,['Secondary/High school'],NA,NA,,High ecological validity,NA,NA,,"['13', '14']",NA,NA,,9,"['Page 3:\n[¬s]""nine were of the ""academic"" type[¬e]""']",,,9,"['Page 4:\n[¬s]""students were matched within each\nschool[¬e]""']",,9,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,['not_provided'],Not provided,,NA,,['No'],"['Page 4:\n[¬s]""A total of\n31 students were admitted to the acceleration programme, hereafter desig-\n.. ated as Group A.""\n""This control group, Group C[¬e]""']",NA,,Retrospective Quasi Experimental Design (QED),NA,NA,,Individual,NA,NA,,['Retrospective QED  '],"['Page 4:\n[¬s]""a post\nacto control group was selected""\n""students were matched within each\nschool as closely as possible with those in Group A[¬e]""']",NA,,Not applicable,NA,NA,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
37092570,Adler (1998),1998,"The purpose of this study was to determine if instruction in the Six Traits improved third grade students' writing abilities and their attitudes towards writing. A control group recieved no instruction in the traits of idea and content, organization, voice, word choice, sentence fluency and conventions while the experimental group did receive instruction. Writing samples were taken from both groups prior to instruction. Instruction lasted approximately one semester. Another sample was taken in January. Students at Wichita State University scored all of the samples, and then pre and posttest scores were compared for the two groups. A writing attitude survey was also administered in the fall and in January. Once again, pre and posttest scores were compared. It was concluded that instruction in the Six Traits significantly effected third grade students in the traits of voice and word choice.",['Feedback'],NA,,Dissertation,['Dissertation or thesis'],,NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,Low ecological validity,NA,NA,,"['8', '9']",NA,NA,,NA,NA,,,NA,NA,,NA,NA,,['not_provided'],Not provided,NA,2,"['Page 21:\n[¬s]""experimental group consisted of two third grade classes[¬e]""']",,2,,"['Page 21:\n[¬s]""The control group consisted of two third grade classes[¬e]""']",4,NA,NA,NA,,NA,,['No'],NA,NA,,Unclear,NA,NA,,School - cluster,"['Page 21:\n[¬s]""The experimental group consisted of two third grade classes from a suburban midwestern city that had a school population of 589. The control group consisted of two third grade classes from a suburban midwestern city that had a school population of 319.[¬e]""']",NA,,['Prospective QED'],"['Page 21:\n[¬s]""The control classes were chosen because the teachers were not concentrating on Six Trait writing at this time and the teachers were willing to have their students submit two writing samples.[¬e]""']",NA,,No/Unclear,NA,NA,,['Yes'],NA,NA,,['Other types of student outcomes (Please specify)'],"['Page 22:\n[¬s]"" The students also took the ""Writing Attitude Survey"" (Kear, Coffman, & McKenna, 1997).""\n""This survey consists of 28 questions that explore how the student feels regarding various types of writing, as well as how he would feel about more writing, less writing, or writing instead of doing other classroom activities.[¬e]""']",NA,,NA,NA,
40375710,Aiello (1988),1988,"The increasing focus on the underachiever has intensified the search for affective education models. Underachievement is frequently associated with a low self-concept. Current studies are sparse, indicating that Mentor Programs may improve self-concept, but empirical assessments are lacking. This study investigated the efficacy of a mentor model on self-concept and achievement variables of intermediate school underachievers. A Mentor Program model was implemented with an experimental group of 55 underachieving students in a Fairfax County, Virginia, intermediate school. A 42 student control group of underachievers in another Fairfax County intermediate school were monitored. Forty education staff members served as mentors to the experimental group of students. The study was of a quasi-experimental, non-equivalent control group design. Primary measurement instruments used were the Self-Concept and Motivation Inventory (SCAMIN), an appropriate measure of self-concept in the school setting, the Grade Point Average (GPA), the standard measure of academic achievement, and the Failure Rate, including students retentions and classes failed. Four research questions were investigated. For testing overall effects of the treatment/Mentor Program at the school level, a Value Added Analysis was performed. For testing the hypotheses, the following analyses were undertaken  ANCOVAs were performed on the achievement data  t-tests and ANOVAs were performed on the self-concept data, Chi-square, t-test, and ANOVA were performed on the failure data. Canonical Correlation Analysis was performed to explain the relationship between the predictor measures and the criterion measures. Descriptive and ethnographic information in the form of quantitative and qualitative data analyses added to the breadth of the assessment. Results revealed that the Mentor Program produced positive, nonsignificant gains at the experimental school. The gains were better than those at the control school, but not significantly better. Analysis of the results also disclosed changes in the study design should be considered for future research. Recommendations include two year assessments, multiple school comparisons, and longitudinal studies. Post program results from teacher ratings, mentor and students evaluations were positive, providing qualitative statements of program worth. The findings and conclusions drawn from this study serve to further improve program evaluation and assessment of Mentor Programs.",['Mentoring'],NA,,Dissertation,['Dissertation or thesis'],,NA,NA,,['USA'],,['Middle school'],NA,NA,,High ecological validity,NA,NA,,"['12', '13', '14']",NA,NA,,1,"['Page 133:\n[¬s]""the experimental school, Ellen Glasgow Intermediate[¬e]""']",,,1,"['Page 134:\n[¬s]""The control school, Luther Jackson Intermediate, served a student population of approximately six hundred eighty students.[¬e]""']",,2,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,['not_provided'],NA,,NA,,['No'],NA,NA,,"Non-random, but matched","['Page 131:\n[¬s]""The design for this study is called the Nonequivalent\nControl Group Design. It is one of the most widespread\nexperimental designs in educational research. It involves\nan experimental and control group both given a pretest and a\nposttest, but in\nwhich the control group and the\nexperimental group do not have pre-experimental sampling\nequivalence. T[¬e]""', 'Page 135:\n[¬s]""The original sample of identified, volunteer students\nfor the experimental group at Glasgow was one hundred\nmentees, assigned to fifty-four mentors. Twenty-four\nmentees were second year mentor program student participants\n(mentees continuing from the 1985-86 Pilot Program). Since\nit was important to separate second year from first year\nparticipants, those two year students were separated out.\nThat left seventy-six students new to the program for the\nexperimental sample.[¬e]""', 'Page 136:\n[¬s]""Actual matching was attempted on the basis of ethnic\ncategory, gender, ESL Special Education Services (LDR and\nGT), and grade level.""\n""However, the numbers in the sample\nfor the separate groups were too small to warrant\nstatistical analysis[¬e]""']",NA,,School - cluster,NA,NA,,['Prospective QED'],"['Page 136:\n[¬s]""Actual matching was attempted on the basis of ethnic category, gender, ESL Special Education Services (LDR and G T ) , and grade level. However, the numbers in the sample for the separate groups were too small to warrant statistical analysis.[¬e]""']",NA,,Not applicable,NA,NA,,['Yes'],NA,NA,,['Other types of student outcomes (Please specify)'],"['Page 142:\n[¬s]""change in the student\'s self-esteem and motivation scores as measured by the Self-concept and Motivation Inventory herein referred to as the SCAMIN""\n"" The authors, Norman J. Milchus, George A. Farrah and William Reitz developed the SCAMIN to measure self-concept.[¬e]""', 'Page 145:\n[¬s]""For the experimental school only, pre and post teacher ratings on the Self Concept Rating Scale (Appendix B) were used to measure observable growth in the areas of study skills, class participation and attitude;[¬e]""', 'Page 147:\n[¬s]"" A student post evaluation survey instrument was administered to the experimental group[¬e]""', 'Page 149:\n[¬s]""Participation Level— Mentor/mentee after school meeting logs were kept and recorded[¬e]""']","SCAMIN  Teacher ratings on the Self Concept Rating Scale  student evaluation data, attendance at after-school meetings",,"['Page 148:\n[¬s]""A questionnaire, consisting of ten open-ended questions was administered to mentors as a post program/study evaluation measure""\n""Parent Evaluations— Administered in the Spring, 1986, this survey used a Likert scale to measure attitude and also included two open-ended questions[¬e]""']","Mentor evaluations, parent evaluations ",
47269763,Aist (2001) 1 1,2001,"We describe results on helping children learn vocabulary during computer-assisted oral reading. This paper focuses on one aspect – vocabulary learning – of a larger study comparing computerized oral reading tutoring to classroom instruction and one-on-one human tutoring. 144 students in second and third grade were assigned to one of three conditions  (a) classroom instruction, (b) classroom instruction with one-on-one tutoring replacing part of the school day, and (c) computer instruction replacing part of the school day. For second graders, there were no significant differences between treatments in word comprehension gains. For third graders, however, the computer tutor showed an advantage over classroom instruction for gains in word comprehension (p = 0.042, effect size = 0.56) as measured by the Woodcock Reading Mastery Test. One-on-one human tutoring also showed an advantage over classroom instruction alone (p = 0.039, effect size = 0.72). Computer tutoring and one-on-one human tutoring were not significantly different in terms of word comprehension gains.",['One to one tuition'],NA,,"Book, Chapter",['Book or book chapter'],,NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['7', '8', '9']",NA,NA,,1,NA,,,1,NA,,1,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,['not_provided'],NA,,NA,,['Yes (Please specify)'],NA,"MDE  This study reports 3 arms. Please code ""human tutor"" vs classroom control. ",,Unclear,NA,NA,,Individual,NA,NA,,['Prospective QED'],NA,NA,,Not applicable,NA,NA,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
