id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
43099420,Acar (2007),2007,['Collaborative learning'],NA,Electrochemistry concept test,,"The test, composed of eight open-ended and twelve multiple-choice items,  to identify conceptual difficulties and their understanding about electrochemistry.",,"['Toolkit primary outcome', 'Science primary outcome']",,2.4708,,0.4242,,Science,,20.0,,88.6,,7.42,,21.0,,55.3,,16.98,,1.6393,,3.3023,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Electrochemistry concept test,,"The test, composed of eight open-ended and twelve multiple-choice items,  to identify conceptual difficulties and their understanding about electrochemistry.",,"['Toolkit primary outcome', 'Science primary outcome']",,2.4708,,0.4242,,Science,,20.0,,88.6,,7.42,,21.0,,55.3,,16.98,,1.6393,,3.3023,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099421,Acar (2008),2008,['Collaborative learning'],NA,Metallic Bonding Concept Test,,"The Metallic Bonding Concept test consisted of multiple-choice items and was developed by the researchers to identify students understanding of metallic bonding. Items were related to  (a) characteristic properties of metals, (b) internal structure of metals, (c) relationship between properties of metals and its internal structure, (d) comparison of metallic bonding with the other types of bonding, (e) influence of type of chemical bond on a substance and its conductivity. ",,"['Toolkit primary outcome', 'Science primary outcome']",,2.6978,,0.3725,,Science,,28.0,,78.6,,8.62,,29.0,,54.33,,9.11,,1.9677,,3.428,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Metallic Bonding Concept Test,,"The Metallic Bonding Concept test consisted of multiple-choice items and was developed by the researchers to identify students understanding of metallic bonding. Items were related to  (a) characteristic properties of metals, (b) internal structure of metals, (c) relationship between properties of metals and its internal structure, (d) comparison of metallic bonding with the other types of bonding, (e) influence of type of chemical bond on a substance and its conductivity. ",,"['Toolkit primary outcome', 'Science primary outcome']",,2.6978,,0.3725,,Science,,28.0,,78.6,,8.62,,29.0,,54.33,,9.11,,1.9677,,3.428,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099422,Adeyemi (2008),2008,['Collaborative learning'],NA,Social Studies Achievement Test,,Social Studies Achievement test scores - cooperative learning strategy vs conventional strategy groups - means/SDs,,"['Toolkit primary outcome', 'Other outcome']",,2.4608,,0.2674,,Social Studies,,50.0,,11.891,,2.38,,50.0,,6.901,,1.56,,1.9367,,2.985,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47269762,Aguirre (1997) CL,1997,['Collaborative learning'],NA,Geographical locations,,"The dependent variable was measured through teacher-made maps. Students labeled sections of the United States after a variety' of activities using the computer software ‘‘States & Traits’* developed by Designware (1984). There were four section maps  (1) Western United States, (2) Central United States, (3) Southeast United States, and (4) Northeast United States. The pretest was also the posttest in the same format. Students were given a numbered map of the United States, and an answer sheet listing all the states. The test was to place the number corresponding to the appropriate state on the answer sheet.",,"['Toolkit primary outcome', 'Other outcome']",,-0.0213,,0.3536,,Curriculum: other,,16.0,,25.25,,11.92,,16.0,,25.53,,13.6,,-0.7143,,0.6716,,Primary outcome,,NA,,With active control,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099123,Araz (2007),2007,['Collaborative learning'],NA,Genetic Achievement Test-academic knowledge (posttest),,"The test included 20 multiple-choice items and one essay-type item to measure the students’ academic achievement and performance skills, respectively",,"['Toolkit primary outcome', 'Science primary outcome']",,0.158,,0.1378,,Science,,126.0,,11.44,,3.36,,91.0,,10.91,,3.32,,-0.1121,,0.428,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Genetic Achievement Test-academic knowledge (posttest),,"The test included 20 multiple-choice items and one essay-type item to measure the students’ academic achievement and performance skills, respectively",,"['Toolkit primary outcome', 'Science primary outcome']",,0.158,,0.1378,,Science,,126.0,,11.44,,3.36,,91.0,,10.91,,3.32,,-0.1121,,0.428,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099265,Armstrong (1998),1998,['Collaborative learning'],NA,Posttest Academic Achievement Total Scores,,"Results coded using the adjusted M achievement total scores. The tests were criterion-referenced based on the districts social studies curriculum. The pretest was made up of thirty multiple choice questions taken from the test bank which accompanied the textbook. The 30 questions were selected to assess the students prior knowledge of the unit objectives and represented a variety of difficulty levels. The posttest was made up of the same thirty multiple choice questions as the pretest (the questions were shuffled prior to the posttest), in addition to a series of identification, short answer and essay questions. All questions included in the posttest were based on content covered in the classroom lesson plans, and were adapted directly from the test bank prov ided with the textbook. ",,"['Toolkit primary outcome', 'Other outcome']",,0.0859,,0.3037,,Social Studies,,NA,,NA,,NA,,NA,,NA,,NA,,-0.5094,,0.6812,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099584,Artzt (1983),1983,['Collaborative learning'],NA,Achievement,,"The second s c o r e , con s id e red a p o s t t e s t , was th e s tu d e n t 's mark e i t h e r on a u n i fi e d department midterm exam composed o f q u e s tio n s subm itted by a l l o f th e math te a c h e r s who were c u r r e n t ly te a c h in g t h a t c o u r s e , o r on a te a c h e r - c o n s t ru c te d exam c o n s is ­t i n g o f p a s t y e a r Regents q u e s t io n s . This second t e s t was g iven t o a l l o f th e s tu d e n ts in th e tw e n t y - fi r s t week o f th e sem e s te r. Confidence Interval of 0.49 to 0.99.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.74,,0.13,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.4852,,0.9948,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Achievement,,"The second s c o r e , con s id e red a p o s t t e s t , was th e s tu d e n t 's mark e i t h e r on a u n i fi e d department midterm exam composed o f q u e s tio n s subm itted by a l l o f th e math te a c h e r s who were c u r r e n t ly te a c h in g t h a t c o u r s e , o r on a te a c h e r - c o n s t ru c te d exam c o n s is ­t i n g o f p a s t y e a r Regents q u e s t io n s . This second t e s t was g iven t o a l l o f th e s tu d e n ts in th e tw e n t y - fi r s t week o f th e sem e s te r. Confidence Interval of 0.49 to 0.99.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.74,,0.13,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.4852,,0.9948,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47269766,Atkins (1993) CL,1993,['Collaborative learning'],NA,Math achievement ,,"Math drills. Math achievement was measured by pre- and postprogram math drills, similar to those used in the Working Independently with Numbers curriculum (Rohrbeck & Fantuzzo, 1985). Each drill contained 80 randomly generated computational problems at the fifth-grade difficulty level. Thus, addition, subtraction, multiplication, and division problems with two numbers between 1 and 3 digits were included. Students were in- structed to complete as many problems as possible in a 3-minute period.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.7442,,0.3672,,Mathematics,,16.0,,41.281,,5.095,,16.0,,36.499,,7.247,,0.0244,,1.4639,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Math achievement ,,"Math drills. Math achievement was measured by pre- and postprogram math drills, similar to those used in the Working Independently with Numbers curriculum (Rohrbeck & Fantuzzo, 1985). Each drill contained 80 randomly generated computational problems at the fifth-grade difficulty level. Thus, addition, subtraction, multiplication, and division problems with two numbers between 1 and 3 digits were included. Students were in- structed to complete as many problems as possible in a 3-minute period.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.7442,,0.3672,,Mathematics,,16.0,,41.281,,5.095,,16.0,,36.499,,7.247,,0.0244,,1.4639,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099549,Balfakih (2003),2003,['Collaborative learning'],NA,Science Multi-Choice Exam,,A multiple-choice exam with 23 items was given to the students towards the end of the semester. The exam was reviewed by experts from the UAE University in the field of chemistry and science education. Supervisors and teachers of the subject of high school chemistry at the Ministry of Education also reviewed the exam.,,"['Toolkit primary outcome', 'Science primary outcome']",,0.7595,,0.1952,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.3769,,1.1421,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Science Multi-Choice Exam,,A multiple-choice exam with 23 items was given to the students towards the end of the semester. The exam was reviewed by experts from the UAE University in the field of chemistry and science education. Supervisors and teachers of the subject of high school chemistry at the Ministry of Education also reviewed the exam.,,"['Toolkit primary outcome', 'Science primary outcome']",,0.7595,,0.1952,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.3769,,1.1421,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099586,Banghart (1963),1963,['Collaborative learning'],NA,California Arithmetic Achievement,,California Arithmetic Achievement - f-test result extracted for ES calculation,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.047,,0.1491,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2452,,0.3392,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,California Arithmetic Achievement,,California Arithmetic Achievement - f-test result extracted for ES calculation,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.047,,0.1491,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2452,,0.3392,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
