id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
43099420,Acar (2007),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Electrochemistry concept test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099421,Acar (2008),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Metallic Bonding Concept Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099422,Adeyemi (2008),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Social Studies Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269762,Aguirre (1997) CL,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Geographical locations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099123,Araz (2007),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Genetic Achievement Test-academic knowledge (posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099265,Armstrong (1998),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Posttest Academic Achievement Total Scores,['Other outcome'],Secondary outcome(s),Posttest Academic Achievement Objective (30-item) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099584,Artzt (1983),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269766,Atkins (1993) CL,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Math achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099549,Balfakih (2003),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Science Multi-Choice Exam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099586,Banghart (1963),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,California Arithmetic Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
