id,pub_author,pub_year,abstract,strand_raw,strand_info,strand_CLEAN,pub_eppi,pub_type_raw,pub_eppi_CLEAN,pubtype_ht,pubtype_info,pub_type_CLEAN,loc_country_raw,loc_country_CLEAN,int_setting_raw,int_setting_ht,int_setting_info,int_Setting_CLEAN,eco_valid_raw,eco_valid_ht,eco_valid_info,eco_valid_CLEAN,part_age_raw,part_age_ht,part_age_info,part_age_CLEAN,school_treat_info,school_treat_ht,school_treat_CLEAN,school_na_CLEAN,school_cont_info,school_cont_ht,school_cont_CLEAN,school_total_info,school_total_ht,school_total_CLEAN,school_na_raw,school_na_info,school_na_ht,class_treat_info,class_treat_ht,class_treat_CLEAN,class_cont_info,class_cont_CLEAN,class_cont_ht,class_total_info,class_total_ht,class_na_raw,class_na_info,class_total_CLEAN,class_na_ht,class_na_CLEAN,treat_group_raw,treat_group_ht,treat_group_info,treat_group_CLEAN,part_assig_raw,part_assig_ht,part_assig_info,part_assig_CLEAN,level_assig_raw,level_assig_ht,level_assig_info,level_assig_CLEAN,int_desig_raw,int_design_ht,int_design_info,int_design_CLEAN,rand_raw,rand_ht,rand_info,rand_CLEAN,out_other_raw,out_other_ht,out_other_info,out_other_CLEAN,out_info_raw,out_info_raw,out_info_info,out_info_CLEAN,part_other_ht,part_other_info,part_other_CLEAN
53902058,Aber (2016),2016,"This article examines the impacts of Opportunity New York City-Family Rewards, the first holistic conditional cash transfer (CCT) program evaluated in the United States, on parental financial investments in children, and high school students' academic time use, motivations and self-beliefs, and achievement outcomes. Family Rewards, launched by the Center for Economic Opportunity in the Mayor's Office of the City of New York in 2007 and codesigned and evaluated by MDRC, offered cash assistance to low-income families conditioned on family investments in three areas  children's education, family preventive health care, and parents' employment. Results that rely on a random assignment design find that Family Rewards resulted in statistically significant increases in parental spending and saving on education for all students, and increased savings for those students most academically prepared at baseline and for girls, as well as statistically significant increases in academic time use and achievement outcomes for these same academically prepared students. There were no impacts on student motivations and self-beliefs. Implications are discussed for conditional cash transfer programs as well as for interventions targeting high-risk children and families.",NA,NA,,"Journal, Article",NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
53901222,Ahmed (2006),2006,"The Conditional Cash Transfer program in Turkey is a targeted social assistance program that is designed to provide support to the poorest 6 percent of the Turkish population. CCT is a sub-component of the Social Risk Mitigation Project (SRMP) of the General Directorate of Social Assistance and Solidarity (SYDGM). The specific objectives of the CCT in Turkey are to increase school attendance rates for the poor, decrease dropout rates, increase immunization coverage, and enhance the utilization of health facilities for the 1.1 million target beneficiaries. The program uses an indicator-based administrative targeting method to identify ultrapoor households with children aged 0-6 years, school-aged children 6-17 years, and childbearing-age women. The main purpose of this interim impact evaluation report is to provide rapid feedback on program implementation and estimates of impacts of the CCT program. The study is based on a large-scale quantitative household survey of beneficiaries of the education and the childhealth components of the CCT program, and the comparison group of nonbeneficiaryapplicants. The survey was carried out in 26 provinces of Turkey from December 2005 to March 2006.",NA,NA,,Report,NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
53901693,Alam (2011),2011,"The Punjab Female School Stipend Program, a female-targeted conditional cash transfer program in Pakistan, was implemented in response to gender gaps in education. An early evaluation of the program shows that the enrollment of eligible girls in middle school increased in the short term by nearly 9 percentage points. This paper uses regression discontinuity and difference-in-difference analyses to show that five years into the program implementation positive impacts do persist. Beneficiary adolescent girls are more likely to progress through and complete middle school and work less. There is suggestive evidence that participating girls delay their marriage and have fewer births by the time they are 19 years old. Girls who are exposed to the program later, and who are eligible for the benefits given in high school, increase their rates of matriculating into and completing high school. The persistence of impacts can potentially translate into gains in future productivity, consumption, inter-generational human capital accumulation and desired fertility. Lastly, there is no evidence that the program has negative spillover effects on educational outcomes of male siblings.",NA,NA,,Report,NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
53901694,Alatas (2011),2011,"Household conditional cash transfer (CCT) programs offer countries a new way to tackle poverty and prevent the transmission of poverty to future generations. They do so by providing regular cash payments to families on the condition that they fulfill basic obligations, which are typically related to the usage of health and education services. The Government of Indonesia launched its own household conditional cash transfer program, Program Keluarga Harapan (PKH or Hopeful Family Program), in order to improve lagging health and education outcomes among extremely poor households. The program delivers quarterly cash transfers to very poor households with children or lactating/pregnant women provided that they fulfill a range of health and education-related obligations. PKH has emerged as one of the government's strategies to reduce poverty and reach its Millennium Development Goals (MDGs). The Government of Indonesia is currently considering expanding coverage to 3 million households by 2014. This report presents the main findings from the impact evaluation of the PKH pilot. Chapter two describes the design of the household CCT program and a description of quality of implementation at the time of the impact evaluation. Chapter three summarizes the findings from the implementation assessments of the pilot. Chapter four reviews the design of the impact evaluation and provides an explanation about the research methodologies used. The main findings of the evaluation are presented in Chapter five. Chapter six presents a brief analysis of the costs of implementing the PKH program and PKH's cost-effectiveness. Finally, Section seven provides recommendations to policy-makers, applying findings from the evaluation to formulate next steps that should be considered during the planned expansion of the program.",NA,NA,,Report,NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
53902648,Alviar (2012),2012,"Kenya's Cash Transfer for Orphans and Vulnerable Children (CT-OVC) is a national child-protection programme that provides a flat monthly transfer of Ksh 1500 to ultra-poor families with orphans and vulnerable children aged 17 years and younger. A cluster randomised social experiment was conducted in 2007-2009 to evaluate the impact of this programme. We use these data to provide an in-depth analysis of the effects of the programme on children's human capital development. Because basic schooling is free in Kenya and enrolment rates are relatively high, the scope of an unconditional programme such as the CT-OVC may be small. We use data from the evaluation baseline as well as national survey data to make ex-ante predictions about where the programme is most likely to have a big impact. We compare these predictions with actual programme impacts as a way of assessing whether the programme has had the expected impact on children's human capital development given the institutional environment. We find that the programme has had an impact on the margins we would expect, and the size of the impact on secondary school enrolment of this unconditional programme is comparable with those from conditional programmes in other parts of the world. The ex-ante analysis is crucial to understanding where to look to appropriately assess the impact of the programme.",NA,NA,,"Journal, Article",NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
53903049,Amarante (2013),2013,No abstract,NA,NA,,"Journal, Article",NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
53901795,Ambler (2015),2015,"We implement a randomized experiment offering Salvadoran migrants matching funds for educational remittances, which are channeled directly to a beneficiary student in El Salvador chosen by the migrant. The matches lead to increased educational expenditures, higher private school attendance, and lower labor supply of youths in El Salvador households connected to migrant study participants. We find substantial ""crowd-in"" of educational investments  for each $1 received by beneficiaries, educational expenditures increase by $3.72. We find no shifting of expenditures away from other students, and no effect on remittances.",NA,NA,,"Journal, Article",NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
53901989,Angelucci (2010),2010,"We present evidence on whether and how a household's behavior is influenced by the presence and characteristics of its extended family. Using data from the PROGRESA program in Mexico, we exploit information on the paternal and maternal surnames of heads and spouses in conjunction with the Spanish naming convention to identify the inter- and intra-generational family links of each household to others in the same village. We then exploit the randomized research design of the PROGRESA evaluation data to identify whether the treatment effects of PROGRESA transfers on secondary school enrolment vary according to the characteristics of extended family. We find PROGRESA only raises secondary enrolment among households that are embedded in a family network. Eligible but isolated households do not respond. The mechanism through which the extended family influences household schooling choices is the redistribution of resources within the family network from eligibles that receive de facto unconditional cash transfers from PROGRESA, towards eligibles on the margin of enrolling children into secondary school. © 2009 Elsevier B.V. All rights reserved.",NA,NA,,"Journal, Article",NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
53901695,Armand (2018),2018,"This report evaluates the impact of the Conditional Cash Transfer for Secondary School Education program in the Republic of Macedonia, and compares alternative designs of this program at the end of its second and third years. The progrtam provides cash transfers to poor households (those eligible for social assistance) if they have children of the secondary school age who attend secondary school at least 85 per cent of the time. The total amount of the subsidy is 12,000 Macedoniandenars (MKD) per year paid in quarterly instalments. The program was first implemented at the beginning of the 2010-2011 school year. Different variants of the payment scheme were implemented from the start of the program. Firstly, the quarterly payments could be MKD 3000 each or there could be a bonus at the end of the school year. In the latter scheme, the first three payments are of MKD 2000 each and the last payment is of MKD 6000. Secondly, the identity of the transfer recipient could be either the child's mother or the head of the child's household. The comparison of different designs of the program is experimental, with different schemes implemented in different municipalities. There was random assignment of alternative payment designs to municipalities, through a lottery. We first randomized the 84 municipalities in Macedonia into two groups. In one group of 42 municipalities, the mother receives the payment. In the other group of 42 municipalities, the household head receives the payment, regardless of gender. We then conducted a secondary lottery, again dividing the municipalities into two equal groups of 42. One group receives the payment in equal installments and the other receives a graduation or end of year bonus. These two lotteries ensure that the municipalities receiving different payment mpdalities are very similar, and therefore comparable. Measuring the overall impact of the program (rather than comparing different designs) is more difficult since the program is implemented simultaneously in the whole country, so the choice of a control group to evaluate the program is not straightforward. We use a difference-in-differences strategy in this study. The group of eligible households comprises social financial assistance recipients with children of secondary school age. The comparison group (slightly better off group) consists of child allowance recipients with children of secondary school age. Although the two groups are different and therefore not immediatly comparable, the assumption of this method is that the trend in outcomes experienced by child allowance households is the same as what would be experienced by social financial assistance households in the absence of the conditional cash transfer. In order to evaluate the program and its different modalities, we collected three waves of a rich household survey that we matched with school records on school attendance and performance.",NA,NA,,Report,NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
53901988,Arraiz (2012),2012,"This paper estimates the impact of the conditional cash transfer program, Red de Oportunidades, on human capital outcomes in areas with different incidences of poverty  indigenous and rural non-indigenous areas of Panama. The analysis relies on data from the Living Standards Measurement Survey of 2008. It uses a propensity score matching technique to identify the impact of the program by replicating the selection criteria followed by the government. Our results show that the program increased school enrollment and was able to reduce child labor in both areas. In rural areas, the impact of the program on education outcomes was restricted to enrollment in middle school where we estimated an increase of 10.2 percentage points (pp). The program also increased the proportion of children that completed elementary school by 13.8 pp, although it did not have an impact on enrollment in elementary or high school. In indigenous areas, the impact of the program on education outcomes was restricted to enrollment in elementary school where we estimate an increase of 7.9 pp. Additionally, the results show that the program reduced child labor in children ages 12 to 15 in both areas  by 10.1 pp in rural areas and 15.8 pp in indigenous areas. With regard to preventive health care services, we found no evidence of impact on the numbers of visits to health care providers or the number of vaccines that children received. However, we estimated that the proportion of women who had a Papanicolau test screening because of the program increased by 11.7 pp in rural areas and 14.7 pp in indigenous areas. Sadly, we found that the program might also have led to an increase in the number of pregnancies in rural areas  the proportion of pregnant women in 2008 was 3.2 pp higher in the beneficiary group than in the control group, and the number of pregnancies since the beginning of the program increased by 0.44 among beneficiaries – despite the fact that the number of children ages 3 to 6, who were born before the implementation of the program, was not statistically different between the groups.",NA,NA,,Report,NA,,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,N,NA,NA,,N,NA,NA,,NA,NA,NA,,N,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
