id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,source_raw,source_eef_reports,study_place_info,study_place_ht
38296602,Biggart (2015),2015,['Technical report'],['Collaborative learning'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0299,0.0437,['Post-test adjusted for baseline attainment AND clustering'],GL Assessment New Group Reading Teast (NGRT),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0299,0.0437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2117,25,NA,"['Middle school', 'Secondary/High school']","['11', '12']",NA,NA,"['UK (Select all that apply)', 'England']",['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],38,5,60,['Toolkit: Collaborative learning'],['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",['Specific to the location or place'],"['Page 9:\n[¬s]"" the majority was based in the North (North East and Yorkshire and Humber) other schools were recruited from the South East, South West and East regions.[¬e]""']"
38296603,Biggart (2015),2015,['Technical report'],"['Digital technology', 'Teaching assistants']","['Toolkit primary outcome', 'Reading primary outcome']",0.1641,0.2362,['Post-test adjusted for baseline attainment'],NGRT Digitial Edition,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1641,0.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,21,NA,['Primary/elementary school'],"['10', '11']",TRUE,51.5,"['UK (Select all that apply)', 'England']",['Multisite RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Teaching assistants'],6,5,30,"['Toolkit: Digital technology', 'Toolkit: Teaching assistants']",['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",['Specific to the location or place'],"['Page 10:\n[¬s]""a majority were based in the North (North East and Yorkshire and Humber) other schools were recruited from the South East, South West and East regions.[¬e]""']"
68655319,Bogiatzis-Gibbons (2021),2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],['Main data extraction'],NA,NA
40398940,Boylan (2018),2018,['Technical report'],['Digital technology'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total = 5,818  Intervention = 2,803  Control = 3,015 (Figure 5)",110,207,NA,"['9', '10', '11']",NA,NA,['UK (Select all that apply)'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",NA,See also Table 25,See also Table 25,NA,['EEF reports'],"['Main data extraction', 'Effect size - in EEF meta-analysis', 'Strand specific - in Toolkit']","['Specific to the location or place', 'Information about the type of location']","['Page 13:\n[¬s]"" Blackburn, Bradford, North London, South London, Merseyside, Somerset/Devon and Staffordshire[¬e]""', 'Page 13:\n[¬s]""These seven areas were identified to represent a variety of different types of locality including urban areas and areas where schools were more dispersed and located in mixtures of urban and more rural locations.[¬e]""']"
68655320,Boyle (2020),2020,NA,['Metacognition and self-regulation'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Strand specific - in Toolkit', 'Main data extraction']",NA,NA
68655321,Boyle (2021),2021,NA,"['Feedback', 'Homework']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Strand specific - in Toolkit', 'Main data extraction']",NA,NA
38296605,Buchanan (2015) Pri,2015,['Technical report'],['Small group tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.08,0.1276,['Post-test adjusted for baseline attainment AND clustering'],Progress in English 12 (GL Assessment),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.08,0.1276,NA,NA,NA,['Mathematics primary outcome'],-0.04,0.148,NA,NA,NA,NA,NA,NA,2640,153,NA,"['Primary/elementary school', 'Secondary/High school']","['10', '11', '12']",TRUE,56.93,"['UK (Select all that apply)', 'England']",['Prospective QED'],"['One to one', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],"['During regular school hours ', 'Before/after school']",['External teachers'],64,1,60,['Toolkit: Small Group Tuition'],['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",['Specific to the location or place'],"['Page 11:\n[¬s]""Manchester[¬e]""']"
38296604,Buchanan (2015) Sec,2015,['Technical report'],['Small group tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.16,0.0666,['Post-test adjusted for baseline attainment'],GCSE English,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.16,0.0666,NA,NA,NA,['Mathematics primary outcome'],0.051,0.0255,NA,NA,NA,NA,NA,NA,165111,Not given - Table 3 only shows the amount of comparison secondary schools in the final matched dataset not in the final analysis.,NA,['Secondary/High school'],"['13', '14', '15', '16']",FALSE,27.25,"['UK (Select all that apply)', 'England']",['Prospective QED'],"['One to one', 'Small group/intensive support (3-5)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],92,1,60,['Toolkit: Small Group Tuition'],['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']","['Specific to the location or place', 'Information about the type of location']","['Page 9:\n[¬s]""Greater Manchester[¬e]""', 'Page 19:\n[¬s]""Urban""\n""96[¬e]""']"
38296606,Callanan (2017),2017,['Technical report'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not given, however participants are from 9 schools.",9,NA,"['Primary/elementary school', 'Secondary/High school']","['9', '10', '11', '7', '8', '12', '13', '14', '15', '16']",NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Class teachers'],NA,Not given,Not given,NA,['EEF reports'],['Main data extraction'],['Specific to the location or place'],"['Page 16:\n[¬s]""West Howe and Boscombe areas of Bournemouth[¬e]""']"
38296678,Crawford (2014),2014,['Technical report'],"['Reading comprehension strategies', 'Collaborative learning', 'Metacognition and self-regulation']","['Toolkit primary outcome', 'Reading primary outcome']",0.09,0.066,['Post-test adjusted for baseline attainment AND clustering'],Collaborative Learning - reading comprehension ART,With active control,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.09,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2202,41,NA,['Secondary/High school'],"['12', '11']",FALSE,33.48,"['UK (Select all that apply)', 'England']",['Cluster RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",32,4,60,['Toolkit: Collaborative learning'],['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",['Specific to the location or place'],"['Page 12:\n[¬s]"" London""\n"" South East and South West of England[¬e]""']"
38296607,Crawford (2016),2016,['Technical report'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8841,106,NA,['Primary/elementary school'],"['6', '7', '10', '11']",NA,NA,"['UK (Select all that apply)', 'England']",['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['Before/after school'],"['Class teachers', 'Teaching assistants', 'Other school staff', 'Lay persons/volunteers']",NA,Not given,Not given,NA,['EEF reports'],"['Effect size - in EEF meta-analysis', 'Main data extraction']",['No information provided'],NA
68655322,Culliney (2019),2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Main data extraction', 'Effect size - in EEF meta-analysis']",NA,NA
68655323,Culliney (2021),2021,NA,"['One to one tuition', 'Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",NA,NA
38296608,Davies (2017),2017,['Technical report'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92 teachers from combined numbers in indidivudal schools in Table 2,11,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11', '3', '4', '5', '6']",NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],NA,NA,NA,NA,['EEF reports'],['Main data extraction'],['No information provided'],NA
68655324,Davies (2020),2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Effect size - in EEF meta-analysis', 'Main data extraction']",NA,NA
68655325,Dawson (2020),2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],['Main data extraction'],NA,NA
38296609,Demack (2016),2016,['Technical report'],['One to one tuition'],"['Toolkit primary outcome', 'Other outcome']",0.07,0.0739,['Post-test adjusted for baseline attainment AND clustering'],Cohort 1 - KS4 GCSE Attainment,With business as usual,['Sample: All'],Combined subjects,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,4,NA,['Secondary/High school'],"['14', '15', '16']",NA,NA,"['UK (Select all that apply)', 'England']","['Cluster RCT', 'Multisite RCT']","['Small group/intensive support (3-5)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],24,5,20,['Toolkit: One to one tuition'],['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",['Specific to the location or place'],"['Page 14:\n[¬s]""Four London secondary schools were recruited""\n""Data was collected on 22 schools in the three London boroughs[¬e]""']"
68655326,Dimova (2020),2020,NA,['Oral language interventions'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",NA,NA
68655327,Dimova (2021),2021,NA,['Parental engagement'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Main data extraction', 'Strand specific - in Toolkit']",NA,NA
68655328,Dimova (2021),2021,NA,['Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",NA,NA
37671548,Dockrell (2015),2015,['Technical report'],['Teaching assistants'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.26,0.08,['Post-test adjusted for baseline attainment'],WIAT-11 (Sentence combining),With business as usual,['Sample: All'],Literacy  writing,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,9,NA,['Primary/elementary school'],"['3', '4', '5', '6', '7', '8', '9', '10', '11']",FALSE,17.5,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",78,4,30,['Toolkit: Teaching assistants'],"['From review:Teaching assistants, Aug 2018', 'EEF reports']","['Strand specific - in Toolkit', 'Main data extraction', 'Effect size - in EEF meta-analysis']",['Information about the type of location'],"['Page 5:\n[¬s]""The pilot programme""\n"" involved ten schools in Portsmouth.""\n""wo comparison schools in Portsmouth and one in London.[¬e]""']"
38296611,Dorsett (2014),2014,['Technical report'],"['Metacognition and self-regulation', 'Parental engagement', 'Extending school time']","['Toolkit primary outcome', 'Other outcome']",-0.141,0.283,['Post-test adjusted for baseline attainment AND clustering'],KS2 MathEng Combined (inCAS) - Metacognition PETT,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],['Reading primary outcome'],-0.069,0.249,NA,NA,NA,['Mathematics primary outcome'],-0.167,0.219,NA,NA,NA,NA,NA,NA,491,51,65,['Primary/elementary school'],"['7', '8', '9', '10']",FALSE,27.0,"['UK (Select all that apply)', 'England']",['Cluster RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['Yes'],"['During regular school hours ', 'Before/after school']","['Class teachers', 'External teachers']",5,1,120,"['Toolkit: Metacognition and self-regulation', 'Toolkit: Parental engagement']",['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']","['Specific to the location or place', 'Information about the type of location']","['Page 12:\n[¬s]""Eligible schools were from Devon, London Borough of Haringey, Birmingham and Manchester[¬e]""', 'Page 12:\n[¬s]"" Schools with at least two form entry were targeted but this was not always possible, particularly in rural areas.[¬e]""']"
68655329,Elliott (2019),2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Main data extraction', 'Effect size - in EEF meta-analysis']",NA,NA
68655330,Foliano (2019),2019,NA,['Metacognition and self-regulation'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",NA,NA
38296613,Gorard (2014),2014,['Technical report'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,['Primary/elementary school'],"['10', '11']",NA,NA,"['UK (Select all that apply)', 'England']",['Cluster RCT'],"['Large group/class teaching (+6)', 'Small group/intensive support (3-5)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],NA,Various - see Table A5,20 - 60 minutes,NA,['EEF reports'],"['Effect size - in EEF meta-analysis', 'Main data extraction']",['No information provided'],NA
38296617,Gorard (2014),2014,['Technical report'],"['Teaching assistants', 'One to one tuition', 'Phonics']","['Toolkit primary outcome', 'Reading primary outcome']",0.237,0.1144,['Post-test adjusted for baseline attainment'],GL New Group Reading Test,With active control,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.237,0.1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,19,NA,['Secondary/High school'],"['11', '12']",FALSE,32.0,"['UK (Select all that apply)', 'England']",['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants', 'Other school staff']",10,5,20,['Toolkit: One to one tuition'],['EEF reports'],"['Strand specific - in Toolkit', 'Effect size - in EEF meta-analysis', 'Main data extraction']",['Specific to the location or place'],"['Page 7:\n[¬s]"" Nottinghamshire[¬e]""']"
