id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
40117187,Baker (1996),1996,['Extending school time'],NA,Reading comprehension - TAAS,,"Scores on two components of the Texas Assessment of Academic Skills (TAAS) exam were obtained from the AISD central administrative records  math and reading. TAAS is the standardized exam that is used to determine the rankings of each school relative to other schools in the state. Math and reading scores are reported as Texas Learning Index scores which can range from 0 to 110. Since the TAAS exam is not administered to all grades each year, the 1995 TAAS scores could only be used on a post-test only basis.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3006,,0.0,,Literacy: speaking and listening/oral language,,NA,,NA,,NA,,NA,,NA,,NA,,0.3006,,0.3006,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Reading comprehension - TAAS,,"Scores on two components of the Texas Assessment of Academic Skills (TAAS) exam were obtained from the AISD central administrative records  math and reading. TAAS is the standardized exam that is used to determine the rankings of each school relative to other schools in the state. Math and reading scores are reported as Texas Learning Index scores which can range from 0 to 110. Since the TAAS exam is not administered to all grades each year, the 1995 TAAS scores could only be used on a post-test only basis.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3006,,0.0,,Literacy: speaking and listening/oral language,,NA,,NA,,NA,,NA,,NA,,NA,,0.3006,,0.3006,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Mathematical accuracy - TAAS,,"Scores on two components of the Texas Assessment of Academic Skills (TAAS) exam were obtained from the AISD central administrative records  math and reading. TAAS is the standardized exam that is used to determine the rankings of each school relative to other schools in the state. Math and reading scores are reported as Texas Learning Index scores which can range from O to 110. Since the TAAS exam is not administered to all grades each year, the 1995 TAAS scores could only be used on a post-test only basis.",,['Mathematics primary outcome'],,0.3035,,0.0,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.3035,,0.3035,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40117110,Barron (1993),1993,['Extending school time'],NA,CTBS Reading,,"Fifth grade students in the English program were tested in English with CTBS Level G. The reading section has 90 items covering vocabulary and reading comprehension. P value entered as 0.0009, study states  *P < 0.001.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2356,,0.071,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0965,,0.3747,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,CTBS Reading,,"Fifth grade students in the English program were tested in English with CTBS Level G. The reading section has 90 items covering vocabulary and reading comprehension. P value entered as 0.0009, study states  *P < 0.001.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2356,,0.071,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0965,,0.3747,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40117111,Bechtel (1991),1991,['Extending school time'],NA,Comprehensive Test of Basic Skills (CTBS) Form - U,,"The post-test was the total reading subtest, Level E given to third grade students the following Spring. Level D has 117 multiple choice items and Level E has 127 multiple choice items.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2315,,0.1181,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0,,0.463,,Primary outcome,,['Sample: All'],,,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Comprehensive Test of Basic Skills (CTBS) Form - U,,"The post-test was the total reading subtest, Level E given to third grade students the following Spring. Level D has 117 multiple choice items and Level E has 127 multiple choice items.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2315,,0.1181,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0,,0.463,,Primary outcome,,['Sample: All'],,,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40117190,Bergin (1992),1992,['Extending school time'],NA,Combined - Reading & Math,,"In first grade, the students began to receive report cards with grades. Content areas like reading and math were graded for achievement (A through F) and for effort (one through three). ",,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",,0.9091,,0.6464,,Combined subjects,,0.90913656,,0.0,,0.0,,0.64635239,,0.0,,0.0,,-0.3577,,2.176,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,Combined - Reading & Math,,"In first grade, the students began to receive report cards with grades. Content areas like reading and math were graded for achievement (A through F) and for effort (one through three). ",,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",,0.9091,,0.6464,,Combined subjects,,0.90913656,,0.0,,0.0,,0.64635239,,0.0,,0.0,,-0.3577,,2.176,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Combined - Reading & Math,,"In first grade, the students began to receive report cards with grades. Content areas like reading and math were graded for achievement (A through F) and for effort (one through three). ",,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",,0.9091,,0.6464,,Combined subjects,,0.90913656,,0.0,,0.0,,0.64635239,,0.0,,0.0,,-0.3577,,2.176,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40117239,Berninger (2006),2006,['Extending school time'],NA,WRMT-R Word Attack (F-test),,The WRMT-R Word Attack subtest was used as a measure of phonological decoding.  Group X Time interaction f-test value extracted for ES calculation. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.58,,0.21,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.1684,,0.9916,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,WRMT-R Word Attack (F-test),,The WRMT-R Word Attack subtest was used as a measure of phonological decoding.  Group X Time interaction f-test value extracted for ES calculation. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.58,,0.21,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.1684,,0.9916,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40117240,Berninger (2006),2006,['Extending school time'],NA,Woodcock Johnson Writing Samples,,"The Writing Samples subtests of the Woodcock Johnson Psychoeducational Battery (WJ- The Writing Samples subtests of the Woodcock Johnson Psychoeducational Battery (WJ-R) (Woodcock & Johnson, 1990) were also given. [Strand - Extending School Time]",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.3171,,0.2148,,Literacy: writing,,52.0,,100.6,,14.3,,38.0,,95.6,,17.3,,-0.1038,,0.7381,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40117116,Campbell (1994),1994,['Extending school time'],NA,Gates MacGinitie Read­ ing Test Third Edition Form K,,"Basic skills gains were measured for stu­ dents in both the experimental group and the control group using the Gates MacGinitie Read­ ing Test Third Edition Form K, which was administered in April 1991 and 1992.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0581,,0.0283,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0027,,0.1135,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Gates MacGinitie Read­ ing Test Third Edition Form K,,"Basic skills gains were measured for stu­ dents in both the experimental group and the control group using the Gates MacGinitie Read­ ing Test Third Edition Form K, which was administered in April 1991 and 1992.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0581,,0.0283,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0027,,0.1135,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40117117,Cason (1995),1995,['Extending school time'],NA,SAT Reading (ANOVA),,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2031,,0.09,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0267,,0.3795,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,SAT Reading (ANOVA),,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2031,,0.09,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0267,,0.3795,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40117193,Chase (2000),2000,['Extending school time'],NA,Woodcock-Passage Comprehension-cohort 1 (ANOVA),,Woodcock-Johnson Achievement tests was administered orally one-on-one at the program sites by trained WRC evaluation staff including bi-lingual staff if needed.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.16,,0.3,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.428,,0.748,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Woodcock-Passage Comprehension-cohort 1 (ANOVA),,Woodcock-Johnson Achievement tests was administered orally one-on-one at the program sites by trained WRC evaluation staff including bi-lingual staff if needed.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.16,,0.3,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.428,,0.748,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40117118,Chen (1994),1994,['Extending school time'],NA,CAP,,California Aptitude Test,,['Toolkit primary outcome'],,0.0054,,0.1021,,Combined subjects,,254.0,,0.0,,0.0,,154.0,,0.958,,0.0,,-0.1948,,0.2055,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
