id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
38111471,Ammon (1971),1971,"['Oral language interventions', 'EY_Communication and language approaches']",NA,Peabody Picture Vocabulary Test (PPVT),,"The first outcome was Form B of the Peabody Picture Vocabulary Test (PPVT), a widely used recognition test of vocabulary. Data from Table 2 - Vocabulary as treatment group.",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.0878,,0.265,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.5684,,1.6072,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Peabody Picture Vocabulary Test (PPVT),,"The first outcome was Form B of the Peabody Picture Vocabulary Test (PPVT), a widely used recognition test of vocabulary. Data from Table 2 - Vocabulary as treatment group.",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.0878,,0.265,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.5684,,1.6072,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38111637,Aram (2004) OL,2004,"['Oral language interventions', 'EY_Communication and language approaches']",NA,Phonological Awareness (Post test Means/SDs) - Joint Reading vs Control,,"Two tasks developed for the present study served as measures of phonological awareness  one referring to alliteration and the other to rhymes. Each included 10 two-syllable word pairs. On the alliteration task, we asked children if the first syllable of a word resembled or differed from the first syllable of its paired word. On the rhyming task, we asked the same question with reference to word pairs’ final syllables.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3624,,0.2673,,Literacy: decoding/phonics,,35.0,,13.34,,3.77,,24.0,,11.91,,4.07,,-0.1614,,0.8862,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Phonological Awareness (Post test Means/SDs) - Joint Reading vs Control,,"Two tasks developed for the present study served as measures of phonological awareness  one referring to alliteration and the other to rhymes. Each included 10 two-syllable word pairs. On the alliteration task, we asked children if the first syllable of a word resembled or differed from the first syllable of its paired word. On the rhyming task, we asked the same question with reference to word pairs’ final syllables.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3624,,0.2673,,Literacy: decoding/phonics,,35.0,,13.34,,3.77,,24.0,,11.91,,4.07,,-0.1614,,0.8862,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38111536,Aram (2006),2006,"['Oral language interventions', 'EY_Communication and language approaches']",NA,Peabody Picture Vocabulary Test,,"The Peabody Picture Vocabulary Test (PPVT) was used to examine children’s receptive vocabulary, using Solberg and Nevo's (1979) translation to a Hebrew items set. The interviewer asked the child to choose one picture out of four, depicting a spoken word. Inasmuch as only preliminary Hebrew norms were available for children older than the present sample, raw scores were used. The receptive vocabulary score amounted to the number of correct responses.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0396,,0.231,,Literacy: reading comprehension,,37.0,,35.46,,6.21,,38.0,,35.19,,7.23,,-0.4131,,0.4923,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Peabody Picture Vocabulary Test,,"The Peabody Picture Vocabulary Test (PPVT) was used to examine children’s receptive vocabulary, using Solberg and Nevo's (1979) translation to a Hebrew items set. The interviewer asked the child to choose one picture out of four, depicting a spoken word. Inasmuch as only preliminary Hebrew norms were available for children older than the present sample, raw scores were used. The receptive vocabulary score amounted to the number of correct responses.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0396,,0.231,,Literacy: reading comprehension,,37.0,,35.46,,6.21,,38.0,,35.19,,7.23,,-0.4131,,0.4923,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38111473,Beck (2007),2007,"['Oral language interventions', 'EY_Communication and language approaches']",NA,PPVT-(pre-post gain means/SDs)-KG,,Peabody Picture Vocabulary Test (PPVT) was administered. These tests were developed around one set of 22 words for the kindergarten classes.,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.1537,,0.3206,,Literacy: reading other,,23.0,,4.58,,2.75,,23.0,,1.04,,3.26,,0.5253,,1.7821,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,PPVT-(pre-post gain means/SDs)-KG,,Peabody Picture Vocabulary Test (PPVT) was administered. These tests were developed around one set of 22 words for the kindergarten classes.,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.1537,,0.3206,,Literacy: reading other,,23.0,,4.58,,2.75,,23.0,,1.04,,3.26,,0.5253,,1.7821,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38111679,Bochna (2006),2006,"['Oral language interventions', 'EY_Communication and language approaches']",NA,Listening comprehension - oral language,,"Prompted Recall Measure of Main Idea. The posttest book was also a book that had not been read to the children previously, entitled, From Tadpole to Frog. Immediately following the reading, the child was asked to provide a free recall of the book  “I want you to tell me everything you remember about the story. Tell me the story”. The researcher wrote down the child’s response verbatim. When the child appeared to be finished with their free recall, they were given a single, “Anything else?” prompt, and the researcher wrote down any additional comments from the child. A rubric was developed by the author in collaboration with a colleague to score the recalls. There were 46 total possible points for this test.",,"['Toolkit primary outcome', 'Other outcome']",,0.6949,,0.3469,,Literacy: speaking and listening/oral language,,NA,,NA,,NA,,NA,,NA,,NA,,0.015,,1.3748,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38111474,Bonds (1987),1987,"['Oral language interventions', 'EY_Communication and language approaches']",NA,California Achievement Test(Reading comprehension)-Success approach-Success in Kindergarten Reading and Writing (1980),,"The purpose of the California Achievement Test is to measure the student's achievement in the areas of reading and language. It was administered in March 1987 to all subjects of the investigation. The Reading and Language subtests measure a student's ability in the areas of Reading Comprehension, Reading Vocabulary, Total Reading, Language Expression, Visual Recognition, and Sound Recognition. Measures of achievement on the subtests and scores are indicated by percentiles, stanines, and standard scores. Procedures for administering the instruments were those as outlined in the Examiner's Manual.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.9764,,0.2275,,Literacy: reading comprehension,,45.0,,574.37,,47.23,,42.0,,503.57,,91.19,,0.5304,,1.4223,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,California Achievement Test(Reading comprehension)-Success approach-Success in Kindergarten Reading and Writing (1980),,"The purpose of the California Achievement Test is to measure the student's achievement in the areas of reading and language. It was administered in March 1987 to all subjects of the investigation. The Reading and Language subtests measure a student's ability in the areas of Reading Comprehension, Reading Vocabulary, Total Reading, Language Expression, Visual Recognition, and Sound Recognition. Measures of achievement on the subtests and scores are indicated by percentiles, stanines, and standard scores. Procedures for administering the instruments were those as outlined in the Examiner's Manual.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.9764,,0.2275,,Literacy: reading comprehension,,45.0,,574.37,,47.23,,42.0,,503.57,,91.19,,0.5304,,1.4223,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38111475,Bortnem (2005),2005,"['Oral language interventions', 'EY_Communication and language approaches']",NA,The Expressive Vocabulary Test (EVT) ,,"The Expressive Vocabulary Test (EVT) is a measure for expressive vocabulary and has been co-normed with the PPVT-test. The scores of an individual can be compared on both these tests  a measure of word retrieval can be derived and interpreted. It contains 190 items, the first are 38 labeling items, and the rest are synonym items in which the examiner presents a picture and a word and the examinee responds with a synnonym. The EVT compares the fiction and non-fiction intervention groups to control (using Table 4).  ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0193,,0.276,,Literacy: reading other,,29,,52.206,,10.164,,24,,52,,10.96,,-0.5216,,0.5602,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,The Expressive Vocabulary Test (EVT) ,,"The Expressive Vocabulary Test (EVT) is a measure for expressive vocabulary and has been co-normed with the PPVT-test. The scores of an individual can be compared on both these tests  a measure of word retrieval can be derived and interpreted. It contains 190 items, the first are 38 labeling items, and the rest are synonym items in which the examiner presents a picture and a word and the examinee responds with a synnonym. The EVT compares the fiction and non-fiction intervention groups to control (using Table 4).  ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0193,,0.276,,Literacy: reading other,,29,,52.206,,10.164,,24,,52,,10.96,,-0.5216,,0.5602,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
77945720,Bowyer‐Crane (2008),2008,['EY_Communication and language approaches'],NA,Reading comprehension,,posttest means and sd's on the NARA II reading,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.2282,,0.168,,Literacy: reading comprehension,,75,,4.72,,1.54,,68,,5.11,,1.86,,-0.5575,,0.101,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Reading comprehension,,posttest means and sd's on the NARA II reading,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.2282,,0.168,,Literacy: reading comprehension,,75,,4.72,,1.54,,68,,5.11,,1.86,,-0.5575,,0.101,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38111680,Box (1993),1993,"['Oral language interventions', 'EY_Communication and language approaches']",NA,ESI-Print Concepts (ANCOVA),,"Part A/Print Concepts include one set of cards with pictures and print, one large card for reading, and one scoring sheet for each child. Both sections of the test, which are administered individually, take a total of approximately 15 minutes per child. The print concepts section is an evaluation of the child's understanding of the reading process that covers what one reads, why one reads, and how one reads.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.93,,0.3,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.342,,1.518,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,ESI-Print Concepts (ANCOVA),,"Part A/Print Concepts include one set of cards with pictures and print, one large card for reading, and one scoring sheet for each child. Both sections of the test, which are administered individually, take a total of approximately 15 minutes per child. The print concepts section is an evaluation of the child's understanding of the reading process that covers what one reads, why one reads, and how one reads.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.93,,0.3,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.342,,1.518,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38111478,Brooks (2006),2006,"['Oral language interventions', 'EY_Communication and language approaches']",NA,24-item vocabulary posttest scores -storybook readings with explicit instruction,,"The vocabulary posttest was designed to assess the receptive vocabulary knowledge of 24 target vocabulary words that were presented in the storybooks for the first experimental group. The classroom teachers who implemented the lessons administered the tests to each participant. The test was administered during the conclusion of the four-week research period. The test consisted of 24 forced-choice items and the administration time ranged between 3-5 minutes. Each question was read orally to the students and two possible answer choices were provided. The examiner read the testing prompt followed by the 24 test items  “We will play a question and answer game. I will ask you a question and you will give me an answer. I will give you two answer choices. If you do not know the answer, you may say, I do not know. Question  Which would be unattractive? Answer choices  Getting a shot from the doctor? or Going shopping at the toy store?” The vocabulary posttest measure used in this study is located in Appendix C. ",,"['Toolkit primary outcome', 'Other outcome']",,0.752,,0.2993,,Literacy: speaking and listening/oral language,,28.0,,18.03,,2.91,,21.0,,15.76,,3.05,,0.1652,,1.3387,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
