ID,toolkit_strand,short_title,main_authors,year,main_title,parent_title,parent_authors,type_name,abstract,volume,issue,pages,doi,url,publisher,city,institution
38111471,"['Oral language interventions', 'EY_Communication and language approaches']",Ammon (1971),Ammon Paul ; Ammon Mary ; ,1971,Effects of training black preschool children in vocabulary versus sentence construction,Journal of Educational Psychology,NA,"Journal, Article","Seventy-two children were divided equally into vocabulary training, sentence training, and control groups. Each child was tested before and after a 6-week training period with the Peabody Picture Vocabulary Test (PPVT), a Sentence Imitation Test (SIT), and a Picture Interview (PI). Vocabulary training involved practice in recognizing and applying words from the PPVT and the PI. Sentence training consisted of imitating sentences similar to those in the SIT and constructing new instances of the same sentence types. Analyses of variance showed that vocabulary training had a positive effect on recognition and production of the words taught (p < .025), but did not transfer to sentence imitation. There were no significant effects of sentence training. Vocabulary seems more amenable to early training with disadvantaged children.",62,5,421-426,https://doi.org/10.1037/h0031624,https://psycnet.apa.org/doiLanding?doi=10.1037%2Fh0031624,NA,NA,NA
38111637,"['Oral language interventions', 'EY_Communication and language approaches']",Aram (2004) OL,Aram D ; Biron S ; ,2004,Joint storybook reading and joint writing interventions among low SES preschoolers: Differential contributions to early literacy,Early Childhood Research Quarterly,NA,"Journal, Article","This study compared two interventions  one focusing on language and storybook reading and the other on alphabetic skills and writing. Seventy-one preschoolers aged 3-5 from a low SES township in central Israel (35 in the reading program and 36 in the writing program) participated in evaluation of the interventions. Twenty-four untreated preschoolers served as a control group. The children were tested twice, at the beginning and at the end of the school year, in  phonological awareness, word writing, letter knowledge, orthographic awareness, listening comprehension, receptive vocabulary, and general knowledge. Both programs involved games and creative activities. The writing program encouraged letter knowledge, phonological awareness, and functional writing activities. The reading program utilized 11 children's books for focusing on language and exploring major concepts raised by these books. Results indicated that children in the two literacy programs progressed significantly more than the control group on phonological awareness and orthographic awareness. However, the joint writing group significantly outperformed both the joint reading group and the control group on phonological awareness, word writing, orthographic awareness, and letter knowledge. We also found that children as young as 3-4 years gained from literacy programs as much as did older children, aged 4-5, on all the measures assessed in our program.",19,4,588-610,https://doi.org/10.1016/j.ecresq.2004.10.003,https://www.sciencedirect.com/science/article/pii/S0885200604000717,NA,NA,NA
38111536,"['Oral language interventions', 'EY_Communication and language approaches']",Aram (2006),Aram Dorit ; ,2006,"Early literacy interventions: The relative roles of storybook reading, alphabetic activities, and their combination",An Interdisciplinary Journal,NA,"Journal, Article","The study examined the differential contributions on vocabulary and alphabetic skills of three literacy programs  (a) storybook reading program (b) alphabetic skills program and (c) a combined program. It was expected that storybook reading would enhance primarily vocabulary while alphabetic skills training would promote primarily alphabetic skills. Program by age interactions were examined in two age groups (3–4 and 4–5 years old) to test whether the storybook reading program may be more productive for the younger children whereas alphabetic skills program more productive for the older children. Twelve low-SES preschools participated in the study, three in each program and three as a comparison group. Results indicated that the children in the three intervention programs progressed significantly more than the comparison group on name writing, letter knowledge and phonological awareness . Further, the alphabetic skills program outperformed the other groups on word writing, letter knowledge and initial letter retrieval , whereas the storybook reading program outperformed only the comparison group. Results on the combined program were mixed – enhancing more initial letter retrieval and book vocabulary than storybook reading program. In general, no differences emerged in the progress of younger versus older children except on receptive vocabulary – the younger surpassing the older in all programs.",19,5,489-515,https://doi.org/10.1007/s11145-006-9005-2,https://link.springer.com/article/10.1007/s11145-006-9005-2,NA,NA,NA
38111473,"['Oral language interventions', 'EY_Communication and language approaches']",Beck (2007),Beck Isabel L ; McKeown Margaret G ; ,2007,Increasing young low‐income children’s oral vocabulary repertoires through rich and focused instruction,The Elementary School Journal,NA,"Journal, Article","This article reports on 2 studies with kindergarten and first‐grade children from a low‐achieving elementary school that provided vocabulary instruction by the students’ regular classroom teacher of sophisticated words (advanced vocabulary words) from children’s trade books that are typically read aloud. Study 1 compared the number of sophisticated words learned between 52 children who were directly taught the words and 46 children who received no instruction. As expected, children in the experimental group learned significantly more words. Study 2, a within‐subject design, examined 76 children’s learning of words under 2 different amounts of instruction, either 3 days or 6 days. In Study 2, the vocabulary gains in kindergarten and first‐grade children for words that received more instruction were twice as large. Student vocabulary was assessed by a picture test where students were presented with pictures that represented different words and were asked to identify which picture represented the word that the tester provided. The verbal test was similar but used a sentence description of a scenario instead of a picture. The instructional implications for which words to teach and how to teach them to young children are discussed.",107,3,251-271,https://doi.org/10.1086/511706,https://www.journals.uchicago.edu/doi/10.1086/511706,NA,NA,NA
38111679,"['Oral language interventions', 'EY_Communication and language approaches']",Bochna (2006),Bochna Cynthia R; ,2006,The impact of instruction in text structure on listening comprehension in preschool age students,NA,NA,Dissertation,"Emergent literacy concerns the experiences children have with language prior to learning to read and write conventionally. These oral and written language experiences encourage the development of strategies and behaviors that encourage and facilitate the child’s later reading ability. While much attention has been given to the development of vocabulary and phonological awareness knowledge in the young learner, less has been paid to the growth of comprehension skills, particularly in the area of non-fiction, or expository, text. This study investigates the impact of comprehension instruction on disadvantaged preschool children’s understanding of expository children’s books. Forty-five children enrolled in year round Head Start services in Central Pennsylvania were split into ten small groups and read ten non-fiction books over a six week period. Approximately half of the children were taught to summarize content and identify topic during shared book reading sessions, while the remaining children were read the books without explicit instruction. Results indicate that children as young as three can be taught to identify the topic in a novel expository text. Limitations of the study and directions for future research are also discussed.",NA,NA,98,NA,https://search.proquest.com/docview/305245876,NA,Ann Arbor,The Pennsylvania State University
38111474,"['Oral language interventions', 'EY_Communication and language approaches']",Bonds (1987),Bonds Lella Theresa Gantt; ,1987,A comparative study of the efficacy of two approaches to introducing reading skills to kindergarteners,NA,NA,Dissertation,"Based on the individual child and the group, approaches to teaching beginning reading may vary in degrees of effectiveness. Program implementation should be based on valid research pertaining to the efficacy of the approach being used. Concern for the learner's nature and needs should be an essential criterion to be applied in selecting particular instructional materials and procedures. The purpose of this study was to compare the effectiveness of two methods of introducing reading skills to kindergarteners. A total of 87 subjects participated in the investigation. One group of 42 subjects was designated as the control group, and one group of 45 subjects was designated as the experimental group. Both groups were administered the Developmental Indicator for the Assessment of Learning-R to determine if there was a significant difference between the two groups at the.05 level when the investigation commenced. Statistical analysis using the t-test for independent means yielded no significant difference between the groups. The control and experimental groups received reading readiness instruction via two different approaches. The control group received reading instruction via a basal reader readiness program (Houghton Mifflin), and the experimental group received reading instruction via an eclectic, integrated, approach (Success). The instructional period lasted for a period of 140 days. The performance of the two groups on the California Achievement Test, Form E, was analyzed using a t-test for independent means and an a priori alpha risk of.05 to test the six null hypotheses. There were significant differences on the following subtests performance favoring the experimental (Success) group  Reading Comprehension, Reading Vocabulary, Reading Total, and Language Expression. There were no significant differences between the performance of the two groups on the subtests of Sound Recognition and Visual Recognition. The results of the investigation reveal that the Success approach, which is an integrated, eclectic approach, is an effective method for teaching beginning reading skills to kindergarteners. Although effective with the experimental subjects of the investigation, it would be beneficial to know the effects of the program and program components on other subjects at other grade levels and from different groups.",NA,NA,144,NA,https://search.proquest.com/docview/303618466,NA,Columbia,University of South Carolina
38111475,"['Oral language interventions', 'EY_Communication and language approaches']",Bortnem (2005),Bortnem Gayle ; ,2005,The effects of using non-fiction interactive read -alouds on expressive and receptive vocabulary of preschool children,NA,NA,Dissertation,"Young children acquire new vocabulary at an amazing rate during the first five years of life. Because there is a strong relationship between language development during the early years and reading ability in the primary grades, early childhood teachers must understand language and literacy development. Children enter kindergarten in the United States with large differences in their background knowledge, vocabulary, and early literacy experiences. It is essential that early childhood programs provide quality language experiences such as read-alouds in order for children to become successful readers. This study examined the strategy of using nonfiction interactive book read-alouds with the emergent reader in preschool to promote vocabulary development. In this quantitative study, 53 three-, four-, and five-year old children enrolled in a Head Start program were participants. The preschool children were assessed using the Peabody Picture Vocabulary Test (PPVT-III) and the Expressive Vocabulary Test (EVT) as pre and posttests. The researcher read nonfiction literature to one class and fictional text to another twice per week for 12 weeks but did not read to the control group. Standardized test scores did not show significant differences in the post-test scores among the control and the two treatment groups, although all groups showed improvement in their receptive and expressive vocabularies. In addition, a survey designed by the researcher was sent out to preschool teachers and childcare providers about the amount of time they read aloud to children, the amount of time they spend reading fiction compared to nonfiction text, and their years of teaching in early childhood and educational backgrounds. Results showed that teachers in early childhood programs are reading to children an average of 8.5 out of 10 days, although nonfiction literature is not being read to young children as much as fiction. The findings in this report have implications for practice in the field. Because vocabulary development is a key ingredient in the learning-to-read process, teachers and parents can use nonfiction as a tool, if they are aware of the benefits of how to use this genre to support children's emerging literacy skills.",NA,NA,NA,NA,https://search.proquest.com/docview/85628208,NA,Vermillion,University of South Dakota
77945720,['EY_Communication and language approaches'],Bowyer‐Crane (2008),Bowyer‐Crane C ; Snowling M J; Duff F J; Fieldsend E ; Carroll J M; Miles J ; Götz K ; Hulme C ; ,2008,Improving early language and literacy skills: Differential effects of an oral language versus a phonology with reading intervention,Journal of Child Psychology and Psychiatry,NA,"Journal, Article","Background  This study compares the efficacy of two school-based intervention programmes (Phonology with Reading (P + R) and Oral Language (OL)) for children with poor oral language at school entry. Methods  Following screening of 960 children, 152 children (mean age 4 09) were selected from 19 schools on the basis of poor vocabulary and verbal reasoning skills and randomly allocated to either the P + R programme or the OL programme. Both groups of children received 20 weeks of daily intervention alternating between small group and individual sessions, delivered by trained teaching assistants. Children in the P + R group received training in letter-sound knowledge, phonological awareness and book level reading skills. Children in the OL group received instruction in vocabulary, comprehension, inference generation and narrative skills. The children's progress was monitored at four time points  pre-, mid- and post-intervention, and after a 5-month delay, using measures of literacy, language and phonological awareness. Results  The data are clustered (children within schools) and robust confidence intervals are reported. At the end of the 20-week intervention programme, children in the P + R group showed an advantage over the OL group on literacy and phonological measures, while children in the OL group showed an advantage over the P + R group on measures of vocabulary and grammatical skills. These gains were maintained over a 5-month period. Conclusions  Intervention programmes designed to develop oral language skills can be delivered successfully by trained teaching assistants to children at school entry. Training using P + R fostered decoding ability whereas the OL programme improved vocabulary and grammatical skills that are foundations for reading comprehension. However, at the end of the intervention, more than 50% of at-risk children remain in need of literacy support.",49,4,422-432,https://doi.org/10.1111/j.1469-7610.2007.01849.x,https://acamh.onlinelibrary.wiley.com/doi/10.1111/j.1469-7610.2007.01849.x,NA,NA,NA
38111680,"['Oral language interventions', 'EY_Communication and language approaches']",Box (1993),Box Jean Ann; Aldridge Jerry ; ,1993,Shared reading experiences and Head Start children's concepts about print and story structure,Perceptual and Motor Skills,NA,"Journal, Article","Differences among three groups of 24 4-yr.-old Head Start children's responses on concepts about print and story structure were found in scores on print concepts for the group given shared reading experiences with predictable books versus placebo and control groups, but no differences were observed in scores on story structure.",77,3,929-930,https://doi.org/10.2466/pms.1993.77.3.929,https://journals.sagepub.com/doi/10.2466/pms.1993.77.3.929,NA,Birmingham,Dept Teacher Education Orlean Bullard Beeson School Education
38111478,"['Oral language interventions', 'EY_Communication and language approaches']",Brooks (2006),Brooks Resia ; ,2006,Becoming acquainted with the faces of words: Fostering vocabulary development in kindergarten students through storybook readings,NA,NA,Dissertation,"The purpose of the study was to examine the effect of storybook readings with explicit instruction of target words on the vocabulary acquisition of primary grade students. The secondary focus of the research sought to investigate vocabulary learning through storybook readings as it relates to students' entering vocabulary knowledge. The study involved 78 kindergarten students who were randomly assigned to one of three groups  Storybook reading with explicit instruction of target words, storybook reading without explicit instruction of target words, and a control group. The Peabody-Picture Vocabulary Test-III was used to assess receptive vocabulary knowledge. Data analysis indicated that there was a statistical difference between students who received storybook readings with explicit instruction and students who were not exposed to storybook readings. A trend was noted between the explicit storybook group with explicit instruction, which had higher mean scores, and the storybook reading only group. However, statistically significant differences were not indicated. Students with higher initial vocabularies made greater vocabulary knowledge gains on the vocabulary posttest measure suggesting a ""rich-get richer effect"" pertaining to vocabulary acquisition.",NA,NA,NA,NA,https://search.proquest.com/docview/85688889,NA,"Auburn, AL",Auburn University
