id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
67335207,Angerilli (1999) 1_1,1999,['EY_Early literacy approaches'],NA,,63,"['Page 65:\n[¬s]""117 students in six\nheterogeneous kindergarten classes[¬e]""', 'Page 67:\n[¬s]""The 96 students providing data for this study[¬e]""', 'Page 67:\n[¬s]""There were 3 students in the treatment group (21 boys\nand 17 girls), 33 students in the control group (16 boys and 17 girls)\nand 25 students in the comparison group (13 boys and 12 girls).[¬e]""']",,['Mixed gender'],NA,46%,,NA,NA,,NA,"['Page 65:\n[¬s]""Both classes were in the same elementary school, located in a middle to upper-middle socioeconomic catchment area.""\n""Comparison subjects (conventional spellers) came from two\nkindergarten classes in another elementary school in the same school\ndistrict. This school was located in a middle to lower-middle\nsocioeconomic catchment area.[¬e]""']",,NA,NA,,"['Page 67:\n[¬s]""There were 3 students in the treatment group (21 boys\nand 17 girls),[¬e]""']",38,,"['Page 67:\n[¬s]""25 students in the comparison group (13 boys and 12 girls).[¬e]""']",25,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],"['Page 67:\n[¬s]""The 96 students providing data for this study ranged in age from\n5 years 0 months to 6 years 1 month, with a mean age of 5 years 6.37\nmonths and a standard deviation of 3.53 months.[¬e]""']",NA,,NA,NA,,NA,NA,
74577987,Angerilli (1999) 1_2,1999,['EY_Early literacy approaches'],NA,,58,"['Page 67:\n[¬s]""33 students in the control group (16 boys and 17 girls)\nand 25 students in the comparison group (13 boys and 12 girls).[¬e]""']",,['Mixed gender'],"['Page 67:\n[¬s]""33 students in the control group (16 boys and 17 girls)\nand 25 students in the comparison group (13 boys and 12 girls).[¬e]""']",50,,NA,NA,,NA,"['Page 65:\n[¬s]""This school was located in a middle to lower-middle\nsocioeconomic catchment area.[¬e]""']",,NA,NA,,"['Page 67:\n[¬s]""33 students in the control group (16 boys and 17 girls)[¬e]""']",33,,"['Page 67:\n[¬s]""25 students in the comparison group (13 boys and 12 girls).[¬e]""']",25,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
67335209,Aram (2004) 1_1,2004,['EY_Early literacy approaches'],NA,,59,"['Page 5:\n[¬s]""In the present study, to evaluate the effectiveness of these two intervention programs, we randomly sampled 76 children (38 in each intervention group) from the four intervention preschools. In addition, we sampled 24 children from two other untreated preschools to serve as a control group.We administered pretests to the 76 children sampled from the intervention preschools (38 children in each of the two intervention programs), but only 71 of these children completed the posttest measures (36 children in the joint writing program and 35 in joint reading).""\n""All 24 children in the\ncontrol group completed measures at both the pretest and posttest intervals.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,"['Page 4:\n[¬s]""Participants comprised preschoolers from six preschools in the low SES township of Jaffa in cen-\ntral Israel.[¬e]""', 'Page 5:\n[¬s]""Jaffa residents face a lack\nof education and health programs, a high level of violence and crime, a number of neighborhoods\nknown for drug dealing, and a high percentage of multiproblem families who suffer from domestic\nviolence, economic distress, poor health, single parenthood, etc. The unemployment rate is higher than\nthe general rate in Israel, and 30.1% of Jaffa’s residents regularly receive local welfare services, in\ncomparison with 16.3% in Tel Aviv. The rate of persons per room in Jaffa (1.53) surpasses that of\nTel Aviv (0.87). The rate of single mothers in Jaffa (17.7%) is higher than the general rate in Israel\n(10.0%).[¬e]""']",,NA,NA,,"['Page 5:\n[¬s]""In the present study, to evaluate the effectiveness of these two intervention programs, we randomly\nsampled 76 children (38 in each intervention group) from the four intervention preschools[¬e]""']",38,,"['Page 5:\n[¬s]""we sampled 24 children from two other untreated preschools to serve as a control group[¬e]""']",24,,NA,NA,,NA,NA,,NA,35,,NA,24,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""We administered\npretests to the 76 children sampled from the intervention preschools (38 children in each of the two\nintervention programs), but only 71 of these children completed the posttest measures (36 children in\nthe joint writing program and 35 in joint reading). Four children moved with their families out of town\nand left their preschools, and one child was hospitalized at the time of the posttest[¬e]""']",NA,,NA,7.89,,NA,4.83,
74577988,Aram (2004) 1_2,2004,['EY_Early literacy approaches'],NA,,60,"['Page 5:\n[¬s]""In the present study, to evaluate the effectiveness of these two intervention programs, we randomly sampled 76 children (38 in each intervention group) from the four intervention preschools.""\n""but only 71 of these children completed the posttest measures (36 children in\nthe joint writing program and 35 in joint reading).""\n""All 24 children in the\ncontrol group completed measures at both the pretest and posttest intervals.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,"['Page 1:\n[¬s]""Seventy-one preschoolers aged 3–5 from a low SES township in central Israel[¬e]""', 'Page 5:\n[¬s]""Jaffa residents face a lack\nof education and health programs, a high level of violence and crime, a number of neighborhoods\nknown for drug dealing, and a high percentage of multiproblem families who suffer from domestic\nviolence, economic distress, poor health, single parenthood, etc. The unemployment rate is higher than\nthe general rate in Israel, and 30.1% of Jaffa’s residents regularly receive local welfare services, in\ncomparison with 16.3% in Tel Aviv. The rate of persons per room in Jaffa (1.53) surpasses that of\nTel Aviv (0.87). The rate of single mothers in Jaffa (17.7%) is higher than the general rate in Israel\n(10.0%).[¬e]""']",,NA,NA,,"['Page 5:\n[¬s]""We administered\npretests to the 76 children sampled from the intervention preschools (38 children in each of the two\nintervention programs),[¬e]""']",38,,"['Page 5:\n[¬s]""All 24 children in the\ncontrol group completed measures at both the pretest and posttest intervals.[¬e]""']",24,,NA,NA,,NA,NA,,NA,36,,NA,24,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""We administered\npretests to the 76 children sampled from the intervention preschools (38 children in each of the two\nintervention programs), but only 71 of these children completed the posttest measures (36 children in\nthe joint writing program and 35 in joint reading). Four children moved with their families out of town\nand left their preschools, and one child was hospitalized at the time of the posttes[¬e]""']",NA,,NA,5.26,,NA,3.22,
67335211,Ball (1991) 1_1,1991,['EY_Early literacy approaches'],NA,,59,"['Page 11:\n[¬s]""ote. Phoneme awareness group, n =[¬e]""', 'Page 8:\n[¬s]""From the remaining pool, 30 students were ran-\ndomly selected from each of the three schools to\nparticipate in the project. One child was eventu-\nally eliminated from the study due to an exces-\nsive number of absences, leaving a total of 89\nsubjects; their mean age was 5.71 y[¬e]""']",,['Mixed gender'],"['Page 8:\n[¬s]""dge. Eligible students from\neach classroom were first grouped according to\ngender and PPVT-R sco[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 11:\n[¬s]""Note. Phoneme[¬e]""']",29,,"['Page 11:\n[¬s]""group, n[¬e]""']",30,,NA,NA,,NA,NA,,NA,29,,NA,30,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74577990,Ball (1991) 1_2,1991,['EY_Early literacy approaches'],NA,,60,"['Page 11:\n[¬s]""ote. Phoneme awareness group, n[¬e]""']",,['Mixed gender'],"['Page 8:\n[¬s]""dge. Eligible students from\neach classroom were first grouped according to\ngender and PPVT-R sco[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 11:\n[¬s]""e awareness[¬e]""']",30,,"['Page 11:\n[¬s]""group, n[¬e]""']",30,,NA,NA,,NA,NA,,NA,30,,NA,30,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
68127032,Beach (2004),2004,['EY_Early literacy approaches'],NA,,305,"['Page 191:\n[¬s]""252 in the comparison group (12% mortality or 32 students)""\n""93 in die treatment group (9% mortality or 8 students)[¬e]""']",,['No information provided'],NA,NA,,62,"['Page 192:\n[¬s]""62% of participants were on free and reduced lunch[¬e]""']",,NA,NA,,NA,NA,,NA,93,,NA,252,,NA,NA,,NA,NA,,"['Page 191:\n[¬s]""252 in the comparison group (12% mortality or 32 students)[¬e]""']",220,,"['Page 191:\n[¬s]""93 in die treatment group (9% mortality or 8 students)[¬e]""']",85,,NA,NA,,NA,NA,,['Yes'],"['Page 191:\n[¬s]""252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""']",NA,,"['Page 191:\n[¬s]""93 in die treatment group (9% mortality or 8 students)[¬e]""']",12.69,,"['Page 191:\n[¬s]""252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""']",11.59 ,
67335213,Beech (1994) 1_1,1994,['EY_Early literacy approaches'],NA,,24,"['Page 4:\n[¬s]""The subjects were 36 children, aged between 4.12 and 6.33\nyears, who were divided into three groups: Letter, Shape, and No-training, for the\npurposes of the experiment and were matched on gender, age, reading level, Raven\'s\nmatrices, British Picture Vocabulary and letter-to-sound and sound-to-letter performance\n(about to be described).[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""matched on gender,[¬e]""']",Not specified,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 4:\n[¬s]""The subjects were 36 children, aged between 4.12 and 6.33\nyears, who were divided into three groups: Letter, Shape, and No-training, for the\npurposes of the experiment and were matched on gender, age, reading level, Raven\'s\nmatrices, British Picture Vocabulary and letter-to-sound and sound-to-letter performance\n(about to be described).[¬e]""']",12,,"['Page 4:\n[¬s]""The subjects were 36 children, aged between 4.12 and 6.33\nyears, who were divided into three groups: Letter, Shape, and No-training, for the\npurposes of the experiment and were matched on gender, age, reading level, Raven\'s\nmatrices, British Picture Vocabulary and letter-to-sound and sound-to-letter performance\n(about to be described)[¬e]""']",12,,NA,NA,,NA,NA,,NA,12,,NA,12,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74577992,Beech (1994) 1_2,1994,['EY_Early literacy approaches'],NA,,24,"['Page 4:\n[¬s]""The subjects were 36 children, aged between 4.12 and 6.33\nyears, who were divided into three groups: Letter, Shape, and No-training,[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""matched on gender,[¬e]""']",not specified,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 4:\n[¬s]""The subjects were 36 children, aged between 4.12 and 6.33\nyears, who were divided into three groups: Letter, Shape, and No-training, for the\npurposes of the experiment and were matched on gender, age, reading level, Raven\'s\nmatrices, British Picture Vocabulary and letter-to-sound and sound-to-letter performance\n(about to be described).[¬e]""']",12,,"['Page 4:\n[¬s]""he subjects were 36 children, aged between 4.12 and 6.33\nyears, who were divided into three groups: Letter, Shape, and No-training, for the\npurposes of the experiment and were matched on gender, age, reading level, Raven\'s\nmatrices, British Picture Vocabulary and letter-to-sound and sound-to-letter performance\n(about to be described). T[¬e]""']",12,,NA,NA,,NA,NA,,NA,12,,NA,12,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
67335195,Bierman (2008),2008,['EY_Early literacy approaches'],NA,,356,"['Page 1:\n[¬s]""three hundred and fifty-six\n4-year-old children[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""54% girls[¬e]""']",54,,NA,NA,,Head Start supports low-income families specifically,"['Page 1:\n[¬s]""Forty-four Head Start classrooms""\n""Head Start has been referred to as the nation’s ‘‘pre-\nmier’’ federally sponsored early childhood education\nprogram developed to reduce socioeconomic dispar-\nities in school readiness[¬e]""']",,NA,NA,,"['Page 4:\n[¬s]""N 5 356,[¬e]""']",178,,"['Page 4:\n[¬s]""N 5 356[¬e]""']",178,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""356[¬e]""']",178,,"['Page 4:\n[¬s]""356[¬e]""']",178,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""Two children were dropped because they had a twin\nor sibling in the study, and 19 families withdrew early\nfrom Head Start and hence completed only parts of\nthe assessment procedures. Hence, study participants\nrepresent 86% of the initially eligible population.[¬e]""']",NA,,NA,0,,"['Page 5:\n[¬s]""Hence, study participants\nrepresent 86% of the initially eligible population.[¬e]""']",14 ,
