id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
67335207,Angerilli (1999) 1_1,1999,['EY_Early literacy approaches'],NA, Developmental Spelling Tes (DST),,"The Developmental Spelling Test (DST), created by Tangel and Blachman (1995, Appendix A), was used to assess the developmental level of spelling that students could produce when attempting to spell single dictated words. Students were instructed to print six words (lap, sick, elephant, pretty, train, hunt) on a sheet of paper with the letters of the alphabet written across the top. - Trained inventive spellers vs Conventional spellers (Table 3)",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,1.9057,,0.3115,,Literacy: spelling,,38.0,,3.88,,0.85,,25.0,,1.9,,1.25,,1.2951,,2.5163,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,SORT- High frequency word recognition,,High frequency word recognition from Slosson Oral Reading Test (SORT)  Trained inventive spellers vs Conventional spellers,,['Reading primary outcome'],,0.1551,,0.2579,,Literacy: reading other,,38,,3.08,,3.47,,25,,2.46,,4.59,,-0.3504,,0.6606,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74577987,Angerilli (1999) 1_2,1999,['EY_Early literacy approaches'],NA,Developmental Spelling Test Scores,,"The Developmental Spelling Test, created by Tangel and Blachman (1995, Appendix A), was used to assess the developmental level of spelling that students could produce when attempting to spell single dictated words. Students were instructed to print six words (lap, sick, elephant, pretty, train, hunt) on a sheet of paper with the letters of the alphabet written across the top - Encouraged inventive spellers vs conventional spellers",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.1851,,0.2657,,Literacy: spelling,,33.0,,2.14,,1.3,,25.0,,1.9,,1.25,,-0.3357,,0.706,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,SORT- High frequency word recognition,,High frequency word recognition from Slosson Oral Reading Test (SORT)  Encouraged inventive spellers vs Conventional spellers,,['Reading primary outcome'],,-0.0043,,0.2651,,Literacy: reading other,,33,,2.44,,4.66,,25,,2.46,,4.59,,-0.524,,0.5154,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335209,Aram (2004) 1_1,2004,['EY_Early literacy approaches'],NA,Phonological Awareness,,Two tasks developed for the present study served as measures of phonological awareness  one referring to alliteration and the other to rhymes. Each included 10 two-syllable word pairs. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3624,,0.2673,,Literacy: decoding/phonics,,35.0,,13.34,,3.77,,24.0,,11.91,,4.07,,-0.1614,,0.8862,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,Phonological Awareness,,Two tasks developed for the present study served as measures of phonological awareness  one referring to alliteration and the other to rhymes. Each included 10 two-syllable word pairs. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3624,,0.2673,,Literacy: decoding/phonics,,35.0,,13.34,,3.77,,24.0,,11.91,,4.07,,-0.1614,,0.8862,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74577988,Aram (2004) 1_2,2004,['EY_Early literacy approaches'],NA,Phonological Awareness,,Two tasks developed for the present study served as measures ofphonological awareness  one referring to alliteration and the other to rhymes. Each included 10 two-syllable word pairs,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.2534,,0.2889,,Literacy: decoding/phonics,,36.0,,16.06,,2.61,,24.0,,11.91,,4.07,,0.6872,,1.8196,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,Phonological Awareness,,Two tasks developed for the present study served as measures ofphonological awareness  one referring to alliteration and the other to rhymes. Each included 10 two-syllable word pairs,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.2534,,0.2889,,Literacy: decoding/phonics,,36.0,,16.06,,2.61,,24.0,,11.91,,4.07,,0.6872,,1.8196,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335211,Ball (1991) 1_1,1991,['EY_Early literacy approaches'],NA,Reading Measures,,Word Identification Subtest of the Woodcock were used for subject selection and to assess early reading skills. The Wood- cock Word Identification Subtest was adminis- tered both as a pretest and as a posttest. The test consists of a list of 150 words taken from an analysis of the vocabulary introduced in seven basal reading program,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5301,,0.2653,,Literacy: reading comprehension,,29.0,,3.2,,4.6,,30.0,,1.1,,3.1,,0.0101,,1.05,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Reading Measures,,Word Identification Subtest of the Woodcock were used for subject selection and to assess early reading skills. The Wood- cock Word Identification Subtest was adminis- tered both as a pretest and as a posttest. The test consists of a list of 150 words taken from an analysis of the vocabulary introduced in seven basal reading program,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5301,,0.2653,,Literacy: reading comprehension,,29.0,,3.2,,4.6,,30.0,,1.1,,3.1,,0.0101,,1.05,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74577990,Ball (1991) 1_2,1991,['EY_Early literacy approaches'],NA,Reading Measures,,Word Identification Subtest of the Woodcock were used for subject selection and to assess early reading skills. The Wood- cock Word Identification Subtest was adminis- tered both as a pretest and as a posttest. The test consists of a list of 150 words taken from an analysis of the vocabulary introduced in seven basal reading program,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1051,,0.2584,,Literacy: reading comprehension,,30.0,,1.4,,2.5,,30.0,,1.1,,3.1,,-0.4013,,0.6116,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Reading Measures,,Word Identification Subtest of the Woodcock were used for subject selection and to assess early reading skills. The Wood- cock Word Identification Subtest was adminis- tered both as a pretest and as a posttest. The test consists of a list of 150 words taken from an analysis of the vocabulary introduced in seven basal reading program,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1051,,0.2584,,Literacy: reading comprehension,,30.0,,1.4,,2.5,,30.0,,1.1,,3.1,,-0.4013,,0.6116,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
68127032,Beach (2004),2004,['EY_Early literacy approaches'],NA,Initial sounds fluency (ISF) ,,"Selected as primary outcome due to  ""The program was designed to build on existing family literacy practices and to increase phonological awareness skills including  word comparison, rhyming, syllable segmentation, sentence segmentation, initial sounds, onsets/rimes segmentation and blending, and phoneme manipulation, segmentation and blending. As a prerequisite for phonological awareness instruction, concepts of print, visual discrimination, letter naming fluency, numeral recognition, one-to-one correspondence, and alphabetic principle were integrated briefly into instruction.""The ISF and LNF measures were created to assess student development of phonological awareness and were based upon the essential early literacy domains.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.184,,0.0767,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0337,,0.3343,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Initial sounds fluency (ISF) ,,"Selected as primary outcome due to  ""The program was designed to build on existing family literacy practices and to increase phonological awareness skills including  word comparison, rhyming, syllable segmentation, sentence segmentation, initial sounds, onsets/rimes segmentation and blending, and phoneme manipulation, segmentation and blending. As a prerequisite for phonological awareness instruction, concepts of print, visual discrimination, letter naming fluency, numeral recognition, one-to-one correspondence, and alphabetic principle were integrated briefly into instruction.""The ISF and LNF measures were created to assess student development of phonological awareness and were based upon the essential early literacy domains.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.184,,0.0767,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0337,,0.3343,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335213,Beech (1994) 1_1,1994,['EY_Early literacy approaches'],NA,Letter-Sound Test,,"To test letter-to-sound knowledge they were given each of the 26 letters of the alphabet and required to produce the correct, or one of the correct phonemes for each.",,"['Toolkit primary outcome', 'Other outcome']",,0.3942,,0.413,,Literacy: decoding/phonics,,12.0,,10.0,,6.24,,12.0,,7.67,,5.12,,-0.4153,,1.2036,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74577992,Beech (1994) 1_2,1994,['EY_Early literacy approaches'],NA,Letter-Sound Test,,"To test letter-to-sound knowledge they were given each of the 26 letters of the alphabet and required to produce the correct, or one of the correct phonemes for each.",,"['Toolkit primary outcome', 'Other outcome']",,0.5989,,0.4191,,Literacy: decoding/phonics,,12.0,,11.17,,6.12,,12.0,,7.67,,5.12,,-0.2224,,1.4203,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335195,Bierman (2008),2008,['EY_Early literacy approaches'],NA,Vocabulary - Expressive One-Word Picture Vocabulary Test,,"In the Expressive One-Word Picture Vocabulary Test (Brownell, 2000), children gave the word that best described pictures they were shown.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1541,,0.1062,,Literacy: speaking and listening/oral language,,178.0,,42.79,,11.55,,178.0,,41.03,,11.24,,-0.054,,0.3622,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,Vocabulary - Expressive One-Word Picture Vocabulary Test,,"In the Expressive One-Word Picture Vocabulary Test (Brownell, 2000), children gave the word that best described pictures they were shown.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1541,,0.1062,,Literacy: speaking and listening/oral language,,178.0,,42.79,,11.55,,178.0,,41.03,,11.24,,-0.054,,0.3622,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
