ID,toolkit_strand,short_title,main_authors,year,main_title,parent_title,parent_authors,type_name,abstract,volume,issue,pages,doi,url,publisher,city,institution
67335207,['EY_Early literacy approaches'],Angerilli (1999) 1_1,Angerilli Sheridan ; ,1999,Teaching phonological awareness through supported invented spelling,NA,NA,Dissertation,"This study investigated the effects of an intervention which capitalized on the natural tendency of non-reading kindergarten students to engage in invented spelling in order to teach them the alphabetic principle upon which our written language is based. All 96 participants were non-reading kindergarten students. The experimental group was composed of 38 students who received explicit phonological based training and scaffolded instructional support in invented spelling in the regular classroom three times per week over 14 weeks. The control group consisted of 33 students who were given opportunity and encouragement to spell inventively, but without explicit training and instructional support. A comparison group was formed of 25 students who were given neither opportunity nor encouragement to spell inventively. The results of this study indicate that explicit phonological process based training and scaffolded instructional support linked to invented spelling strengthen phonemic segmentation ability and letter-sound knowledge, two of the foundational skills and concepts upon which early literacy development is based. It also resulted in students' accelerated progress through the developmental stages of invented spelling and increased ability to read phonetically regular words. This study does not support the assumption that these effects will occur by merely creating an environment in which invented spelling is encouraged and practiced regularly. Although explicit instruction based on phonological processes was shown to be advantageous for both developmentally high and low students, it was especially beneficial for students initially demonstrating developmentally low levels of literacy acquisition.",NA,NA,211,NA,https://www.proquest.com/pqdtglobal/docview/304561038/abstract/5B20D939083C4A96PQ/1?accountid=14533,NA,NA,Simon Fraser University (Canada)
74577987,['EY_Early literacy approaches'],Angerilli (1999) 1_2,Angerilli Sheridan ; ,1999,Teaching phonological awareness through supported invented spelling,NA,NA,Dissertation,"This study investigated the effects of an intervention which capitalized on the natural tendency of non-reading kindergarten students to engage in invented spelling in order to teach them the alphabetic principle upon which our written language is based. All 96 participants were non-reading kindergarten students. The experimental group was composed of 38 students who received explicit phonological based training and scaffolded instructional support in invented spelling in the regular classroom three times per week over 14 weeks. The control group consisted of 33 students who were given opportunity and encouragement to spell inventively, but without explicit training and instructional support. A comparison group was formed of 25 students who were given neither opportunity nor encouragement to spell inventively. The results of this study indicate that explicit phonological process based training and scaffolded instructional support linked to invented spelling strengthen phonemic segmentation ability and letter-sound knowledge, two of the foundational skills and concepts upon which early literacy development is based. It also resulted in students' accelerated progress through the developmental stages of invented spelling and increased ability to read phonetically regular words. This study does not support the assumption that these effects will occur by merely creating an environment in which invented spelling is encouraged and practiced regularly. Although explicit instruction based on phonological processes was shown to be advantageous for both developmentally high and low students, it was especially beneficial for students initially demonstrating developmentally low levels of literacy acquisition.",NA,NA,211,NA,https://www.proquest.com/pqdtglobal/docview/304561038/abstract/5B20D939083C4A96PQ/1?accountid=14533,NA,NA,NA
67335209,['EY_Early literacy approaches'],Aram (2004) 1_1,Aram Dorit ; Biron Shira ; ,2004,Joint storybook reading and joint writing interventions among low SES preschoolers: differential contributions to early literacy,Early Childhood Research Quarterly,NA,"Journal, Article","This study compared two interventions  one focusing on language and storybook reading and the other on alphabetic skills and writing. Seventy-one preschoolers aged 3–5 from a low SES township in central Israel (35 in the reading program and 36 in the writing program) participated in evaluation of the interventions. Twenty-four untreated preschoolers served as a control group. The children were tested twice, at the beginning and at the end of the school year, in  phonological awareness, word writing, letter knowledge, orthographic awareness, listening comprehension, receptive vocabulary, and general knowledge. Both programs involved games and creative activities. The writing program encouraged letter knowledge, phonological awareness, and functional writing activities. The reading program utilized 11 children's books for focusing on language and exploring major concepts raised by these books. Results indicated that children in the two literacy programs progressed significantly more than the control group on phonological awareness and orthographic awareness. However, the joint writing group significantly outperformed both the joint reading group and the control group on phonological awareness, word writing, orthographic awareness, and letter knowledge. We also found that children as young as 3–4 years gained from literacy programs as much as did older children, aged 4–5, on all the measures assessed in our program.",19,4,588-610,https://doi.org/10.1016/j.ecresq.2004.10.003,https://www.sciencedirect.com/science/article/pii/S0885200604000717,NA,NA,NA
74577988,['EY_Early literacy approaches'],Aram (2004) 1_2,Aram Dorit ; Biron Shira ; ,2004,Joint storybook reading and joint writing interventions among low SES preschoolers: differential contributions to early literacy,Early Childhood Research Quarterly,NA,"Journal, Article","This study compared two interventions  one focusing on language and storybook reading and the other on alphabetic skills and writing. Seventy-one preschoolers aged 3–5 from a low SES township in central Israel (35 in the reading program and 36 in the writing program) participated in evaluation of the interventions. Twenty-four untreated preschoolers served as a control group. The children were tested twice, at the beginning and at the end of the school year, in  phonological awareness, word writing, letter knowledge, orthographic awareness, listening comprehension, receptive vocabulary, and general knowledge. Both programs involved games and creative activities. The writing program encouraged letter knowledge, phonological awareness, and functional writing activities. The reading program utilized 11 children's books for focusing on language and exploring major concepts raised by these books. Results indicated that children in the two literacy programs progressed significantly more than the control group on phonological awareness and orthographic awareness. However, the joint writing group significantly outperformed both the joint reading group and the control group on phonological awareness, word writing, orthographic awareness, and letter knowledge. We also found that children as young as 3–4 years gained from literacy programs as much as did older children, aged 4–5, on all the measures assessed in our program.",19,4,588-610,https://doi.org/10.1016/j.ecresq.2004.10.003,https://www.sciencedirect.com/science/article/pii/S0885200604000717,NA,NA,NA
67335211,['EY_Early literacy approaches'],Ball (1991) 1_1,Ball Eileen W; Blachman Benita A; ,1991,Does phoneme awareness training in kindergarten make a difference in early word recognition and developmental spelling?,Reading Research Quarterly,NA,"Journal, Article","The goal of this project was to evaluate the effects of training in phonemic segmentation and of instruction in letter names and letter sounds on kindergarten children's reading and spelling skills. Ninety students from three urban public schools in the U. S. were randomly assigned to one of three groups. The first group received training in segmenting words into phonemes, as well as training in correspondences between letter names and letter sounds (phoneme awareness group). The second group received only the training in letter names and letter sounds (language activities group). The third group received no intervention (control group). Results indicated that phoneme awareness instruction, combined with instruction connecting the phonemic segments to alphabet letters, significantly improved the early reading and spelling skills of the children in the phoneme awareness group. However, instruction in letter names and letter sounds alone did not significantly improve the segmentation skills, the early reading skills, or the spelling skills of the kindergarten children who participated in the language activities group, as compared with the control group.",26,1,49-66,NA,https://www.jstor.org/stable/747731,NA,NA,NA
74577990,['EY_Early literacy approaches'],Ball (1991) 1_2,Ball Eileen W; Blachman Benita A; ,1991,Does phoneme awareness training in kindergarten make a difference in early word recognition and developmental spelling?,Reading Research Quarterly,NA,"Journal, Article","The goal of this project was to evaluate the effects of training in phonemic segmentation and of instruction in letter names and letter sounds on kindergarten children's reading and spelling skills. Ninety students from three urban public schools in the U. S. were randomly assigned to one of three groups. The first group received training in segmenting words into phonemes, as well as training in correspondences between letter names and letter sounds (phoneme awareness group). The second group received only the training in letter names and letter sounds (language activities group). The third group received no intervention (control group). Results indicated that phoneme awareness instruction, combined with instruction connecting the phonemic segments to alphabet letters, significantly improved the early reading and spelling skills of the children in the phoneme awareness group. However, instruction in letter names and letter sounds alone did not significantly improve the segmentation skills, the early reading skills, or the spelling skills of the kindergarten children who participated in the language activities group, as compared with the control group.",26,1,49-66,NA,https://www.jstor.org/stable/747731,NA,NA,NA
68127032,['EY_Early literacy approaches'],Beach (2004),Beach D W; ,2004,The effects of a school district's kindergarten readiness summer program on phonological awareness skills of at -risk prekindergarten students: A regression discontinuity analysis,NA,NA,Dissertation,"Although there is considerable evidence linking phonological awareness to  early reading performance, few research studies have been conducted to measure  early interventions of explicit phonological awareness instruction, including parents  as teachers, with 4- and 5-year-old prekindergarten children  among those that have  been completed, research methods have often been seriously flawed. The purpose of this study was to determine if prekindergarten children who  participated in an explicit phonological-awareness training program, which  included their parents as teachers, entered kindergarten at a reading readiness level  higher than would have been expected had they not participated in the program. An additional goal of this research was to demonstrate the utility of the regression  discontinuity design in program evaluation. The independent variable (program treatment) was participation in a  phonological awareness-based, kindergarten-readiness, summer program. The  dependent variable (post-program measure) was the level of phonological  awareness as measured by the Dynamic Indicators of Basic Early Literacy Skills  (DIBELS) kindergarten subtests. A kindergarten-readiness screening was used to  assign students to program or nonprogram status. Results of this study yielded standardized effect sizes of 0.18 and 0.16.  These treatment effects of the kindergarten-readiness summer program on the  initial sounds fluency (ISF) and letter naming fluency (LNF) subtests of the  DIBELS were small, but comparable to other studies of phonological awareness.  Program gains of this magnitude are very important considering feasibility and  duration of the independent variable. Additionally, students’ scores increased 3.3  points on the DIBELS ISF and a 5.1 points on the DIBELS LNF. Comparing these  scores to benchmarks of performance established in DIBELS research indicate that  the program treatment contributed to substantial gains that warrant consideration in  program evaluation. This study of the effectiveness of phonological awareness instruction with  prekindergarten children added to current research on assessment procedures for  early identification and early intervention of children who are at-risk, and provided  data concerning the effectiveness of school readiness programs, specifically  phonological awareness instruction for prekindergarten students.",NA,NA,NA,NA,https://www.proquest.com/docview/305103174,NA,Utah,Utah State University
67335213,['EY_Early literacy approaches'],Beech (1994) 1_1,Beech J R; Pedley H ; Barlow R ; ,1994,Training letter-to-sound connections: The efficacy of tracing,Current Psychology,NA,"Journal, Article","Examined whether tracing letters is a worthwhile technique for learning the connections between letters and their corresponding sounds. 36 White children (aged 4–6 yrs) were divided into 3 groups. In 3-wk training sessions, Group 1 pronounced letters while tracing them, and Group 2 pronounced letters while watching them be traced. Group 3 acted as a control group. All Ss completed pretests and posttests. In a letter–sound test, the training groups did not differ from each other, but both differed significantly from the control group. A sound–letter test showed improvement only in the group that watched letters being traced. Letter–sound skills can be improved at the prereading stage. However, tracing letters on a computer screen does not appear to confer any extra benefits and may even be a slight distraction.",13,2,153–164,https://doi.org/10.1007/BF02686798,https://psycnet.apa.org/record/1995-12937-001,NA,NA,NA
74577992,['EY_Early literacy approaches'],Beech (1994) 1_2,Beech J R; Pedley H ; Barlow R ; ,1994,Training letter-to-sound connections: The efficacy of tracing,Current Psychology,NA,"Journal, Article","Examined whether tracing letters is a worthwhile technique for learning the connections between letters and their corresponding sounds. 36 White children (aged 4–6 yrs) were divided into 3 groups. In 3-wk training sessions, Group 1 pronounced letters while tracing them, and Group 2 pronounced letters while watching them be traced. Group 3 acted as a control group. All Ss completed pretests and posttests. In a letter–sound test, the training groups did not differ from each other, but both differed significantly from the control group. A sound–letter test showed improvement only in the group that watched letters being traced. Letter–sound skills can be improved at the prereading stage. However, tracing letters on a computer screen does not appear to confer any extra benefits and may even be a slight distraction.",13,2,153–164,https://doi.org/10.1007/BF02686798,https://psycnet.apa.org/record/1995-12937-001,NA,NA,NA
67335195,['EY_Early literacy approaches'],Bierman (2008),Bierman Karen L; Domitrovich Celene E; Nix Robert L; Gest Scott D; Welsh Janet A; Greenberg Mark T; Blair Clancy ; Nelson Keith E; Gill Sukhdeep ; ,2008,Promoting academic and social‐emotional school readiness: The Head Start REDI program,Child Development,NA,"Journal, Article","Forty-four Head Start classrooms were randomly assigned to enriched intervention (Head Start REDI—Research-based, Developmentally Informed) or “usual practice” conditions. The intervention involved brief lessons, “hands-on” extension activities, and specific teaching strategies linked empirically with the promotion of  (a) social-emotional competencies and (b) language development and emergent literacy skills. Take-home materials were provided to parents to enhance skill development at home. Multimethod assessments of three hundred and fifty-six 4-year-old children tracked their progress over the course of the 1-year program. Results revealed significant differences favoring children in the enriched intervention classrooms on measures of vocabulary, emergent literacy, emotional understanding, social problem solving, social behavior, and learning engagement. Implications are discussed for developmental models of school readiness and for early educational programs and policies.",79,6,1802-1817,https://doi.org/10.1111/j.1467-8624.2008.01227.x,https://srcd.onlinelibrary.wiley.com/doi/10.1111/j.1467-8624.2008.01227.x,NA,NA,NA
