id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
67322407,Arnold (2002),2002,['EY_Early numeracy approaches'],NA,['Yes'],NA,NA,,NA,50,,"['Page 4:\n[¬s]""7.93[¬e]""']",7.93,,NA,5.72,,NA,11.59,,NA,6.33,,NA,NA,,NA,NA,,NA,NA,,NA,50,,NA,7.69,,NA,6.6,,NA,8.53,,NA,7.56,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67322408,Aunio (2005),2005,['EY_Early numeracy approaches'],NA,['Yes'],NA,NA,,NA,22,,NA,13.45,,NA,3.43,,NA,17.82,,NA,1.87,,NA,NA,,NA,NA,,NA,NA,,NA,23,,NA,14.13,,NA,4.79,,NA,16.05,,NA,3.95,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 10:\n[¬s]""and follow-up (six months after the intervention)[¬e]""']",NA,
67322409,Baroody (2009),2009,['EY_Early numeracy approaches'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67322410,Casey (2008),2008,['EY_Early numeracy approaches'],NA,['Yes'],NA,NA,,NA,19,,"['Page 30:\n[¬s]""TABLE 2""\n""5.03[¬e]""']",5.03,,NA,1.76,,"['Page 30:\n[¬s]""6.24[¬e]""']",6.24,,NA,1.51,,NA,NA,,NA,NA,,NA,NA,,NA,17,,"['Page 30:\n[¬s]""6.47[¬e]""']",6.47,,NA,1.96,,NA,5.74,,NA,1.94,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67322411,Chard (2008),2008,['EY_Early numeracy approaches'],NA,NA,NA,NA,,NA,186,,NA,22.9,,NA,6.3,,NA,29.5,,NA,6.5,,NA,NA,,NA,NA,,NA,NA,,NA,102,,NA,20.8,,NA,6.4,,NA,25.3,,NA,6.8,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67322380,Ciancio (2001),2001,['EY_Early numeracy approaches'],NA,['Yes'],NA,NA,,NA,35,,NA,NA,,NA,NA,,NA,14.3,,NA,4.63,,NA,NA,,NA,NA,,NA,NA,,NA,35,,NA,NA,,NA,NA,,NA,11.97,,NA,3.51,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67322412,Clarke (2011),2011,['EY_Early numeracy approaches'],NA,['Yes'],NA,NA,,"['Page 14:\n[¬s]""621[¬e]""']",621,,"['Page 14:\n[¬s]""19.6[¬e]""']",19.6,,"['Page 14:\n[¬s]""9.58[¬e]""']",9.58,,"['Page 14:\n[¬s]""32.1[¬e]""']",32.1,,"['Page 14:\n[¬s]""9.42[¬e]""']",9.42,,NA,NA,,NA,NA,,NA,NA,,NA,554,,"['Page 14:\n[¬s]""20.0[¬e]""']",20.0,,"['Page 14:\n[¬s]""9.57[¬e]""']",9.57,,"['Page 14:\n[¬s]""30.2[¬e]""']",30.2,,"['Page 14:\n[¬s]""10.17[¬e]""']",10.17,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67961475,Clarke (2016),2016,['EY_Early numeracy approaches'],NA,['Yes'],NA,NA,,NA,177,,NA,26.9,,NA,19.45,,NA,79.64,,NA,34.12,,NA,NA,,NA,NA,,NA,NA,,NA,79,,NA,23.26,,NA,18.05,,NA,56.74,,NA,33.27,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
67322413,Clements (2007),2007,['EY_Early numeracy approaches'],NA,['Yes'],NA,NA,,"['Page 21:\n[¬s]""l N[¬e]""']",27,,"['Page 19:\n[¬s]""9.[¬e]""']",9.67,,NA,9.7,,NA,29.46,,NA,17.95,,NA,NA,,NA,NA,,NA,NA,,NA,26,,NA,7.83,,NA,8.28,,NA,17.93,,NA,12.48,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67322414,Clements (2008) 1_1,2008,['EY_Early numeracy approaches'],NA,['Yes'],NA,NA,,NA,NA,,"['Page 26:\n[¬s]""43.02[¬e]""']",43.02,,"['Page 26:\n[¬s]""7.88[¬e]""']",7.88,,"['Page 26:\n[¬s]""59.39[¬e]""']",59.39,,"['Page 26:\n[¬s]""7.46[¬e]""']",7.46,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 26:\n[¬s]""45.47[¬e]""']",45.47,,"['Page 26:\n[¬s]""7.53[¬e]""']",7.53,,"['Page 26:\n[¬s]""53.22[¬e]""']",53.22,,"['Page 26:\n[¬s]""8.38[¬e]""']",8.38,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
