id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
67322407,Arnold (2002),2002,['EY_Early numeracy approaches'],NA,,103,"['Page 3:\n[¬s]"". One-hundred three[¬e]""']",,['Mixed gender'],"['Page 2:\n[¬s]""One-hundred twelve children (64 girls)[¬e]""']",57.14,,100,"['Page 2:\n[¬s]""Head Start income eligibility requirements are made by reference to the\nofficial federal poverty line (e.g., $14,150 for a family of three for the year\n2000; Administration for Children and Families, 2000). The actual median\nfamily income reported for this sample was $13,229[¬e]""']",,NA,NA,,NA,NA,,"['Page 3:\n[¬s]"". One-hundred three[¬e]""']",50,,"['Page 3:\n[¬s]""One-hundred three[¬e]""']",50,,NA,NA,,NA,NA,,NA,50,,NA,50,,NA,NA,,NA,NA,,['Yes'],"['Page 3:\n[¬s]"". One-hundred three of the 112[¬e]""']",8,,"['Page 3:\n[¬s]"". One-hundred three of the 112 children h[¬e]""']",8,,NA,8,
67322408,Aunio (2005),2005,['EY_Early numeracy approaches'],NA,,45,"['Page 6:\n[¬s]""45[¬e]""']",,['Mixed gender'],"['Page 6:\n[¬s]""The participants of this study were 45 children (18 girls and 27 boys)[¬e]""']",0.4,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 7:\n[¬s]""22[¬e]""']",22,,"['Page 7:\n[¬s]""23[¬e]""']",23,,NA,NA,,NA,NA,,NA,22,,NA,23,,NA,NA,,NA,NA,,['Yes'],"['Page 6:\n[¬s]""three children""\n""whose families moved out of the city""\n""were excluded from follow-up analysis""\n""follow-up tests[¬e]""']","6 in 6 months follow up, 0 at posttest ",,"['Page 6:\n[¬s]""one in the experimental""\n""whose families moved out of the city between the immediate and\nthe follow-up tests, so these children were excluded[¬e]""']",0,,NA,0,
67322409,Baroody (2009),2009,['EY_Early numeracy approaches'],NA,,80,"['Page 12:\n[¬s]""80[¬e]""']",,['Mixed gender'],"['Page 12:\n[¬s]""A total of 80 children (48 boys and 32 girls; 30 African American,[¬e]""']",0.4,,80,"['Page 12:\n[¬s]""59 free/reduced lunch[¬e]""']",,NA,NA,,NA,NA,,"['Page 36:\n[¬s]""ABLE 9""\n""(n = 20)[¬e]""']",20,,"['Page 36:\n[¬s]""(n = 20""\n""n = 20[¬e]""']",20,,NA,20,,NA,20,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
67322410,Casey (2008),2008,['EY_Early numeracy approaches'],NA,,100,"['Page 11:\n[¬s]""One hundred kindergarten student[¬e]""']",,['Mixed gender'],"['Page 29:\n[¬s]""whether the\nvariable of school system interacted with either gende[¬e]""', 'Page 31:\n[¬s]""at this effect was carried by the mental\nrotation task F(1,103) = 8.29, p = .005, with the boys (M = 5.39, SD = 2.63,\nn = 41) scoring higher than the girls (M = 4.08, SD = 2.06, n = 48).[¬e]""']",53.93,,70,"['Page 11:\n[¬s]""Seventy-three percent of students\nin this school system qualiﬁed for free or reduced priced meals[¬e]""']",,NA,NA,,NA,NA,,"['Page 30:\n[¬s]""19[¬e]""']",19,,"['Page 30:\n[¬s]""17[¬e]""']",17,,NA,NA,,NA,NA,,NA,19,,NA,17,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
67322411,Chard (2008),2008,['EY_Early numeracy approaches'],NA,,288,"['Page 6:\n[¬s]""186""\n""102[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""All kindergarten students in 14 elementary schools[¬e]""']",NA,,52,"['Page 5:\n[¬s]""52[¬e]""']",,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""186[¬e]""']",186,,"['Page 6:\n[¬s]""102[¬e]""']",102,,NA,NA,,NA,NA,,NA,186,,NA,102,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
67322380,Ciancio (2001),2001,['EY_Early numeracy approaches'],NA,,71,"['Page 5:\n[¬s]""9""\n""37""\n""22""\n""3[¬e]""']",,['Mixed gender'],"['Page 5:\n[¬s]""and there were 18 girls in each group.[¬e]""']",50.70,,100,"['Page 5:\n[¬s]""Head Start[¬e]""']",,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""9 children from various Middle–Eastern cultures, 37 African–Americans,\n22 Latinos, and 3[¬e]""']",35,,"['Page 5:\n[¬s]""Two classes were randomly assigned to\nthe cognitive intervention, and two classes to the comparison intervention.\nThere were 9 children from various Middle–Eastern cultures, 37 African–Americans,\n22 Latinos, and 3[¬e]""']",35,,NA,NA,,NA,NA,,NA,35,,NA,35,,NA,NA,,NA,NA,,['Yes'],"['Page 11:\n[¬s]""(90.5%[¬e]""']",NA,,"['Page 11:\n[¬s]""Repeated efforts to give every\nscale to every child at the end of the school year resulted in 707 of the necessary\n781 administrations being completed (90.5%)[¬e]""']",10,,NA,10,
67322412,Clarke (2011),2011,['EY_Early numeracy approaches'],NA,,1213,"['Page 14:\n[¬s]""621""\n""554[¬e]""']",,['Mixed gender'],NA,NA,,56.3,"['Page 9:\n[¬s]""56.3% were eligible for free or reduced-price lunch[¬e]""']",,NA,NA,,NA,NA,,NA,660,,NA,553,,NA,NA,,NA,NA,,"['Page 14:\n[¬s]""621[¬e]""']",621,,NA,554,,NA,NA,,NA,NA,,['Yes'],"['Page 14:\n[¬s]""The sample sizes represent the maximum students available across measures for each assessment pe-\n, 52 students in the ELM condition and 49 students in the control condition were missing TEMA scores.""\n""Measures collected at T""\n""ncluded at most ﬁve fewer students than the maximum for both ELM and control.[¬e]""']",NA,,"['Page 14:\n[¬s]""11.3% missing in ELM classrooms (\u24392\n(1) ⫽ 4.03, p ⫽\n.0446).[¬e]""']",11.3,,"['Page 14:\n[¬s]""the TEMA-3, we experienced 9.8% attrition at T2[¬e]""']",9.8,
67961475,Clarke (2016),2016,['EY_Early numeracy approaches'],NA,,300,"['Page 6:\n[¬s]""58""\n""145""\n""87[¬e]""']",,['Mixed gender'],"['Page 7:\n[¬s]""Male""\n""45%""\n""41%[¬e]""']","gender not reported in text, sample was whole state schools, seems reasonable to assume mixed gender",,47,"['Page 5:\n[¬s]""17%–86% were eligible for free or reduced-price[¬e]""']",,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""145[¬e]""']",145,,"['Page 6:\n[¬s]""87[¬e]""']",87,,"['Page 6:\n[¬s]""58[¬e]""']",58,,NA,NA,,NA,177,,NA,79,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 16:\n[¬s]""Maximum likelihood estimation for the time £ condition analysis uses all\navailable data to provide potentially unbiased results even in the face of substantial attrition,\nprovided the missing data were missing at random (Graham, 2009). In the present study, we\ndid not believe that attrition or other missing data represented a meaningful departure from\nthe missing-at-random assumption, meaning that missing data did not likely depend on\nunobserved determinants of the outcomes of interest (Little & Rubin, 2002)""\n""Attrition\nStudent attrition was deﬁned as students with data at T1 but missing data at T2, and we\nexamined attrition with respect to the ROOTS-eligible sample of 290 students. Attrition\nrates varied between 10%, for the TEMA and RAENS, and 12% for NSB, ASPENS, and oral\ncounting. Only 6.9% of students were missing all posttest data. The proportion of students\nmissing all posttest data did not differ between conditions (x2\n(1) D 0.26, p D .6131).\nAlthough differential rates of attrition are undesirable, differential scores on math tests pres-\nent a far greater threat to validity, so we conducted an analysis to test whether student math\nscores were differentially affected by attrition across conditions. We examined the effects of\ncondition, attrition status, and their interaction on pretest scores for all ﬁve measures avail-\nable at pretest. We found no statistically signiﬁcant interactions for ASPENS, oral counting,\nor TEMA scores.[¬e]""', 'Page 17:\n[¬s]""Note. The samp""\n""le sizes represent students with a particula""\n""r measure at each assessment period. The complete sample included 203 students in the ROOTS condition, 87 in the control condition, and\n560 typically achieving students who were not eligible for ROOTS. NSB D Number Sense Brief; ASPENS[¬e]""', 'Page 18:\n[¬s]""We also found evidence of differential attrition for\npretest (T1) RAENS scores (t D 2.10, dfD 230, p D .0365). Students with RAENS data at T2\nscored 4.6 points higher than those without T2 data among control students; among students\nin the ROOTS condition, those with T2 data scored 1.8 points lower than those without T2\ndata.[¬e]""']","the exact % of attrition depends on the outcome, see Table 3, but for the primary outcome is less approx. 9.8%",,"['Page 16:\n[¬s]""10%[¬e]""']",10,,NA,10,
67322413,Clements (2007),2007,['EY_Early numeracy approaches'],NA,,71,NA,,['Mixed gender'],"['Page 12:\n[¬s]""east one full se\n1, 6 boys, 11 girls, site 2, 7 boys, 6 girls\n2, 13 boys, 9 girls. The average age of the\n49.9 months (SD =[¬e]""']",46.47,,63,"['Page 12:\n[¬s]""ms in which m[¬e]""']",,NA,NA,,NA,NA,,"['Page 21:\n[¬s]""perimental Ns: pretest, 29; po[¬e]""']",27,,NA,26,,NA,NA,,NA,NA,,"['Page 21:\n[¬s]""l N[¬e]""']",27,,NA,26,,NA,NA,,NA,NA,,['Yes'],"['Page 12:\n[¬s]""tal of 9 children moved out of the scho\n8 fro[¬e]""']",25,,NA,25,,NA,25,
67322414,Clements (2008) 1_1,2008,['EY_Early numeracy approaches'],NA,,202,NA,,['Mixed gender'],"['Page 28:\n[¬s]""(Interactions between the Level 1 variables of child-level SES\nand gender and Level 2 treatment groups[¬e]""', 'Page 44:\n[¬s]""Exploratory analyses also revealed no evidence\nthat the Building Blocks curriculum was differentially effective for children\nfrom low- or middle-SES households or of different gender.[¬e]""']",NA,,NA,NA,,NA,"['Page 6:\n[¬s]""The first group, serving children from low-income households, includes Head Start and state-funded programs.""\n""we included the second group, who served mixed- (low- and\nmiddle-) income children[¬e]""']",,NA,NA,,"['Page 15:\n[¬s]""Building Blocks n = 14[¬e]""', 'Page 26:\n[¬s]""Building Blocks, 101.[¬e]""', 'Page 6:\n[¬s]""In each classroom, we randomly selected 8 children from the pool\nof all kindergarten-intending[¬e]""']",101,,"['Page 26:\n[¬s]""n = control, 101;[¬e]""', 'Page 6:\n[¬s]""From 20 volunteers, 12 teachers were randomly\nselected. In each classroom, we randomly selected 8 children from the pool[¬e]""']",101,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 6:\n[¬s]""One comparison teacher became increasingly ill, and 4 children (3 from con-\ntrol, 1 from Building Blocks) moved out of the area during the first 3 months\nof the study, leaving 35 teachers and 276 children who participated through-\nout the study (technical problems and children’s illnesses during testing\nresulted in a total of 253 children with complete data on both pretest and\nposttest). To determine if there was any substantive effect of the teacher leav-\ning the study, we calculated an effect size as the change in mean pretest\nachievement mean for that condition as a result of the attrition, divided by\nthe pooled standard deviation.[¬e]""']",yes but it's vague at which stage all the types of attrition occured,,NA,NA,,NA,NA,
