id,pub_author,pub_year,abstract,strand_raw,strand_info,strand_CLEAN,pub_eppi,pub_eppi_CLEAN,pub_type_raw,pubtype_ht,pubtype_info,pub_type_CLEAN,loc_country_raw,loc_country_CLEAN,int_setting_raw,int_setting_ht,int_setting_info,int_Setting_CLEAN,eco_valid_raw,eco_valid_ht,eco_valid_info,eco_valid_CLEAN,part_age_raw,part_age_ht,part_age_info,part_age_CLEAN,school_treat_info,school_treat_ht,school_treat_CLEAN,school_cont_info,school_cont_ht,school_cont_CLEAN,school_total_info,school_total_ht,school_total_CLEAN,school_na_raw,school_na_info,school_na_ht,school_na_CLEAN,class_treat_info,class_treat_ht,class_treat_CLEAN,class_cont_info,class_cont_ht,class_cont_CLEAN,class_total_info,class_total_ht,class_total_CLEAN,class_na_raw,class_na_info,class_na_ht,class_na_CLEAN,treat_group_raw,treat_group_ht,treat_group_info,treat_group_CLEAN,part_assig_raw,part_assig_ht,part_assig_info,part_assig_CLEAN,level_assig_raw,level_assig_ht,level_assig_info,level_assig_CLEAN,int_desig_raw,int_design_ht,int_design_info,int_design_CLEAN,rand_raw,rand_ht,rand_info,rand_CLEAN,out_other_raw,out_other_ht,out_other_info,out_other_CLEAN,out_info_raw,out_info_ht,out_info_info,out_info_CLEAN,part_other_ht,part_other_info,part_other_CLEAN
67322407,Arnold (2002),2002,"Teachers implemented a 6-week classroom intervention designed to promote emergent math skills and math interest in preschool-aged children. Teachers in experimental classrooms incorporated math-relevant activities into their daily routine during circle time, transitions, mealtime, and small-group activities. Control classrooms engaged in their typical activities. After the program, experimental children scored significantly higher than control children on a standardized test of math ability and enjoyed math activities more than the control children, as measured by both teacher and self-report. Teachers rated the program as highly satisfactory and reported that they increased their own enjoyment and skill in implementing math activities in their classrooms. The intervention effects were largely accounted for by substantial gains by boys, whereas girls showed much smaller program response.",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Nursery school/pre-school'],"['Page 2:\n[¬s]""Head Start centers[¬e]""']",This is an early years intervention that can only take place in a preschool setting,,High ecological validity,NA,"The intervention was a curriculum requiring no special training, materials or administration",,"['4', '5']","['Page 2:\n[¬s]""53.18 months of age[¬e]""']",NA,,2,"['Page 2:\n[¬s]""two\nHead Start centers[¬e]""']",,2,"['Page 2:\n[¬s]""two\nHead Start centers[¬e]""']",,2,"['Page 2:\n[¬s]""two\nHead Start centers[¬e]""']",,NA,NA,NA,,4,"['Page 2:\n[¬s]"". Classrooms were then matched on full- versus half-day\nstatus and on morning-versus-afternoon hours, within centers, and one of\neach matched pair was randomly assigned to the intervention condition.""\n""eight classrooms i[¬e]""']",,4,"['Page 2:\n[¬s]""eight classrooms in two""\n"". Classrooms were then matched on full- versus half-day\nstatus and on morning-versus-afternoon hours, within centers, and one of\neach matched pair was randomly assigned to the intervention condition.[¬e]""']",,8,"['Page 2:\n[¬s]""eight classrooms i[¬e]""']",,NA,NA,NA,,['No'],NA,NA,,Random (please specify),"['Page 2:\n[¬s]"". Classrooms were then matched on full- versus half-day\nstatus and on morning-versus-afternoon hours, within centers, and one of\neach matched pair was randomly assigned to the intervention condition.[¬e]""']",NA,,Class,"['Page 2:\n[¬s]"". Classrooms were then matched on full- versus half-day\nstatus and on morning-versus-afternoon hours, within centers, and one of\neach matched pair was randomly assigned to the intervention condition[¬e]""']",NA,,['Multisite RCT'],"['Page 2:\n[¬s]"". Classrooms were then matched on full- versus half-day\nstatus and on morning-versus-afternoon hours, within centers, and one of\neach matched pair was randomly assigned to the intervention condition.""\n""eight classrooms in two\nHead Start centers[¬e]""']",NA,,Yes,"['Page 2:\n[¬s]"". Classrooms were then matched on full- versus half-day\nstatus and on morning-versus-afternoon hours, within centers, and one of\neach matched pair was randomly assigned to the intervention condition.[¬e]""']",NA,,['Yes'],NA,students interest in maths,,['Cognitive outcomes measured (Please specify)'],NA,students interest in maths,,NA,NA,
67322408,Aunio (2005),2005,"This study investigated the possibility of enhancing the level of preschoolers’ number sense by introducing two intervention programmes, Let’s think! and Young children with special educational needs count, too! .Forty‐five preschoolers, mean age 66.4 months, were randomly assigned to the experimental and control groups. The experimental group received instruction twice a week, for half an hour, and for a period of nine months. Pretest–postest comparison revealed that the experimental group showed enhanced number‐sense performance immediately after the instruction ended, but the between‐group difference faded after six months. There were no statistically significant differences between the groups in general mathematical thinking abilities (transfer tasks) after the intervention.",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['Finland'],,['Nursery school/pre-school'],NA,This is an early years intervention that can only take place in a preschool setting,,High ecological validity,NA,"The intervention was a curriculum requiring no special or unusually high amounts of training, materials or administration",,"['5', '4', '6']","['Page 6:\n[¬s]""4 yr 8 m""\n""aged between 56 months (4 yr 8 m) and 79\nmonths (6 yr 7 m) (M = 66.4, SD = 6.4)[¬e]""']",NA,,4,"['Page 9:\n[¬s]""Both large preschools had one instruction and\none comparison group, while the small preschools were randomly selected to have\neither an instruction or a comparison group.""\n""two large and four small preschools[¬e]""']",,4,"['Page 9:\n[¬s]""Both large preschools had one instruction and\none comparison group, while the small preschools were randomly selected to have\neither an instruction or a comparison group.[¬e]""']",,6,"['Page 9:\n[¬s]""Both large preschools had one instruction and\none comparison group, while the small preschools were randomly selected to have\neither an instruction or a comparison group[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],"['Page 6:\n[¬s]""The experimental group comprised 22\nchildren (10 girls and 12 boys) and the control group 23[¬e]""']",NA,,Random (please specify),"['Page 9:\n[¬s]""two large and four small preschools""\n""Both large preschools had one instruction and\none comparison group, while the small preschools were randomly selected to have\neither an instruction or a comparison group.[¬e]""']",school level,,School - multi-site,"['Page 9:\n[¬s]""Both large preschools had one instruction and\none comparison group, while the small preschools were randomly selected to have\neither an instruction or a comparison group.[¬e]""', 'Page 9:\n[¬s]""while the small preschools were randomly selected to have either an instruction or a comparison group.""\n""group. Both large preschools had one instruction and\none comparison group,[¬e]""']",NA,,['Multisite RCT'],"['Page 9:\n[¬s]""Both large preschools had one instruction and\none comparison group, while the small preschools were randomly selected to have\neither an instruction or a comparison group[¬e]""']",NA,,Yes,"['Page 9:\n[¬s]""Both large preschools had one instruction and\none comparison group, while the small preschools were randomly selected to have\neither an instruction or a comparison group""\n""two large and four small preschools[¬e]""']",NA,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
67322409,Baroody (2009),2009,"Research Findings  A 9-month study served to evaluate the effectiveness of a pre-kindergarten number sense curriculum. Phase 1 of the intervention involved manipulative-, game-based number sense instruction  Phase 2, computer-aided mental-arithmetic training with the simplest sums. Eighty 4- and 5-year-olds at risk for school failure were randomly assigned to (a) structured discovery of the n+0/0+n=n pattern and the n+1/1+n = the number after n relation  (b) structured discovery with explicit instruction  (c) blocked practice of (zero, one, and number-after) items  and (d) haphazard practice. Analyses with a Wilcoxon signed-rank test of follow-up Test of Early Mathematics Ability–Third Edition and mental-arithmetic testing indicated that general achievement and fluency with n+0/0+n combinations improved significantly. Significant improvement for n+1/1+n combinations was evident only if success included slow or counted answers. Practice or Policy  Theoretical, methodological, and educational implications are discussed, including the need to “score in context” (e.g., consider responses to other items).",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Nursery school/pre-school'],"['Page 12:\n[¬s]""preschool[¬e]""']",This is an early years intervention that can only take place in a preschool setting,,High ecological validity,NA,"The intervention was a curriculum requiring no special or unusually high amounts of training, materials or administration",,"['4', '5']","['Page 12:\n[¬s]""age from 4.0 to\n5.25 years old[¬e]""']",NA,,2,"['Page 12:\n[¬s]""attending two public preschools[¬e]""']",,2,"['Page 12:\n[¬s]""attending two public preschools[¬e]""']",,2,"['Page 12:\n[¬s]""attending two public preschools[¬e]""']",,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['Yes (Please specify)'],"['Page 22:\n[¬s]""Curriculum W—semistructured discovery learning: practice ofnumber-after\nexamples, n+0/0+n facts, n+1/1+n items, and other combinations done sepa-\nrately in four blocks of five items each.\n• Curriculum X—structured discovery learning: practice of a number-after\ntrial, a related n+1/1+n combination, and a related n+0/0+n fact done consec-\nutively to implicitly highlight relations (e.g., number after 3,3+1,and3+0\nin succession).\n• Curriculum Y—structured discovery learning (as described for Curriculum\nX) and explicit instruction on patterns/relations (e.g., “When we add with\none, it’s just the number after the other number”).\n• Curriculum Z—haphazard practice of number-after examples, n+0/0+n facts,\nn+1/1+n items, and other combinations.[¬e]""']","four conditions 1) Computer practice 0 + 1 and n + 1 sums, 2) structured discovery with explicit instruction 3)",,Random (please specify),"['Page 25:\n[¬s]""Partici-\npants were randomly assigned to one of the four mental-arithmetic training condi-\ntions. (No control group[¬e]""']",NA,,Individual,"['Page 25:\n[¬s]""Partici-\npants were randomly assigned to one of the four mental-arithmetic training condi-\ntions[¬e]""']",NA,,['Individual RCT'],"['Page 25:\n[¬s]""Partici-\npants were randomly assigned to one of the four mental-arithmetic training condi-\ntions.[¬e]""']","four intervention conditions are compared, no control",,Yes,"['Page 25:\n[¬s]""Partici-\npants were randomly assigned to one of the four mental-arithmetic training condi-\ntions. (No control group[¬e]""']",NA,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
67322410,Casey (2008),2008,"This study investigated the use of block-building interventions to develop spatial-reasoning skills in kindergartners. Two intervention conditions and a control condition were included to determine, first, whether the block building activities themselves benefited children's spatial skills, and secondly, whether a story context further improved learning. Spatial measures included  spatial visualization, mental rotation, and block building. Results showed  for block building, interventions within a story context improved performance compared to the other two conditions. For spatial visualization, both types of block-building interventions improved performance compared to the control condition. Findings suggest  (1) storytelling provides an effective context for teaching spatial content, (2) teaching block building develops wider spatial skills, and (3) 3-dimensional mental rotation tasks show a male advantage in kindergartners.",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,"['Nursery school/pre-school', 'Primary/elementary school']","['Page 11:\n[¬s]""kindergarten[¬e]""']",NA,,High ecological validity,NA,"The intervention was a curriculum requiring no special or unusually high amounts of training, materials or administration",,"['5', '6']","['Page 11:\n[¬s]""5.6 to 6.7 years[¬e]""']",NA,,2,"['Page 11:\n[¬s]""One hundred kindergarten students from two ethnically and racially diverse urban\ncommunities participated in this study. There were six classrooms total: three\nclassrooms (49 students) were located in a large northeastern urban city, and three\nclassrooms (51 students) were from a large southwestern urban city[¬e]""']",,2,"['Page 11:\n[¬s]""One hundred kindergarten students from two ethnically and racially diverse urban\ncommunities participated in this study. There were six classrooms total: three\nclassrooms (49 students) were located in a large northeastern urban city, and three\nclassrooms (51 students) were from a large southwestern urban city[¬e]""']",,2,"['Page 11:\n[¬s]""One hundred kindergarten students from two ethnically and racially diverse urban\ncommunities participated in this study. There were six classrooms total: three\nclassrooms (49 students) were located in a large northeastern urban city, and three\nclassrooms (51 students) were from a large southwestern urban city.[¬e]""']",,NA,NA,NA,,4,"['Page 12:\n[¬s]""three classrooms\nfrom each community were randomly assigned to one of three conditions—two\nintervention conditions and one control condition[¬e]""']",,2,"['Page 12:\n[¬s]""three classrooms\nfrom each community were randomly assigned to one of three conditions—two\nintervention conditions and one control condition.[¬e]""']",,6,"['Page 11:\n[¬s]""six classrooms tota[¬e]""']",,NA,NA,NA,,['Yes (Please specify)'],NA,"intervention group 1 block task as part of a story, intervention group 2 same block task no story",,Random (please specify),"['Page 12:\n[¬s]""The study employed a quasi-experimental design in which the three classrooms\nfrom each community were randomly assigned to one of three conditions—two\nintervention conditions and one control condition[¬e]""']",NA,,Class,"['Page 11:\n[¬s]""There were six classrooms total: three\nclassrooms (49 students) were located in a large northeastern urban city, and three\nclassrooms (51 students)[¬e]""', 'Page 12:\n[¬s]""three classrooms\nfrom each community were randomly assigned to one of three condition[¬e]""']",NA,,['Multisite RCT'],"['Page 12:\n[¬s]""The study employed a quasi-experimental design in which the three classrooms\nfrom each community were randomly assigned to one of three conditions—two\nintervention conditions and one control condition[¬e]""']",NA,,Yes,"['Page 12:\n[¬s]""The study employed a quasi-experimental design in which the three classrooms\nfrom each community were randomly assigned to one of three conditions—two\nintervention conditions and one control condition.[¬e]""']",NA,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
67322411,Chard (2008),2008,"Concern about poor mathematics achievement in U.S. schools has increased in recent years. In part, poor achievement may be attributed to a lack of attention to early instruction and missed opportunities to build on young children's early understanding of mathematics. This study examined the development and feasibility testing of a kindergarten mathematics curriculum designed to focus on the development of early number sense, geometry, measurement, and mathematics vocabulary. A mixed-model analysis of covariance, using pretest score as a covariate, was used to determine the effect of the experimental curriculum on student achievement on a standardized measure of early mathematics. Achievement results as well as implementation fidelity and teacher satisfaction suggest that further empirical research on the efficacy of the curriculum is warranted.",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],"['Page 4:\n[¬s]""elementary schools[¬e]""']",NA,,High ecological validity,NA,"The intervention was a curriculum requiring no special or unusually high amounts of training, materials or administration",,['5'],"['Page 4:\n[¬s]""kindergarten student[¬e]""']",not stated in text - but referred to as kindergarten,,5,"['Page 4:\n[¬s]"". In Year 1, 5 schools\nimplemented the initial version of the curriculu[¬e]""']",,5,"['Page 5:\n[¬s]""5 new schools served as comparison school[¬e]""']",,10,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,['No'],"['Page 5:\n[¬s]""Year 1\nschools implemented the revised curriculum, and 5 new\nschools served as comparison schools[¬e]""']",NA,,Random (please specify),"['Page 4:\n[¬s]"". In Year 1, 5 schools\nimplemented the initial version of the curriculum while\n4 schools served as comparison schools. During Year 1,\nthe curriculum was revised during implementation and[¬e]""', 'Page 5:\n[¬s]""then again extensively at the end of the school year,\nbased on teacher feedback and student data in experi-\nmental and comparison schools. In Year 2, all Year 1\nschools implemented the revised curriculum, and 5 new\nschools served as comparison schools. Data analysis was\nconducted on the Year 2 data onl[¬e]""']",school level,,School - cluster,"['Page 4:\n[¬s]""5 schools\nimplemented the initial version of the curriculum while\n4 schools served as comparison schools[¬e]""', 'Page 6:\n[¬s]""nested-design studies such as this, in which there\nis a relatively large number of participants but a small\nnumber of participant schools, and the school repre-\nsents the unit of analysi[¬e]""']",NA,,['Cluster RCT'],"['Page 4:\n[¬s]"". In Year 1, 5 schools\nimplemented the initial version of the curriculum while\n4 schools served as comparison schools. During Year 1,\nthe curriculum was revised during implementation and[¬e]""', 'Page 5:\n[¬s]""then again extensively at the end of the school year,\nbased on teacher feedback and student data in experi-\nmental and comparison schools. In Year 2, all Year 1\nschools implemented the revised curriculum, and 5 new\nschools served as comparison schools. Data analysis was\nconducted on the Year 2 data""\n""mixed-model analysis of covariance (ANCOVA) with\npretest scores as covariates for posttest outcomes. This\nanalysis contrasted residualized outcomes scores\nbetween intervention and comparison conditions for\nstudents nested in classrooms, appropriately accounting\nfor the dependence among students in classrooms with\nrandom classroom effec[¬e]""']",NA,,Yes,"['Page 4:\n[¬s]"". In Year 1, 5 schools\nimplemented the initial version of the curriculum while\n4 schools served as comparison schools. During Year 1,\nthe curriculum was revised during implementation and[¬e]""', 'Page 5:\n[¬s]""then again extensively at the end of the school year,\nbased on teacher feedback and student data in experi-\nmental and comparison schools. In Year 2, all Year 1\nschools implemented the revised curriculum, and 5 new\nschools served as comparison schools. Data analysis was\nconducted on the Year 2 data only, data collected on\nthe implementation of the revised curriculu[¬e]""']",NA,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
67322380,Ciancio (2001),2001,"Two interventions were offered to Head Start preschoolers. Half of the children played numerous learning set games designed to teach the children (1) the oddity principle and (2) how to insert objects into a series. Mastery of these concepts is theoretically an important aspect of school readiness. The other half of the children engaged in the I Can Problem Solve (ICPS) exercises, a program designed to increase the children's competency in recognizing and responding to other people's feelings. The children who played the learning set games became superior at oddity and insertions with manipulable objects, and generalized these games to workbook-like formats resembling those encountered in kindergarten. They also scored higher on the numeracy and memory scales of the McCarthy Scales of Children's Abilities, indicating that mastery of oddity and insertions may have served as foundations for further cognitive growth. The children who participated in the ICPS exercises became superior at creating solutions to interpersonal problems, as measured by the Preschoolers Interpersonal Problem Solving Scale. The differences in the outcomes indicate that both interventions were successful in their own domains. The advantage the cognitive intervention produced on the McCarthy Scales suggests that oddity and insertion abilities may be a foundation in fact as well as in theory for general cognitive growth at this age.",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Nursery school/pre-school'],"['Page 5:\n[¬s]""Head Start center[¬e]""']",NA,,High ecological validity,NA,"The intervention was a curriculum requiring no special or unusually high amounts of training, materials or administration",,['4'],"['Page 5:\n[¬s]""4-year-olds[¬e]""']",NA,,1,"['Page 5:\n[¬s]""an urban northern Virginia Head Start cent[¬e]""']",,1,"['Page 5:\n[¬s]""an urban northern Virginia Head Start center[¬e]""']",,1,"['Page 5:\n[¬s]""an urban northern Virginia Head Start center[¬e]""']",,NA,NA,NA,,2,"['Page 5:\n[¬s]""Two classes were randomly assigned to\nthe cognitive intervention[¬e]""']",,2,"['Page 5:\n[¬s]""two classes to the comparison intervention[¬e]""']",,4,"['Page 5:\n[¬s]""Two classes were randomly assigned to\nthe cognitive intervention, and two classes to the comparison intervention[¬e]""']",,NA,NA,NA,,['No'],"['Page 5:\n[¬s]""Two classes were randomly assigned to\nthe cognitive intervention, and two classes to the comparison intervention[¬e]""']",NA,,Random (please specify),NA,class level,,Class,"['Page 5:\n[¬s]""Two classes were randomly assigned to\nthe cognitive intervention, and two classes to the comparison intervention.[¬e]""']",NA,,['Cluster RCT'],"['Page 5:\n[¬s]""Two classes were randomly assigned to\nthe cognitive intervention, and two classes to the comparison intervention[¬e]""']",NA,,Yes,"['Page 5:\n[¬s]""Two classes were randomly assigned to\nthe cognitive intervention, and two classes to the comparison intervention.[¬e]""']",NA,,['Yes'],"['Page 8:\n[¬s]""Preschool Interpersonal Problem Solving[¬e]""']",NA,,['Other types of student outcomes (Please specify)'],NA,Interpersonal Problem Solving,,NA,NA,
67322412,Clarke (2011),2011,"This study examined the efficacy of a core kindergarten mathematics program, ELM, a 120-lesson comprehensive curriculum providing instruction in (a) number operations, (b) geometry, (c) measurement, and (d) vocabulary. ELM is designed to address the learning needs of all students, including at-risk students in the general education or Tier I classroom setting. The study utilized a randomized block design, with 64 classrooms randomly assigned within schools to treatment (ELM) or control (standard district practices) conditions. Measures of achievement were collected at pretest and posttest to measure student achievement. Students did not differ on mathematics assessments at pretest. Gain scores of at-risk treatment students were significantly greater than control peers, and the gains of at-risk treatment students were greater than the gains of peers not at risk, effectively reducing the achievement gap. Implications for Tier I instruction in a Response to Intervention (RTI) model are discussed.",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],"['Page 9:\n[¬s]""kindergarten classroom teach-\ners and students in the participating kindergarten classrooms[¬e]""']",NA,,High ecological validity,"['Page 9:\n[¬s]""A randomized controlled trial was the research design used. Math achievement\ndata were collected from individual students, and random assignment and instruc-\ntional delivery took place at the classroom level. Classrooms were randomly assigned\nto treatment or control conditions, blocking on school. Classrooms within schools\nwere matched on half- or full-day kindergarten status and randomly assigned.[¬e]""']",NA,,"['5', '6']","['Page 10:\n[¬s]""Age at T1 (months):""\n""66.566.6[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,33,"['Page 9:\n[¬s]""33 classrooms in\nthe treatmen[¬e]""']",,33,"['Page 9:\n[¬s]""33 classrooms in the control condition.[¬e]""']",,NA,NA,,NA,NA,NA,,['No'],"['Page 9:\n[¬s]""Classrooms were randomly assigned\nto treatment or control conditions, blocking on school. Classrooms within schools\nwere matched on half- or full-day kindergarten status and randomly assigned.[¬e]""']",NA,,Random (please specify),"['Page 9:\n[¬s]""A randomized controlled trial was the research design used. Math achievement\ndata were collected from individual students, and random assignment and instruc-\ntional delivery took place at the classroom level.""\n""Classrooms were randomly assigned\nto treatment or control conditions, blocking on school.[¬e]""']",NA,,Class,NA,NA,,['Multisite RCT'],NA,NA,,No/Unclear,NA,NA,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
67961475,Clarke (2016),2016,"This study examined the efficacy of a kindergarten mathematics intervention program, ROOTS, focused on developing whole-number understanding in the areas of counting and cardinality and operations and algebraic thinking for students at risk in mathematics. The study utilized a randomized block design with students within classrooms randomly assigned to treatment or control conditions. Measures of mathematics achievement were collected in the fall (pretest) and spring (posttest) in kindergarten and in the winter of first grade (delayed posttest). Significant differences between conditions favoring treatment students were found on four of six measures at posttest. Treatment students reduced the achievement gap with their not-at-risk peers. No effect was found on follow-up first-grade achievement scores. Implications for Tier 2 mathematics instruction in a Response to Intervention model are discussed.",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Nursery school/pre-school'],"['Page 4:\n[¬s]""kindergarten classroom[¬e]""']",NA,,High ecological validity,NA,"The intervention was a curriculum requiring no special or unusually large amounts of training, materials or administration",,"['5', '6']","['Page 7:\n[¬s]""5.2 (0.4)[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,37,"['Page 4:\n[¬s]""10–12 lowest performing students from each participating kindergarten classroom were\nrandomly assigned to one of three conditions: (a) a ROOTS instructional group with a[¬e]""', 'Page 5:\n[¬s]""37 kindergarten classrooms""\n""2:1 student–teacher ratio, (b) a ROOTS instructional group with a 5:1 student–teacher ratio,\nor (c) a no-treatment control condition.[¬e]""']",,37,"['Page 4:\n[¬s]""10–12 lowest performing students from each participating kindergarten classroom were\nrandomly assigned to one of three conditions: (a) a ROOTS instructional group with a[¬e]""', 'Page 5:\n[¬s]""2:1 student–teacher ratio, (b) a ROOTS instructional group with a 5:1 student–teacher ratio,\nor (c) a no-treatment control condition.[¬e]""']",,37,"['Page 5:\n[¬s]""37 kindergarten classrooms[¬e]""']",,NA,NA,NA,,['Yes (Please specify)'],NA,"tuition to pairs, tuition to grps of 5",,Random (please specify),"['Page 6:\n[¬s]""students’ composite standard scores were rank-ordered and the lowest 10 students that\nmet our established a priori criteria were considered eligible for random assignment. Students\nwere then randomly assigned to one of three conditions: (a) a ROOTS two-student group,\n(b) a ROOTS ﬁve-student group, or (c) a no-treatment control condition.[¬e]""']",NA,,Individual,"['Page 4:\n[¬s]""10–12 lowest performing students from each participating kindergarten classroom were\nrandomly assigned to one of three conditions[¬e]""']",NA,,['Individual RCT'],"['Page 6:\n[¬s]""Students\nwere then randomly assigned to one of three conditions: (a) a ROOTS two-student group,\n(b) a ROOTS ﬁve-student group, or (c) a no-treatment control condition.[¬e]""']",NA,,Yes,"['Page 6:\n[¬s]""Students\nwere then randomly assigned to one of three conditions: (a) a ROOTS two-student group,\n(b) a ROOTS ﬁve-student group, or (c) a no-treatment control condition.[¬e]""']",NA,,['No'],NA,NA,,NA,NA,NA,,NA,NA,
67322413,Clements (2007),2007,"This study evaluated the efficacy of a preschool mathematics program based on a comprehensive model of developing research-based software and print curricula. Building Blocks, funded by the National Science Foundation, is a curriculum development project focused on creating research-based, technology-enhanced mathematics materials for pre-K through grade 2. In this article, we describe the underlying principles, development, and initial summative evaluation of the first set of resulting materials as they were used in classrooms with children at risk for later school failure. Experimental and comparison classrooms included two principal types of public preschool programs serving low-income families  state funded and Head Start prekindergarten programs. The experimental treatment group score increased significantly more than the comparison group score  achievement gains of the experimental group approached the sought-after 2-sigma effect of individual tutoring. This study contributes to research showing that focused early mathematical interventions help young children develop a foundation of informal mathematics knowledge, especially for children at risk for later school failure.",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Primary/elementary school'],NA,NA,,High ecological validity,NA,NA,,"['3', '4', '5']",NA,NA,,2,NA,,2,NA,,2,NA,,NA,NA,NA,,2,NA,,2,NA,,4,NA,,NA,NA,NA,,['No'],NA,NA,,"Non-random, but matched",NA,NA,,School - cluster,NA,NA,,['Prospective QED'],"['Page 12:\n[¬s]""% White non\none classroom was assigned[¬e]""']",no randomisation mentioned,,Not applicable,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,
67322414,Clements (2008) 1_1,2008,"A randomized-trials design was used to evaluate the effectiveness of a preschool mathematics program based on a comprehensive model of research-based curricula development. Thirty-six preschool classrooms were assigned to experimental (Building Blocks), comparison (a different preschool mathematics curriculum), or control conditions. Children were individually pre- and posttested, participating in 26 weeks of instruction in between. Observational measures indicated that the curricula were implemented with fidelity, and the experimental condition had significant positive effects on classrooms’ mathematics environment and teaching. The experimental group score increased significantly more than the comparison group score (effect size = 0.47) and the control group score (effect size = 1.07). Early interventions can increase the quality of the mathematics environment and help preschoolers develop a foundation of mathematics knowledge.",['EY_Early numeracy approaches'],NA,,"Journal, Article",,['Journal article'],NA,NA,,['USA'],,['Nursery school/pre-school'],"['Page 6:\n[¬s]""includes Head Start and state-funded programs.[¬e]""']",NA,,N,NA,NA,,['4'],"['Page 5:\n[¬s]""of 4-year-old children,[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,['not_provided'],NA,NA,,14,"['Page 15:\n[¬s]""Building Blocks n = 14[¬e]""', 'Page 21:\n[¬s]""The 24 low-income classrooms were pub-\nlicly (in presence of four staff members and two school administrators) and\nrandomly (using a table of random numbers, with blind pointing to estab-\nlish the starting number) assigned to one of three conditions: Building\nBlocks, comparison, or control (one comparison teacher left the area in mid-\nfall, leaving 7 classrooms assigned to that condition).[¬e]""', 'Page 6:\n[¬s]""From 20 volunteers, 12 teachers were randomly\nselected.[¬e]""']",,7,"['Page 21:\n[¬s]""or control (one comparison teacher left the area in mid-\nfall, leaving 7 classrooms assigned to that condition)[¬e]""', 'Page 8:\n[¬s]""Five low-income\ncontrols used a citywide set of activities and common manipulatives. The other\ntwo low-income control classrooms from Head Start used the Creative\nCurriculum (Teaching Strategies, 2001), including the text and manipulative kit.[¬e]""']",,NA,NA,,NA,NA,NA,,['Yes (Please specify)'],"['Page 1:\n[¬s]""to\nexperimental (Building Blocks), comparison (a different preschool mathe-\nmatics curriculum), or control conditions[¬e]""']",NA,,Random (please specify),"['Page 20:\n[¬s]""Procedures involved five categories of actions, including initial prepa-\nration (e.g., training of assessors and coaches), random assignment of class-\nrooms[¬e]""']",NA,,Class,"['Page 20:\n[¬s]""Procedures involved five categories of actions, including initial prepa-\nration (e.g., training of assessors and coaches), random assignment of class-\nrooms[¬e]""']",NA,,['Cluster RCT'],"['Page 20:\n[¬s]""random assignment of class- rooms""\n""Procedures involved[¬e]""']",NA,,Yes,"['Page 21:\n[¬s]""The 24 low-income classrooms were pub-\nlicly (in presence of four staff members and two school administrators) and\nrandomly (using a table of random numbers, with blind pointing to estab-\nlish the starting number) assigned to one of three conditions: Building\nBlocks, comparison, or control (one comparison teacher left the area in mid-\nfall, leaving 7 classrooms assigned to that condition). The mixed-income\nclassrooms similarly were randomly assigned to Building Blocks or control\nconditions.[¬e]""']",NA,,['Yes'],"['Page 11:\n[¬s]""Classroom teaching practices and environment. Two observational instru-\nments were designed to be substantial improvements over previous instr""\n""The instruments, Fidelity of Implementation (Fidelity)\nand Classroom Observation of Early Mathematics–Environment and Teaching\n(COEMET),[¬e]""', 'Page 19:\n[¬s]""The COEMET instrument measures the quality of the mathematics\nenvironment and activities with an observation of 3 or more hours and is\nnot connected to any curriculum.[¬e]""']",NA,,NA,NA,NA,,NA,they have done a lot of measurments for classroom environment and fidelity of implementation,
