id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
67322407,Arnold (2002),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TEMA2 posttest table 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322408,Aunio (2005),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ENT Relational posttest,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ENT Counting,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ENT Geometrical,NA,Secondary outcome(s),SRT postest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322409,Baroody (2009),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TEMA - Early numeracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322410,Casey (2008),['Other outcome'],Secondary outcome(s),Block Building & Story Postest adjusted for prescore diff Table 4,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Block Design Story plus block building adjusted for pretest diffs table 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322411,Chard (2008),NA,Primary outcome,SESAT numeracy test posttest table 1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,SESAT ANCOVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322380,Ciancio (2001),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mccarthy numeracy postest table 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322412,Clarke (2011),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TEMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67961475,Clarke (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Aspens t2 spring posttest table 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322413,Clements (2007),NA,Secondary outcome(s),Total Number test table 5,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Total Geometry Tests table 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322414,Clements (2008) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Early Mathematics Assessment (EMA): EYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577997,Clements (2008) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Early Mathematics Asseement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322415,Clements (2011),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Rasch Total Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67961477,Codding (2011),NA,Secondary outcome(s),Quantity Discrimination KPALS postest table 1,NA,Secondary outcome(s),Number Identification posttest KPALS table 1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TEMA posttest table 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322416,Curtis (2009) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,MANOVA study 1 experimenter counting prompt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577998,Curtis (2009) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Quantity judgement Tasks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67961479,Doabler (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TEMA - 3 Total ,['Other outcome'],Secondary outcome(s),SESAT ,['Other outcome'],Secondary outcome(s),NSB - Number Sense Brief,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322417,Dyson (2011),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Number Sense Brief (NSB),['Other outcome'],Secondary outcome(s),Woodcock Johnson Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945726,Ebin (2014),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Oral counting (spring),['Other outcome'],Secondary outcome(s),Number identification (spring means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945727,Elofsson (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Arithmetic calculation task (posttest adj means),['Other outcome'],Secondary outcome(s),Counting task (posttest adj means),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
