id,pub_author,pub_year,strand_raw,strand_info,sample_analysed_info,strand_CLEAN,sample_analysed_ht,part_gen_raw,sample_analysed_CLEAN,part_gen_ht,part_gen_info,fsm_prop_info,part_gen_CLEAN,fsm_prop_ht,fsm_perc_info,fsm_prop_CLEAN,fsm_perc_ht,fsm_info_info,fsm_perc_CLEAN,fsm_info_ht,fsm_na_raw,fsm_info_CLEAN,fsm_na_info,base_n_treat_ht,fsm_na_CLEAN,base_n_treat_info,base_n_cont_ht,base_n_treat_CLEAN,base_n_cont_info,base_n_treat2_ht,base_n_cont_CLEAN,base_n_treat2_info,base_n_treat3_ht,base_n_treat2_CLEAN,base_n_treat3_info,n_treat_ht,base_n_treat3_CLEAN,n_treat_info,n_cont_ht,n_treat_CLEAN,n_cont_info,n_treat2_ht,n_cont_CLEAN,n_treat2_info,n_cont2_ht,n_treat2_CLEAN,n_cont2_info,attri_raw,n_cont2_CLEAN,attri_ht,attri_info,attri_treat_ht,attri_CLEAN,attri_treat_info,attri_perc_ht,attri_treat_CLEAN,attri_perc_info,attri_perc_CLEAN
67322407,Arnold (2002),2002,NA,NA,103,,NA,['Mixed gender'],,NA,NA,NA,,NA,100,,"['Page 2:\n[¬s]""Head Start income eligibility requirements are made by reference to the\nofficial federal poverty line (e.g., $14,150 for a family of three for the year\n2000; Administration for Children and Families, 2000). The actual median\nfamily income reported for this sample was $13,229[¬e]""']",NA,,NA,NA,,NA,"['Page 3:\n[¬s]"". One-hundred three[¬e]""']",,50,NA,,50,NA,,NA,NA,,NA,NA,,50,NA,,50,NA,,NA,NA,,NA,['Yes'],,"['Page 3:\n[¬s]"". One-hundred three of the 112[¬e]""']",8,NA,,8,NA,,8,
67322408,Aunio (2005),2005,NA,NA,45,,NA,['Mixed gender'],,NA,NA,NA,,NA,NA,,NA,NA,,NA,['No SES/FSM Information Provided'],,NA,"['Page 7:\n[¬s]""22[¬e]""']",,22,"['Page 7:\n[¬s]""23[¬e]""']",,23,NA,,NA,NA,,NA,NA,,22,NA,,23,NA,,NA,NA,,NA,['Yes'],,"['Page 6:\n[¬s]""three children""\n""whose families moved out of the city""\n""were excluded from follow-up analysis""\n""follow-up tests[¬e]""']",NA,NA,,"6 in 6 months follow up, 0 at posttest",NA,,6 follow up,
67322409,Baroody (2009),2009,NA,NA,80,,NA,['Mixed gender'],,NA,NA,NA,,NA,80,,NA,NA,,NA,NA,,NA,"['Page 36:\n[¬s]""ABLE 9[¬e]""']",,20,NA,,NA,NA,,20,NA,,20,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,NA,NA,,NA,
67322410,Casey (2008),2008,NA,NA,100,,"['Page 11:\n[¬s]""One hundred kindergarten student[¬e]""']",['Mixed gender'],,NA,NA,NA,,NA,70,,"['Page 11:\n[¬s]""Seventy-three percent of students\nin this school system qualiﬁed for free or reduced priced meals[¬e]""']",NA,,NA,NA,,NA,"['Page 30:\n[¬s]""19[¬e]""']",,19,"['Page 30:\n[¬s]""17[¬e]""']",,17,NA,,NA,NA,,NA,NA,,19,NA,,17,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,NA,NA,,NA,
67322411,Chard (2008),2008,NA,NA,288,,NA,['Mixed gender'],,NA,NA,NA,,NA,52,,"['Page 5:\n[¬s]""52[¬e]""']",NA,,NA,NA,,NA,"['Page 6:\n[¬s]""186[¬e]""']",,186,"['Page 6:\n[¬s]""102[¬e]""']",,102,NA,,NA,NA,,NA,NA,,186,NA,,102,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,NA,NA,,NA,
67322380,Ciancio (2001),2001,NA,NA,71,,NA,['Mixed gender'],,NA,NA,NA,,NA,100,,"['Page 5:\n[¬s]""Head Start[¬e]""']",NA,,NA,NA,,NA,NA,,35,NA,,35,NA,,NA,NA,,NA,NA,,35,NA,,35,NA,,NA,NA,,NA,['Yes'],,"['Page 11:\n[¬s]""(90.5%[¬e]""']",NA,NA,,10,NA,,10,
67322412,Clarke (2011),2011,NA,NA,1213,,NA,['Mixed gender'],,NA,NA,NA,,NA,56.3,,"['Page 9:\n[¬s]""56.3% were eligible for free or reduced-price lunch[¬e]""']",NA,,NA,NA,,NA,NA,,660,NA,,553,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,NA,NA,,NA,
67961475,Clarke (2016),2016,NA,NA,300,,"['Page 6:\n[¬s]""58""\n""145""\n""87[¬e]""']",['Mixed gender'],,NA,NA,NA,,NA,47,,"['Page 5:\n[¬s]""17%–86% were eligible for free or reduced-price[¬e]""']",NA,,NA,NA,,NA,"['Page 6:\n[¬s]""145[¬e]""']",,NA,"['Page 6:\n[¬s]""87[¬e]""']",,NA,"['Page 6:\n[¬s]""58[¬e]""']",,NA,NA,,NA,NA,,177,NA,,79,NA,,NA,NA,,NA,NA,,NA,NA,"['Page 16:\n[¬s]""10%[¬e]""']",,10,NA,,10,
67322413,Clements (2007),2007,NA,NA,71,,NA,['Mixed gender'],,NA,NA,NA,,NA,63,,"['Page 12:\n[¬s]""ms in which m[¬e]""']",NA,,NA,NA,,NA,"['Page 21:\n[¬s]""perimental Ns: pretest, 29; po[¬e]""']",,27,NA,,26,NA,,NA,NA,,NA,"['Page 21:\n[¬s]""l N[¬e]""']",,27,NA,,26,NA,,NA,NA,,NA,['Yes'],,"['Page 12:\n[¬s]""tal of 9 children moved out of the scho\n8 fro[¬e]""']",25,NA,,25,NA,,25,
67322415,Clements (2011),2011,NA,NA,1305,,NA,['Mixed gender'],,NA,NA,NA,,NA,85,,NA,NA,,NA,NA,,NA,NA,,927,NA,,378,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,NA,NA,,NA,
