id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
72102311,Abbott-Shim (2003),2003,NA,NA,,173,"['Page 8:\n[¬s]""87\n–5\n82\n86[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 8:\n[¬s]""87[¬e]""']",87,,"['Page 8:\n[¬s]""86[¬e]""']",86,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,,"['Page 8:\n[¬s]""At the beginning of\nthe school year, 87 children were assigned to the Head Start treatment group. The\ndecreased number of children at the Time 1 assessment (82 children)[¬e]""']",6,,"['Page 8:\n[¬s]""At the beginning of\nthe school year, 87 children were assigned to the Head Start treatment group. The\ndecreased number of children at the Time 1 assessment (82 children)""\n""The comparison group initially had 86 children assigned and 60 children were\nassessed at Time 1.[¬e]""']",18,
71142124,Aboud (2006),2006,NA,NA,,401,"['Page 4:\n[¬s]""This resulted in a sample size of 401: 213 preschoolers (98 boys,\n115 girls) and 188 non-preschool children (100 boys, 88 girls).[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""This resulted in a sample size of 401: 213 preschoolers (98 boys,\n115 girls) and 188 non-preschool children (100 boys, 88 girls).[¬e]""']",50.6,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 8:\n[¬s]""213)[¬e]""']",213,,"['Page 8:\n[¬s]""188)[¬e]""']",188,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,0,
72102318,Ametjian (1965),1965,NA,NA,,60,"['Page 30:\n[¬s]""Experimental\nBoys Girls\nNegro\nWhite\n5\n5\n8\n6\nControl\nBoys\n10\n8\nGirls\n9\n9[¬e]""']",,['Mixed gender'],"['Page 30:\n[¬s]""Experimental\nBoys Girls\nNegro\nWhite\n5\n5\n8\n6\nControl\nBoys\n10\n8\nGirls\n9\n9[¬e]""']",53,,NA,NA,,See Table 10 & 11 p37,NA,,NA,NA,,"['Page 30:\n[¬s]""Boys Girls\nNegro\nWhite\n5\n5\n8\n6""\n""Experimental[¬e]""']",24,,"['Page 30:\n[¬s]""10\n8\nGirls\n9\n9""\n""Control[¬e]""']",36,,NA,NA,,NA,NA,,NA,23,,NA,27,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
72102319,Anderson (1994),1994,NA,NA,,60,"['Page 7:\n[¬s]""hirty students were randomly selected from\neach of these sub-populations.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,"['Page 7:\n[¬s]""n a predominantly low and low-middle socioeconomic neighborhood[¬e]""']",,NA,NA,,"['Page 7:\n[¬s]""Thirty students were randomly selected from\neach of these sub-populations.[¬e]""']",30,,"['Page 7:\n[¬s]""Thirty students were randomly selected from\neach of these sub-populations.[¬e]""']",30,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
72102322,Barnett (1987) 1_1,1987,NA,NA,,2024,"['Page 3:\n[¬s]""362 preschool\nchildren and 1,662 no-preschool children[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""TABLE 1[¬e]""']",47.9,,100%,"['Page 3:\n[¬s]""Only data for free-lunch eligible stu-\ndents were analyzed.[¬e]""']",,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""362""\n""Preschool[¬e]""']",362,,"['Page 4:\n[¬s]""1,662""\n""Comparison[¬e]""']",1662,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74577991,Barnett (1987) 1_2,1987,NA,NA,,389,"['Page 3:\n[¬s]""Some children were not found,\nwhich produced a final sample of 254 pro-\ngram and 135 waiting-list children.[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""44.7%""\n""56.1%[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 4:\n[¬s]""254""\n""Preschool[¬e]""']",254,,"['Page 4:\n[¬s]""135""\n""Waiting List[¬e]""']",135,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
72102328,Capobianco (1966),1966,NA,NA,,NA,"['Page 2:\n[¬s]""98[¬e]""']",,['Mixed gender'],"['Page 2:\n[¬s]""98 subjects, 46 boys and 52 girls,[¬e]""']",53%,,NA,NA,,NA,"['Page 1:\n[¬s]""The purpose of the present project\npilot\nwas to conduct and evaluate a\nprogram for culturally disadvantaged\nchildren to determine how early and\nhow effectively they might be able to\nachieve in public schools.""\n""The schools were selected because\nof their proximity to culturally disad-\nvantaged families.[¬e]""']",,NA,NA,,NA,98,,NA,98,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71969350,de Felício (2012),2012,NA,NA,,1986,"['Page 13:\n[¬s]""Table1 - Literacy Scores and Characteristics of the 2nd Grade Students of\nSertãozinho-São Paulo[¬e]""']",,['Mixed gender'],"['Page 13:\n[¬s]""Male student\nFemalestudent""\n""989\n897[¬e]""']","47.6% female (see table 1, page 13)",,NA,"['Page 15:\n[¬s]""As far as the households where children live are concerned, we per-\nceived that higher scores were associated with better socioeconomic\nconditions. Thus, students who lived in a house with a larger number\nof bedrooms, Internet access, a DVD player and a car, had better\nscores than those students from socioeconomically underprivileged\nfamilies. In addition, children whose households had a quiet place\nfor studying had on average a score of 32.5 points higher than those\nwho did not.[¬e]""']",,NA,NA,,NA,NA,,NA,800,,NA,799,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
72102341,Ellinwood (1971),1971,NA,NA,,NA,"['Page 54:\n[¬s]""Of the 928 ESAP pupils registered[¬e]""']",,['Mixed gender'],"['Page 54:\n[¬s]""490 were girls\nand 437 boys, while data were not available for one pupil[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,116,,NA,96,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,
72102356,Hartford City Board of Education (1973),1973,NA,NA,,460,NA,,['No information provided'],NA,NA,,90%,NA,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""able 2 indicates the PPVT,results_for the 125, Headstart background\nchildren a[¬e]""']",125,,"['Page 10:\n[¬s]""as well as results for Hartford kindergarten children fro""\n""717[¬e]""']",717,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""125[¬e]""']",125,,"['Page 10:\n[¬s]""717[¬e]""']",717,,NA,NA,,NA,NA,,"['Yes', 'Unclear (please add notes)']","['Page 9:\n[¬s]""From the\noriginal 300 Headstarters, 125 were identified in the Kindergarter(-\nsurvey. H[¬e]""']","but as this is a retrospective study, the attrition might be taken separately. The authors note that from the total of 300 going to pre-school, data were identified for the 125, so it does not mean that the others dropped out",,NA,NA,,NA,NA,
