id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13
72102311,Abbott-Shim (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+1_PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71142124,Aboud (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+1_WPPSI-III Vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102318,Ametjian (1965),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+0_SBMAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102319,Anderson (1994),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+0_TOBE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102322,Barnett (1987) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+2_CSAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577991,Barnett (1987) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+1_CSAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945719,Berlinski (2009),['Mathematics primary outcome'],Primary outcome,ESA+3_National_Maths_Test,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+3_National_Spanish_Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71142092,Campbell (1990),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+1_CAK test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102328,Capobianco (1966),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_Metropolitan Readiness Test (Reading_combined),['Other outcome'],Secondary outcome(s),ESA+0_Metropolitan Readiness Test (Math_combined),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945722,Cattan (2014),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+11_GCSE,['Mathematics primary outcome'],Secondary outcome(s),ESA+11_GCSE_Maths_Grade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102331,Cawley (1970),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ESA+1_Test_of_letter_recognition (PHS+SHS vs NHS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945723,Claessens (2014),['Other outcome'],Secondary outcome(s),ESA+0_Reading - Pre-Year 1 vs child-care centre,['Other outcome'],Secondary outcome(s),ESA+0_Reading: School based pre-school vs childcare ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_Reading - all settings vs child-care centre,['Other outcome'],Secondary outcome(s),ESA+0_Maths - Pre-Year 1 vs child-care centre,['Other outcome'],Secondary outcome(s),ESA+0_Maths: School based pre-school vs childcare,['Other outcome'],Secondary outcome(s),ESA+0_Reading: Standalone preschool vs childcare,['Other outcome'],Secondary outcome(s),ESA+0_Maths: Standalone preschool vs childcare,['Mathematics primary outcome'],Secondary outcome(s),ESA+0_Maths - all settings vs child-care centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102333,Clark (1979),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+1_DRRT Reading Scores,['Other outcome'],Secondary outcome(s),ESA+1_DRRT Vocabulary Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71969350,de Felício (2012),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+2_Literacy Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102341,Ellinwood (1971),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+1_CMMS,['Other outcome'],Secondary outcome(s),ESA+1_VMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945730,Gormley (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_WJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102356,Hartford City Board of Education (1973),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+1_PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102358,Hebbeler (1985),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+4_ CAT: Headsart  s control,['Other outcome'],Secondary outcome(s),ESA+9_ CAT: Headsart  vs control,['Other outcome'],Secondary outcome(s),ESA+12_ CAT: Headsart  vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
