ID,toolkit_strand,short_title,main_authors,year,main_title,parent_title,parent_authors,type_name,abstract,volume,issue,pages,doi,url,publisher,city,institution
72102311,['EY_Earlier starting age'],Abbott-Shim (2003),Abbott-Shim Martha ; Lambert Richard ; McCarty Frances ; ,2003,A comparison of school readiness outcomes for children randomly assigned to a head start program and the program's wait list,Journal of Education for Students Placed At Risk,NA,"Journal, Article","A research study with a wide range of outcomes related to school readiness, including health, social skills, cognitive skills, and language skills was conducted with eligible 4-year-old applicants and their parents within a southeastern Head Start program of high quality. Children and their families in the Head Start treatment and wait list comparison groups were given a battery of assessments. The study used growth curve modeling and traditional analysis of variance when only 2 measurements of outcomes were available. Initial status was equivalent and the growth rates for the Head Start children were statistically significantly faster than the comparison children on the receptive vocabulary and phonemic awareness measures. There was a statistically significant time by group interaction and main effect of time for the problem behavior index of the social functioning measure. The parent report of health outcomes also showed statistically significant differences between the 2 groups with the treatment group reporting more healthy responses.",8,2,191–214,https://doi.org/10.1207/S15327671ESPR0802_2,https://www.tandfonline.com/doi/abs/10.1207/S15327671ESPR0802_2,NA,NA,NA
71142124,['EY_Earlier starting age'],Aboud (2006),Aboud Frances E; ,2006,Evaluation of an early childhood preschool program in rural Bangladesh,Early Childhood Research Quarterly,NA,"Journal, Article","A preschool program in rural Bangladesh was evaluated in terms of cognitive and social outcomes of children. The preschools provided a half-day program, 6 days a week, with free play, stories, and instruction in literacy and math. Four hundred children between 4.5 and 6.5 years were assessed, half in preschools and half in villages where there were no preschools. After controlling the differences in child's age, nutritional status, mother's education, and assets  preschool children performed better than the comparison children on measures of vocabulary, verbal reasoning, nonverbal reasoning, and school readiness. On some indicators of social development during play, preschool children performed better, though not on the cognitive aspects of play. They were less likely to be stunted but did not differ on most other health variables. The mean quality score from the ECERS-R was 3.5, and this correlated with the group averages of verbal and nonverbal reasoning. Results were discussed in terms of implementing a high-quality program in rural sites of developing countries, where there was a mix of play and teacher-directed instruction.",21,1,46-60,https://doi.org/10.1016/j.ecresq.2006.01.008,https://www.sciencedirect.com/science/article/pii/S0885200606000068,NA,NA,NA
72102318,['EY_Earlier starting age'],Ametjian (1965),Ametjian Armistre ; ,1965,The effects of a pre-school program upon the intellectual development and social competency of lower-class children,NA,NA,Dissertation,The general hypothesis to be tested in this study was that the mental age and social competency scores of lower-class children exposed to a pre-school program would be significantly higher than those of a comparable group who  remained in the home environment during the same period of time. The criterion measures for the two variables were the  Stanford Binet Intelligence Test and the San Francisco Social Competency Scale _MR,NA,NA,NA,NA,https://www.proquest.com/docview/302234409,NA,NA,Stanford University
72102319,['EY_Earlier starting age'],Anderson (1994),Anderson Brenda ; ,1994,The effect of preschool education on academic achievement of at risk children,NA,NA,Report,"This paper reviews the literature on the effects of preschool attendance on academic success in elementary school and reports on a study designed to investigate the effect of preschool education on the academic achievement of at-risk, minority-group kindergarten children. The Test of Basic Experiences (TOBE) was administered at the beginning of the school year to 30 kindergartners who had attended preschool and a control group of 30 who had not. A comparison of the test results found a statistically significant difference between the achievement of the children who had attended preschool and the children who had not. (Contains 10 references.) (MDM)",NA,NA,NA,NA,https://eric.ed.gov/?id=ED382318,NA,NA,NA
72102322,['EY_Earlier starting age'],Barnett (1987) 1_1,Barnett W S; Frede E C; Mobasher H ; Mohr P ; ,1987,The efficacy of public preschool programs and the relationship of program quality to efficacy,Educational Evaluation and Policy Analysis,NA,"Journal, Article","As part of more general efforts at school improvement, a number of states have instituted public preschool education programs for disadvantaged children. These new programs have been criticized from several perspectives and their potential effectiveness called into question. This paper presents the initial findings of a longitudinal study of new public preschool programs in South Carolina. Two separate research designs were used to maximize both internal and external validity. Classroom observation was used to measure program quality. The preschool program was found to increase children’s school readiness, if a minimum (and readily achievable) level of quality was maintained.",10,NA,37-49,https://doi.org/10.3102/01623737010001037,https://journals.sagepub.com/doi/abs/10.3102/01623737010001037,Sage CA,"Los Angeles, CA",NA
74577991,['EY_Earlier starting age'],Barnett (1987) 1_2,Barnett W S; Frede E C; Mobasher H ; Mohr P ; ,1987,The efficacy of public preschool programs and the relationship of program quality to efficacy,Educational Evaluation and Policy Analysis,NA,"Journal, Article","As part of more general efforts at school improvement, a number of states have instituted public preschool education programs for disadvantaged children. These new programs have been criticized from several perspectives and their potential effectiveness called into question. This paper presents the initial findings of a longitudinal study of new public preschool programs in South Carolina. Two separate research designs were used to maximize both internal and external validity. Classroom observation was used to measure program quality. The preschool program was found to increase children’s school readiness, if a minimum (and readily achievable) level of quality was maintained.",10,NA,37-49,https://doi.org/10.3102/01623737010001037,https://journals.sagepub.com/doi/abs/10.3102/01623737010001037,Sage CA,"Los Angeles, CA",NA
77945719,['EY_Earlier starting age'],Berlinski (2009),Berlinski S ; Galiani S ; Gertler P ; ,2009,The effect of pre-primary education on primary school performance,Journal of Public Economics,NA,"Journal, Article","The theoretical case for universal pre-primary education is strong. However, the empirical foundation is less so. In this paper, we contribute to the empirical case by investigating the effect of a large expansion of universal pre-primary education on subsequent primary school performance in Argentina. We estimate that one year of pre-primary school increases average third grade test scores by 8% of a mean or by 23% of the standard deviation of the distribution of test scores. We also find that pre-primary school attendance positively affects student's self-control in the third grade as measured by behaviors such as attention, effort, class participation, and discipline.",93,1-2,219-234,https://doi.org/10.1016/j.jpubeco.2008.09.002,https://www.sciencedirect.com/science/article/pii/S0047272708001308,NA,NA,NA
71142092,['EY_Earlier starting age'],Campbell (1990),Campbell Frances A; Ramey Craig T; ,1990,"The relationship between piagetian cognitive development, mental test performance, and academic achievement in high-risk students with and without early educational experience",Intelligence,NA,"Journal, Article","The effects of early educational intervention upon socioeconomically disadvantaged children's attainment of the cognitive stage of concrete operations was assessed using the Concept Assessment Kit-Conservation (CAK). The test was administered longitudinally to 86 low-SES children at ages 5,6, and 7, and to random cross-sectional samples of more advantaged classmates at the same ages. Low-SES children who had early educational intervention developed the ability to conserve earlier than those without intervention, the order of difficulty for the different concepts was similar in all groups. The proportion of nonconservers in the low-SES intervention group did not differ significantly from that of their more advantaged peers in the first and third years in early elementary school, but low-SES Control children were more likely to be nonconservers. Scores on the CAK were significantly correlated with those on the Wechsler Intelligence Scale for Childre-Revised  correlations with the Verbal IQ were higher than those with Performance IQ. The CAK improved prediction of mathematics achievement above that possible with the WISC-R alone, but did not improve prediction for reading.",14,3,293-308,https://doi.org/10.1016/0160-2896(90)90020-T,https://www.sciencedirect.com/science/article/pii/016028969090020T,NA,NA,NA
72102328,['EY_Earlier starting age'],Capobianco (1966),Capobianco R J; ,1966,A pilot project for culturally disadvantaged preschool children1,The Journal of Special Education,NA,"Journal, Article","Recent investigations into the effect of cultural deprivation on 10 (e.g., Hunnicutt, et al, 1963) show that sizeable groups of children who reside in slum areas show significant drops in IQ after five or six years of schooling. Significant mental growth, however, that occurs during the pre-school years as a result of training and stimulation has been demonstrated to maintain itself during the later school years (Kirk, 1958). And today there is not much question about the strong positive effects of early stimulation, particularly in the area of language, for culturally disadvantaged children (Bloom, Davis, & Hess, 1965). The purpose of the present project was to conduct and evaluate a pilot program for culturally disadvantaged children to determine how early and how effectively they might be able to achieve in public schools. The children studied were approximately one year below the usual age for admission into public schools. The major objective of the investigation was to establish a strong readiness program, particularly in the area of language, that would enable these children to be better prepared to meet the challenge of the first grade.",1,2,191-195,https://doi.org/10.1177/002246696600100210,https://journals.sagepub.com/doi/10.1177/002246696600100210,NA,NA,NA
77945722,['EY_Earlier starting age'],Cattan (2014),Cattan S ; Crawford C ; Dearden L ; ,2014,The economic effects of pre-school education and quality,NA,NA,Report,"The Effective Pre-School, Primary and Secondary Education (EPPSE) project is the first large-scale British study on the effects of different pre-school experiences on children’s outcomes. It enables researchers to look at the impact of both pre-school education and pre-school quality not only on short-term education outcomes, but also on long-term education and possible future labour market outcomes for a cohort of individuals who did not have access to universal pre-school education. It is these long-term economic consequences that are the focus of this report. Our methodological approach to the research questions involves a two-stage process. First, we estimate the effect of different pre-school experiences (attendance and quality) on outcomes in Key Stage 4 exams taken in the final year of compulsory schooling. Second, we predict the effect of different pre-school experiences on lifetime gross and net earnings in order to estimate the likely exchequer benefits of these different pre-school experiences in the long  term. This involves complex modelling and a number of strong assumptions, which are clearly outlined. _MR",NA,NA,NA,NA,https://dera.ioe.ac.uk//33031/,IFS Report,NA,Institute for Fiscal Studies
