id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
71101036,Alper (1979) 1_1,1979,['Extending school time'],NA,['Yes'],"['Page 57:\n[¬s]""ki 11/Area Composite\nAuditory Discrimination\nAuditory Memory\nRhyming\nVisual Perception\nLetter Recognition\nVisual Matching\nLanguage\nSchool Lang. & Listening\nQuantitative Language\nMean\n3.00\n1.91\n5.38\n5.56\n4.21\n3.03\nMANOVA RESULTS\nF?60 = 4 \' 75 p < 0..001\nS.D.\n2.45\n2.74\n3.00\n2.57\n3.50\n2.26\nControl Group\n86 Students\nMean\n3.24\n1.43\n3.20\n5.15\n4.19\n2.84\nS.D.\n3.26\n3.49\n2.77\n3.0[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
74577986,Alper (1979) 1_2,1979,['Extending school time'],NA,['Yes'],"['Page 63:\n[¬s]""TREATMENT MEAN AND STANDARD DEVIATIONS (SD)\nFOR THE GWA DESIGN\nTraditional\nProgram\nAuditory Discrimination\nAuditory Memory\nRhyming\nVisual Perception\nLetter Recognition\nVisual Matching\nLanguage\nSchool Lang. & Listening\nQuantitative Language\n2.36\n0.86\n6.23\nExtended Day\nProgram\nMean SD Mean SD\n3.51\n3.28\n3.54 3.00 4.41\n2.05\n1.88 2.09\n2.06 3.07[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
71101075,Baldus (2001),2001,NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71101037,Basketta (2005),2005,NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71101038,Bower (1985),1985,NA,NA,['Yes'],NA,NA,,NA,32,,"['Page 70:\n[¬s]""64.38[¬e]""']",64.38,,"['Page 70:\n[¬s]""7.54[¬e]""']",7.54,,"['Page 70:\n[¬s]""60.75[¬e]""']",60.75,,"['Page 70:\n[¬s]""10.61[¬e]""']",10.61,,NA,NA,,NA,NA,,NA,NA,,NA,26,,"['Page 70:\n[¬s]""63.19[¬e]""']",63.19,,"['Page 70:\n[¬s]""9.06[¬e]""']",9.06,,"['Page 70:\n[¬s]""62.73[¬e]""']",62.73,,"['Page 70:\n[¬s]""9.95[¬e]""']",9.95,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71101076,Bowman (1992),1992,['Early years intervention'],NA,['Yes'],"['Page 93:\n[¬s]""Grade Mean Score Mean Score Difference T-Value One-tailed\nGroup 1\nGroup 2\n1\n2\n3\n784.06\n744.40\n761.39\n808.78\n786.20\n798.46\nProbability\n24.72 -1.704 .0418*\n41.80[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
71101102,Coco-Burden (1982),1982,NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71101040,da Costa (2000),2000,NA,NA,['Yes'],NA,NA,,NA,16,,"['Page 16:\n[¬s]""39.88[¬e]""']",39.88,,NA,14.4,,NA,50.38,,NA,3.32,,NA,NA,,NA,NA,,NA,NA,,NA,11,,NA,36.09,,NA,18.02,,NA,43.45,,NA,13.72,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71101041,da Costa (2001),2001,NA,NA,['Yes'],NA,NA,,NA,42,,NA,23.04,,NA,15.6,,NA,50.64,,NA,6,,NA,NA,,NA,NA,,NA,NA,,NA,41,,NA,33.83,,NA,17.11,,NA,46.89,,NA,9.91,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40117246,DeCicca (2007),2007,['Extending school time'],NA,['Yes'],"['Page 5:\n[¬s]""Table 1\nSelected sample characteristics, by kindergarten type (means & standard deviations)[¬e]""']",NA,,"['Page 5:\n[¬s]""2615""\n""1122""\n""552[¬e]""']",4289,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""2944""\n""323""\n""608[¬e]""']",3875,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
