id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
71101036,Alper (1979) 1_1,1979,"['EY_Extra hours', 'Extending school time']",NA,ExtH+0_MRT (Letter recognition),,Metropolitan Readiness Test (Pre- September of 1978 and again in post-December of 1978),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.7525,,0.1603,,Literacy: reading other,,81.0,,5.38,,3.0,,86.0,,3.2,,2.77,,0.4382,,1.0668,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,ExtH+0_MRT (Letter recognition),,Metropolitan Readiness Test (Pre- September of 1978 and again in post-December of 1978),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.7525,,0.1603,,Literacy: reading other,,81.0,,5.38,,3.0,,86.0,,3.2,,2.77,,0.4382,,1.0668,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74577986,Alper (1979) 1_2,1979,"['EY_Extra hours', 'Extending school time']",NA,ExtH+0_MRT (Letter recognition),,Metropolitan Readiness Test,,"['Toolkit primary outcome', 'Other outcome']",,0.2555,,0.3277,,Literacy: decoding/phonics,,17.0,,4.41,,3.71,,21.0,,3.54,,3.0,,-0.3869,,0.8978,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71101075,Baldus (2001),2001,['EY_Extra hours'],NA,ExtH+1_CTBS - Reading,,"Group 1 (96-97) + Group 3 (98-99) - Intervention in K, outcomes in Grade 1  CTBS - Reading Achievement (Combined Means and SDs) - TerraNova CTBS/5 was designed and developed to provide achievement scores that are valid for most types of educational decision-making.",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1399,,0.3249,,Literacy: reading comprehension,,19.0,,14.367,,3.916,,19.0,,14.791,,1.511,,-0.7766,,0.4969,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,ExtH+1_CTBS - Reading,,"Group 1 (96-97) + Group 3 (98-99) - Intervention in K, outcomes in Grade 1  CTBS - Reading Achievement (Combined Means and SDs) - TerraNova CTBS/5 was designed and developed to provide achievement scores that are valid for most types of educational decision-making.",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1399,,0.3249,,Literacy: reading comprehension,,19.0,,14.367,,3.916,,19.0,,14.791,,1.511,,-0.7766,,0.4969,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71101037,Baskett (2005),2005,['EY_Extra hours'],NA,ExtH+0_Reading Level,,"Scores in June of Kindergarten - reading level measured by the Informal Reading Inventory (McCarrier et al., 2000), based upon graduated texts not part of regular classroom experience and administered in November and June",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3736,,0.1477,,Literacy: reading other,,77.0,,2.39,,2.47,,118.0,,1.57,,1.98,,0.0841,,0.6632,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,ExtH+0_Reading Level,,"Scores in June of Kindergarten - reading level measured by the Informal Reading Inventory (McCarrier et al., 2000), based upon graduated texts not part of regular classroom experience and administered in November and June",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3736,,0.1477,,Literacy: reading other,,77.0,,2.39,,2.47,,118.0,,1.57,,1.98,,0.0841,,0.6632,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71101038,Bower (1985),1985,['EY_Extra hours'],NA,ExtH+0_MRT ,,"The Metropolitan Readiness Test measures ""certain of the skills necessary for success in first grade reading and math"". These skills include measures of auditory, visual, language, and quantitative abilities. ",,"['Toolkit primary outcome', 'Other outcome']",,-0.1893,,0.2647,,Combined subjects,,32.0,,60.75,,10.61,,26.0,,62.73,,9.95,,-0.708,,0.3295,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71101076,Bowman (1992),1992,['Early years intervention'],NA,ExtH+1_BSAP(Reading),,Basic skill assessment program  Full Day K (Group 1) vs half-day K (Group 2),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1182,,0.1463,,Literacy: reading comprehension,,100.0,,-1.704,,0.0,,88.0,,0.418,,0.0,,-0.1686,,0.4049,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,ExtH+1_BSAP(Reading),,Basic skill assessment program  Full Day K (Group 1) vs half-day K (Group 2),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1182,,0.1463,,Literacy: reading comprehension,,100.0,,-1.704,,0.0,,88.0,,0.418,,0.0,,-0.1686,,0.4049,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ExtH+2_BSAP(Math),,Grade 1 Basic skill assessment program  Full Day K (Group 1) vs half-day K (Group 2),,['Mathematics primary outcome'],,0.4563,,0.1481,,Mathematics,,100,,-3.2235,,0,,88,,0.002,,0,,0.1661,,0.7466,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71101102,Burden (1982),1982,['EY_Extra hours'],NA,ExtH+0_Reading,,Total reading (all day vs half day),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1585,,0.1345,,Literacy: reading comprehension,,112.0,,50.34,,10.0,,110.0,,48.75,,10.0,,-0.1051,,0.422,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,ExtH+0_Reading,,Total reading (all day vs half day),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1585,,0.1345,,Literacy: reading comprehension,,112.0,,50.34,,10.0,,110.0,,48.75,,10.0,,-0.1051,,0.422,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
77945721,Cannon (2006),2006,['EY_Extra hours'],NA,ExtH+0_Reading scores: Full day Kindergarten,,"Reading scores  Full day Kindergarten vs half-day - Outcomes at Spring of K - effects from Table 3  (OLS coefficients which I used as smd  ""the results imply that reading scores increase by 0.145 standard deviations, and math scores increase by 0.119 standard deviations""",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.145,,0.02,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.1058,,0.1842,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,ExtH+0_Reading scores: Full day Kindergarten,,"Reading scores  Full day Kindergarten vs half-day - Outcomes at Spring of K - effects from Table 3  (OLS coefficients which I used as smd  ""the results imply that reading scores increase by 0.145 standard deviations, and math scores increase by 0.119 standard deviations""",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.145,,0.02,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.1058,,0.1842,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ExtH+0_Maths scores: Full day Kindergarten,,"Maths scores  Full day Kindergarten vs half-day - Outcomes at Spring of K - effects from Table 3  (OLS coefficients which I used as smd ""the results imply that reading scores increase by 0.145 standard deviations, and math scores increase by 0.119 standard deviations""",,['Mathematics primary outcome'],,0.119,,0.02,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0798,,0.1582,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71101040,da Costa (2000),2000,['EY_Extra hours'],NA,ExtH+0_Clays,,Clay's Letter Recognition Posttest June end of Preschool Year recognition of letters visually presented,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.7425,,0.4066,,Literacy: reading other,,16.0,,50.38,,3.32,,11.0,,43.45,,13.72,,-0.0545,,1.5395,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,ExtH+0_Clays,,Clay's Letter Recognition Posttest June end of Preschool Year recognition of letters visually presented,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.7425,,0.4066,,Literacy: reading other,,16.0,,50.38,,3.32,,11.0,,43.45,,13.72,,-0.0545,,1.5395,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71101041,da Costa (2001),2001,['EY_Extra hours'],NA,ExtH+0_Clay,,Clay's Letter recognition Posttest June end of preschool year,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4548,,0.2225,,Literacy: reading other,,42.0,,50.64,,6.0,,41.0,,46.89,,9.91,,0.0187,,0.8909,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,ExtH+0_Clay,,Clay's Letter recognition Posttest June end of preschool year,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4548,,0.2225,,Literacy: reading other,,42.0,,50.64,,6.0,,41.0,,46.89,,9.91,,0.0187,,0.8909,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
