id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,int_name_ht,int_name_info,int_name_CLEAN,int_desc_ht,int_desc_info,int_desc_CLEAN,int_objec_ht,int_objec_info,int_objec_CLEAN,int_prov_raw,int_prov_ht,int_prov_info,int_prov_CLEAN,int_training_raw,int_training_ht,int_training_info,int_training_CLEAN,int_part_raw,int_part_ht,int_part_info,int_part_CLEAN,int_approach_raw,int_approach_ht,int_approach_info,int_approach_CLEAN,digit_tech_raw,digit_tech_ht,digit_tech_info,digital_tech_CLEAN,parent_partic_raw,parent_partic_ht,parent_partic_info,parent_partic_CLEAN,int_when_raw,int_when_ht,int_when_info,int_when_CLEAN,int_who_raw,int_who_ht,int_who_info,int_who_CLEAN,int_dur_ht,int_dur_info,int_dur_CLEAN,int_freq_ht,int_freq_info,int_freq_CLEAN,int_leng_ht,int_leng_info,int_leng_CLEAN,int_fidel_raw,int_fidel_ht,int_fidel_info,int_fidel_CLEAN,int_cost_raw,int_cost_ht,int_cost_info,int_cost_CLEAN,out_eval_raw,out_eval_ht,out_eval_info,out_eval_CLEAN,eef_eval_raw,eef_eval_CLEAN,base_diff_raw,base_diff_ht,base_diff_info,base_diff_CLEAN,comp_anal_raw,comp_anal_ht,comp_anal_info,comp_anal_CLEAN,comp_var_rep_raw,comp_var_rep_ht,comp_var_rep_info,comp_var_rep_CLEAN,comp_var_raw,comp_var_ht,comp_var_info,comp_var_CLEAN,clust_anal_raw,clust_anal_ht,clust_anal_info,clust_anal_CLEAN
71101036,Alper (1979) 1_1,1979,"['EY_Extra hours', 'Extending school time']",NA,,"['Page 5:\n[¬s]""Extended Day Kinde irten Program[¬e]""']",NA,,"['Page 5:\n[¬s]""In the f i r s t\ndesign, nine groups of the twelve lowest achieving children from each\nclassroom were assigned to the Extended Day Kindergarten experimental\ntreatment and nine matched groups of children were assigned to the\nnon-extended day kindergarten control condition. The ""Nonequivalent\nControl Group"" design was used to structure this facet of the study.[¬e]""']",NA,,"['Page 5:\n[¬s]""to determine what reading read\xad iness changes accompanied the Extended Day Kinde irten Program of children from lower socio-economic families.""\n""More spec ifica lly ,\nhowever, th is study was directed at assigning dispositions to hy\xad\npotheses regarding gains in reading readiness made by the Extended Day\nKindergarten re la tive to those made by a Traditional Kindergarten\nProgram. In addition, the influence of e thn ic ity upon reading read\xad\niness was assessed[¬e]""']",NA,,['School or group of schools'],"['Page 52:\n[¬s]""All classroom teachers who administered the MRT were instructed\nby a T i t le I Program Implementor in the correct process as described\nin the MRT Teacher\'s Manual, 1976. The instrument was administered\nby the classroom teachers in September of 1978 and again in Dec\xad\nember of 1978.[¬e]""']",NA,,['Unclear/ Not specified'],NA,NA,,['Students'],"['Page 5:\n[¬s]""The purpose of this study was to determine what reading read\xad\niness changes accompanied the Extended Day Kinde irten Program of\nchildren from lower socio-economic families.[¬e]""']",NA,,['Large group/class teaching (+6)'],"['Page 5:\n[¬s]""In the f i r s t\ndesign, nine groups of the twelve lowest achieving children from each\nclassroom were assigned to the Extended Day Kindergarten experimental\ntreatment and nine matched groups of children were assigned to the\nnon-extended day kindergarten control condition. T[¬e]""']",NA,,['No'],NA,NA,,['Yes'],NA,NA,,"['During regular school hours ', 'Before/after school']","['Page 48:\n[¬s]""The children only attended\nthe D is t r ic t kindergarten\nclasses fo r 2H hours a da[¬e]""', 'Page 48:\n[¬s]""The children attended the Ex-\nj\ntended Day Kindergarten fo r Zh\nhours in the afternoon each\nday. This was in addition to\nthe time they normally spent\nin the D is t r ic t kindergarten\n! classroom. Totaled 5 hours.[¬e]""']",NA,,['Class teachers'],"['Page 52:\n[¬s]""The instrument was administered\nby the classroom teachers in September of 1978 and again in Dec\xad\nember of 1978.[¬e]""']",NA,,"['Page 46:\n[¬s]""1978-79[¬e]""']",38,,"['Page 48:\n[¬s]""afternoon each\nday.[¬e]""']",5,,"['Page 48:\n[¬s]""The children attended the Ex-\nj\ntended Day Kindergarten fo r Zh\nhours in the afternoon each\nday. This was in addition to\nthe time they normally spent\nin the D is t r ic t kindergarten\n! classroom. Totaled 5 hours[¬e]""']",150,,['Quantitative'],"['Page 46:\n[¬s]""Completed screening and hiring of nine teachers[¬e]""']",NA,,['No'],NA,NA,,['The developer'],"['Page 6:\n[¬s]""In the larger ""Nonequivalent Control Group"" study there was a\ns ta t is t ic a l ly s ign ifican t difference between the mean vector gain\nscores in the Reading Sk i l ls Composite score favoring the experi\xad\nmental group.[¬e]""']",NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,['No'],NA,NA,
74577986,Alper (1979) 1_2,1979,"['EY_Extra hours', 'Extending school time']",NA,,NA,NA,,"['Page 5:\n[¬s]""In the second design, two schools were selected and children\nwere randomly assigned to the experimental group or control group\nwith the twelve lowest achieving students selected from each class\nto receive treatment. A ""Groups Within Treatment"" (GwA) design was\nused to structure this facet of the study.[¬e]""']",NA,,"['Page 5:\n[¬s]""to determine what reading read\xad\niness changes accompanied the Extended Day Kinde irten Program of\nchildren from lower socio-economic families. More spec ifica lly ,\nhowever, th is study was directed at assigning dispositions to hy\xad\npotheses regarding gains in reading readiness made by the Extended Day\nKindergarten re la tive to those made by a Traditional Kindergarten\nProgram. In addition, the influence of e thn ic ity upon reading read\xad\niness was assessed.[¬e]""']",NA,,['School or group of schools'],"['Page 52:\n[¬s]""All classroom teachers who administered the MRT were instructed\nby a T i t le I Program Implementor in the correct process as described\nin the MRT Teacher\'s Manual, 1976. The instrument was administered\nby the classroom teachers in September of 1978 and again in Dec\xad\nember of 1978.[¬e]""']",NA,,['Unclear/ Not specified'],NA,NA,,['Students'],"['Page 6:\n[¬s]""The Extended Day Kindergarten Program is an effective\nmeans of increasing reading readiness s k i l ls of kindergarteners.[¬e]""']",NA,,['Large group/class teaching (+6)'],"['Page 41:\n[¬s]""At each school, kindergarten children were a rb i t ra r i ly\nassigned to a classroom. The classrooms were randomly assigned to\nthe experimental group or control group. The twelve lowest achieving\nstudents as measured by the MRT were selected in each class to\nreceive treatment.[¬e]""']",NA,,['No'],NA,NA,,['Yes'],NA,NA,,['Before/after school'],"['Page 48:\n[¬s]""The children attended the Ex-\nj\ntended Day Kindergarten fo r Zh\nhours in the afternoon each\nday. This was in addition to\nthe time they normally spent\nin the D is t r ic t kindergarten\n! classroom. Totaled 5 hours.[¬e]""']",NA,,['Class teachers'],"['Page 46:\n[¬s]""Completed screening and hiring of nine teachers[¬e]""']",NA,,"['Page 46:\n[¬s]""1978-79[¬e]""']",38,,"['Page 48:\n[¬s]""each\nday.[¬e]""']",5,,"['Page 48:\n[¬s]""Zh\nhours[¬e]""']",150,,['Quantitative'],"['Page 46:\n[¬s]""Completed screening and hiring of nine teachers[¬e]""']",NA,,['No'],NA,NA,,['The developer'],"['Page 6:\n[¬s]""I t was concluded that: 1) The Extended Day Kindergarten Program\nw i l l promote a faster acquisition rate of reading s k i l ls . 2) There\nwas a discrepancy between the findings related to the ""Nonequivalent\nControl Group"" and the Gwa design results. The smaller GWA study\nmay have been more susceptible to the influence of teacher variables.\n3) Based upon the findings, i t appears that treatment effects do not\ndepend on e thn ic ity ; the benefits of treatment are independent of\ne thn ic ity . 4) The Extended Day Kindergarten Program is an effective\nmeans of increasing reading readiness s k i l ls of kindergarteners.[¬e]""']",NA,,No,,['No/Unclear'],NA,NA,,['No'],NA,NA,,['Yes'],NA,NA,,['Socio-economic status'],"['Page 69:\n[¬s]""MEANS AND STANDARD DEVIATIONS (SD) FOR TWO-WAY ANOVA\nOF ETHNICITY BY TREATMENT\n(TOTAL MRT GAIN SCORE)\nTreatment\nTraditional\nEthnicity\nHispanic\nBlack\nOther\nMean\nSD\n20.98 11.02[¬e]""']",NA,,['No'],NA,NA,
71101075,Baldus (2001),2001,['EY_Extra hours'],NA,,"['Page 11:\n[¬s]""extended-day kindergarten program[¬e]""']",NA,,"['Page 11:\n[¬s]""The longitudinal study used data collected from August of 1996 to\nJune of 2000. Kindergarten students who were identified as being at\nrisk during the 1996-97, 1997-98, and 1998-99 school years in two\nsimilar elementary schools in Bozeman, Montana, comprised the\npopulation of this study. Each year there was a control group that\nattended the regular half-day kindergarten program. The experimental\ngroup for each year attended a full-day every-day kindergarten program.[¬e]""']",NA,,NA,improve early years educational attainment with full-day kindergarten ,,['School or group of schools'],"['Page 51:\n[¬s]""Students who were identified as being at risk during the years of\n1996-97, 1997-98, and 1998-99 were selected at each school. The\nexperimental group was located at School B and the control group was\nlocated at School A. The experimental group consisted of at-risk\nstudents identified each school year during the 1996-97, 1997-98, and[¬e]""', 'Page 52:\n[¬s]""1998-99 school years at School B. These students attended an\nextended-day kindergarten in a class of approximately ten students who\nwere together for the entire day. The control group was a group of at-risk\nstudents identified at each school year during the same school years at\nSchool A who attended a regular half-day kindergarten program either in\nthe morning or afternoon session.[¬e]""']",NA,,['No'],NA,NA,,['Students'],"['Page 51:\n[¬s]""Students who were identified as being at risk during the years of\n1996-97, 1997-98, and 1998-99 were selected at each school.""\n""The experimental group consisted of at-risk\nstudents identified each school year during the 1996-97, 1997-98, and[¬e]""', 'Page 52:\n[¬s]""1998-99 school years at School B. These students attended an\nextended-day kindergarten in a class of approximately ten students who\nwere together for the entire day. The control group was a group of at-risk\nstudents identified at each school year during the same school years at\nSchool A who attended a regular half-day kindergarten program either in\nthe morning or afternoon session.[¬e]""']",NA,,['Large group/class teaching (+6)'],"['Page 52:\n[¬s]""extended-day kindergarten in a class of approximately ten students[¬e]""']",NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],"['Page 52:\n[¬s]""These students attended an\nextended-day kindergarten in a class of approximately ten students who\nwere together for the entire day. The control group was a group of at-risk\nstudents identified at each school year during the same school years at\nSchool A who attended a regular half-day kindergarten program either in\nthe morning or afternoon session.[¬e]""']",NA,,['Class teachers'],"['Page 52:\n[¬s]""The regular kindergarten teachers\nscreened all of the entering kindergarten students during the first month\nof school. Each of these kindergarten teachers had more than fifteen\nyears of experience teaching kindergarten.[¬e]""']",NA,,"['Page 51:\n[¬s]""each school year during the 1996-97, 1997-98, and[¬e]""', 'Page 52:\n[¬s]""1998-99 school years[¬e]""']",38,,"['Page 11:\n[¬s]""The experimental\ngroup for each year attended a full-day every-day kindergarten program.[¬e]""']",5,,"['Page 14:\n[¬s]""A\ntypical student\'s kindergarten day usually consists of two and one-half\nhours in the classroom[¬e]""', 'Page 61:\n[¬s]""This session was six hours long with a fifty-minute lunch period.[¬e]""']",170,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],"['Page 5:\n[¬s]""r. Eric Strohmeyer, co-chairperson who helped take the\ninitial ideas and formulate them into this study and gave assistance with\nthe analysis of the technical data.[¬e]""']",NA,,No,,['Yes'],"['Page 51:\n[¬s]""Table I identifies the percentage of\nstudents in each school who were functioning below their ability level,\nwithin their ability level, and above their ability on the CTBS\nstandardized test at the fourth-grade level. This information indicates\nthat the academic level of the students attending School A and School B\nwere similar.\nTable I. Fourth Grade CTBS Scores[¬e]""']",NA,,['No'],NA,NA,,['No'],NA,NA,,NA,NA,NA,,['No'],NA,NA,
71101037,Baskett (2005),2005,['EY_Extra hours'],NA,,"['Page 6:\n[¬s]""full-\nday kindergarten.[¬e]""']",NA,,"['Page 6:\n[¬s]""he average length of the full-day classes was 5 hours and 50 minutes.""\n""The length of the half-day\nclasses was 3 hours per day[¬e]""']",NA,,NA,improve educational attainment in early years by increasing usual half-day kindergarten to full-day,,['University/ researcher design'],NA,NA,,['No'],NA,NA,,"['Students', 'Teachers', 'Parents']",NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,39,,NA,5,,"['Page 6:\n[¬s]""Day length was consistent district-wide. The length of the half-day\nclasses was 3 hours per day, and the average length of the full-day classes was 5 hours\nand 50 minutes.[¬e]""']",170,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['No/Unclear'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,NA,NA,NA,,['No'],NA,NA,
71101038,Bower (1985),1985,['EY_Extra hours'],NA,,"['Page 29:\n[¬s]""half-day kindergarten\nprogram[¬e]""']",NA,,"['Page 50:\n[¬s]""The population sample\nconsisted of the kindergarten students at School #1 and\nSchool #2. To participate in the study all subjects had to\nbe enrolled in an all-day or half-day kindergarten\nprogram, and complete all the various pre/posttest\nmeasures of academic readiness, social and school\nadjustment, self-concept, and parent involvement.[¬e]""']",NA,,NA,Improve academic attainment of kindergarten students with full-day classes,,['University/ researcher design'],NA,NA,,['Yes (Please specify)'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['Yes'],NA,NA,,['During regular school hours '],NA,NA,,['Research staff'],NA,NA,,NA,36,,NA,5,,"['Page 23:\n[¬s]""All-day Kindergarten is a kindergarten class that\nmeets for a full school day of approximately 5 1/2 hours,\nfive days a week.""\n""Half-day Kindergarten is a kindergarten class that\nmeets either approximately 3 hours in the morning or\napproximately 2 hours in the afternoon during the first\nsemester of the school year.[¬e]""']",180,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],"['Page 70:\n[¬s]""Table 3\nPretest and Posttest Performance on the Metropolitan\nReadiness Test[¬e]""']",NA,,NA,NA,NA,,['Yes'],NA,NA,,"['Gender', 'Other (please specify)']","['Page 52:\n[¬s]""Sex[¬e]""', 'Page 52:\n[¬s]""Language\nDominance[¬e]""']",NA,,['No'],NA,NA,
71101076,Bowman (1992),1992,['EY_Extra hours'],NA,,"['Page 74:\n[¬s]""full-day prekindergarten and subsequent full-\nday kindergarten[¬e]""']",NA,,"['Page 74:\n[¬s]""An ex post facto design was used in this study,\ncomparing two predefined groups over a period of five years.""\n""The pupils were compared at the beginning of the\nprekindergarten experience on such demographics as race,\nsex, and Dial-R scores.""\n""Scores were obtained for each student for the\nCSAB which was given at the beginning of the first grade. At\nthe end of grades one, two, and three the scores on the BSAP\ntests in reading and mathematics were compared.""\n""The number[¬e]""', 'Page 75:\n[¬s]""of times each student met standard on the BSAP tests were\nanalyzed to determine how many times in the three year\nperiod the student met standard. Student records were\nexamined to determine if the student had been placed in a\nspecial education program or retained.[¬e]""']",NA,,"['Page 19:\n[¬s]""investigate the relationship\nbetween length of the day in prekindergarten and\nkindergarten (full day or half day) and subsequent\nperformance in school.[¬e]""', 'Page 74:\n[¬s]""determine\nwhether the full-day prekindergarten and subsequent full-\nday kindergarten provided greater benefits for at risk\nfour-year-olds than half-day prekindergarten and subsequent\nhalf-day kindergarten.[¬e]""']",NA,,['School or group of schools'],NA,NA,,['No'],NA,NA,,['Students'],"['Page 76:\n[¬s]""Group 1: Children who had attended full-day\nprekindergarten (N = 100).\nGroup 2: Children who had attended half-day\nprekindergarten (N = 88).[¬e]""']",NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,"['Page 21:\n[¬s]""This study is a five year longitudinal study.[¬e]""']",190,,NA,5,,"['Page 24:\n[¬s]""Half-dav prekinderaarten. A formal developmental\neducational program provided for at risk four-year-olds of\nabout three and one half hours in duration.\nFull-day prekinderaarten. A formal developmental\neducation program provided for at risk four-year-olds of six\nand one half hours in duration.[¬e]""', 'Page 5:\n[¬s]""HALF-DAY VERSUS FULL-DAY\nPREKINDERGARTEN/KINDERGARTEN PROGRAMS[¬e]""']",180,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['No/Unclear'],NA,NA,,['No'],NA,NA,,['Yes'],NA,NA,,['Educational attainment'],NA,NA,,['No'],NA,NA,
71101102,Burden (1982),1982,['EY_Extra hours'],NA,,"['Page 44:\n[¬s]""all-day kindergarten[¬e]""']",NA,,"['Page 44:\n[¬s]""operated from 8:45 a.m. until 3:15 p.m.[¬e]""']",NA,,NA,improve the educational attainment of early years students by introducing all-day kindergarten,,['University/ researcher design'],NA,NA,,['No'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,39,,NA,5,,"['Page 9:\n[¬s]""The\nthree levels of kindergarten considered were: half-day kindergarten -\neither morning or afternoon program two and one-half hours in length,\nfive days a week; extended-day kindergarten - program from 8 :45 a. m.\nuntil 2: 00 p. m., five days a week; al I-day kindergarten - program\nfrom 8:45 a.m. until 3: 15 p.m., five days a week.[¬e]""']",240,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['No/Unclear'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,NA,NA,NA,,['No'],NA,NA,
77945721,Cannon (2006),2006,['EY_Extra hours'],NA,,"['Page 1:\n[¬s]""a full-day kindergarten[¬e]""']",NA,,"['Page 1:\n[¬s]""t expand kindergarten from half-day to full-day\nbecause of perceived benefits for learning[¬e]""']",children stay in kindergarten classes for the whole day instead of morning-only or afternoon-only provision,,"['Page 1:\n[¬s]""Many state and local school district decision\nmakers are interested in policies that expand kindergarten from half-day to full-day\nbecause of perceived benefits for learning""\n""as a way to increase educational achievement. M[¬e]""']",to boost learning,,['Local education authority or district'],"['Page 10:\n[¬s]""9 Information on relevant state kindergarten policies for the 1998–1999 academic year are extracted from\na survey conducted by CCSSO[¬e]""', 'Page 4:\n[¬s]""The primary data source is the ECLS-K. Information on state kindergarten policies\nis primarily from the Key State Education Policies on K-12 Education (CCSSO,\n1998). Data on job market characteristics at the county and state level are from the[¬e]""']",NA,,['No'],NA,a state policy on whether the kids attend full- or half-day K,,['Students'],"['Page 1:\n[¬s]""f Full-day Kindergarten[¬e]""']",NA,,['Large group/class teaching (+6)'],NA,"default, full-day K",,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],"['Page 1:\n[¬s]""f Full-day Kindergarten\nAttendance[¬e]""']",NA,,['Class teachers'],NA,default,,"['Page 5:\n[¬s]""only those children in the same type of kindergarten program throughout\nthe year were included[¬e]""']",38,,"['Page 5:\n[¬s]""only those children in the same type of kindergarten program throughout\nthe year were included (149).""\n""Regular kindergarten class is defined as a one-year kindergarten class pri-\nmarily for five-year-olds prior to first grade.[¬e]""']",5,,NA,180,,['No implementation details provided.'],NA,NA,,['No'],"['Page 21:\n[¬s]""Given the cost of these programs,\nit calls into question the practice of requiring school districts to offer such pro-\ngrams[¬e]""']",but costly compared to half-time,,['An organization commissioned independently to evaluate'],"['Page 2:\n[¬s]""Using nationally representative data from the Early Childhood Longitudinal\nStudy–Kindergarten Class of 1998–1999 (ECLS-K), this research will overcome\nmany of the methodological limitations of previous research, first by examining\nstudent and parental outcomes through the third grade. Second, due to sufficient\nsample size, this study can test for differential effects of full-day programs by\npoverty status and by gender, as research suggests possible differences in conse-\nquences for these groups.[¬e]""']",it might not be commissioned but they are not the developers,,No,,['Yes'],"['Page 6:\n[¬s]""Table 1. Baseline sample descriptive characteristics.[¬e]""', 'Page 9:\n[¬s]""Controlling for Potential Selection Bias. While variables such as baseline test\nscores and parental expectations for their children’s achievement are included,\nresults from the estimation described above are most likely biased because of\nparental selection. For instance, parents with high levels of motivation and expec-\ntations for their child""\n""Table 1 demonstrates variable means by type of kindergarten program, and\nresults suggest that selection may occur. Children who attend full-day kindergarten\nare statistically different from their half-day counterparts along many socio-eco-\nnomic variables. For example, children who attend full-day kindergarten programs\nare more likely to be non-Hispanic black, speak English at home, live in a single-\nparent household, have fewer books at home, have parents who attend religious\nservices several times a month or more, attend a private school, and attend a school\nin an urban or rural area. However, full-day and half-day kindergarten children are\nnot different on parental academic expectations, suggesting that selection may not\nbe occurring. O[¬e]""']","no stat significant differences in maths and reading standardised scores in fall of K (Kindergarten). However, full-time K differ in a lot of other variables from half-time K",,['Yes'],"['Page 8:\n[¬s]""Fall kinder-\ngarten achievement scores are included as a control variable for all regressions with\na dependent variable of math or reading scores. Including the initial score as an\nindependent variable is a strong control for unobservable parent and student char-\nacteristics affecting achievement and thus controls for a child’s starting point.[¬e]""']",NA,,['Yes'],NA,NA,,"['Educational attainment', 'Gender', 'Socio-economic status', 'Special educational needs', 'Other (please specify)']","['Page 6:\n[¬s]""Table 1. Baseline sample descriptive characteristics.[¬e]""', 'Page 6:\n[¬s]""Table 1.[¬e]""', 'Page 6:\n[¬s]""Table 1[¬e]""']",home language ethnicity age,,['Yes'],"['Page 13:\n[¬s]""Finally, all regression analyses are weighted. In addition, standard errors are clus-\ntered at the teacher level because multiple children in the same classroom are\nincluded in the analysis sample and are likely to be correlated.[¬e]""']",NA,
71101040,da Costa (2000),2000,['EY_Extra hours'],NA,,NA,full day preschool,,"['Page 1:\n[¬s]""full-day kindergarten[¬e]""']",NA,,"['Page 1:\n[¬s]""growth in play and problem solving,\nlanguage and literacy, and socioemotional development[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['No'],NA,NA,,"['Students', 'Teachers']",NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,"['Page 4:\n[¬s]""throughout the year[¬e]""']",38,,NA,5,,"['Page 4:\n[¬s]"". However, more often than not, Alberta schools offer kindergarten students\n400 contact hours per year maximum, the maximum presently funded by Alberta Education. Standing\nout, in terms of the number of student-teacher contact hours, from other kindergarten programs in\nAlberta is the program offered at one inner city elementary school. This school, through the generosity\nof an anonymous benefactor, has been able to offer its Kindergarten students a full-day program with\napproximately 1000 instructional hours per year.[¬e]""']",180,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['An organization commissioned independently to evaluate'],NA,NA,,No,,['Yes'],"['Page 16:\n[¬s]""Pre-test observations (covariate)[¬e]""']",NA,,['Yes'],"['Page 16:\n[¬s]""covariate)[¬e]""']",NA,,['Yes'],NA,NA,,['Educational attainment'],"['Page 16:\n[¬s]""Pre-test observations (covariate)[¬e]""']",NA,,['No'],NA,NA,
71101041,da Costa (2001),2001,['EY_Extra hours'],NA,,"['Page 1:\n[¬s]""full-day kindergarten[¬e]""']",full day preschool,,"['Page 4:\n[¬s]""offer their kindergarten students a full-day program with\napproximately 1000 instructional hours per year[¬e]""']",NA,,"['Page 1:\n[¬s]""development of literacy skills as measured by Clay\'s Observation\nSurvey, focusing on the impact for Canadian schools serving students from low\nsocioeconomic or educationally deprived backgrounds[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['No'],NA,NA,,['Students'],NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,38,,NA,5,,"['Page 4:\n[¬s]""However, more often than not,\nduring the 1999/2000 school year Alberta schools offered kindergarten students 400 contact\nhours per year maximum. This funded maximum was increased to 475 hours by Alberta\nLearning effective for the 2000/01 school year. Standing out, in terms of the number of student-\nteacher contact hours, from other kindergarten programs in Alberta is the program offered at two\ninner city elementary schools. These schools, each through the generosity of anonymous\nbenefactors, have been able to offer their kindergarten students a full-day program with\napproximately 1000 instructional hours per year[¬e]""']",180,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['An organization commissioned independently to evaluate'],NA,NA,,No,,['Yes'],"['Page 11:\n[¬s]""Pre-test observations (covariate)[¬e]""']",NA,,['Yes'],"['Page 7:\n[¬s]""transient resulting in a high\nturn-over rate of the student population at Fox Elementary ranging from 20% to 30% per year[¬e]""']",NA,,['Yes'],"['Page 11:\n[¬s]""Pre-test observations (covariate)[¬e]""']",NA,,['Educational attainment'],NA,NA,,['No'],NA,NA,
