id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
71101036,Alper (1979) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_MRT (Letter recognition),['Other outcome'],Secondary outcome(s),ExtH+0_MRT (Language and listening)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577986,Alper (1979) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ExtH+0_MRT (Letter recognition),NA,Secondary outcome(s),ExtH+0_MRT (Language),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71101075,Baldus (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+1_CTBS - Reading,['Other outcome'],Secondary outcome(s),ExtH+1_CTBS – Maths,['Other outcome'],Secondary outcome(s),ExtH+3_CTBS – Reading,['Other outcome'],Secondary outcome(s),ExtH+2_CTBS – Reading,['Other outcome'],Secondary outcome(s),ExtH+3_CTBS – Maths,['Other outcome'],Secondary outcome(s),ExtH+2_CTBS – Maths,NA,NA,NA,NA,NA,NA
71101037,Baskett (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_Reading Level,['Other outcome'],Secondary outcome(s),ExtH+0_Literacy skills,['Other outcome'],Secondary outcome(s),ExtH+0_Letter sounds,['Other outcome'],Secondary outcome(s),ExtH+0_Alphabet Recognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71101038,Bower (1985),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ExtH+0_MRT ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71101076,Bowman (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+1_BSAP(Reading),['Other outcome'],Secondary outcome(s),ExtH+2_BSAP(READING),['Other outcome'],Secondary outcome(s),ExtH+3_BSAP,['Other outcome'],Secondary outcome(s),ExtH+3_BSAP(Math),['Other outcome'],Secondary outcome(s),ExtH+1_BSAP(Math),['Mathematics primary outcome'],Secondary outcome(s),ExtH+2_BSAP(Math),NA,NA,NA,NA,NA,NA
71101102,Burden (1982),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_Reading,['Other outcome'],Secondary outcome(s),ExtH+0_Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945721,Cannon (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_Reading scores: Full day Kindergarten,['Mathematics primary outcome'],Secondary outcome(s),ExtH+0_Maths scores: Full day Kindergarten,['Other outcome'],Secondary outcome(s),ExtH+1_Reading scores: Full day Kindergarten,['Other outcome'],Secondary outcome(s),ExtH+3_Reading scores,['Other outcome'],Secondary outcome(s),ExtH+1_Maths scores: Full day Kindergarten,['Other outcome'],Secondary outcome(s),ExtH+3_Maths scores,NA,NA,NA,NA,NA,NA
71101040,da Costa (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_Clays,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71101041,da Costa (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_Clay,NA,Primary outcome,ExtH+0_Clay_f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117246,DeCicca (2007),['Other outcome'],Secondary outcome(s),ExtH+0_Reading - White Children,['Other outcome'],Secondary outcome(s),ExtH+0_Reading - Black Children,['Other outcome'],Secondary outcome(s),ExtH+0_Reading - Hispanic Children,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_Combined - Reading ES (overall),['Other outcome'],Primary outcome,ExtH+0_Combined - Maths ES (overall),['Other outcome'],Secondary outcome(s),ExtH+0_Maths - White Children,['Other outcome'],Secondary outcome(s),ExtH+0_Maths - Black Children,['Other outcome'],Secondary outcome(s),ExtH+0_Maths - Hispanic Children
71101043,Donofrio (1989),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71101077,Duffy (1996),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ExtH+0_ITBS,['Other outcome'],Primary outcome,ExtH+0_ITBS_f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71101046,Elicker (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_Literacy score,['Other outcome'],Secondary outcome(s),ExtH+0_Math,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71101078,Entwisle (1987),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ExtH+0_CAT Verbal (Fall),['Other outcome'],Secondary outcome(s),ExtH+0_CAT Math (Fall),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71101047,Fields (1989),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ExtH+0_MRT Reading Comprehension,['Other outcome'],Secondary outcome(s),ExtH+0_MRT Language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
