id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
71090268,Bierman (2015),2015,NA,NA,,NA,"['Page 4:\n[¬s]""Participants included 200 children""\n""and par-\nents[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""Participants included 200 children (55% Euro-\npean American, 26% African American, 19% Latino;\n56% male), age 4.45 years old (SD = 0.29), and par-\nents (39% single; 54% unemployed; median annual\nfamily income = $18,000).[¬e]""']",44,,NA,NA,,NA,"['Page 4:\n[¬s]""54% unemployed; median annual\nfamily income = $18,000).[¬e]""']",,NA,NA,,"['Page 4:\n[¬s]""(n = 95 for REDI-\nP intervention group[¬e]""']",95,,"['Page 4:\n[¬s]""n = 105 for the compar-\nison group[¬e]""']",105,,NA,NA,,NA,NA,,NA,95,,NA,105,,NA,NA,,NA,NA,,['Yes'],"['Page 4:\n[¬s]""Attrition before the\nend of kindergarten was quite low, with posttest\nkindergarten data missing for only eight families\n(4% of the sample).[¬e]""']",NA,,NA,NA,,NA,NA,
71090269,Bleses (2020),2020,NA,NA,,1116,NA,,['Mixed gender'],NA,49,,NA,NA,,"Information about parental education, employment and living arrangements (i.e. single parents, married, cohabiting) provided in Table 1 (page 4).",NA,,NA,NA,,NA,766,,NA,742,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,,"['Page 4:\n[¬s]""Thus, the attrition rates were 30% (treatment group) and 22%\n(control group), however, these attrition rates are not signiﬁcantly\ndifferent when we adjust for clustering at the childcare center level\n(p = 0.091), so no differential attrition could be detected[¬e]""']",30,,NA,26,
71090274,Christie (1983),1983,NA,NA,,NA,"['Page 3:\n[¬s]""Twenty children,[¬e]""']",,['No information provided'],NA,NA,,85,"['Page 3:\n[¬s]""These 17 subjects were from predominantly\nlow income families. Mo[¬e]""']",,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""h treatment group\nhad ten subjects, f[¬e]""']",10,,"['Page 3:\n[¬s]""ch treatment group\nhad ten subjects, f[¬e]""']",10,,NA,NA,,NA,NA,,NA,10,,NA,10,,NA,NA,,NA,NA,,['No'],"['Page 3:\n[¬s]""Three subjects moved away before the delayed\nposttest was completed, l[¬e]""']",Only during delayed post test,,NA,NA,,NA,NA,
71090275,Cohrssen (2019),2019,NA,NA,,NA,"['Page 6:\n[¬s]""Seventy-nine children attending one ofthe four preschool programmes were assessed at\nt1.[¬e]""', 'Page 6:\n[¬s]""Seventy-nine children[¬e]""']",,['Mixed gender'],"['Page 6:\n[¬s]""Girls (58.2%) outnumbered boys (41.8%) in the sample at t1,[¬e]""', 'Page 6:\n[¬s]""Girls (58.2%) outnumbered boys (41.8%)[¬e]""']",58.2,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 8:\n[¬s]""(the immediate intervention group; N= 22)[¬e]""']",22,,"['Page 8:\n[¬s]""(the delayed intervention group; N= 38[¬e]""']",38,,NA,NA,,NA,NA,,NA,22,,NA,38,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71090278,Dejonckheere (2016),2016,NA,NA,,57,"['Page 4:\n[¬s]""Fifty-seven children[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""31 were boys and 26 were girls.[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 4:\n[¬s]""intervention group (27 children[¬e]""']",27,,"['Page 4:\n[¬s]""control group (30 children[¬e]""']",30,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71090280,Dickinson (2019),2019,NA,NA,,222,"['Page 8:\n[¬s]""138 children participated in the R + P condition and 84 participated in the RO\ncondition.[¬e]""']",,['Mixed gender'],"['Page 8:\n[¬s]""Across\nphases and conditions, approximately 52% of children were female[¬e]""']",52%,,NA,"['Page 7:\n[¬s]""All classrooms served low-income popu-\nlations.[¬e]""']",,NA,NA,,NA,NA,,NA,138,,NA,84,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 8:\n[¬s]""In the fall, consent forms were obtained for 234 children across both sites. Seven\nchildren withdrew from the study before data collection, and 17 were excluded from\nanalyses based on developmental delays. Thus, the ﬁnal sample of children who partici-\npated in the fall phase was 129 children in the R + P condition and 81 children in the RO\ncondition (see online supplemental Figure 1 for the study consort chart).[¬e]""']",NA,,NA,10,,NA,10,
71090288,Han (2010),2010,NA,NA,,NA,"['Page 8:\n[¬s]""The study included 49 four- and five-year-old children (26 male; 23 female) se-\nlected from a larger pool of 118 kindergarten-bound children attending a Head\nStart program in a mid-Atlantic state[¬e]""']",,['Mixed gender'],"['Page 8:\n[¬s]""(26 male; 23 female)[¬e]""']",NA,,100,"['Page 8:\n[¬s]""The sample included only low-income\nchildren living in families whose annual income met the federal guidelines\nfor poverty;[¬e]""']",,NA,NA,,NA,NA,,"['Page 8:\n[¬s]""12\n12[¬e]""']",24,,"['Page 8:\n[¬s]""14\n11[¬e]""']",25,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71090289,Jemutai (2019),2019,NA,NA,,80,"['Page 3:\n[¬s]""The sample size\nwas approximately 80 learners, that is, 40 learners from each\nschool with approximately 20 children in each class.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 5:\n[¬s]""37[¬e]""']",37,,"['Page 5:\n[¬s]""40[¬e]""']",40,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,
71969375,Macdonald (2017) EY_PBL,2017,NA,NA,,73,"['Page 8:\n[¬s]""For the CPBA intervention, communities were randomly assigned to a treatment group that\nreceived support to establish a CPBA or a control group that did not receive this support. Forty-\nfive communities consisting of 59 villages were selected to receive the treatment, while 45 other\ncommunities were selected as control group communities.""\n""Under the CLRW design, 37 primary schools were\nrandomly selected into the treatment group while 36 primary schools were randomly selected into\nthe control group.[¬e]""', 'Page 8:\n[¬s]""Under the CLRW design, 37 primary schools were\nrandomly selected into the treatment group while 36 primary schools were randomly selected into\nthe control group. Selection was stratified by island group, school ownership (public or private),\nwhether the school received students from communities included in the CPBA intervention, and\nthe number of children in the first 6 grades[¬e]""']",,['Mixed gender'],"['Page 33:\n[¬s]""Table 4: Difference in student and school characteristics between treatment and\ncontrol groups for the school intervention (2nd grade)""\n""Student characteristics\nis female[¬e]""']",45%,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,119,,NA,277,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,0,,NA,0,
71090299,Schmitt (2018),2018,NA,NA,,NA,"['Page 3:\n[¬s]""59 children from nine preschools""\n""Children were randomly assigned within preschool\nto an intervention group (n = 24) or a business-as-usual control\ngroup (n = 35).[¬e]""']",,['Mixed gender'],"['Page 3:\n[¬s]""56% were female.[¬e]""']",56,,NA,NA,,NA,"['Page 1:\n[¬s]""A secondary aim was to explore whether differential intervention effects emerged for children\nfrom various socioeconomic backgrounds, indicated by parental education level[¬e]""', 'Page 3:\n[¬s]""In the current study, we tested for differential intervention\neffects for children of parents with various levels of educational\nattainment. Previous evaluation studies have consistently shown\nthat children from low SES families, conceptualized as low parental\neducation or low income, tend to beneﬁt more from intervention\nparticipation in terms of their mathematics and EF skills[¬e]""', 'Page 4:\n[¬s]""8th grade or less (1%),\nsome high school (13%), GED (5%), high school diploma (30%), some\ncollege (26%), associate’s degree (14%), bachelor’s degree (7%), mas-\nter’s degree (3%), and doctoral degree (1%). On average, children’s\nparents had some college experience.[¬e]""']",,NA,NA,,"['Page 3:\n[¬s]""intervention group (n = 24)[¬e]""']",24,,"['Page 3:\n[¬s]""control\ngroup (n = 35)[¬e]""']",35,,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""Intervention group (n = 24)[¬e]""']",24,,"['Page 6:\n[¬s]""Control group (n = 35)[¬e]""']",35,,NA,NA,,NA,NA,,['Yes'],"['Page 4:\n[¬s]""14% total attrition[¬e]""']",NA,,"['Page 4:\n[¬s]""intervention group (5%) did not complete post-test assessments[¬e]""']",5%,,"['Page 4:\n[¬s]""14% total attrition[¬e]""']",14%,
