id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
71090268,Bierman (2015),2015,['Journal article'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.2111,0.142,['Post-test unadjusted (select one from this group)'],OVWPT Vocabulary,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2111,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],['Evenings and/or weekends'],['Parents/carers'],not specified,2,not specified,NA
71090269,Bleses (2020),2020,['Journal article'],NA,['Toolkit primary outcome'],0.19,0.07,['Post-test adjusted for baseline attainment AND clustering'],Language use - CDI Educator,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,['Mathematics primary outcome'],0.55,0.12,NA,NA,NA,NA,NA,NA,1116,88,88,['Nursery school/pre-school'],['3'],NA,NA,['Denmark'],['Cluster RCT'],"['Large group/class teaching (+6)', 'Small group/intensive support (3-5)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],20,5,Not specified,NA
71090272,Casey (2008) 1_1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577994,Casey (2008) 1_2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71090274,Christie (1983),1983,['Journal article'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.1418,0.4479,['Post-test unadjusted (select one from this group)'],PPVT (posttest),With active control,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1418,0.4479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,['Nursery school/pre-school'],"['4', '5']",TRUE,85.0,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],9,1,20,NA
71090275,Cohrssen (2019),2019,['Journal article'],NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.298,0.2694,['Post-test unadjusted (select one from this group)'],Math total score (t2),With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.298,0.2694,NA,NA,NA,NA,NA,NA,NA,3,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['Australia'],['Prospective QED'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],13,not specified,not specified,NA
71090278,Dejonckheere (2016),2016,['Journal article'],NA,"['Toolkit primary outcome', 'Other outcome']",0.65,0.27,['Post-test adjusted for baseline attainment'],Informative explorations,With business as usual,['Sample: All'],Cognitive  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2,4,['Nursery school/pre-school'],"['4', '5', '6']",NA,NA,['Belgium'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],7,2.14,40,NA
71090280,Dickinson (2019),2019,['Journal article'],NA,['Toolkit primary outcome'],0.261,0.139,['Post-test adjusted for baseline attainment AND clustering'],Receptive vocabulary,With active control,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,16,16,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],25,4,12 - 15,NA
71090283,Fisher (2011) 1_1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578000,Fisher (2011) 1_2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71090284,Fisher (2013) 1_1,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578001,Fisher (2013) 1_2,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71090288,Han (2010),2010,['Journal article'],NA,"['Toolkit primary outcome', 'Other outcome']",0.6883,0.2948,['Pre-post gain'],Picture naming gain scores,With active control,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Nursery school/pre-school'],"['4', '5']",TRUE,100.0,['USA'],['Individual RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['Research staff'],7 months ,2,30,NA
71090289,Jemutai (2019),2019,['Journal article'],NA,"['Toolkit primary outcome', 'Other outcome']",0.3731,0.2302,['Pre-post gain'],VPAT,With business as usual,['Sample: All'],Cognitive  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,2,2,['Nursery school/pre-school'],"['5', '6', '7']",NA,NA,"['Kenya', 'South Africa']",['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],19,5,40,NA
71969375,Macdonald (2017) EY_PBL,2017,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.054,0.011,['Post-test adjusted for baseline attainment AND clustering'],Reading comprehension (Grade 1),With business as usual,['Sample: All'],NA,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.054,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,90,90,"['Primary/elementary school', 'Independent/private school']","['5', '6']",NA,NA,['Tonga'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],"['Class teachers', 'Lay persons/volunteers']",30,2,2,NA
71090299,Schmitt (2018),2018,['Journal article'],NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3512,0.2671,['Post-test unadjusted (select one from this group)'],Mathematical Language (post test),With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3512,0.2671,NA,NA,NA,NA,NA,NA,NA,9,NA,['Nursery school/pre-school'],"['3', '4', '5', '6']",NA,NA,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],7,2,17.5,NA
71090303,Thibodeau (2016) 1_1,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578042,Thibodeau (2016) 1_2,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71969401,Worku (2018),2018,['Journal article'],NA,['Toolkit primary outcome'],0.55,0.234,['Post-test adjusted for baseline attainment'],Language (at 6 months),With no equivalent teaching,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,['Home'],"['3', '4']",TRUE,100.0,['Ethiopia'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['Yes'],['Other (please specify)'],"['Research staff', 'Parents/carers']",NA,NA,NA,NA
