id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
74671364,Baumer (2005),2005,NA,NA,Reading comprehension - Play-Based Learning,,Reading comprehension from narrative transcripts (whether or not the child placed the picture cards in the order that matched the canonical order)  playworld vs control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3342,,0.4238,,Literacy: reading comprehension,,0.3342,,0,,0,,0.42380102,,0,,0,,-0.4964,,1.1648,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,Reading comprehension - Play-Based Learning,,Reading comprehension from narrative transcripts (whether or not the child placed the picture cards in the order that matched the canonical order)  playworld vs control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3342,,0.4238,,Literacy: reading comprehension,,0.3342,,0,,0,,0.42380102,,0,,0,,-0.4964,,1.1648,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71090268,Bierman (2015),2015,NA,NA,OVWPT Vocabulary,,"One-Word Picture Vocabulary Test (Brownell, 2000), which required children to state the word that best described pictures they were shown.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2111,,0.142,,Literacy: reading other,,95.0,,56.04,,13.11,,105.0,,53.38,,12.03,,-0.0672,,0.4894,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,OVWPT Vocabulary,,"One-Word Picture Vocabulary Test (Brownell, 2000), which required children to state the word that best described pictures they were shown.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2111,,0.142,,Literacy: reading other,,95.0,,56.04,,13.11,,105.0,,53.38,,12.03,,-0.0672,,0.4894,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71090269,Bleses (2020),2020,NA,NA,Language use - CDI Educator,,"For language, we used a teacher-based standardized checklist, the CDI-Educator (Bleses, Jensen, Højen, & Dale, 2018), developed on the basis of the well-known MacArthur-Bates Communicative Development Inventories (Fenson et al., 2007) and a Danish adapta- tion of a short version of the instrument (Vach, Bleses, & Jørgensen, 2010).",,"['Toolkit primary outcome', 'Other outcome']",,0.19,,0.07,,Literacy: speaking and listening/oral language,,NA,,NA,,NA,,NA,,NA,,NA,,0.0528,,0.3272,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Numeracy - early number & counting,,A researcher-developed teacher-administered checklist where 13 items assess children’s early numbers and counting skills.,,['Mathematics primary outcome'],,0.55,,0.12,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.3148,,0.7852,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71090272,Casey (2008) 1_1,2008,NA,NA,Block Building Score,,"This task was determined to be of appropriate difﬁculty for kindergartners, based on a small pilot study with a different group of children of similar age and background whowere able to complete it within the time limit. In this task, children were provided with a speciﬁc set of 70 blocks and presented with a problem to solve.",,"['Toolkit primary outcome', 'Other outcome']",,-0.1818,,0.2501,,Cognitive: reasoning,,29.0,,5.88,,1.654,,36.0,,6.212,,1.917,,-0.6719,,0.3084,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74577994,Casey (2008) 1_2,2008,NA,NA,Block Building Score,,"This task was determined to be of appropriate difﬁculty for kindergartners, based on a small pilot study with a different group of children of similar age and background whowere able to complete it within the time limit. In this task, children were provided with a speciﬁc set of 70 blocks and presented with a problem to solve.",,"['Toolkit primary outcome', 'Other outcome']",,0.2307,,0.2382,,Cognitive: reasoning,,35.0,,6.57,,1.0,,36.0,,6.212,,1.917,,-0.2362,,0.6976,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71090274,Christie (1983),1983,NA,NA,PPVT (posttest),,"he subjects were given the Peabody Picture Vocabulary Test (Dunn, 1965), a wide ly used verbal intelligence test. The subjects' mental age scores were used as the unit of analysis. Form A was used on the pretest, Form B on the immediate posttest, and Form A on the delayed posttest. An alternate form reliability coefficient of .84 was reported in the PPVT manual.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1418,,0.4479,,Literacy: reading other,,10.0,,80.2,,18.1,,10.0,,77.4,,19.7,,-0.7361,,1.0197,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,PPVT (posttest),,"he subjects were given the Peabody Picture Vocabulary Test (Dunn, 1965), a wide ly used verbal intelligence test. The subjects' mental age scores were used as the unit of analysis. Form A was used on the pretest, Form B on the immediate posttest, and Form A on the delayed posttest. An alternate form reliability coefficient of .84 was reported in the PPVT manual.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1418,,0.4479,,Literacy: reading other,,10.0,,80.2,,18.1,,10.0,,77.4,,19.7,,-0.7361,,1.0197,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71090275,Cohrssen (2019),2019,NA,NA,Math total score (t2),,"All three mathematical tasks were z-standardised and their average then used as comprehensive math score. The reliability of this score was acceptable to good (Cronbach’s αt1/t2 = .81/.77). All subtests had been used in previous research (see, for example, Niklas, Cohrssen, and Tayler 2016  Niklas and Schneider 2014) and are good predictors of children later mathematical abilities in school.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.298,,0.2694,,Mathematics,,22.0,,0.28,,1.04,,38.0,,0.01,,0.8,,-0.23,,0.8259,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Math total score (t2),,"All three mathematical tasks were z-standardised and their average then used as comprehensive math score. The reliability of this score was acceptable to good (Cronbach’s αt1/t2 = .81/.77). All subtests had been used in previous research (see, for example, Niklas, Cohrssen, and Tayler 2016  Niklas and Schneider 2014) and are good predictors of children later mathematical abilities in school.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.298,,0.2694,,Mathematics,,22.0,,0.28,,1.04,,38.0,,0.01,,0.8,,-0.23,,0.8259,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71090278,Dejonckheere (2016),2016,NA,NA,Informative explorations,,"The dependent measure of interest in the pre- and post-test was whether children performed informative and meaningful experiments or actions. An experiment was meaningful when the child tested one variable at a time. For instance, the child varied block orientation while keeping block position constant or otherwise, it was counted each time the child did this. We also observed whether the child performed other informative actions. For instance, the child moved the box, while keeping other variables constant, or the child hit on the top of the box while keeping other variables constant.",,"['Toolkit primary outcome', 'Other outcome']",,0.65,,0.27,,Cognitive: other,,NA,,NA,,NA,,NA,,NA,,NA,,0.1208,,1.1792,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71090280,Dickinson (2019),2019,NA,NA,Receptive vocabulary,,"Children’s receptive knowledge of taught and control words was tested with a picture vocabulary test similar to the PPVT (Dunn & Dunn, 2007).",,['Toolkit primary outcome'],,0.261,,0.139,,Literacy: speaking and listening/oral language,,138.0,,0.58,,0.16,,84.0,,0.54,,0.14,,-0.0114,,0.5333,,Primary outcome,,['Sample: All'],,With active control,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
71090284,Fisher (2013) 1_1,2013,NA,NA,Atypical Shapes - Play based learning,,Geometric shapes knowledge  Atypical Shapes - Guided play vs didactic instruction control,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,1.0919,,0.3414,,Mathematics,,20.0,,0.712,,0.301,,20.0,,0.375,,0.304,,0.4228,,1.761,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Atypical Shapes - Play based learning,,Geometric shapes knowledge  Atypical Shapes - Guided play vs didactic instruction control,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,1.0919,,0.3414,,Mathematics,,20.0,,0.712,,0.301,,20.0,,0.375,,0.304,,0.4228,,1.761,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
