id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,kind_of_play,who_involved,play_focus
47063511,Barnett (2008),2008,['Journal article'],"['Metacognition and self-regulation', 'EY_Self-regulation strategies', 'EY_Play-based learning']","['Toolkit primary outcome', 'Reading primary outcome']",0.22,0.1059,['Post-test unadjusted (select one from this group)'],PPVT-III ,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.22,0.1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,1,18,['Nursery school/pre-school'],"['3', '4']",TRUE,80.0,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],20,5 ,360 ,"['Toolkit: Metacognition and self-regulation', 'EY_Toolkit: Play-based learning']",['Socio-dramatic or pretend play'],['Children and adult staff'],['Social/ emotional development']
74671364,Baumer (2005),2005,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3342,0.4238,['Post-test unadjusted (select one from this group)'],Reading comprehension - Play-Based Learning,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3342,0.4238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1,2,['Primary/elementary school'],"['5', '6', '7']",TRUE,50.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",14,1,120,['EY_Toolkit: Play-based learning'],['Socio-dramatic or pretend play'],['Children and adult staff'],['Language/ literacy']
71090268,Bierman (2015),2015,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2111,0.142,['Post-test unadjusted (select one from this group)'],OVWPT Vocabulary,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2111,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],['Evenings and/or weekends'],['Parents/carers'],not specified,2,not specified,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Children and parents'],"['Language/ literacy', 'Social/ emotional development']"
71090269,Bleses (2020),2020,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Other outcome']",0.19,0.07,['Post-test adjusted for baseline attainment AND clustering'],Language use - CDI Educator,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,['Mathematics primary outcome'],0.55,0.12,NA,NA,NA,NA,NA,NA,1116,87,176,['Nursery school/pre-school'],['3'],NA,NA,['Denmark'],['Cluster RCT'],"['Large group/class teaching (+6)', 'Small group/intensive support (3-5)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],20,5,360,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Early years children only'],"['Language/ literacy', 'Mathematics']"
71090272,Casey (2008) 1_1,2008,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Other outcome']",-0.1818,0.2501,['Post-test adjusted for baseline attainment'],Block Building Score,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,6,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],7,1,Not specified,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Children and adult staff'],['Mathematics']
74577994,Casey (2008) 1_2,2008,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Other outcome']",0.2307,0.2382,['Post-test adjusted for baseline attainment'],Block Building Score,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,6,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],7,1,Not specified,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],"['Children and adult staff', 'Early years children only']",['Mathematics']
71090273,Cavanaugh (2017),2017,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6263,0.3208,['Post-test unadjusted (select one from this group)'],DIBELS  play vs control ,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6263,0.3208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,2,2,['Primary/elementary school'],['5'],FALSE,46.0,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],3,not stated,15,"['Toolkit: Early years intervention', 'EY_Toolkit: Play-based learning']","['Socio-dramatic or pretend play', 'Free play', 'Guided or facilitated play']",['Early years children only'],['Language/ literacy']
71090274,Christie (1983),1983,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1418,0.4479,['Post-test unadjusted (select one from this group)'],PPVT (posttest),With active control,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1418,0.4479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,2,['Nursery school/pre-school'],"['4', '5']",TRUE,85.0,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],9,1,20,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Children and adult staff'],['Language/ literacy']
71090275,Cohrssen (2019),2019,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.298,0.2694,['Post-test unadjusted (select one from this group)'],Math total score (t2),With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.298,0.2694,NA,NA,NA,NA,NA,NA,60,3,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['Australia'],['Prospective QED'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],13,not specified,not specified,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Children and adult staff'],['Mathematics']
71090278,Dejonckheere (2016),2016,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Other outcome']",0.65,0.27,['Post-test adjusted for baseline attainment'],Informative explorations,With business as usual,['Sample: All'],Cognitive  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2,4,['Nursery school/pre-school'],"['4', '5', '6']",NA,NA,['Belgium'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],7,2.14,40,['EY_Toolkit: Play-based learning'],['Free play'],['Early years children only'],['Science/ exploring the natural world']
