id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4
47063511,Barnett (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-III ,NA,NA,NA,NA,NA,NA,NA,NA,NA
74671364,Baumer (2005),['Other outcome'],Secondary outcome(s),Linguistic Complexity - Play-Based Learning,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - Play-Based Learning,NA,NA,NA,NA,NA,NA
71090268,Bierman (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,OVWPT Vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA
71090269,Bleses (2020),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Language use - CDI Educator,['Mathematics primary outcome'],Secondary outcome(s),Numeracy - early number & counting,['Other outcome'],Secondary outcome(s),Vocabulary,NA,NA,NA
71090272,Casey (2008) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Block Building Score,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577994,Casey (2008) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Block Building Score,NA,NA,NA,NA,NA,NA,NA,NA,NA
71090273,Cavanaugh (2017),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DIBELS: play vs control ,NA,NA,NA,NA,NA,NA,NA,NA,NA
71090274,Christie (1983),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT (posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA
71090275,Cohrssen (2019),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Math total score (t2),NA,NA,NA,NA,NA,NA,NA,NA,NA
71090278,Dejonckheere (2016),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Informative explorations,NA,NA,NA,NA,NA,NA,NA,NA,NA
71090280,Dickinson (2019),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Receptive vocabulary,['Other outcome'],Secondary outcome(s),Peabody Picture Vocabulary Test,NA,NA,NA,NA,NA,NA
71090284,Fisher (2013) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Atypical Shapes - Play based learning,['Other outcome'],Secondary outcome(s),Typical Shapes - Guided play vs control,['Other outcome'],Secondary outcome(s),Non-valid Shapes - PBL,NA,NA,NA
74578001,Fisher (2013) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Atypical Shapes - Play based learning,['Other outcome'],Secondary outcome(s),Typical Shapes - Play Based Learning,['Other outcome'],Secondary outcome(s),Non-valid Shapes - PBL,NA,NA,NA
71090288,Han (2010),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Picture naming gain scores,['Other outcome'],Secondary outcome(s),PPVT (receptive vocabulary),NA,NA,NA,NA,NA,NA
71090289,Jemutai (2019),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,VPAT,NA,NA,NA,NA,NA,NA,NA,NA,NA
71969375,Macdonald (2017) EY_PBL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension (Grade 1),['Other outcome'],Secondary outcome(s),Oral reading (Grade 1),['Other outcome'],Secondary outcome(s),Listening comprehension Grade 1,NA,NA,NA
78361838,McGivern (2007),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Numbers: Computer games ,['Other outcome'],Secondary outcome(s),Quantity: Computer games,['Reading primary outcome'],Secondary outcome(s),Letters (26): computer games,['Other outcome'],Secondary outcome(s),Shapes: Computer games
74671371,Morrow (1990) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading behaviours: PBL,NA,NA,NA,NA,NA,NA,NA,NA,NA
74671376,Pellegrini (1982),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CRT (Total Recall),['Reading primary outcome'],Secondary outcome(s),CRT (Sequence),NA,NA,NA,NA,NA,NA
68655345,Robinson-Smith (2019),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Core Language Standard Score - parental engagement,['Other outcome'],Secondary outcome(s),Core Language Standard Score - PE,NA,NA,NA,NA,NA,NA
71090299,Schmitt (2018),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematical Language (post test),NA,NA,NA,NA,NA,NA,NA,NA,NA
71969401,Worku (2018),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Language (at 6 months),NA,NA,NA,NA,NA,NA,NA,NA,NA
