id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3
78361735,Battaglia (2019),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Letter Identification,['Other outcome'],Secondary outcome(s),Objects naming (time),['Other outcome'],Secondary outcome(s),Object Naming (number of errors)
78361737,Bedard (2020),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Print Knowledge,['Other outcome'],Secondary outcome(s),Alphabet Knowledge ,NA,NA,NA
52131591,Callcott (2015),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,WRAT-R: Spelling Subtest - Movement group vs control,['Other outcome'],Secondary outcome(s),TOPA ,NA,NA,NA
52131597,Elofsson (2018),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Addition ,['Other outcome'],Secondary outcome(s),Subtraction ,['Other outcome'],Secondary outcome(s),Rote Counting
52131607,Kirk (2014),['Other outcome'],Secondary outcome(s),Alliteration (letters sound/two min),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Picture Naming (Vocabulary),['Other outcome'],Secondary outcome(s),Rhyming
52131608,Kirk (2016),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Early Literacy Skills,NA,NA,NA,NA,NA,NA
52131682,Lazroe (1968),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Metropolitan Reading Readiness Test ,['Other outcome'],Secondary outcome(s),Perceptual Forms Test ,NA,NA,NA
52131739,Mavilidi (2015),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Measurement of Memory Performance - Free recall,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Measurement of Memory Performance - Cued recall,NA,NA,NA
52131616,Mavilidi (2016) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Geography post test (performance) - integrated PA,NA,NA,NA,NA,NA,NA
66537715,Mavilidi (2016) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Performance in geography: sports participation,NA,NA,NA,NA,NA,NA
52131614,Mavilidi (2017) 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Performance Science tests - recall  non-integrated sports,NA,NA,NA,NA,NA,NA
66537716,Mavilidi (2017) 1_2,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Performance science: sports participation,NA,NA,NA,NA,NA,NA
52131615,Mavilidi (2018) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Math Outcome Measure,NA,NA,NA,NA,NA,NA
66537717,Mavilidi (2018) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,total math scores - Physical activity,NA,NA,NA,NA,NA,NA
77945734,Mears (2001),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Letter Sound Association (Gain scores),NA,NA,NA,NA,NA,NA
78361811,Pienaar (2011),['Other outcome'],Secondary outcome(s),Gain JSAIS - Global ,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Gain JSAIS - Vocabulary,['Mathematics primary outcome'],Secondary outcome(s),Gain JSAIS - Number and quantity
78361815,Rosenstreich (2021) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Academic performance ,NA,NA,NA,NA,NA,NA
78361817,Shannonhouse (2012),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Dibels (LNF) posttest,NA,NA,NA,NA,NA,NA
77945739,Zach (2015),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,CMB - Spatial Perception - General score,NA,NA,NA,NA,NA,NA
