ID,toolkit_strand,short_title,main_authors,year,main_title,parent_title,parent_authors,type_name,abstract,volume,issue,pages,doi,url,publisher,city,institution
78361735,"['Physical activity', 'EY_Physical development approaches']",Battaglia (2019),Battaglia Giuseppe ; Alesi Marianna ; Tabacchi Garden ; Palma Antonio ; Bellafiore Marianna ; ,2019,The development of motor and pre-literacy skills by a physical education program in preschool children: A non-randomized pilot trial,Frontiers In Psychology,NA,"Journal, Article","It is known in the literature that fundamental motor skill acquisition is strongly associated with the development of neuromotor, cognitive, social, and emotional aspects in childhood. Unfortunately, in Italy, the physical education teacher is not included in the school\u0027s core personnel, and it is very hard to find a specific physical education program (PEP) that could improve preschool children\u0027s motor and cognitive status. The aim of this study was to investigate whether the quotient of gross motor development (QGMD) and pre-literacy skills concerning visual analysis and spatial orientation abilities changed after 16 weeks of PEP (2 h/week) in preschool children. We conducted a school-based non-randomized pilot trial. It involved 119 preschool children, clustered in a control group [CG, n = 29, body mass index (BMI)  16.90 ± 3.16 Kg/m2] and an intervention group (IG, n = 90, BMI  16.00 ± 1.75 kg/m2). Participants were assessed for literacy readiness, locomotor and object control skills before and after the experimental period. IG increased the locomotor, object-control skills and QGMD in response to PEP. As concerns the pre-literacy domain, no significant difference was found in visual analysis and spatial orientation skills between IG and CG groups. However, we detected improvements from baseline to post-test in IG children. In conclusion, this study contributes additional evidence suggesting how a PEP could affect not only motor skills, but also cognitive ones. Consistently with the growing research, interventions based on structured ludic-motor activities ensure health benefits for preschool children. Clinical Trial Registration  www.ClinicalTrials.gov, identifier NCT01274117.",9,NA,2694,https://doi.org/10.3389/FPSYG.2018.02694,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.02694  ,NA,NA,NA
78361737,"['Physical activity', 'EY_Physical development approaches']",Bedard (2020),Bedard Chloe ; Bremer Emily ; Cairney John ; Cairney John ; ,2020,"Evaluation of the Move 2 Learn program, a community-based movement and pre-literacy intervention for young children",Physical Education & Sport Pedagogy,NA,"Journal, Article","Background  The Move 2 Learn (M2L) program is an evidence-based intervention designed to improve movement and pre-literacy skills in children ages 1.5–6 years. Purpose  The objective of the current study was to evaluate the effectiveness of the intervention as delivered by non-experts in a community-based setting. Methods  Staff from four community centers were trained to implement M2L. Two sites were evaluated using a quasi-experimental design and the remaining two were evaluated using a pre–post design. Movement and pre-literacy skills were assessed twice in all children. Implementation fidelity was assessed using a weekly checklist and through site-visits. Results  Thirty-one children (15 girls and 16 boys  age range 23–53 months) participated in the study. The results of the quasi-experimental study (n = 17) showed that there was an overall effect of the program on time 2 total gross motor scores (standardized beta = 1.3, p \u003c.05) but not pre-literacy scores, specifically print or alphabet knowledge. The pre–post design (n = 14) showed significant change over time for total gross motor scores (Cohen’s d = 1.78) and print knowledge (Cohen’s d = 1.76). Conclusions  Overall, the M2L program seems to have had a positive impact on participants when delivered in a community setting by trained, non-expert leaders. Future research will need to evaluate the effectiveness of the program delivered by various educators in larger and more diverse samples of children, using more robust research designs, and to determine whether there is long-term effect of M2L on health and academic outcomes in children.",25,1,101-117,10.1080/17408989.2019.1690645,https://explore.openalex.org/works/W2982887193,NA,NA,NA
52131591,"['Physical activity', 'EY_Physical development approaches']",Callcott (2015),Callcott Deborah ; Hammond Lorraine ; Hill Susan ; ,2015,The synergistic effect of teaching a combined explicit movement and phonological awareness program to preschool aged students,Early Childhood Education Journal,NA,"Journal, Article","While movement is critical to young children's development, there is an ongoing debate about the time devoted to teaching movement in early childhood classrooms. Nevertheless, research has established a link between specific precursor motor skills and early literacy development. This study investigated the synergistic effect of practising specific movements through daily actions and songs alongside the explicit teaching of phonological awareness and phonics in 400 preschool children (aged between four and five). Results indicate that students who received the combined intervention of explicit phonological awareness and movement were the only group to perform significantly better than the control group on measures of phonological awareness, invented spelling and spelling. An interesting outcome was that the literacy/movement group and not the movement group made significantly larger gains for the movement measure. These findings suggest that teaching pre-primary aged children early literacy and movement in tandem is more beneficial than teaching either in isolation.",43,3,201-211,https://doi.org/10.1007/s10643-014-0652-7,https://link.springer.com/article/10.1007/s10643-014-0652-7,NA,NA,NA
52131597,"['Physical activity', 'EY_Physical development approaches']",Elofsson (2018),Elofsson Jessica ; Englund Bohm Anna; Jeppsson Catarina ; Samuelsson Joakim ; ,2018,Physical activity and music to support pre-school children’s mathematics learning,"International Journal of Primary, Elementary and Early Years Education",NA,"Journal, Article","In order to give all children equal opportunities in school, methods to prevent early differences are needed. The overall aim of this study was to investigate the effectiveness of two structured teaching methods  Math in Action, characterised by physical activity and music, and common numerical activities. Children (28 girls, 25 boys) were assigned to 1 of the 2 conditions during a period of 3 weeks (2 times a week for a 30-minute session). The results show that children who learn mathematics in an environment characterised by physical activity and music develop their mathematical abilities significantly more than children who learn mathematics through common number activities. We have also shown that children with different motor skill abilities benefit from learning mathematics in an environment characterised by physical activity and music.",46,5,483-493,https://doi.org/10.1080/03004279.2016.1273250,https://www.tandfonline.com/doi/abs/10.1080/03004279.2016.1273250,Routledge,NA,NA
52131607,"['Physical activity', 'EY_Play-based learning', 'EY_Physical development approaches']",Kirk (2014),Kirk Stacie M; Vizcarra Coleman R; Looney Erin C; Kirk Erik P; ,2014,Using physical activity to teach academic content: A study of the effects on literacy in Head Start preschoolers,Early Childhood Education Journal,NA,"Journal, Article","The potential impact of increased physical activity on early literacy skills in preschool children has not been sufficiently explored. Therefore, the purpose of this study was to determine the effects of a 6 month, low cost, teacher-directed, academic program that delivered existing literacy lessons using physical activity in Head Start preschools. Preschool Literacy Individual Growth and Development Indicators were used to assess early literacy and phonological awareness in the areas of alliteration and picture naming. The results showed significant increases in physical activity during free play and improvements in early literacy (Picture Naming, Alliteration) compared to a non-exercising control group. In conclusion, the findings suggest that academic lessons taught using physical activity improve early literacy in preschoolers.",42,3,181-189,https://doi.org/10.1007/s10643-013-0596-3,https://link.springer.com/article/10.1007/s10643-013-0596-3,NA,NA,NA
52131608,"['Physical activity', 'EY_Physical development approaches']",Kirk (2016),Kirk Stacie M; Kirk Erik P; ,2016,Sixty minutes of physical activity per day included within preschool academic lessons improves early literacy,Journal of School Health,NA,"Journal, Article","BACKGROUND  The effects of increases in physical activity (PA) on early literacy skills in preschool children are not known. METHODS  Fifty-four African-American preschool children from a low socioeconomic urban Head Start participated over 8 months. A 2-group, quasi-experimental design was used with one preschool site participating in the PA intervention and a second site participating as the control site. The PA program was designed to promote 300 minutes/week of moderate to vigorous PA academic lessons. Academic achievement related to early literacy and phonological awareness in the areas of rhyming and alliteration were assessed at baseline, 4 and 8 months. RESULTS  Over 8 months, rhyming significantly (p < .01) improved in the PA group (173±12%) compared with the controls (28 ± 8%) resulting in between group differences at 8 months (p < .01). Alliteration significantly (p < .01) improved in the PA group (52 ± 16%) compared with controls (13 ± 5%), resulting in between group differences at 8 months (p < .01). As minutes of exposure to moderate to vigorous PA increased, the change in picture naming (R2 = .35, p < .05), alliteration (R2 = .38, p < .05), and rhyming (R2 = .42, p < .05), increased. CONCLUSION  A teacher-directed PA program is effective at increasing PA and improving early literacy.",86,3,155-163,https://doi.org/10.1111/josh.12363,https://onlinelibrary.wiley.com/doi/10.1111/josh.12363,Blackwell Publishing Ltd,NA,NA
52131682,"['Physical activity', 'EY_Physical development approaches']",Lazroe (1968),Lazroe James Joseph; ,1968,An investigation of the effects of motor training on the reading readiness of kindergarten children,NA,NA,Dissertation,"The Problem The four purposes of the study were  (l) to determine whether there was a significant difference between reading readiness test scores and perceptual test scores of kindergarten children given certain motor training and kindergarten children given regular training  (2) to determine whether there was a significant difference between reading readiness test scores and perceptual test scores of male and female kindergarten children given certain motor training  (3) to determine whether there was a significant difference in reading readiness test scores and perceptual test scores that was attributable to the age of kindergarten children given certain motor training  (4) to determine whether there was a significant difference in reading readiness test scores and perceptual test scores that was attributable to the mental age of kindergarten children given certain motor training. Procedure Children from sixteen kindergarten classes served as subjects for the study. Eight classes were randomly selected for the experimental program  the other eight classes served as control subjects. The experimental program consisted of prescribed gross motor activities for one-half hour daily over an eight-w eek period. Eight teachers participated. Each had one control and one experimental c lass randomly• assigned to a morning or afternoon session . The Pintner-Cunningham Primary Test was used to determine mental ages of the su b jects. The Perceptual Forms Test and Form A of the Metropolitan Readiness Tests were used as pre and post measurements of readiness for reading. Treatment of Data Scores earned on the pre- and post-tests of the Perceptual Forms Test and the Metropolitan Readiness Tests were treated by analysis of covariance technique. Adjusted post-test means were given an F -test for statistical significance. Differences with .05 levels of significance were the basis for rejecting null hypotheses. Findings 1. On both criterion tests, the adjusted post-test means earned by the experimental group exceeded those earned by the control group. The differences were significant at the .05 lev el. The null hypothesis was rejected. 2. On both criterion tests, the differences between the adjusted post-test means earned by experimental boys and experimental girls were not significant at the .05 level. The null hypothesis was accepted. 3. On both criterion tests, the differences between the adjusted post-test means earned by experimental subjects above and experimental subjects below the median chronological age were not significant at the .05 level. The null hypothesis was accepted. 4. On both criterion tests, the adjusted post-test means earned by experimental subjects above the median mental age exceeded those earned by experimental subjects below the median mental age. The differences were significant at the .05 level. The null hypothesis was rejected. Conclusions Subject to the limitations of the study, it was concluded that the inclusion of a systematic program of gross motor activities in the curriculum of kindergarten children had the following effects  1. It significantly improved their readiness for reading. 2. It improved the reading readiness of boys and girls to a similar degree.",NA,NA,NA,NA,https://search.proquest.com/docview/302326482,NA,NA,University of Northern Colorado
52131739,['EY_Physical development approaches'],Mavilidi (2015),Mavilidi Myrto Foteini; Okely Anthony D; Chandler Paul ; Cliff Dylan P; Paas Fred ; ,2015,Effects of integrated physical exercises and gestures on preschool children’s foreign language vocabulary learning,Educational Psychology Review,NA,"Journal, Article","Research suggests that integrating human movement into a cognitive learning task can be effective for learning due to its cognitive and physiological effects. In this study, the learning effects of enacting words through whole-body movements (i.e., physical exercise) and part-body movements (i.e., gestures) were investigated in a foreign language vocabulary task. Participants were 111 preschool children of 15 childcare centers, who were randomly assigned to one of four conditions. Participants had to learn 14 Italian words in a 4-week teaching program. They were tested on their memory for the words during, directly after, and 6 weeks after the program. In the integrated physical exercise condition, children enacted the actions indicated by the words to be learned in physical exercises. In the non-integrated physical exercise condition children performed physical exercises at the same intensity, but unrelated to the learning task. In the gesturing condition, children enacted the actions indicated by the words to be learned by gesturing while remaining seated. In the conventional condition, children verbally repeated the words while remaining seated. Results confirmed the main hypothesis, indicating that children in the integrated physical exercise condition achieved the highest learning outcomes. Implications of integrated physical exercise programs for preschool children’s cognition and health are discussed.",27,3,413-426,https://doi.org/10.1007/s10648-015-9337-z,https://link.springer.com/article/10.1007/s10648-015-9337-z,Springer New York LLC,NA,NA
52131616,"['Physical activity', 'EY_Physical development approaches']",Mavilidi (2016) 1_1,Mavilidi Myrto-Foteini ; Okely Anthony D; Chandler Paul ; Paas Fred ; ,2016,Infusing physical activities into the classroom: Effects on preschool children's geography learning,"Mind, Brain, and Education",NA,"Journal, Article","In this intervention study, we investigated the effects of physical activities that were integrated into a geography task on preschool children's learning performance and enjoyment. Eight childcare centers with 87 four-to-five-year-old children were randomly assigned across an integrated physical activity condition, an unintegrated physical activity condition, and a control condition without physical activity. Children learned the names and a typical animal from each of the six continents using a floor-mounted world map with soft toy animals. Both learning conditions with physical activities showed higher performance than the learning condition without physical activities on an immediate retention test, and on a delayed retention test administered five weeks later. In addition, children in the physical activity conditions (integrated and nonintegrated) enjoyed their learning method the most. Infusing task-relevant physical activities into the classroom and the learning task is discussed as a promising way to improve children's learning, enjoyment, and health.",10,4,256-263,https://doi.org/10.1111/mbe.12131,https://onlinelibrary.wiley.com/doi/10.1111/mbe.12131,Blackwell Publishing,NA,NA
66537715,"['Physical activity', 'EY_Physical development approaches']",Mavilidi (2016) 1_2,Mavilidi Myrto-Foteini ; Okely Anthony D; Chandler Paul ; Paas Fred ; ,2016,Infusing physical activities into the classroom: Effects on preschool children's geography learning,"Mind, Brain, and Education",NA,"Journal, Article","In this intervention study, we investigated the effects of physical activities that were integrated into a geography task on preschool children's learning performance and enjoyment. Eight childcare centers with 87 four-to-five-year-old children were randomly assigned across an integrated physical activity condition, an unintegrated physical activity condition, and a control condition without physical activity. Children learned the names and a typical animal from each of the six continents using a floor-mounted world map with soft toy animals. Both learning conditions with physical activities showed higher performance than the learning condition without physical activities on an immediate retention test, and on a delayed retention test administered five weeks later. In addition, children in the physical activity conditions (integrated and nonintegrated) enjoyed their learning method the most. Infusing task-relevant physical activities into the classroom and the learning task is discussed as a promising way to improve children's learning, enjoyment, and health.",10,4,256-263,https://doi.org/10.1111/mbe.12131,https://onlinelibrary.wiley.com/doi/10.1111/mbe.12131,Blackwell Publishing,NA,NA
