id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6
43100726,Ashdown (2011) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Independent  Text  Reading  Level,['Other outcome'],Secondary outcome(s),Social Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100253,Bierman (2008),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,TOLD: Gramm.Underst.- SEL: Head start,['Other outcome'],Secondary outcome(s),Expressive Vocab. -SEL: Head start,['Other outcome'],Secondary outcome(s),Blending - SEL: Head start,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618542,Brigman (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Listening comprehension (No. 2),['Other outcome'],Secondary outcome(s),Listening comprehension (No. I),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100259,Brigman (2003) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening Compreh. - RTL (Low),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325669,Brigman (2003) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening Compreh. - RTL (M),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325670,Brigman (2003) 1_3,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening Comprehension. RTL (H),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618545,Conner (2011),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Academic Performance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618610,Farran (2015) 1_1,['Other outcome'],Primary outcome,Oral Comprehension (Unadjusted),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Oral Comprehsnion (Adjusted),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61218191,Farran (2015) 1_2,['Other outcome'],Secondary outcome(s),Oral Comprehension (Unadjusted),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Oral Comprehension (Adjusted) 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618558,Landry (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Early Literacy: RECC+ vs control ,['Mathematics primary outcome'],Secondary outcome(s),Early Mathematical Knowledge: RECC+ vs control,['Other outcome'],Secondary outcome(s),Vocabulary: RECC+ vs control ,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618561,Lonigan (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TOPEL print: Explicit SE vs BAU control,['Other outcome'],Secondary outcome(s),TOPEL blending: Explicit SE vs BAU control ,['Other outcome'],Secondary outcome(s),TOPEL elision,['Mathematics primary outcome'],Secondary outcome(s),CMA: Explicit SE vs BAU control,['Other outcome'],Secondary outcome(s),EOWPVT: Explicit SE vs BAU control ,NA,NA,NA
43100236,Morris (2013),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ARS Language and Literacy Skills,['Mathematics primary outcome'],Secondary outcome(s),ARS Math Knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618617,Morris (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Early language/literacy skills (Woodcock Johnson),['Mathematics primary outcome'],Secondary outcome(s),Early math knowledge(Woodcock Johnson) ,['Other outcome'],Secondary outcome(s),Peabody Picture Vocabulary Test,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618565,O’Connor (2014),['Reading primary outcome'],Secondary outcome(s),Reading achievement,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Math achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618567,Ornaghi (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Verbal ability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618620,Raver (2011),['Other outcome'],Primary outcome,PPVT posttest,['Other outcome'],Secondary outcome(s),Early Maths Skill Score postest,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT Effect Size as reported in table 2,['Mathematics primary outcome'],Primary outcome,Early Maths Skill as reported in table 2,['Other outcome'],Secondary outcome(s),Letter naming score posttest,['Other outcome'],Secondary outcome(s),Letter Naming Effect Size as reported in table 2
59618574,Starnes (2017),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Early Literacy:  ,['Mathematics primary outcome'],Secondary outcome(s),Mathematics,['Other outcome'],Secondary outcome(s),Verbal Reasoning,['Other outcome'],Secondary outcome(s),Quant. Reasoning,NA,NA,NA,NA,NA,NA
59618577,Tominey (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Letter-Word ID - WJ-III,['Other outcome'],Secondary outcome(s),Vocabulary - WJ-III,['Mathematics primary outcome'],Secondary outcome(s),applied problems,NA,NA,NA,NA,NA,NA,NA,NA,NA
59618580,Upshur (2017),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,HTKS: SSEL vs control,['Other outcome'],Secondary outcome(s),Backward digit: SSEL vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
