id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
38224167,Adey (2002),2002,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Other outcome']",0.54,0.1,['Post-test adjusted for baseline attainment'],Drawing (ANCOVA),With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,15,22,['Primary/elementary school'],"['5', '6']",FALSE,21.4,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],33,1,35,['Toolkit: Metacognition and self-regulation']
47063511,Barnett (2008),2008,NA,['Metacognition and self-regulation'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47063512,Blair (2014),2014,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1553,0.076,['Post-test unadjusted (select one from this group)'],EOWPVT Raw Score,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1553,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,759,NA,79,['Primary/elementary school'],"['5', '6']",FALSE,48.5,['USA'],['Cluster RCT'],"['Large group/class teaching (+6)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",20,NA,NA,NA
38224206,de Koning (2002),2002,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Other outcome']",0.4041,0.1517,['Post-test unadjusted (select one from this group)'],Raven’s Standard Progressive Matrices,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,8,8,['Primary/elementary school'],"['8', '9', '10']",NA,NA,['The Netherlands'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],33,.8, ,['Toolkit: Metacognition and self-regulation']
38223850,Ennis (1969),1969,['Technical report'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Other outcome']",-0.1315,0.1505,['Post-test adjusted for baseline attainment'],Conditional logic - metacognition,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,3,NA,['Primary/elementary school'],"['6', '7', '8', '9']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],['Digital technology'],15 ,1,18,['Toolkit: Metacognition and self-regulation']
55203434,Ford (2009),2009,['Journal article'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['Wales'],['Individual RCT'],['One to one'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],NA,38,3,20,NA
38224214,Hamers (1998) 1_1,1998,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Other outcome']",0.59,0.4,['Post-test adjusted for baseline attainment'],SPM Total Scores (ANOVA),With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,2,['Primary/elementary school'],"['8', '9']",NA,NA,['The Netherlands'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],10 ,2,45,['Toolkit: Metacognition and self-regulation']
38224059,Kernaghan (1995),1995,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.9567,0.4551,['Post-test unadjusted (select one from this group)'],Dictated Spelling Test-training words (immediate post-test mean/sd),With business as usual,['Sample: All'],Literacy  spelling,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['Canada'],['Individual RCT'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],4,1,25,['Toolkit: Metacognition and self-regulation']
38224234,Klauer (1992),1992,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Other outcome']",1.5379,0.59,['Post-test unadjusted (select one from this group)'],Raven's Progressive Matrices test,With business as usual,['Sample: High achievers'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,['Nursery school/pre-school'],"['4', '5', '6']",NA,NA,['Germany'],['Individual RCT'],['One to one'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],3 ,5,18,['Toolkit: Metacognition and self-regulation']
38224233,Klauer (1996) 1_1,1996,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Other outcome']",0.6768,0.281,['Post-test adjusted for baseline attainment'],Cattell’s Culture Fair Test,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,1,['Primary/elementary school'],"['7', '8']",NA,NA,['Germany'],['Individual RCT'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Unclear/not specified'],4,2.5 ,35,['Toolkit: Metacognition and self-regulation']
