id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
47063511,Barnett (2008),2008,['Metacognition and self-regulation'],NA,['No'],"['Page 10:\n[¬s]""of pre-test scores by treatment group (Tools versus control)""\n""PPVT-III[¬e]""']",only pre-test means/SDs,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
75313870,Blair (2014),2014,['Metacognition and self-regulation'],NA,['Yes'],NA,NA,,"['Page 7:\n[¬s]""413""\n""417[¬e]""']",417,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""71.73[¬e]""']",71.73,,"['Page 7:\n[¬s]""[16.9][¬e]""']",16.9,,NA,NA,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""297[¬e]""']",297,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""69.09[¬e]""']",69.09,,"['Page 7:\n[¬s]""[17.1][¬e]""']",17.1,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 3:\n[¬s]""All participating children were followed up in the fall of the first grade year""\n""On average children were seen at the end of October in the fall\nand at the end of March in the spring. The second assessment\nsession occurred approximately two weeks after the first in both\nfall and spring.[¬e]""', 'Page 5:\n[¬s]""Follow-up data in first grade are also presented for\nthe academic outcome measures in Table 2.[¬e]""']",half a year approx.,
75313883,Flook (2015),2015,NA,NA,['Yes'],NA,NA,,"['Page 4:\n[¬s]""25[¬e]""']",25,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""3.50[¬e]""']",3.50,,"['Page 4:\n[¬s]""(0.41)[¬e]""']",0.41,,NA,NA,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""34[¬e]""']",34,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""3.46[¬e]""']",3.46,,NA,0.45,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
55203434,Ford (2009),2009,"['Metacognition and self-regulation', 'Oral language interventions']",NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
77945731,Hong (2012),2012,NA,NA,['Yes'],NA,NA,,"['Page 6:\n[¬s]""35[¬e]""']",35,,"['Page 6:\n[¬s]""Concepts and vocabulary Time1 (0–42)""\n""22.43[¬e]""']",22.43,,"['Page 6:\n[¬s]""(7.86)[¬e]""']",7.86,,"['Page 6:\n[¬s]""26.66[¬e]""']",26.66,,"['Page 6:\n[¬s]""(7.69)[¬e]""']",7.69,,NA,NA,,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""32[¬e]""']",32,,"['Page 6:\n[¬s]""20.88[¬e]""']",20.88,,"['Page 6:\n[¬s]""(6.95)[¬e]""']",6.95,,"['Page 6:\n[¬s]""22.69[¬e]""']",22.69,,NA, 6.69,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],"['Page 3:\n[¬s]""Assessments of science concepts and\nvocabulary and scientiﬁc problem-solving skills related to sink-\ning and ﬂoating were completed about one week before and after\nthe four intervention sessions.[¬e]""']",NA,
38224234,Klauer (1992),1992,['Metacognition and self-regulation'],NA,['Yes'],"['Page 14:\n[¬s]""Table 4.[¬e]""']",NA,,"['Page 13:\n[¬s]""eight pairs[¬e]""']",8,,"['Page 14:\n[¬s]""24.63[¬e]""']",24.63,,"['Page 14:\n[¬s]""2.20[¬e]""']",2.2,,"['Page 14:\n[¬s]""29.00[¬e]""']",29.00,,"['Page 14:\n[¬s]""3.30[¬e]""']",3.30,,"['Page 14:\n[¬s]""4.4[¬e]""']",4.4,,"['Page 14:\n[¬s]""2.0[¬e]""']",2.0,,NA,NA,,"['Page 13:\n[¬s]""eight pairs[¬e]""']",8,,"['Page 14:\n[¬s]""23.50[¬e]""']",23.50,,"['Page 14:\n[¬s]""3.55[¬e]""']",3.55,,"['Page 14:\n[¬s]""23.00[¬e]""']",23.00,,"['Page 14:\n[¬s]""4.04[¬e]""']",4.04,,"['Page 14:\n[¬s]""-0.5[¬e]""']",-0.5,,"['Page 14:\n[¬s]""2.3[¬e]""']",2.3,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
75313918,Liu (2015),2015,NA,NA,['Yes'],NA,NA,,"['Page 4:\n[¬s]""16 in the training group[¬e]""']",9,,"['Page 5:\n[¬s]""boys""\n""22.4[¬e]""']",22.4,,"['Page 5:\n[¬s]""4 (5.2)[¬e]""']",5.2,,"['Page 5:\n[¬s]""26.4[¬e]""']",26.4,,"['Page 5:\n[¬s]""(4.8)[¬e]""']", 4.8,,NA,NA,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""d 20 in the control group (10 boys,[¬e]""']",10,,"['Page 5:\n[¬s]""21.2[¬e]""']",21.2,,"['Page 5:\n[¬s]""(4.7)[¬e]""']",4.7,,"['Page 5:\n[¬s]""20.2[¬e]""']",20.2,,"['Page 5:\n[¬s]""6.8)[¬e]""']",6.8,,NA,NA,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""girl[¬e]""']",7,,"['Page 5:\n[¬s]""18.6[¬e]""']",18.6,,"['Page 5:\n[¬s]""(1.8)[¬e]""']",1.8,,"['Page 5:\n[¬s]""20.4[¬e]""']",20.4,,"['Page 5:\n[¬s]""(2.9)[¬e]""']",2.9,,NA,NA,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""girls[¬e]""']",10,,"['Page 5:\n[¬s]""18.2""\n""girls[¬e]""']",18.2,,"['Page 5:\n[¬s]""2 (3.3[¬e]""']",3.3,,"['Page 5:\n[¬s]""19.7[¬e]""']",19.7,,"['Page 5:\n[¬s]""2.5)[¬e]""']",2.5,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
75313894,O'Connor (2014),2014,['Metacognition and self-regulation'],NA,['Yes'],NA,"I used the total number of those recruited in K only n=329, split it in half to get treatment and control  - further down it says that half of the children were in treatment, half in attention control, 225 and 210 for all sample including Grade 1",,"['Page 4:\n[¬s]""Most\nparent–child dyads (n ⫽ 329) enrolled in the study when the\nchildren were in kindergarten. T[¬e]""']",165,,"['Page 10:\n[¬s]""14.46[¬e]""']",14.46,,"['Page 10:\n[¬s]""4.69[¬e]""']",4.69,,"['Page 10:\n[¬s]""16.99[¬e]""']",16.99,,"['Page 10:\n[¬s]""4.46[¬e]""']",4.46,,NA,NA,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""Most\nparent–child dyads (n ⫽ 329) enrolled in the study when the\nchildren were in kindergarten. T[¬e]""']",164,,"['Page 10:\n[¬s]""14.45[¬e]""']",14.45,,"['Page 10:\n[¬s]""5.24[¬e]""']",5.24,,"['Page 10:\n[¬s]""17.48[¬e]""']",17.48,,"['Page 10:\n[¬s]""4.83[¬e]""']",4.83,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""Time 5 (T5) data in late spring.[¬e]""']","both K and Grade 1 intervention, I only take K",
75313896,Pears (2014),2014,['Metacognition and self-regulation'],NA,['Yes'],NA,NA,,"['Page 26:\n[¬s]""KITS Group (n = 25)[¬e]""']",25,,"['Page 26:\n[¬s]""11.26[¬e]""']",11.26,,"['Page 26:\n[¬s]""11.21[¬e]""']",11.21,,"['Page 26:\n[¬s]""13.26[¬e]""']",13.26,,"['Page 26:\n[¬s]""9.93[¬e]""']",9.93,,NA,NA,,NA,NA,,NA,NA,,"['Page 26:\n[¬s]""SAU Group (n = 14[¬e]""']",14,,"['Page 26:\n[¬s]""12.69[¬e]""']",12.69,,"['Page 26:\n[¬s]""14.90[¬e]""']",14.90,,"['Page 26:\n[¬s]""10.69[¬e]""']",10.69,,"['Page 26:\n[¬s]""11.51[¬e]""']",11.51,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40294945,Peskin (2004) MSR,2004,['Metacognition and self-regulation'],NA,['Yes'],NA,NA,,"['Page 11:\n[¬s]""Experimental (n = 24)[¬e]""']",24,,"['Page 11:\n[¬s]""2.58[¬e]""']",2.58,,"['Page 11:\n[¬s]"" 1.72[¬e]""']",1.72,,"['Page 11:\n[¬s]""3.33[¬e]""']",3.33,,"['Page 11:\n[¬s]"" 2.62[¬e]""']",2.62,,NA,NA,,NA,NA,,NA,NA,,"['Page 11:\n[¬s]""Control (n = 24)[¬e]""']",24,,"['Page 11:\n[¬s]""2.58[¬e]""']",2.58,,"['Page 11:\n[¬s]""2.08[¬e]""']",2.08,,"['Page 11:\n[¬s]"" 2.67[¬e]""']",2.67,,"['Page 11:\n[¬s]""2.48[¬e]""']",2.48,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
