id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4
47063511,Barnett (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-III ,NA,NA,NA,NA,NA,NA,NA,NA,NA
75313870,Blair (2014),['Other outcome'],Secondary outcome(s),WJ-III: Letter-Word W Score: Self Regulation,['Mathematics primary outcome'],Secondary outcome(s),WJ III-Maths: Self Regulation,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,EOWPVT - Self regulation,['Other outcome'],Secondary outcome(s),Raven Matrices Sum Score: : Self Regulation
75313883,Flook (2015),['Other outcome'],Secondary outcome(s),Grades—Language: kindness vs control,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Grades—Learning: kindness vs control,['Other outcome'],Secondary outcome(s),Grades—Cognition: kindness vs control,NA,NA,NA
55203434,Ford (2009),['Reading primary outcome'],Primary outcome,Non word repetition posttest ,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Quantity judgments postest ,NA,NA,NA,NA,NA,NA
77945731,Hong (2012),['Other outcome'],Secondary outcome(s),Concepts and vocabulary on science,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Problem-Solving,NA,NA,NA,NA,NA,NA
38224234,Klauer (1992),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Raven's Progressive Matrices test,NA,NA,NA,NA,NA,NA,NA,NA,NA
75313918,Liu (2015),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Raven’s Progressive Matrices - Self Regulation,NA,NA,NA,NA,NA,NA,NA,NA,NA
75313894,O'Connor (2014),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,WJ-III Maths: INSIGHTS vs control,['Reading primary outcome'],Secondary outcome(s),WJ-III Reading: INSIGHTS vs control,NA,NA,NA,NA,NA,NA
75313896,Pears (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DIBELS- LNF: Self Regulation,['Other outcome'],Secondary outcome(s),DIBELS ISF: Self Regulation,NA,NA,NA,NA,NA,NA
40294945,Peskin (2004) MSR,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metacognitive Verb Comprehension Task (f-test),['Other outcome'],Secondary outcome(s),Metacognitive Verb Production Task (f-test),NA,NA,NA,NA,NA,NA
75313922,Pozuelos (2019),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,K-BIT IQ fluid and verbal composite ,"['Toolkit primary outcome', 'Other outcome']",Secondary outcome(s),WISC digit span backwards,NA,NA,NA,NA,NA,NA
75313897,Raver (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT Score posttest table 1,['Mathematics primary outcome'],Primary outcome,Early Maths Skill Score table 1,NA,NA,NA,NA,NA,NA
75313928,Rueda (2012),"['Toolkit primary outcome', 'Other outcome']",Primary outcome, K-BIT Verbal - Self Regulation,['Other outcome'],Secondary outcome(s),K-BIT : Matrices - Self Regulation,NA,NA,NA,NA,NA,NA
75313930,Schmitt (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJ-Letter-word identiﬁcation: Self Regulation,['Mathematics primary outcome'],Secondary outcome(s),WJ- Applied problems: Self Regulation,['Other outcome'],Secondary outcome(s),WJ- Picture vocabulary: Self Regulation,NA,NA,NA
75313935,Zhang (2019),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,RSPM - Self Regulation,NA,NA,NA,NA,NA,NA,NA,NA,NA
