id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,prepost_t_mean_ht_t_sd_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
37092570,Adler (1998),1998,['Feedback'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
46887859,Algozzine (2009),2009,['Feedback'],NA,['Yes'],"['Page 9:\n[¬s]""TABLE 3\nMeans, Standard Deviations, and Analysis of Variance Summary Table for Full-Year Participants[¬e]""']",NA,,"['Page 4:\n[¬s]""50 children[¬e]""']",50,,"['Page 9:\n[¬s]""36.70[¬e]""']",36.70,,"['Page 9:\n[¬s]""12.66[¬e]""']",12.66,,"['Page 9:\n[¬s]""82.12[¬e]""']",82.12,,"['Page 9:\n[¬s]""22.01[¬e]""']",22.01,,NA,NA,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""50 children[¬e]""']",50,,"['Page 9:\n[¬s]""33.18[¬e]""']",33.18,,"['Page 9:\n[¬s]""9.00[¬e]""']",9.00,,"['Page 9:\n[¬s]""66.90[¬e]""']",66.90,,"['Page 9:\n[¬s]""15.40[¬e]""']",15.40,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
46887861,Amendum (2011),2011,['Feedback'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37092749,Anderson (1973),1973,['Feedback'],NA,['Yes'],"['Page 90:\n[¬s]""table 11 KEANS, STANDARD DEVIATIONS, AND t-TEST FOR CORRELATED SAMPLES: 85ML AND CONV GROUPS ON UNITS ONE AND THREE WITH TIME-ON-TASK AND ORIGINAL PER CENT CORRECT AS CRITERIA[¬e]""']",NA,,NA,NA,,NA,64.8,,NA,12.0,,NA,75.5,,NA,13.8,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,65.3,,NA,13.6,,NA,49.1,,NA,18.3,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37092571,Andrade (2008),2008,['Feedback'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
47515942,Armour-Thomas (1987),1987,['Feedback'],NA,['Yes'],"['Page 17:\n[¬s]""TABLE 1[¬e]""']",NA,,"['Page 17:\n[¬s]""N = 23""\n""N = 21""\n""N = \'n.\'n.[¬e]""']",66,,"['Page 17:\n[¬s]""30.43""\n""31.76""\n""30.22[¬e]""']",30.783,,"['Page 17:\n[¬s]""7.19""\n""6.56""\n""6.51[¬e]""']",6.689,,"['Page 17:\n[¬s]""35.13**""\n""35.76""\n""35.20**[¬e]""']",35.354,,"['Page 17:\n[¬s]""6.75""\n""6.75""\n""7.43[¬e]""']",6.881,,NA,NA,,NA,NA,,NA,NA,,"['Page 17:\n[¬s]""N = 23[¬e]""']",23,,"['Page 17:\n[¬s]""30.91[¬e]""']",30.91,,"['Page 17:\n[¬s]""7.43[¬e]""']",7.43,,"['Page 17:\n[¬s]""31.70[¬e]""']",31.70,,"['Page 17:\n[¬s]""7.88[¬e]""']",7.88,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
37092572,Arter (1994),1994,['Feedback'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37061105,Aumiller (1963),1963,['Feedback'],NA,['Yes'],NA,"Data from Table VII For the final sample analysed  Grade 3 Experimental = 40, Grade 3 Control = 40, Grade 3 overall = 80. Grade 5 Exp = 56, Grade 5 Con = 54, Grade 5 Overall = 110. Both Grades Exp = 96, Both Grades Con = 94, Both Grades Overall = 190. From Table V on pg73. ",,"['Page 29:\n[¬s]""40""\n""56[¬e]""']",96,,"['Page 29:\n[¬s]""20.15""\n""2).42""\n""18.35""\n""51.42""\n""51.5""\n""49.36[¬e]""']",38.288,,"['Page 29:\n[¬s]""9.2""\n""8.87""\n""9.95""\n""20-5""\n""29.07""\n""20.7[¬e]""']",23.838,,"['Page 31:\n[¬s]""47.66""\n""37.78""\n""34""\n""51.42""\n""65.61""\n""57.73[¬e]""']",50.330,,"['Page 31:\n[¬s]""16.33""\n""19.40""\n""19.8""\n""19.45""\n""21.90""\n""17.76[¬e]""']",21.729,,NA,NA,,NA,NA,,NA,NA,,"['Page 29:\n[¬s]"" 40""\n"" 54[¬e]""']",94,,"['Page 29:\n[¬s]""18.25""\n""25.46""\n""17 .33""\n""52.66""\n""58.41""\n""53°13[¬e]""']",40.124,,"['Page 29:\n[¬s]""9.77""\n""12.51""\n""9.91""\n""21.34""\n""26.91""\n""24-52[¬e]""']",25.989,,"['Page 31:\n[¬s]""35-41""\n""46.15""\n""36.53""\n""52.66""\n""68.58""\n""55.63[¬e]""']",50.463,,"['Page 31:\n[¬s]""18.73""\n""21.11""\n""16. 76""\n""19.12""\n""23.42""\n""25.24[¬e]""']",23.565,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
46888119,Baadte (2014),2014,['Feedback'],NA,['Yes'],"['Page 10:\n[¬s]""Table 1[¬e]""']","Comprehension - Items Correct (Table 1) 72 participants, it is assumed that the groups were split evenly (i.e. 36 participants in experimental and 36 in control)",,"['Page 8:\n[¬s]""72 participants[¬e]""']",36,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""43.30[¬e]""']",43.30,,"['Page 10:\n[¬s]""12.23[¬e]""']",12.23,,NA,NA,,NA,NA,,NA,NA,,"['Page 8:\n[¬s]""72 participants[¬e]""']",36,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""42.86[¬e]""']",42.86,,"['Page 10:\n[¬s]""14.14[¬e]""']",14.14,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
46887945,Back (2005),2005,['Feedback'],NA,['Yes'],"['Page 7:\n[¬s]""First, the performance assessment had a significantly\non ‘improvement & advancement,’ i.e.\npositive effect\nstudents\' science achievement (see Table 13). Pre- and post-\ntest mean scores of the experimental group were[¬e]""', 'Page 8:\n[¬s]""70.03(SD=21.10) and 76.44(SD=19.65), respectively. However,\npre- and post-test mean scores of the control group were\n70.34(SD=21.92) and 69.45(SD=23.22), respectively.[¬e]""']",NA,,NA,79,,"['Page 8:\n[¬s]""70.03[¬e]""']",70.03,,"['Page 8:\n[¬s]""21.10[¬e]""']",21.10,,"['Page 8:\n[¬s]""76.44[¬e]""']",76.44,,"['Page 8:\n[¬s]""19.65[¬e]""']",19.65,,NA,NA,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""77[¬e]""']",77,,"['Page 8:\n[¬s]""70.34[¬e]""']",70.34,,"['Page 8:\n[¬s]""21.92[¬e]""']",21.92,,"['Page 8:\n[¬s]""69.45[¬e]""']",69.45,,"['Page 8:\n[¬s]""23.22[¬e]""']",23.22,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
