id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN
37092570,Adler (1998),1998,['Feedback'],NA,SCORE Feedback - Writing Voice KWA,,Two-way ANOVA posttest adjusted results for the Voice aspect of an adapted Kansas Writing Assessment for third graders (intended for 5th graders).,,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.165,,0.223,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2721,,0.6021,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],
46887859,Algozzine (2009),2009,['Feedback'],NA,ORF - Oral Reading Fluency (Means/SD),,"We assessed reading achievement using the DIBELS ORF measure, which is a set of passages and directions for first through third grades that were developed to be consistent in readability, reliability, and validity to the Test of Oral Reading Fluency (Children’s Educational Services, 1987) and other similar assessments (Good & Jefferson, 1998  Good et al., 2003  Good, Wallin, Simmons, Kame’enui, & Kaminski, 2002  Kaminski & Good, 1996, 1998  Laimon, 1994).",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.7951,,0.2081,,Literacy: speaking and listening/oral language,,50.0,,82.12,,22.01,,50.0,,66.9,,15.4,,0.3873,,1.2029,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
46887861,Amendum (2011),2011,['Feedback'],NA,Reading Comprehension Scores,,"Woodcock-Johnson Diagnostic Reading Battery, III (WJ- DRB, III  Woodcock, Mather, & Schank, 2004) were administered to all children.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3956,,0.113,,Literacy: reading comprehension,,227.0,,450.951,,24.986,,123.0,,440.558,,28.344,,0.1742,,0.6171,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
37092749,Anderson (1973),1973,['Feedback'],NA,SCORE Mathematics total ,,"The cognitive achievement measures were tests based on the content which was covered during the one week period of time. The tests were composed of problems which the students were to solve and supply the answer. The same tests were used as the pre-test and the post-test. Combined algebra and arithmetic scores for experimental study (n=82) using QI correlation (cues and rewards)  r to d conversion r 0.5 = 1.15470054 d. SE from Ns (26, 27, 29).",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,1.1547,,0.231,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.702,,1.6074,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Researcher developed test'],
37092571,Andrade (2008),2008,['Feedback'],NA,VERB 6+1 Trait Writing,,"The rubrics given to the treatment group classes referred to seven com- monly assessed criteria for writing (e.g., the 6 + 1 Trait������ Writing Method  see Culham, 2003  Spandel & Stiggins, 1997)  ideas and content, organization, voice and tone, word choice, sentence fluency, and conventions",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.8653,,0.1984,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,0.4764,,1.2541,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
47515942,Armour-Thomas (1987),1987,['Feedback'],NA,Boehm Test of Basic Concepts (Combined intervention),,"The Boehm Test of Basic Concepts (BTBC) Form A & B was each administered to half of the subjects in the study (Form A, N=51  Form B, N=52). This was done to obtain baseline diagnostic information on subjects' knowledge of basic concepts.",,"['Toolkit primary outcome', 'Other outcome']",,0.5069,,0.2452,,Cognitive: other,,66.0,,35.354,,6.881,,23.0,,31.7,,7.88,,0.0262,,0.9875,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
37092572,Arter (1994),1994,['Feedback'],NA,TEACH Writing-Ideas,,"Students had three 45-minute periods to write an essay on an assigned topic. Students had time to prewrite, create a rough draft, read over the rough draft and revise, edit, and produce a final copy. Students were allowed to use dictionaries or other written references during testing, but could not confer with the teacher or with each other. Two prompts were used-expository (to elicit informational writing) and narrative (to elicit stories). The topics were written to allow a variety of interpretations and approaches.",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.3,,0.18,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0528,,0.6528,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
37061105,Aumiller (1963),1963,['Feedback'],NA,SCORE G3&G5 - TMI Spelling Program - Modern English,,"The pretest of one hundred words was selected from the TMI Spelling Program - Modern English. The post­test was taken from the same program but was not selected at random. Instead, an attempt was made to parallel each word in the posttest with one similar in structure in the pretest. ",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,-0.0058,,0.1451,,Literacy: spelling,,96.0,,50.33,,21.729,,94.0,,50.463,,23.565,,-0.2903,,0.2786,,Primary outcome,,['Sample: Average'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
46888119,Baadte (2014),2014,['Feedback'],NA,Comprehension - Items Correct (Table 1),," Considering the heterogeneity of the topics that the text-/ picture-comprehension tasks dealt with, the reliability of the comprehension items was satis- fying, α = .71. The dependent variable was the number ofitems that were answered correctly weighted by the difﬁculty level ofthe task.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0329,,0.2357,,Literacy: reading comprehension,,36.0,,43.3,,12.23,,36.0,,42.86,,14.14,,-0.4291,,0.4949,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
46887945,Back (2005),2005,['Feedback'],NA,Science Achievement test  (Table 13 ANCOVA analysis),,"Each exam had 30 items that consisted of 10 knowledge items, 10 understanding items and 10 application items, and full marks totaled to 100 points.",,"['Toolkit primary outcome', 'Science primary outcome']",,0.3652,,0.1615,,Science,,0.3652,,0,,0,,0.16147959,,0,,0,,0.0487,,0.6817,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
