id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11
37092570,Adler (1998),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,SCORE Feedback - Writing Voice KWA,['Other outcome'],Secondary outcome(s),SCORE Feedback - Writing Word Choice KWA,['Other outcome'],Secondary outcome(s),SCORE Feedback - Writing Ideas and Content KWA,['Other outcome'],Secondary outcome(s),SCORE Feedback - Writing Conventions KWA,['Other outcome'],Secondary outcome(s),SCORE Feedback - Writing Attitude Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46887859,Algozzine (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ORF - Oral Reading Fluency (Means/SD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46887861,Amendum (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension Scores,['Other outcome'],Secondary outcome(s),Word Attack Scores,['Reading primary outcome'],Secondary outcome(s),Letter/Word Identification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092749,Anderson (1973),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,SCORE Mathematics total ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092571,Andrade (2008),['Other outcome'],Secondary outcome(s),VERB 6+1 Trait Writing,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,VERB 6+1 Trait Writing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47515942,Armour-Thomas (1987),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Boehm Test of Basic Concepts (Combined intervention),['Other outcome'],Secondary outcome(s),Boehm Test of Basic Concepts (Textual vs C),['Other outcome'],Secondary outcome(s),Boehm Test of Basic Concepts (Symbolic vs C),['Other outcome'],Secondary outcome(s),Boehm Test of Basic Concepts (Pictorial vs C),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092572,Arter (1994),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,TEACH Writing-Ideas,['Other outcome'],Secondary outcome(s),TEACH Writing-organization,['Other outcome'],Secondary outcome(s),TEACH Writing-Voice,['Other outcome'],Secondary outcome(s),TEACH Writing-Words Choice,['Other outcome'],Secondary outcome(s),TEACH Writing-Sentence Fluency,['Other outcome'],Secondary outcome(s),TEACH Writing-Conventions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37061105,Aumiller (1963),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,SCORE G3&G5 - TMI Spelling Program - Modern English,['Other outcome'],Secondary outcome(s),SCORE G3 - TMI Spelling Program - Modern English,['Other outcome'],Secondary outcome(s),SCORE G5 - TMI Spelling Program - Modern English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46888119,Baadte (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension - Items Correct (Table 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46887945,Back (2005),['Other outcome'],Primary outcome,Science Achievement test (means & SD unadj),"['Toolkit primary outcome', 'Science primary outcome']",Secondary outcome(s),Science Achievement test  (Table 13 ANCOVA analysis),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
