id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
48091547,Al-Naqbi (2014),2014,['Homework'],NA,Chemistry Post test,,"Student scores in electron configuration, the Periodic Table, and the chemical bonding that measured by the chemistry test developed by the researcher and consisted of thirty-seven mutable choice items.",,"['Toolkit primary outcome', 'Science primary outcome']",,0.81,,0.1503,,Science,,97.0,,25.3,,8.23,,95.0,,19.51,,5.77,,0.5155,,1.1045,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Chemistry Post test,,"Student scores in electron configuration, the Periodic Table, and the chemical bonding that measured by the chemistry test developed by the researcher and consisted of thirty-seven mutable choice items.",,"['Toolkit primary outcome', 'Science primary outcome']",,0.81,,0.1503,,Science,,97.0,,25.3,,8.23,,95.0,,19.51,,5.77,,0.5155,,1.1045,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49048201,Bailey (2006),2006,['Homework'],NA,Post-Inference Test Scores,,Post-Inference Test Scores,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2858,,0.2763,,Literacy: reading other,,27.0,,0.0,,0.0,,26.0,,0.296,,0.0,,-0.2557,,0.8273,,,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,Post-Inference Test Scores,,Post-Inference Test Scores,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2858,,0.2763,,Literacy: reading other,,27.0,,0.0,,0.0,,26.0,,0.296,,0.0,,-0.2557,,0.8273,,,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49048207,Bartelet (2016),2016,['Homework'],NA,Cito test (Math),,"The Cito test is a general ability test with focus on math and reading, but as it is intended to predict a student’s probability of study success in the different tracks in Dutch secondary education, it also links into metacognitive abilities.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.4155,,0.1184,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.1834,,0.6476,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Cito test (Math),,"The Cito test is a general ability test with focus on math and reading, but as it is intended to predict a student’s probability of study success in the different tracks in Dutch secondary education, it also links into metacognitive abilities.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.4155,,0.1184,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.1834,,0.6476,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49048212,Bell (2015),2015,['Homework'],NA,Unit 2 Test Scores,,The end-of-unit tests were reviewed by five high school physics teachers to determine face validity as appropriate physics content covered during the units of instruction and on the test.,,"['Toolkit primary outcome', 'Science primary outcome']",,0.0509,,0.001,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.0489,,0.0529,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Unit 2 Test Scores,,The end-of-unit tests were reviewed by five high school physics teachers to determine face validity as appropriate physics content covered during the units of instruction and on the test.,,"['Toolkit primary outcome', 'Science primary outcome']",,0.0509,,0.001,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.0489,,0.0529,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
48091564,Chao (2015),2015,['Homework'],NA,Learning Achievement Post-Test,,"To discover the effects of the experiment on the participants, an achievement test was designed for this study. Based on the curriculum objectives and Bloom’s Taxonomy [52], four types of questions were constructed for the test  1) ‘Knowledge’ questions, 2) ‘Comprehension’ questions, 3) ‘Application’ questions, and 4) ‘Analysis’ questions. The ﬁnalized achievement test consisted of 20 multiple choice questions, with one more than one possible answers and the others only one correct answer, each valuing 5 points.",,"['Toolkit primary outcome', 'Science primary outcome']",,0.7824,,0.2179,,Science,,45.0,,69.02,,9.41,,46.0,,61.0,,10.85,,0.3554,,1.2095,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Learning Achievement Post-Test,,"To discover the effects of the experiment on the participants, an achievement test was designed for this study. Based on the curriculum objectives and Bloom’s Taxonomy [52], four types of questions were constructed for the test  1) ‘Knowledge’ questions, 2) ‘Comprehension’ questions, 3) ‘Application’ questions, and 4) ‘Analysis’ questions. The ﬁnalized achievement test consisted of 20 multiple choice questions, with one more than one possible answers and the others only one correct answer, each valuing 5 points.",,"['Toolkit primary outcome', 'Science primary outcome']",,0.7824,,0.2179,,Science,,45.0,,69.02,,9.41,,46.0,,61.0,,10.85,,0.3554,,1.2095,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
48091565,Clark (2013),2013,['Homework'],NA,Unit test,,"The teacher-created unit test included released test item questions from past Algebra I End-of-Course Exams and covered the grade-level expectations for solving systems of equations and inequalities. The format of the unit test contained multiple choice and short answer questions. In addition, there was one constructed-response question on the test, which was also a released test item.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.1698,,0.2213,,Mathematics,,42.0,,0.15,,0.0,,40.0,,0.44,,0.0,,-0.264,,0.6037,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Unit test,,"The teacher-created unit test included released test item questions from past Algebra I End-of-Course Exams and covered the grade-level expectations for solving systems of equations and inequalities. The format of the unit test contained multiple choice and short answer questions. In addition, there was one constructed-response question on the test, which was also a released test item.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.1698,,0.2213,,Mathematics,,42.0,,0.15,,0.0,,40.0,,0.44,,0.0,,-0.264,,0.6037,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
48091535,Dadas (1976),1976,['Homework'],NA,Mid-Year Algebra Test,,"A review of this test indicates the Mid-Year Algebra Test should be considered by the teacher seeking a standardized test of general concepts in introductory work in algebra. The review also indicates that in terms of language and content, this is a satisfactory test for assessing achievement in a modern curriculum.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.0526,,0.1946,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.3288,,0.434,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Mid-Year Algebra Test,,"A review of this test indicates the Mid-Year Algebra Test should be considered by the teacher seeking a standardized test of general concepts in introductory work in algebra. The review also indicates that in terms of language and content, this is a satisfactory test for assessing achievement in a modern curriculum.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.0526,,0.1946,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.3288,,0.434,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49048252,Davis (2004),2004,['Homework'],NA,Texas Reading Primary Inventory,,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3203,,0.1143,,Literacy: reading comprehension,,147.0,,0.943,,0.0,,164.0,,0.005,,0.0,,0.0963,,0.5444,,Primary outcome,,NA,,With business as usual,,NA,,NA,,Texas Reading Primary Inventory,,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3203,,0.1143,,Literacy: reading comprehension,,147.0,,0.943,,0.0,,164.0,,0.005,,0.0,,0.0963,,0.5444,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49048260,Duffy (2016),2016,['Homework'],NA,Post test ,,"The test consisted of 14 multiple-choice questions, six completion items, five true-or- false questions, six open-ended items, and three identify-and-label questions",,"['Toolkit primary outcome', 'Science primary outcome']",,-0.0903,,0.2121,,Science,,45.0,,86.13,,7.933,,44.0,,86.91,,9.167,,-0.506,,0.3255,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Post test ,,"The test consisted of 14 multiple-choice questions, six completion items, five true-or- false questions, six open-ended items, and three identify-and-label questions",,"['Toolkit primary outcome', 'Science primary outcome']",,-0.0903,,0.2121,,Science,,45.0,,86.13,,7.933,,44.0,,86.91,,9.167,,-0.506,,0.3255,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49048268,Esperanza (2016),2016,['Homework'],NA,California Standard Test,,"To measure student performance, twenty-five questions from the released California Standards Test [32] were randomly selected to be included in the study.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.1577,,0.21,,Mathematics,,45.0,,2.029,,0.0,,46.0,,0.45,,0.0,,-0.2539,,0.5694,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,California Standard Test,,"To measure student performance, twenty-five questions from the released California Standards Test [32] were randomly selected to be included in the study.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.1577,,0.21,,Mathematics,,45.0,,2.029,,0.0,,46.0,,0.45,,0.0,,-0.2539,,0.5694,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
