id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,hw_dur,hw_dur_info,hw_dur_tot_time,hw_who_involved,hw_par_role,hw_where,hw_mark_method_info
48091547,Al-Naqbi (2014),2014,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Science primary outcome']",0.81,0.1503,NA,Chemistry Post test,With business as usual,NA,Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.81,0.1503,NA,NA,NA,192,NA,8,"['Secondary/High school', 'Home']","['15', '16']",NA,NA,['United Arab Emirates'],['Cluster RCT'],"['Student alone (self-administered)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['Evenings and/or weekends'],['Class teachers'],10,2 ,45,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],60 minutes-90 minutes,1.25,"['Students working together (collaborative homework)', 'Individual students working on their own']",NA,['At home'],['Yes (Please highlight the relevant text in the study report)']
49048201,Bailey (2006),2006,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2858,0.2763,['Post-test adjusted for baseline attainment'],Post-Inference Test Scores,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2858,0.2763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,3,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],['Evenings and/or weekends'],['Parents/carers'],5,4 ,N/A,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,3.67,['Parents or other family members.'],['Direct help or involvement with the homework'],['At home'],['Yes (Please highlight the relevant text in the study report)']
49048207,Bartelet (2016),2016,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.4155,0.1184,NA,Cito test (Math),With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.4155,0.1184,NA,NA,NA,NA,NA,NA,355,1,11,['Secondary/High school'],"['11', '12', '13', '14']",NA,NA,['The Netherlands'],['Cluster RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['Evenings and/or weekends'],"['Class teachers', 'Digital technology']",8,1,30,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],"30mins (they were supposed to practice 30 mins per week in maths) however, this is optional Time spent practising varied across levels of students' ability, see Table 3 (various indicators about time spent)",30,['Individual students working on their own'],NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
49048212,Bell (2015),2015,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Science primary outcome']",0.0509,0.001,['Post-test unadjusted (select one from this group)'],Unit 2 Test Scores,With business as usual,['Sample: All'],Science,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.0509,0.001,NA,NA,NA,210,1,7,['Secondary/High school'],"['15', '16', '17', '18']",NA,NA,['USA'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",9,5,60,['Toolkit: Homework'],['No'],NA,NA,"['Individual students working on their own', 'Students working together (collaborative homework)']",NA,"['At school', 'At home']",['No']
48091564,Chao (2015),2015,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Science primary outcome']",0.7824,0.2179,['Post-test adjusted for baseline attainment'],Learning Achievement Post-Test,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.7824,0.2179,NA,NA,NA,91,1,2,['Secondary/High school'],"['17', '18']",NA,NA,['Taiwan'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Peers', 'Digital technology']",8,1,120,['Toolkit: Homework'],['No'],only for class activities,NA,"['Individual students working on their own', 'Students working together (collaborative homework)']",NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
48091565,Clark (2013),2013,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1698,0.2213,['Post-test unadjusted (select one from this group)'],Unit test,With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1698,0.2213,NA,NA,NA,NA,NA,NA,82,1,NA,['Secondary/High school'],"['13', '14', '15', '16']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",7,NA,NA,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,"['At home', 'At school']",['No']
48091535,Dadas (1976),1976,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0526,0.1946,['Post-test adjusted for baseline attainment'],Mid-Year Algebra Test,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0526,0.1946,NA,NA,NA,NA,NA,NA,142,4,NA,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Cluster RCT'],['Student alone (self-administered)'],['No'],['No'],['No'],['Evenings and/or weekends'],['Class teachers'],20,4,60,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,15,['Individual students working on their own'],NA,['At home'],['Unclear']
49048252,Davis (2004),2004,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3203,0.1143,NA,Texas Reading Primary Inventory,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.3203,0.1143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,"['Primary/elementary school', 'Home']","['5', '6']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Parents/carers']",12,1,Not specified,['Toolkit: Homework'],['No'],NA,NA,['Parents or other family members.'],"['Direct help or involvement with the homework', 'Encouragement and general support', 'Monitoring/ checking completion']",['At home'],['No']
49048260,Duffy (2016),2016,['Technical report'],['Homework'],"['Toolkit primary outcome', 'Science primary outcome']",-0.0903,0.2121,NA,Post test ,With business as usual,NA,Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-0.0903,0.2121,NA,NA,NA,91,1,4,"['Middle school', 'Home']","['13', '14']",TRUE,88.0,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",3 ,not specified,10,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,['At home'],['No']
49048268,Esperanza (2016),2016,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1577,0.21,NA,California Standard Test,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1577,0.21,NA,NA,NA,NA,NA,NA,91,1,2,['Secondary/High school'],"['15', '16', '17']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['Before/after school'],"['Class teachers', 'Digital technology']",36,3,Not specified,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,['Not especified / Unclear'],['No']
