id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ii_approach,ii_elements_included,ii_programmes_mentioned
41661125,Abate (1972),1972,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2146,0.194,['Post-test adjusted for baseline attainment'],Gates-MacGinites (Grade 1) ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2146,0.194,NA,NA,NA,['Mathematics primary outcome'],0.421,0.2054,NA,NA,NA,NA,NA,NA,447,7,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10']",NA,NA,['USA'],['Cluster RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],32,5,250,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']","['Digital technology', 'Pre-testing of content', 'Testing for mastery', 'Self-checking/ self-marking']",['Program for Learning in Accordance with Needs (PLAN)']
41661049,Alexander (1968),1968,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Other outcome']",-0.0311,0.3162,['Post-test unadjusted (select one from this group)'],MAT - Individ. Instr.,With business as usual,['Sample: All'],Social Studies,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,1,['Middle school'],"['13', '14']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['No'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Other school staff']",12,5,45,['Toolkit: Individualised instruction'],['Individual work'],['Collaboration'],NA
41661126,Amendola (1973),1973,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.3121,0.1539,['Post-test adjusted for baseline attainment'],Stanford Achievement Test (Grades combined)- Cognitive Measure,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.3121,0.1539,NA,NA,NA,NA,NA,NA,560,2,3,['Primary/elementary school'],"['6', '7', '8', '9', '10', '11', '12', '13']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],12,5,250,['Toolkit: Individualised instruction'],['Individual pace'],NA,NA
41661287,Anderson (1971),1971,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.0737,0.2183,['Post-test unadjusted (select one from this group)'],Content Achievement Test,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.0737,0.2183,NA,NA,NA,84,1,5,['Secondary/High school'],"['15', '16']",NA,NA,['USA'],['Multisite RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],18 ,NA,45  ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']","['Testing for mastery', 'Self-checking/ self-marking']","['Programmed instruction', 'Audio-tutorial instruction']"
41661186,Arbuckle (2005),2005,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7774,0.2249,NA,Algebra Post test score,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7774,0.2249,NA,NA,NA,NA,NA,NA,12,1,4,['Secondary/High school'],"['13', '14', '15', '16']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Digital technology'],12,2,55 ,NA,"['Individual work', 'Individual pace', 'Individual feedback']",['Digital technology'],['Computer-assisted instruction']
49769663,Ardac (2002),2002,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",-0.7621,0.317,['Post-test unadjusted (select one from this group)'],T-bpe&fpd - Individual Instruction,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-0.7621,0.317,NA,NA,NA,61,1,2,['Secondary/High school'],"['14', '15']",NA,NA,['Turkey'],['Prospective QED'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],['Class teachers'],1 ,2,45 ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Digital technology'],['Computer-assisted instruction']
49769662,Ardac (2004),2004,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.8325,0.316,['Post-test adjusted for baseline attainment'],TCR-pC (Total score) - Individualised Instruction,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.8325,0.316,NA,NA,NA,49,1,3,['Secondary/High school'],['15'],NA,NA,['Turkey'],['Prospective QED'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Research staff'],2,5,45 ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Digital technology'],NA
45336716,Armenia (1967) 1_2,1967,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Other outcome']",3.08,0.41,NA,Post test Score,With business as usual,NA,Curriculum  other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1,2,['Secondary/High school'],"['18', '17']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['No'],['Evenings and/or weekends'],['Class teachers'],2, , ,NA,['Individual pace'],NA,['Programmed instruction']
41661258,Arroyo (2010),2010,['Conference paper'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2191,0.126,NA,Maths posttest Wayyang v no Wayyang,With active control,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2191,0.126,NA,NA,NA,NA,NA,NA,250,1,NA,['Middle school'],"['12', '13', '14']",NA,NA,['USA'],['Cluster RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Unclear/not specified'],1,4,15,NA,"['Individual work', 'Individual feedback', 'Individual pace']","['Digital technology', 'Self-checking/ self-marking']","['Computer-assisted instruction', 'Intelligent tutoring']"
41661100,Aven (1970),1970,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Other outcome']",1.3098,0.1731,NA,Geography test,With business as usual,NA,Curriculum  other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,2,6,['Secondary/High school'],"['13', '12']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],NA,NA,NA,['Toolkit: Individualised instruction'],['Individual pace'],['Testing for mastery'],['Mastery learning']
41661050,Baley (1969),1969,['Technical report'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3795,0.2128,['Pre-post gain'],SRA-maths  Individual. instr._,With business as usual,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3795,0.2128,NA,NA,NA,NA,NA,NA,180,1,NA,['Secondary/High school'],['No information provided'],NA,NA,['USA'],['Retrospective QED  '],"['Student alone (self-administered)', 'One to one']",['No'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants', 'Lay persons/volunteers']",20, , ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace', 'Individual feedback']","['Testing for mastery', 'Self-checking/ self-marking']",['Mastery learning']
41661127,Bartel (1965),1965,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0645,0.0392,['Post-test adjusted for baseline attainment'],Iowa Test,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0645,0.0392,NA,NA,NA,NA,NA,NA, 74,1,3,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Retrospective QED  '],['Student alone (self-administered)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],24,5,55,['Toolkit: Individualised instruction'],['Individual pace'],NA,NA
41661190,Beal (2007),2007,['Journal article'],"['Individualised instruction', 'One to one tuition']","['Toolkit primary outcome', 'Mathematics primary outcome']",-0.2556,0.1646,['Post-test unadjusted (select one from this group)'],Geometry Test,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.2556,0.1646,NA,NA,NA,NA,NA,NA,202 ,2,8,['Secondary/High school'],['No information provided'],TRUE,80.0,['USA'],['Prospective QED'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],['Digital technology'],1,2,50 ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Digital technology'],['Computer-assisted instruction']
41661189,Beal (2010) 1_1,2010,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5152,0.4608,NA,ITS low maths skill v comparison low maths skill,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5152,0.4608,NA,NA,NA,NA,NA,NA,60,1,3,['Middle school'],"['11', '12']",NA,NA,['USA'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Unclear/not specified', 'Digital technology']",1,5 ,50,NA,"['Individual work', 'Individual pace']","['Digital technology', 'Testing for mastery']","['Computer-assisted instruction', 'Mastery learning', 'Intelligent tutoring']"
45336717,Beal (2010) 1_2,2010,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1957,0.4015,['Post-test unadjusted (select one from this group)'],Maths,With business as usual,['Sample: High achievers'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1957,0.4015,NA,NA,NA,NA,NA,NA,25,1,NA,['Other educational setting (please specify)'],"['10', '11']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['Unclear/ Not specified'],['Yes'],['No'],['Summer/ holiday period'],"['External teachers', 'Digital technology']",4 ,2 ,120,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Digital technology'],['Intelligent tutoring']
41661051,Beul (1973),1973,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Other outcome']",0.5679,0.1019,['Post-test unadjusted (select one from this group)'],Science Research Associates Achievement ,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,2,15,['Secondary/High school'],"['12', '13']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],12,5,250,['Toolkit: Individualised instruction'],['Individual pace'],['Testing for mastery'],"['Programmed instruction', 'Mastery learning']"
41661261,Biesinger (2008),2008,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1551,0.069,['Post-test unadjusted (select one from this group)'],NSHSEM 10th graders means and SDs,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1551,0.069,NA,NA,NA,NA,NA,NA,3566,NA,NA,['Secondary/High school'],"['15', '16']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],['Unclear/ not specified'],"['Class teachers', 'Digital technology']", , ,55,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Digital technology'],"['Computer-assisted instruction', 'Program for Learning in Accordance with Needs (PLAN)']"
41661296,Blank (1963),1963,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.6833,0.3486,['Post-test unadjusted (select one from this group)'],Science Test (T1 vs Control),With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.6833,0.3486,NA,NA,NA, 54,1,2,['Middle school'],"['11', '12']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],2.2,5,45 ,['Toolkit: Individualised instruction'],['Individual pace'],NA,['Programmed instruction']
