id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
41661125,Abate (1972),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinites (Grade 1) ,['Other outcome'],Secondary outcome(s),Gates MacGinitie (Grade 1),['Mathematics primary outcome'],Secondary outcome(s),Mathematics Mastery Test,['Other outcome'],Secondary outcome(s),Mathematics Mastery Test,['Other outcome'],Secondary outcome(s),Mathematics Mastery Test,['Other outcome'],Secondary outcome(s),Mathematics Mastery Test,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661049,Alexander (1968),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,MAT - Individ. Instr.,['Other outcome'],Secondary outcome(s),Exams- Indiv. Instruct.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661126,Amendola (1973),['Other outcome'],Secondary outcome(s),Stanford Achievement Test (Grade 3)- Cognitive Measure,['Other outcome'],Secondary outcome(s),Stanford Achievement Test (Grade 5)- Cognitive Measure,['Other outcome'],Secondary outcome(s),Stanford Achievement Test (Grade 7)- Cognitive Measure,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Stanford Achievement Test (Grades combined)- Cognitive Measure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661287,Anderson (1971),['Other outcome'],Secondary outcome(s),Content Achievement Test,['Other outcome'],Secondary outcome(s),Content Achievement Test,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Content Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661186,Arbuckle (2005),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Algebra Post test score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49769663,Ardac (2002),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,T-bpe&fpd - Individual Instruction,['Other outcome'],Secondary outcome(s),T-IVECA - Individualised Instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49769662,Ardac (2004),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,TCR-pC (Total score) - Individualised Instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336716,Armenia (1967) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Post test Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661258,Arroyo (2010),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths posttest Wayyang v no Wayyang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661100,Aven (1970),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Geography test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
